Ngay,GiaDongCua
29/12/2023,9.4
28/12/2023,9.39
27/12/2023,9.1
26/12/2023,9.29
25/12/2023,9.39
22/12/2023,9.4
21/12/2023,9.15
20/12/2023,9.0
19/12/2023,9.1
18/12/2023,9.01
15/12/2023,9.5
14/12/2023,9.4
13/12/2023,9.73
12/12/2023,9.35
11/12/2023,9.4
08/12/2023,9.3
07/12/2023,9.29
06/12/2023,9.3
05/12/2023,9.48
04/12/2023,9.46
01/12/2023,8.95
30/11/2023,9.1
29/11/2023,9.2
28/11/2023,9.1
27/11/2023,9.2
24/11/2023,9.1
23/11/2023,9.0
22/11/2023,9.45
21/11/2023,9.97
20/11/2023,9.98
17/11/2023,10.0
16/11/2023,9.46
15/11/2023,10.05
14/11/2023,10.1
13/11/2023,10.15
10/11/2023,10.3
09/11/2023,10.45
08/11/2023,10.2
07/11/2023,10.1
06/11/2023,10.1
03/11/2023,10.2
02/11/2023,10.15
01/11/2023,10.1
31/10/2023,10.15
30/10/2023,10.0
27/10/2023,10.0
26/10/2023,10.0
25/10/2023,10.3
24/10/2023,10.3
23/10/2023,10.35
20/10/2023,10.35
19/10/2023,10.2
18/10/2023,10.1
17/10/2023,10.35
16/10/2023,10.75
13/10/2023,10.75
12/10/2023,10.5
11/10/2023,10.5
10/10/2023,10.5
09/10/2023,10.8
06/10/2023,10.5
05/10/2023,10.55
04/10/2023,10.65
03/10/2023,10.3
02/10/2023,10.8
29/09/2023,10.95
28/09/2023,11.0
27/09/2023,10.8
26/09/2023,11.45
25/09/2023,11.5
22/09/2023,11.55
21/09/2023,11.65
20/09/2023,11.9
19/09/2023,11.6
18/09/2023,11.9
15/09/2023,12.0
14/09/2023,12.0
13/09/2023,12.0
12/09/2023,12.0
11/09/2023,11.9
08/09/2023,11.95
07/09/2023,12.1
06/09/2023,12.1
05/09/2023,12.0
31/08/2023,11.95
30/08/2023,11.9
29/08/2023,12.15
28/08/2023,12.25
25/08/2023,12.25
24/08/2023,12.0
