Ngay,GiaDongCua
29/12/2023,21.2
28/12/2023,20.3
27/12/2023,20.25
26/12/2023,20.3
25/12/2023,20.2
22/12/2023,20.25
21/12/2023,19.9
20/12/2023,19.75
19/12/2023,19.6
18/12/2023,19.45
15/12/2023,19.9
14/12/2023,19.85
13/12/2023,19.95
12/12/2023,20.35
11/12/2023,20.35
08/12/2023,20.05
07/12/2023,20.2
06/12/2023,20.8
05/12/2023,20.6
04/12/2023,20.6
01/12/2023,20.15
30/11/2023,20.0
29/11/2023,19.85
28/11/2023,19.6
27/11/2023,19.3
24/11/2023,19.55
23/11/2023,19.3
22/11/2023,20.15
21/11/2023,20.05
20/11/2023,20.0
17/11/2023,19.45
16/11/2023,19.7
15/11/2023,19.85
14/11/2023,19.7
13/11/2023,19.45
10/11/2023,19.35
09/11/2023,19.7
08/11/2023,19.7
07/11/2023,18.45
06/11/2023,18.5
03/11/2023,18.5
02/11/2023,18.5
01/11/2023,17.3
31/10/2023,16.9
30/10/2023,18.0
27/10/2023,19.3
26/10/2023,19.1
25/10/2023,20.5
24/10/2023,20.45
23/10/2023,19.75
20/10/2023,20.5
19/10/2023,20.0
18/10/2023,20.0
17/10/2023,20.2
16/10/2023,21.45
13/10/2023,21.4
12/10/2023,20.85
11/10/2023,20.7
10/10/2023,20.05
09/10/2023,20.4
06/10/2023,20.2
05/10/2023,19.8
04/10/2023,19.5
03/10/2023,19.0
02/10/2023,20.4
29/09/2023,19.5
28/09/2023,19.6
27/09/2023,19.85
26/09/2023,18.95
25/09/2023,20.35
22/09/2023,21.85
21/09/2023,23.2
20/09/2023,23.1
19/09/2023,22.3
18/09/2023,22.15
15/09/2023,22.6
14/09/2023,22.0
13/09/2023,22.3
12/09/2023,22.7
11/09/2023,21.75
08/09/2023,22.7
07/09/2023,22.4
06/09/2023,22.0
05/09/2023,22.0
31/08/2023,21.85
30/08/2023,20.7
29/08/2023,20.65
28/08/2023,20.2
25/08/2023,19.65
24/08/2023,19.8
23/08/2023,19.2
22/08/2023,19.05
21/08/2023,19.3
18/08/2023,19.85
17/08/2023,21.3
16/08/2023,21.35
15/08/2023,21.45
14/08/2023,21.55
11/08/2023,21.1
10/08/2023,21.45
09/08/2023,22.15
08/08/2023,22.6
07/08/2023,22.7
04/08/2023,21.9
03/08/2023,21.8
02/08/2023,21.9
01/08/2023,22.0
31/07/2023,22.35
28/07/2023,22.0
27/07/2023,21.7
26/07/2023,21.6
25/07/2023,21.8
24/07/2023,22.2
21/07/2023,22.0
20/07/2023,21.5
19/07/2023,21.7
18/07/2023,21.85
17/07/2023,22.0
14/07/2023,21.6
13/07/2023,21.65
12/07/2023,21.6
11/07/2023,21.5
10/07/2023,21.25
07/07/2023,21.25
06/07/2023,20.7
05/07/2023,20.1
04/07/2023,20.3
03/07/2023,20.15
30/06/2023,19.4
29/06/2023,19.05
28/06/2023,19.3
27/06/2023,19.6
26/06/2023,19.6
23/06/2023,19.0
22/06/2023,19.35
21/06/2023,19.5
20/06/2023,18.8
19/06/2023,17.9
16/06/2023,17.8
15/06/2023,18.05
14/06/2023,17.9
13/06/2023,18.4
12/06/2023,18.15
09/06/2023,18.05
08/06/2023,18.0
07/06/2023,18.55
06/06/2023,18.75
05/06/2023,18.35
02/06/2023,18.9
01/06/2023,18.8
31/05/2023,18.2
30/05/2023,18.4
29/05/2023,18.2
26/05/2023,17.2
25/05/2023,16.75
24/05/2023,16.1
23/05/2023,16.4
22/05/2023,16.5
19/05/2023,16.25
18/05/2023,15.85
17/05/2023,15.85
16/05/2023,16.0
15/05/2023,16.15
12/05/2023,16.8
11/05/2023,16.7
10/05/2023,16.85
09/05/2023,16.15
08/05/2023,16.2
05/05/2023,15.5
04/05/2023,15.7
28/04/2023,15.55
27/04/2023,15.45
26/04/2023,15.35
25/04/2023,15.1
24/04/2023,15.3
21/04/2023,15.1
20/04/2023,15.15
19/04/2023,15.05
18/04/2023,15.5
17/04/2023,15.4
14/04/2023,15.3
13/04/2023,15.95
12/04/2023,16.35
11/04/2023,16.25
10/04/2023,15.9
07/04/2023,15.9
06/04/2023,15.6
05/04/2023,16.2
04/04/2023,15.95
03/04/2023,15.95
31/03/2023,15.5
30/03/2023,14.7
29/03/2023,14.75
28/03/2023,14.8
27/03/2023,14.9
24/03/2023,14.8
23/03/2023,14.5
22/03/2023,14.5
21/03/2023,14.45
20/03/2023,14.35
17/03/2023,14.9
16/03/2023,14.85
15/03/2023,15.2
14/03/2023,14.3
13/03/2023,14.95
10/03/2023,15.0
09/03/2023,15.15
08/03/2023,14.5
07/03/2023,14.4
06/03/2023,14.2
03/03/2023,14.1
02/03/2023,14.25
01/03/2023,14.4
28/02/2023,13.95
27/02/2023,13.95
24/02/2023,14.3
23/02/2023,14.8
22/02/2023,14.55
21/02/2023,15.35
20/02/2023,15.45
17/02/2023,14.7
16/02/2023,14.75
15/02/2023,14.5
14/02/2023,14.15
13/02/2023,14.0
10/02/2023,14.65
09/02/2023,14.95
08/02/2023,14.75
07/02/2023,14.8
06/02/2023,15.6
03/02/2023,15.4
02/02/2023,15.25
01/02/2023,15.55
31/01/2023,16.7
30/01/2023,16.5
27/01/2023,16.85
19/01/2023,16.3
18/01/2023,16.0
17/01/2023,15.75
16/01/2023,15.2
13/01/2023,14.55
12/01/2023,14.8
11/01/2023,14.5
10/01/2023,14.4
09/01/2023,14.4
06/01/2023,14.4
05/01/2023,14.9
04/01/2023,14.85
03/01/2023,14.6
30/12/2022,13.8
29/12/2022,13.8
28/12/2022,14.2
27/12/2022,14.25
26/12/2022,13.35
23/12/2022,14.35
22/12/2022,14.5
21/12/2022,14.2
20/12/2022,14.3
19/12/2022,15.3
16/12/2022,15.8
15/12/2022,15.6
14/12/2022,15.5
13/12/2022,15.0
12/12/2022,14.8
09/12/2022,15.05
08/12/2022,14.7
07/12/2022,14.0
06/12/2022,14.55
05/12/2022,15.6
02/12/2022,15.5
01/12/2022,14.8
30/11/2022,14.2
29/11/2022,14.15
28/11/2022,14.1
25/11/2022,13.5
24/11/2022,13.0
23/11/2022,12.55
