Ngay,GiaDongCua
29/12/2023,13.2
28/12/2023,13.7
27/12/2023,13.85
26/12/2023,13.65
25/12/2023,13.75
22/12/2023,13.5
21/12/2023,13.35
20/12/2023,12.5
19/12/2023,12.4
18/12/2023,13.3
15/12/2023,13.05
14/12/2023,13.45
13/12/2023,13.55
12/12/2023,13.1
11/12/2023,13.0
08/12/2023,12.15
07/12/2023,12.4
06/12/2023,12.6
05/12/2023,11.9
04/12/2023,12.2
01/12/2023,11.8
30/11/2023,11.15
29/11/2023,11.25
28/11/2023,10.7
27/11/2023,10.6
24/11/2023,10.4
23/11/2023,9.8
22/11/2023,9.36
21/11/2023,9.26
20/11/2023,9.4
17/11/2023,9.12
16/11/2023,9.0
15/11/2023,8.98
14/11/2023,8.9
13/11/2023,9.0
10/11/2023,8.7
09/11/2023,8.5
08/11/2023,8.63
07/11/2023,8.38
06/11/2023,8.3
03/11/2023,8.2
02/11/2023,8.32
01/11/2023,8.16
31/10/2023,8.03
30/10/2023,8.33
27/10/2023,8.75
26/10/2023,8.69
25/10/2023,8.79
24/10/2023,8.72
23/10/2023,8.71
20/10/2023,8.15
19/10/2023,7.98
18/10/2023,7.7
17/10/2023,8.03
16/10/2023,8.33
13/10/2023,8.32
12/10/2023,8.22
11/10/2023,8.4
10/10/2023,8.43
09/10/2023,8.45
06/10/2023,8.2
05/10/2023,8.1
04/10/2023,7.72
03/10/2023,7.65
02/10/2023,7.9
29/09/2023,7.72
28/09/2023,7.8
27/09/2023,7.85
26/09/2023,7.51
25/09/2023,7.51
22/09/2023,8.07
21/09/2023,8.46
20/09/2023,8.5
19/09/2023,8.3
18/09/2023,8.44
15/09/2023,8.51
14/09/2023,8.5
13/09/2023,8.77
12/09/2023,8.97
11/09/2023,8.9
08/09/2023,9.19
07/09/2023,9.23
06/09/2023,9.14
05/09/2023,9.2
31/08/2023,9.18
30/08/2023,8.9
29/08/2023,8.9
28/08/2023,9.04
25/08/2023,8.92
24/08/2023,9.29
23/08/2023,8.8
22/08/2023,8.99
21/08/2023,8.57
18/08/2023,8.47
17/08/2023,9.1
16/08/2023,9.2
15/08/2023,9.2
14/08/2023,9.2
11/08/2023,9.27
10/08/2023,9.21
09/08/2023,9.55
08/08/2023,9.81
07/08/2023,9.18
04/08/2023,9.15
03/08/2023,8.9
02/08/2023,9.1
01/08/2023,8.9
31/07/2023,8.88
28/07/2023,8.8
27/07/2023,8.54
26/07/2023,8.64
25/07/2023,8.67
24/07/2023,8.79
21/07/2023,8.65
20/07/2023,8.49
19/07/2023,8.5
18/07/2023,8.72
17/07/2023,8.68
