Ngay,GiaDongCua
29/12/2023,4.7
28/12/2023,4.57
27/12/2023,4.28
26/12/2023,4.0
25/12/2023,4.11
22/12/2023,4.1
21/12/2023,4.06
20/12/2023,4.18
19/12/2023,4.05
18/12/2023,3.87
15/12/2023,3.62
14/12/2023,3.88
13/12/2023,3.92
12/12/2023,3.93
11/12/2023,3.95
08/12/2023,3.91
07/12/2023,3.95
06/12/2023,3.99
05/12/2023,3.89
04/12/2023,3.95
01/12/2023,3.95
30/11/2023,3.97
29/11/2023,3.9
28/11/2023,3.89
27/11/2023,3.85
24/11/2023,3.85
23/11/2023,3.86
22/11/2023,3.79
21/11/2023,3.77
20/11/2023,3.76
17/11/2023,3.73
16/11/2023,3.7
15/11/2023,3.67
14/11/2023,3.66
13/11/2023,3.63
10/11/2023,3.61
09/11/2023,3.62
08/11/2023,3.59
07/11/2023,3.49
06/11/2023,3.54
03/11/2023,3.55
02/11/2023,3.58
01/11/2023,3.38
31/10/2023,3.35
30/10/2023,3.53
27/10/2023,3.61
26/10/2023,3.54
25/10/2023,3.75
24/10/2023,3.75
23/10/2023,3.75
20/10/2023,3.7
19/10/2023,3.66
18/10/2023,3.72
17/10/2023,3.79
16/10/2023,3.85
13/10/2023,3.91
12/10/2023,3.82
11/10/2023,3.79
10/10/2023,3.8
09/10/2023,3.81
06/10/2023,3.83
05/10/2023,3.8
04/10/2023,3.8
03/10/2023,3.74
02/10/2023,3.78
29/09/2023,3.8
28/09/2023,3.77
27/09/2023,3.79
26/09/2023,3.66
25/09/2023,3.7
22/09/2023,3.86
21/09/2023,3.98
20/09/2023,4.0
19/09/2023,3.91
18/09/2023,3.9
15/09/2023,3.97
14/09/2023,4.0
13/09/2023,4.07
12/09/2023,4.08
11/09/2023,4.09
08/09/2023,4.19
07/09/2023,4.15
06/09/2023,4.13
05/09/2023,4.16
31/08/2023,4.15
30/08/2023,4.1
29/08/2023,4.09
28/08/2023,4.06
25/08/2023,4.0
24/08/2023,4.07
23/08/2023,4.01
22/08/2023,4.05
21/08/2023,4.0
18/08/2023,3.98
17/08/2023,4.27
16/08/2023,4.38
15/08/2023,4.4
14/08/2023,4.38
11/08/2023,4.34
10/08/2023,4.4
09/08/2023,4.57
08/08/2023,4.5
07/08/2023,4.43
04/08/2023,4.4
03/08/2023,4.35
02/08/2023,4.4
01/08/2023,4.12
31/07/2023,4.18
28/07/2023,4.16
27/07/2023,4.06
26/07/2023,4.04
25/07/2023,4.1
24/07/2023,4.08
21/07/2023,3.99
20/07/2023,3.99
19/07/2023,3.98
18/07/2023,4.02
17/07/2023,4.01
14/07/2023,3.99
13/07/2023,3.98
12/07/2023,3.98
11/07/2023,4.0
10/07/2023,3.91
07/07/2023,3.85
06/07/2023,3.86
05/07/2023,3.93
04/07/2023,3.94
03/07/2023,3.88
30/06/2023,4.07
29/06/2023,4.16
28/06/2023,3.89
27/06/2023,3.85
26/06/2023,3.87
23/06/2023,3.88
22/06/2023,3.89
21/06/2023,3.88
20/06/2023,3.84
19/06/2023,3.85
16/06/2023,3.9
15/06/2023,3.95
14/06/2023,3.97
13/06/2023,4.04
12/06/2023,4.02
09/06/2023,3.97
08/06/2023,4.04
07/06/2023,4.0
06/06/2023,3.93
05/06/2023,3.91
02/06/2023,3.95
01/06/2023,4.03
31/05/2023,3.95
30/05/2023,3.85
29/05/2023,3.88
26/05/2023,3.81
25/05/2023,3.69
24/05/2023,3.74
23/05/2023,3.75
22/05/2023,3.73
19/05/2023,3.74
18/05/2023,3.82
17/05/2023,3.93
16/05/2023,3.91
15/05/2023,3.66
12/05/2023,3.69
11/05/2023,3.67
10/05/2023,3.65
09/05/2023,3.49
08/05/2023,3.54
05/05/2023,3.53
04/05/2023,3.5
28/04/2023,3.72
27/04/2023,4.0
26/04/2023,4.24
25/04/2023,4.23
24/04/2023,4.23
21/04/2023,4.25
20/04/2023,4.3
19/04/2023,4.25
18/04/2023,4.35
17/04/2023,4.4
14/04/2023,4.32
13/04/2023,4.38
12/04/2023,4.4
11/04/2023,4.48
10/04/2023,4.42
07/04/2023,4.41
06/04/2023,4.5
05/04/2023,4.56
04/04/2023,4.58
03/04/2023,4.41
31/03/2023,4.37
30/03/2023,4.37
29/03/2023,4.36
28/03/2023,4.38
27/03/2023,4.36
24/03/2023,4.34
23/03/2023,4.39
22/03/2023,4.32
21/03/2023,4.32
20/03/2023,4.32
17/03/2023,4.5
16/03/2023,4.31
15/03/2023,4.38
14/03/2023,4.3
13/03/2023,4.34
10/03/2023,4.28
09/03/2023,4.35
08/03/2023,4.26
07/03/2023,4.26
