Ngay,Symbol,GiaDongCua
29/12/2023,HRC,55.0
28/12/2023,HRC,55.0
27/12/2023,HRC,52.0
26/12/2023,HRC,52.0
25/12/2023,HRC,48.75
22/12/2023,HRC,48.75
21/12/2023,HRC,49.15
20/12/2023,HRC,51.9
19/12/2023,HRC,48.7
18/12/2023,HRC,48.7
15/12/2023,HRC,48.7
14/12/2023,HRC,48.7
13/12/2023,HRC,49.35
12/12/2023,HRC,52.0
11/12/2023,HRC,52.0
08/12/2023,HRC,52.0
07/12/2023,HRC,50.0
06/12/2023,HRC,49.1
05/12/2023,HRC,51.1
04/12/2023,HRC,54.9
01/12/2023,HRC,52.0
30/11/2023,HRC,49.15
29/11/2023,HRC,48.8
28/11/2023,HRC,48.8
27/11/2023,HRC,52.0
24/11/2023,HRC,49.45
23/11/2023,HRC,52.0
22/11/2023,HRC,49.5
21/11/2023,HRC,49.5
20/11/2023,HRC,52.7
17/11/2023,HRC,52.7
16/11/2023,HRC,52.7
15/11/2023,HRC,52.7
14/11/2023,HRC,49.5
13/11/2023,HRC,49.5
10/11/2023,HRC,52.7
09/11/2023,HRC,52.7
08/11/2023,HRC,49.65
07/11/2023,HRC,53.1
06/11/2023,HRC,51.0
03/11/2023,HRC,53.1
02/11/2023,HRC,50.1
01/11/2023,HRC,50.1
31/10/2023,HRC,52.9
30/10/2023,HRC,50.0
27/10/2023,HRC,52.9
26/10/2023,HRC,53.0
25/10/2023,HRC,53.0
24/10/2023,HRC,52.0
23/10/2023,HRC,51.0
20/10/2023,HRC,48.1
19/10/2023,HRC,51.2
18/10/2023,HRC,55.0
17/10/2023,HRC,55.0
16/10/2023,HRC,55.0
13/10/2023,HRC,55.0
12/10/2023,HRC,55.0
11/10/2023,HRC,55.0
10/10/2023,HRC,55.0
09/10/2023,HRC,55.0
06/10/2023,HRC,54.9
05/10/2023,HRC,54.9
04/10/2023,HRC,54.9
03/10/2023,HRC,54.9
02/10/2023,HRC,55.0
29/09/2023,HRC,53.0
28/09/2023,HRC,52.0
27/09/2023,HRC,52.0
26/09/2023,HRC,52.0
25/09/2023,HRC,48.75
22/09/2023,HRC,45.6
21/09/2023,HRC,48.55
20/09/2023,HRC,48.55
19/09/2023,HRC,49.3
18/09/2023,HRC,49.25
15/09/2023,HRC,49.25
14/09/2023,HRC,49.25
13/09/2023,HRC,50.6991
12/09/2023,HRC,51.0
11/09/2023,HRC,51.0
08/09/2023,HRC,49.9
07/09/2023,HRC,50.2
06/09/2023,HRC,53.8
05/09/2023,HRC,53.8
31/08/2023,HRC,52.7
30/08/2023,HRC,52.7
29/08/2023,HRC,52.9
28/08/2023,HRC,52.9
25/08/2023,HRC,51.5
24/08/2023,HRC,51.5
23/08/2023,HRC,53.0
22/08/2023,HRC,53.0
21/08/2023,HRC,53.0
18/08/2023,HRC,49.55
17/08/2023,HRC,49.6
16/08/2023,HRC,49.6
15/08/2023,HRC,52.9
14/08/2023,HRC,49.55
11/08/2023,HRC,50.0
10/08/2023,HRC,49.35
09/08/2023,HRC,50.4
08/08/2023,HRC,48.3
07/08/2023,HRC,50.0
04/08/2023,HRC,51.8
03/08/2023,HRC,49.1
02/08/2023,HRC,52.1
01/08/2023,HRC,49.1
31/07/2023,HRC,51.0
28/07/2023,HRC,51.9
27/07/2023,HRC,51.9
26/07/2023,HRC,52.5
25/07/2023,HRC,54.0
24/07/2023,HRC,52.5
21/07/2023,HRC,54.0
20/07/2023,HRC,54.0
19/07/2023,HRC,54.0
18/07/2023,HRC,54.0
17/07/2023,HRC,54.0
14/07/2023,HRC,50.9
13/07/2023,HRC,47.6
12/07/2023,HRC,51.0
11/07/2023,HRC,51.0
10/07/2023,HRC,51.0
07/07/2023,HRC,51.0
06/07/2023,HRC,51.0
05/07/2023,HRC,51.0
04/07/2023,HRC,51.0
03/07/2023,HRC,51.0
30/06/2023,HRC,51.0
29/06/2023,HRC,51.0
28/06/2023,HRC,51.0
27/06/2023,HRC,54.7
26/06/2023,HRC,54.7
23/06/2023,HRC,54.7
22/06/2023,HRC,53.5
21/06/2023,HRC,52.5
20/06/2023,HRC,51.5
19/06/2023,HRC,51.2
16/06/2023,HRC,55.0
15/06/2023,HRC,55.0
14/06/2023,HRC,55.0
13/06/2023,HRC,55.0
12/06/2023,HRC,53.9
09/06/2023,HRC,53.9
08/06/2023,HRC,52.0
07/06/2023,HRC,51.2
06/06/2023,HRC,51.2
05/06/2023,HRC,54.9
02/06/2023,HRC,54.9
01/06/2023,HRC,52.0
31/05/2023,HRC,54.8
30/05/2023,HRC,52.0
29/05/2023,HRC,51.3
26/05/2023,HRC,51.3
25/05/2023,HRC,53.9
24/05/2023,HRC,52.0
23/05/2023,HRC,53.6
22/05/2023,HRC,53.7
19/05/2023,HRC,53.9
18/05/2023,HRC,52.5
17/05/2023,HRC,55.0
16/05/2023,HRC,55.0
15/05/2023,HRC,55.0
12/05/2023,HRC,55.0
11/05/2023,HRC,54.0
10/05/2023,HRC,55.0
09/05/2023,HRC,55.0
08/05/2023,HRC,55.0
05/05/2023,HRC,55.0
04/05/2023,HRC,54.3
28/04/2023,HRC,54.3
27/04/2023,HRC,54.3
26/04/2023,HRC,55.0
25/04/2023,HRC,55.0
24/04/2023,HRC,55.0
21/04/2023,HRC,55.0
20/04/2023,HRC,54.0
19/04/2023,HRC,51.5
18/04/2023,HRC,55.0
17/04/2023,HRC,55.0
14/04/2023,HRC,53.1
13/04/2023,HRC,49.7
12/04/2023,HRC,53.0
11/04/2023,HRC,52.2
10/04/2023,HRC,52.2
07/04/2023,HRC,48.8
06/04/2023,HRC,51.2
05/04/2023,HRC,53.0
04/04/2023,HRC,54.5
03/04/2023,HRC,54.5
31/03/2023,HRC,53.1
30/03/2023,HRC,53.0
29/03/2023,HRC,55.0
28/03/2023,HRC,55.0
27/03/2023,HRC,53.0
24/03/2023,HRC,56.0
23/03/2023,HRC,56.0
22/03/2023,HRC,52.7
21/03/2023,HRC,56.5
20/03/2023,HRC,53.0
17/03/2023,HRC,54.0
16/03/2023,HRC,58.0
15/03/2023,HRC,54.6
14/03/2023,HRC,58.5
13/03/2023,HRC,58.5
10/03/2023,HRC,62.0
09/03/2023,HRC,58.9
08/03/2023,HRC,55.7
07/03/2023,HRC,52.1
06/03/2023,HRC,56.0
03/03/2023,HRC,59.0
02/03/2023,HRC,55.9
01/03/2023,HRC,55.9
28/02/2023,HRC,60.0
27/02/2023,HRC,60.1
24/02/2023,HRC,57.0
23/02/2023,HRC,53.3
22/02/2023,HRC,53.4
21/02/2023,HRC,53.0
20/02/2023,HRC,50.0
17/02/2023,HRC,52.0
16/02/2023,HRC,53.3
15/02/2023,HRC,54.0
14/02/2023,HRC,54.0
13/02/2023,HRC,54.0
10/02/2023,HRC,54.0
09/02/2023,HRC,54.0
08/02/2023,HRC,54.0
07/02/2023,HRC,54.0
06/02/2023,HRC,55.0
03/02/2023,HRC,55.0
02/02/2023,HRC,55.0
01/02/2023,HRC,55.0
