Ngay,GiaDongCua
29/12/2023,11.05
28/12/2023,11.1
27/12/2023,11.1
26/12/2023,11.05
25/12/2023,11.1
22/12/2023,11.0
21/12/2023,10.95
20/12/2023,11.1
19/12/2023,10.9
18/12/2023,10.9
15/12/2023,10.9
14/12/2023,11.1
13/12/2023,11.2
12/12/2023,11.5
11/12/2023,11.6
08/12/2023,11.5
07/12/2023,11.5
06/12/2023,12.0
05/12/2023,11.85
04/12/2023,12.0
01/12/2023,11.65
30/11/2023,11.1
29/11/2023,11.3
28/11/2023,11.2
27/11/2023,11.15
24/11/2023,11.25
23/11/2023,11.3
22/11/2023,11.65
21/11/2023,11.3
20/11/2023,11.3
17/11/2023,11.35
16/11/2023,11.55
15/11/2023,11.6
14/11/2023,11.7
13/11/2023,11.3
10/11/2023,11.5
09/11/2023,11.75
08/11/2023,11.75
07/11/2023,11.2
06/11/2023,11.2
03/11/2023,10.9
02/11/2023,10.65
01/11/2023,10.0
31/10/2023,9.68
30/10/2023,10.4
27/10/2023,11.0
26/10/2023,11.0
25/10/2023,11.8
24/10/2023,11.45
23/10/2023,11.4
20/10/2023,11.45
19/10/2023,11.4
18/10/2023,11.15
17/10/2023,11.8
16/10/2023,12.3
13/10/2023,12.2
12/10/2023,12.3
11/10/2023,12.15
10/10/2023,12.15
09/10/2023,11.9
06/10/2023,11.9
05/10/2023,11.55
04/10/2023,12.0
03/10/2023,11.6
02/10/2023,12.45
29/09/2023,12.25
28/09/2023,12.05
27/09/2023,12.0
26/09/2023,11.7
25/09/2023,11.85
22/09/2023,12.7
21/09/2023,13.5
20/09/2023,13.9
19/09/2023,13.95
18/09/2023,13.8
15/09/2023,13.3
14/09/2023,13.1
13/09/2023,13.35
12/09/2023,13.4
11/09/2023,13.25
08/09/2023,13.75
07/09/2023,13.55
06/09/2023,13.7
05/09/2023,13.4
31/08/2023,13.35
30/08/2023,13.35
29/08/2023,13.45
28/08/2023,12.95
25/08/2023,13.0
24/08/2023,12.35
23/08/2023,11.55
22/08/2023,11.65
21/08/2023,11.65
18/08/2023,12.25
17/08/2023,13.15
16/08/2023,13.35
15/08/2023,13.5
14/08/2023,13.45
11/08/2023,13.3
10/08/2023,13.5
09/08/2023,13.95
08/08/2023,13.75
07/08/2023,13.15
04/08/2023,13.15
03/08/2023,13.1
02/08/2023,13.3
01/08/2023,13.0
31/07/2023,13.3
28/07/2023,14.3
27/07/2023,14.65
26/07/2023,14.3
25/07/2023,14.3
24/07/2023,14.75
21/07/2023,14.5
20/07/2023,14.0
19/07/2023,13.7
18/07/2023,13.65
17/07/2023,13.9
14/07/2023,13.55
13/07/2023,13.65
12/07/2023,13.55
11/07/2023,12.7
10/07/2023,12.75
07/07/2023,12.4
06/07/2023,12.3
05/07/2023,12.65
04/07/2023,12.5
03/07/2023,12.2
30/06/2023,11.9
29/06/2023,12.2
28/06/2023,12.5
27/06/2023,12.6
26/06/2023,12.45
23/06/2023,12.6
22/06/2023,12.85
21/06/2023,12.95
20/06/2023,13.1
19/06/2023,12.7
16/06/2023,12.45
15/06/2023,12.6
14/06/2023,12.3
13/06/2023,12.6
12/06/2023,13.15
09/06/2023,12.9
08/06/2023,12.1
07/06/2023,12.4
06/06/2023,12.3
05/06/2023,12.1
02/06/2023,12.3
01/06/2023,12.7
31/05/2023,12.55
30/05/2023,11.75
29/05/2023,11.6
26/05/2023,11.35
25/05/2023,11.75
24/05/2023,11.7
23/05/2023,12.05
22/05/2023,11.75
19/05/2023,11.5
18/05/2023,11.4
17/05/2023,11.9
16/05/2023,11.2
15/05/2023,11.6
12/05/2023,11.65
11/05/2023,11.75
10/05/2023,11.95
09/05/2023,11.75
08/05/2023,12.15
05/05/2023,11.4
04/05/2023,10.7
28/04/2023,11.3
27/04/2023,11.1
26/04/2023,11.5
25/04/2023,11.5
24/04/2023,10.75
21/04/2023,10.05
20/04/2023,9.4
19/04/2023,9.17
18/04/2023,9.09
17/04/2023,8.5
14/04/2023,8.44
13/04/2023,8.36
12/04/2023,8.7
11/04/2023,8.61
10/04/2023,8.61
07/04/2023,8.05
06/04/2023,7.71
05/04/2023,7.58
04/04/2023,7.52
03/04/2023,7.33
31/03/2023,7.28
30/03/2023,7.11
29/03/2023,7.1
28/03/2023,7.04
27/03/2023,6.99
24/03/2023,6.95
23/03/2023,6.95
22/03/2023,6.97
21/03/2023,6.95
20/03/2023,7.01
17/03/2023,7.14
16/03/2023,7.11
