Ngay,GiaDongCua
29/12/2023,15.4
28/12/2023,15.7
27/12/2023,15.7
26/12/2023,15.15
25/12/2023,15.1
22/12/2023,15.1
21/12/2023,15.1
20/12/2023,15.2
19/12/2023,15.2
18/12/2023,15.1
15/12/2023,15.1
14/12/2023,15.25
13/12/2023,15.35
12/12/2023,15.4
11/12/2023,15.45
08/12/2023,15.35
07/12/2023,15.3
06/12/2023,15.5
05/12/2023,15.5
04/12/2023,15.65
01/12/2023,14.65
30/11/2023,14.7
29/11/2023,14.7
28/11/2023,14.4
27/11/2023,14.4
24/11/2023,14.4
23/11/2023,14.5
22/11/2023,14.75
21/11/2023,14.25
20/11/2023,14.2
17/11/2023,14.3
16/11/2023,14.5
15/11/2023,14.4
14/11/2023,14.3
13/11/2023,14.45
10/11/2023,14.65
09/11/2023,14.7
08/11/2023,15.05
07/11/2023,14.6
06/11/2023,14.6
03/11/2023,14.9
02/11/2023,14.65
01/11/2023,14.45
31/10/2023,14.3
30/10/2023,14.4
27/10/2023,14.5
26/10/2023,14.45
25/10/2023,14.9
24/10/2023,14.65
23/10/2023,14.6
20/10/2023,15.0
19/10/2023,15.0
18/10/2023,15.05
17/10/2023,15.05
16/10/2023,15.65
13/10/2023,15.9
12/10/2023,15.85
11/10/2023,15.9
10/10/2023,15.95
09/10/2023,16.25
06/10/2023,16.3
05/10/2023,16.1
04/10/2023,15.55
03/10/2023,15.5
02/10/2023,15.95
29/09/2023,16.0
28/09/2023,16.1
27/09/2023,15.8
26/09/2023,15.95
25/09/2023,16.0
22/09/2023,16.5
21/09/2023,16.5
20/09/2023,16.65
19/09/2023,16.4
18/09/2023,16.5
15/09/2023,16.6
14/09/2023,16.6
13/09/2023,16.45
12/09/2023,16.9
11/09/2023,16.45
08/09/2023,17.2
07/09/2023,17.2
06/09/2023,17.15
05/09/2023,17.3
31/08/2023,17.55
30/08/2023,16.6
29/08/2023,16.75
28/08/2023,16.55
25/08/2023,16.65
24/08/2023,17.0
23/08/2023,16.45
22/08/2023,15.95
21/08/2023,15.9
18/08/2023,15.65
17/08/2023,16.05
16/08/2023,16.35
15/08/2023,16.45
14/08/2023,16.15
11/08/2023,15.9
10/08/2023,16.8
09/08/2023,16.35
08/08/2023,15.3
07/08/2023,14.9
04/08/2023,14.6
03/08/2023,14.65
02/08/2023,14.75
01/08/2023,14.45
31/07/2023,14.5
28/07/2023,14.4
27/07/2023,14.45
26/07/2023,14.55
25/07/2023,14.55
24/07/2023,14.55
21/07/2023,14.0
20/07/2023,13.9
19/07/2023,13.8
18/07/2023,13.8
17/07/2023,13.65
14/07/2023,13.7
13/07/2023,13.7
12/07/2023,13.6
11/07/2023,13.6
10/07/2023,13.95
07/07/2023,14.05
06/07/2023,14.1
05/07/2023,14.0
04/07/2023,14.1
03/07/2023,14.0
30/06/2023,13.95
29/06/2023,13.85
28/06/2023,13.85
27/06/2023,14.1
26/06/2023,13.8
23/06/2023,14.1
22/06/2023,14.1
21/06/2023,14.1
20/06/2023,13.85
19/06/2023,13.8
16/06/2023,13.4
15/06/2023,13.4
14/06/2023,13.45
13/06/2023,13.5
12/06/2023,13.5
09/06/2023,13.2
08/06/2023,13.6
07/06/2023,13.75
06/06/2023,13.6
05/06/2023,13.6
02/06/2023,13.7
01/06/2023,13.65
31/05/2023,13.85
30/05/2023,13.5
29/05/2023,13.2
26/05/2023,12.75
25/05/2023,12.65
24/05/2023,12.7
23/05/2023,12.4
22/05/2023,12.4
19/05/2023,12.35
18/05/2023,12.4
17/05/2023,12.2
16/05/2023,12.25
15/05/2023,12.3
12/05/2023,12.45
11/05/2023,12.35
10/05/2023,12.25
09/05/2023,12.6
08/05/2023,12.35
05/05/2023,12.3
04/05/2023,12.3
28/04/2023,12.35
27/04/2023,12.3
26/04/2023,12.15
25/04/2023,12.1
24/04/2023,12.3
21/04/2023,11.5
20/04/2023,11.15
19/04/2023,11.1
18/04/2023,11.1
17/04/2023,11.1
14/04/2023,11.1
13/04/2023,11.15
12/04/2023,11.25
11/04/2023,11.25
10/04/2023,11.05
07/04/2023,11.25
06/04/2023,11.2
05/04/2023,10.6
04/04/2023,10.55
03/04/2023,10.15
31/03/2023,10.15
30/03/2023,10.15
29/03/2023,10.15
28/03/2023,10.0
27/03/2023,10.0
24/03/2023,10.0
23/03/2023,10.15
22/03/2023,10.15
21/03/2023,10.1
20/03/2023,10.15
17/03/2023,10.3
16/03/2023,10.45
15/03/2023,10.45
14/03/2023,10.25
13/03/2023,10.4
10/03/2023,10.35
09/03/2023,10.5
08/03/2023,10.45
07/03/2023,10.4
06/03/2023,10.4
03/03/2023,10.4
02/03/2023,10.4
01/03/2023,10.45
28/02/2023,10.25
27/02/2023,10.3
24/02/2023,10.55
23/02/2023,10.5
22/02/2023,10.5
21/02/2023,10.5
20/02/2023,10.7
17/02/2023,10.5
16/02/2023,10.6
15/02/2023,10.5
14/02/2023,10.5
13/02/2023,10.3
10/02/2023,10.7
09/02/2023,10.9
08/02/2023,10.75
07/02/2023,10.5
06/02/2023,10.4
03/02/2023,10.5
02/02/2023,10.45
01/02/2023,10.45
31/01/2023,10.7
30/01/2023,10.7
27/01/2023,10.9
19/01/2023,10.8
18/01/2023,10.75
17/01/2023,10.45
16/01/2023,10.4
13/01/2023,10.4
12/01/2023,10.1
11/01/2023,10.25
10/01/2023,10.25
09/01/2023,10.3
06/01/2023,10.05
05/01/2023,10.1
04/01/2023,10.1
03/01/2023,10.1
30/12/2022,9.5
29/12/2022,9.55
28/12/2022,9.4
27/12/2022,9.45
26/12/2022,9.2
23/12/2022,9.89
22/12/2022,9.93
21/12/2022,9.78
20/12/2022,9.97
19/12/2022,10.3
16/12/2022,10.3
15/12/2022,9.63
14/12/2022,9.0
13/12/2022,8.9
12/12/2022,8.83
09/12/2022,8.72
08/12/2022,8.9
07/12/2022,8.8
06/12/2022,9.02
05/12/2022,9.2
02/12/2022,9.35
01/12/2022,9.29
30/11/2022,9.2
29/11/2022,9.0
28/11/2022,8.74
25/11/2022,8.22
24/11/2022,7.99
23/11/2022,7.9
22/11/2022,8.18
21/11/2022,8.34
18/11/2022,7.99
17/11/2022,7.72
16/11/2022,7.45
15/11/2022,6.97
14/11/2022,7.49
11/11/2022,8.05
10/11/2022,8.09
09/11/2022,8.69
08/11/2022,8.5
07/11/2022,8.5
04/11/2022,8.97
03/11/2022,8.88
02/11/2022,9.12
01/11/2022,9.3
31/10/2022,9.68
28/10/2022,9.67
27/10/2022,9.64
26/10/2022,9.6
25/10/2022,9.6
24/10/2022,9.92
21/10/2022,9.97
20/10/2022,10.7
19/10/2022,10.85
18/10/2022,11.0
17/10/2022,10.7
14/10/2022,10.75
13/10/2022,10.65
12/10/2022,10.55
11/10/2022,10.5
10/10/2022,10.95
07/10/2022,10.8
06/10/2022,11.55
05/10/2022,11.55
04/10/2022,11.4
03/10/2022,11.35
30/09/2022,12.2
29/09/2022,11.85
28/09/2022,11.8
27/09/2022,11.75
26/09/2022,11.9
23/09/2022,12.4
22/09/2022,12.3
21/09/2022,12.0
20/09/2022,12.0
19/09/2022,12.1
16/09/2022,12.4
15/09/2022,12.7
14/09/2022,12.8
13/09/2022,12.9
12/09/2022,12.6
09/09/2022,12.55
08/09/2022,12.5
07/09/2022,12.3
06/09/2022,13.15
05/09/2022,13.05
31/08/2022,13.1
30/08/2022,13.05
29/08/2022,12.9
26/08/2022,13.45
25/08/2022,13.55
24/08/2022,13.65
23/08/2022,13.1
22/08/2022,12.95
19/08/2022,12.95
18/08/2022,12.9
17/08/2022,13.0
16/08/2022,13.1
15/08/2022,13.3
12/08/2022,13.35
11/08/2022,13.5
10/08/2022,12.8
09/08/2022,12.8
08/08/2022,12.65
05/08/2022,12.4
04/08/2022,12.35
03/08/2022,12.55
02/08/2022,12.6
01/08/2022,12.0
29/07/2022,11.8
28/07/2022,11.8
27/07/2022,11.5
26/07/2022,11.75
25/07/2022,11.85
22/07/2022,11.9
21/07/2022,12.0
20/07/2022,12.3
19/07/2022,12.2
18/07/2022,12.3
15/07/2022,11.95
14/07/2022,11.85
13/07/2022,11.9
12/07/2022,11.45
11/07/2022,11.1
08/07/2022,11.0
07/07/2022,11.0
06/07/2022,11.0
05/07/2022,11.6
04/07/2022,11.65
01/07/2022,11.35
30/06/2022,11.4
29/06/2022,11.6
28/06/2022,11.4
27/06/2022,11.3
24/06/2022,10.95
23/06/2022,11.3
22/06/2022,10.65
21/06/2022,9.98
20/06/2022,10.7
17/06/2022,11.5
16/06/2022,12.35
15/06/2022,12.3
14/06/2022,13.0
13/06/2022,13.45
10/06/2022,14.2
09/06/2022,14.9
08/06/2022,14.95
07/06/2022,14.4
06/06/2022,14.15
03/06/2022,14.55
02/06/2022,14.6
01/06/2022,14.6
31/05/2022,14.95
30/05/2022,15.5
27/05/2022,15.6
26/05/2022,15.15
25/05/2022,14.2
24/05/2022,13.85
23/05/2022,14.0
20/05/2022,14.25
19/05/2022,14.25
18/05/2022,14.3
17/05/2022,14.0
16/05/2022,13.5
13/05/2022,13.3
12/05/2022,14.25
11/05/2022,15.3
10/05/2022,14.75
09/05/2022,15.65
06/05/2022,16.8
05/05/2022,17.7
04/05/2022,18.0
29/04/2022,19.05
28/04/2022,18.75
27/04/2022,19.0
26/04/2022,19.0
25/04/2022,18.25
22/04/2022,19.6
21/04/2022,19.25
20/04/2022,18.7
19/04/2022,18.65
18/04/2022,19.75
15/04/2022,20.8
14/04/2022,21.3
13/04/2022,21.85
12/04/2022,21.75
08/04/2022,23.35
07/04/2022,24.15
06/04/2022,24.6
05/04/2022,24.2
04/04/2022,23.35
01/04/2022,23.3
31/03/2022,23.0
30/03/2022,23.6
29/03/2022,22.95
28/03/2022,21.95
25/03/2022,22.3
24/03/2022,22.7
23/03/2022,22.0
22/03/2022,21.2
21/03/2022,21.05
18/03/2022,21.0
17/03/2022,21.2
16/03/2022,21.0
15/03/2022,20.9
14/03/2022,21.2
11/03/2022,21.8
10/03/2022,22.3
09/03/2022,22.0
08/03/2022,22.25
07/03/2022,22.45
04/03/2022,22.55
03/03/2022,22.5
02/03/2022,22.2
01/03/2022,22.8
28/02/2022,23.4
25/02/2022,23.3
24/02/2022,22.55
23/02/2022,22.2
22/02/2022,22.1
21/02/2022,22.35
18/02/2022,22.35
17/02/2022,22.9
16/02/2022,22.45
15/02/2022,22.7
14/02/2022,23.3
11/02/2022,22.0
10/02/2022,20.6
09/02/2022,20.15
08/02/2022,20.2
07/02/2022,20.1
28/01/2022,19.0
27/01/2022,18.7
26/01/2022,19.0
25/01/2022,19.35
24/01/2022,19.95
21/01/2022,21.35
20/01/2022,21.2
19/01/2022,20.85
18/01/2022,21.05
17/01/2022,21.25
14/01/2022,21.4
13/01/2022,21.6
12/01/2022,22.2
11/01/2022,23.0
10/01/2022,23.2
07/01/2022,23.7
06/01/2022,24.0
05/01/2022,24.3
04/01/2022,24.25
31/12/2021,24.3
30/12/2021,24.65
29/12/2021,24.6
28/12/2021,23.8
27/12/2021,23.95
24/12/2021,24.0
23/12/2021,24.05
22/12/2021,24.0
21/12/2021,24.55
20/12/2021,24.65
17/12/2021,25.15
16/12/2021,25.45
15/12/2021,25.8
14/12/2021,25.75
13/12/2021,25.1
10/12/2021,25.05
09/12/2021,25.05
08/12/2021,24.5
07/12/2021,24.55
06/12/2021,24.2
03/12/2021,26.0
02/12/2021,27.2
01/12/2021,27.25
30/11/2021,27.15
29/11/2021,27.15
26/11/2021,27.6
25/11/2021,28.3
24/11/2021,27.3
23/11/2021,27.2
22/11/2021,26.85
19/11/2021,27.15
18/11/2021,27.4
17/11/2021,28.0
16/11/2021,28.35
15/11/2021,28.65
12/11/2021,28.6
11/11/2021,28.4
10/11/2021,29.0
09/11/2021,28.75
08/11/2021,29.35
05/11/2021,27.75
04/11/2021,26.8
03/11/2021,26.8
02/11/2021,27.5
01/11/2021,27.55
29/10/2021,27.0
28/10/2021,28.4
27/10/2021,28.55
26/10/2021,29.0
25/10/2021,29.0
22/10/2021,28.35
21/10/2021,29.2
20/10/2021,29.2
19/10/2021,29.6
18/10/2021,29.6
15/10/2021,29.0
14/10/2021,30.15
13/10/2021,30.15
12/10/2021,30.7
11/10/2021,30.75
08/10/2021,31.1
07/10/2021,31.5
06/10/2021,31.7
05/10/2021,31.0
04/10/2021,29.9
01/10/2021,30.0
30/09/2021,31.2
29/09/2021,31.4
28/09/2021,31.7
27/09/2021,31.7
24/09/2021,30.5
23/09/2021,30.2
22/09/2021,30.8
21/09/2021,30.95
20/09/2021,30.95
17/09/2021,31.2
16/09/2021,31.6
15/09/2021,31.4
14/09/2021,31.75
13/09/2021,31.5
10/09/2021,31.7
09/09/2021,32.4
08/09/2021,32.3
07/09/2021,32.0
06/09/2021,31.5
01/09/2021,32.4
31/08/2021,32.8
30/08/2021,33.0
27/08/2021,32.85
26/08/2021,32.7
25/08/2021,33.0
24/08/2021,31.8
23/08/2021,30.9
20/08/2021,32.5
19/08/2021,33.7
18/08/2021,34.0
17/08/2021,33.7
16/08/2021,33.95
13/08/2021,32.0
12/08/2021,31.65
11/08/2021,31.4
10/08/2021,31.2
09/08/2021,32.4
06/08/2021,32.8
05/08/2021,32.8
04/08/2021,32.4
03/08/2021,31.75
02/08/2021,32.0
30/07/2021,32.6
29/07/2021,32.15
28/07/2021,32.0
27/07/2021,31.5
26/07/2021,29.8
23/07/2021,28.8
22/07/2021,28.5
21/07/2021,27.5
20/07/2021,27.0
19/07/2021,27.4
16/07/2021,28.05
15/07/2021,28.4
14/07/2021,27.6
13/07/2021,27.9
12/07/2021,27.8
09/07/2021,28.1
08/07/2021,28.3
07/07/2021,28.3
06/07/2021,28.35
05/07/2021,28.5
02/07/2021,29.3
01/07/2021,29.35
30/06/2021,29.3
29/06/2021,29.1
28/06/2021,29.5
25/06/2021,29.6
24/06/2021,29.75
23/06/2021,29.95
22/06/2021,29.7
21/06/2021,28.8
18/06/2021,28.2
17/06/2021,28.6
16/06/2021,28.8
15/06/2021,28.9
14/06/2021,29.15
11/06/2021,29.4
10/06/2021,28.5
09/06/2021,28.5
08/06/2021,28.6
07/06/2021,29.0
04/06/2021,29.35
03/06/2021,29.5
02/06/2021,29.5
01/06/2021,29.5
31/05/2021,30.05
28/05/2021,30.6
27/05/2021,29.9
26/05/2021,29.25
25/05/2021,28.05
24/05/2021,27.6
21/05/2021,27.25
20/05/2021,27.3
19/05/2021,26.8
18/05/2021,25.1
17/05/2021,25.4
14/05/2021,25.4
13/05/2021,25.0
12/05/2021,24.55
11/05/2021,24.5
10/05/2021,24.3
07/05/2021,24.0
06/05/2021,23.8
05/05/2021,22.45
04/05/2021,21.0
29/04/2021,20.7
28/04/2021,20.55
27/04/2021,20.9
26/04/2021,20.8
23/04/2021,20.6
22/04/2021,21.3
20/04/2021,20.7
19/04/2021,20.7
16/04/2021,20.5
15/04/2021,21.3
14/04/2021,21.55
13/04/2021,21.4
12/04/2021,20.4
09/04/2021,20.4
08/04/2021,19.95
07/04/2021,20.1
06/04/2021,20.1
05/04/2021,20.05
02/04/2021,20.1
01/04/2021,20.1
31/03/2021,19.9
30/03/2021,20.0
29/03/2021,20.35
26/03/2021,20.5
25/03/2021,20.6
24/03/2021,20.7
23/03/2021,20.4
22/03/2021,20.6
19/03/2021,20.6
18/03/2021,21.0
17/03/2021,21.0
16/03/2021,21.35
15/03/2021,21.0
12/03/2021,21.3
11/03/2021,21.45
10/03/2021,21.6
09/03/2021,20.6
08/03/2021,21.7
05/03/2021,21.2
04/03/2021,21.6
03/03/2021,21.9
02/03/2021,21.3
01/03/2021,21.4
26/02/2021,21.9
25/02/2021,22.2
24/02/2021,22.5
23/02/2021,22.85
22/02/2021,22.85
19/02/2021,23.2
18/02/2021,22.45
17/02/2021,21.95
09/02/2021,21.95
08/02/2021,22.3
05/02/2021,23.2
04/02/2021,23.2
03/02/2021,22.4
02/02/2021,22.5
01/02/2021,21.3
29/01/2021,21.5
28/01/2021,20.95
27/01/2021,22.5
26/01/2021,23.75
25/01/2021,23.8
22/01/2021,23.3
21/01/2021,22.6
20/01/2021,22.6
19/01/2021,22.6
18/01/2021,23.85
15/01/2021,23.4
14/01/2021,22.7
13/01/2021,23.1
12/01/2021,23.0
11/01/2021,23.55
08/01/2021,23.9
07/01/2021,24.35
06/01/2021,24.3
05/01/2021,24.0
04/01/2021,23.6
31/12/2020,23.1
30/12/2020,22.85
29/12/2020,22.85
28/12/2020,23.0
25/12/2020,22.25
24/12/2020,20.8
23/12/2020,20.55
22/12/2020,20.1
21/12/2020,20.2
18/12/2020,20.0
17/12/2020,20.05
16/12/2020,20.5
15/12/2020,20.5
14/12/2020,20.8
11/12/2020,19.7
10/12/2020,20.0
09/12/2020,19.2
08/12/2020,18.0
07/12/2020,17.85
04/12/2020,17.85
03/12/2020,17.9
02/12/2020,18.05
01/12/2020,18.45
30/11/2020,18.45
27/11/2020,18.5
26/11/2020,18.95
25/11/2020,19.0
24/11/2020,19.2
23/11/2020,19.2
20/11/2020,19.9
19/11/2020,20.3
18/11/2020,21.1
17/11/2020,21.0
16/11/2020,21.0
13/11/2020,21.4
12/11/2020,21.65
11/11/2020,21.9
10/11/2020,21.9
09/11/2020,21.85
06/11/2020,21.8
05/11/2020,21.8
04/11/2020,21.95
03/11/2020,21.95
02/11/2020,21.9
30/10/2020,21.5
29/10/2020,20.7
28/10/2020,21.3
27/10/2020,21.8
26/10/2020,21.7
23/10/2020,21.7
22/10/2020,22.0
21/10/2020,22.2
20/10/2020,22.2
19/10/2020,22.25
16/10/2020,21.6
15/10/2020,21.15
14/10/2020,20.9
13/10/2020,20.9
12/10/2020,21.0
09/10/2020,21.1
08/10/2020,20.8
07/10/2020,21.3
06/10/2020,20.8
05/10/2020,20.9
02/10/2020,21.0
01/10/2020,21.0
30/09/2020,20.8
29/09/2020,20.9
28/09/2020,21.1
25/09/2020,21.6
24/09/2020,21.9
23/09/2020,22.0
22/09/2020,22.1
21/09/2020,22.1
18/09/2020,22.1
17/09/2020,22.35
16/09/2020,22.4
15/09/2020,22.3
14/09/2020,22.3
11/09/2020,21.8
10/09/2020,21.8
09/09/2020,22.1
08/09/2020,22.15
07/09/2020,22.15
04/09/2020,22.0
03/09/2020,22.3
01/09/2020,22.6
31/08/2020,22.6
28/08/2020,22.6
27/08/2020,22.7
26/08/2020,22.8
25/08/2020,23.0
24/08/2020,22.7
21/08/2020,22.9
20/08/2020,22.6
19/08/2020,22.5
18/08/2020,22.5
17/08/2020,23.0
14/08/2020,23.5
13/08/2020,23.7
12/08/2020,23.7
11/08/2020,23.85
10/08/2020,23.9
07/08/2020,23.5
06/08/2020,23.5
05/08/2020,23.5
04/08/2020,23.5
03/08/2020,23.5
31/07/2020,23.0
30/07/2020,23.0
29/07/2020,22.4
28/07/2020,22.0
27/07/2020,22.4
24/07/2020,22.4
23/07/2020,22.4
22/07/2020,22.4
21/07/2020,22.8
20/07/2020,23.0
17/07/2020,23.5
16/07/2020,23.7
15/07/2020,23.7
14/07/2020,23.7
13/07/2020,23.5
10/07/2020,23.5
09/07/2020,23.4
08/07/2020,23.6
07/07/2020,23.6
06/07/2020,23.9
03/07/2020,23.2
02/07/2020,23.85
01/07/2020,24.0
30/06/2020,23.7
29/06/2020,23.7
26/06/2020,23.7
25/06/2020,23.75
24/06/2020,23.9
23/06/2020,23.9
22/06/2020,24.0
19/06/2020,24.0
18/06/2020,24.0
17/06/2020,23.9
16/06/2020,24.0
15/06/2020,24.5
12/06/2020,24.0
11/06/2020,25.4
10/06/2020,27.3
09/06/2020,26.5
08/06/2020,25.65
05/06/2020,24.0
04/06/2020,24.5
03/06/2020,24.2
02/06/2020,24.1
01/06/2020,24.8
29/05/2020,24.9
28/05/2020,24.9
27/05/2020,25.1
26/05/2020,25.5
25/05/2020,25.2
22/05/2020,25.0
21/05/2020,26.0
20/05/2020,26.0
19/05/2020,26.3
18/05/2020,26.0
15/05/2020,25.5
14/05/2020,25.6
13/05/2020,25.5
12/05/2020,25.6
11/05/2020,25.5
08/05/2020,25.6
07/05/2020,25.9
06/05/2020,24.9
05/05/2020,24.4
04/05/2020,24.7
29/04/2020,25.5
28/04/2020,25.8
27/04/2020,26.3
24/04/2020,26.9
23/04/2020,26.8
22/04/2020,27.0
21/04/2020,26.4
20/04/2020,27.5
17/04/2020,27.05
16/04/2020,25.3
15/04/2020,24.9
14/04/2020,24.0
13/04/2020,24.0
10/04/2020,24.0
09/04/2020,23.85
08/04/2020,22.6
07/04/2020,22.9
06/04/2020,22.0
03/04/2020,23.0
01/04/2020,22.5
31/03/2020,22.5
30/03/2020,23.0
27/03/2020,23.5
26/03/2020,23.7
25/03/2020,24.0
24/03/2020,23.4
23/03/2020,23.9
20/03/2020,24.0
19/03/2020,24.1
18/03/2020,24.5
17/03/2020,24.0
16/03/2020,24.0
13/03/2020,24.2
12/03/2020,24.5
11/03/2020,24.9
10/03/2020,25.0
09/03/2020,25.0
06/03/2020,25.5
05/03/2020,26.0
04/03/2020,26.1
03/03/2020,25.9
02/03/2020,25.5
28/02/2020,25.0
27/02/2020,25.0
26/02/2020,24.3
25/02/2020,24.0
24/02/2020,24.0
21/02/2020,24.0
20/02/2020,24.0
19/02/2020,24.0
18/02/2020,24.1
17/02/2020,24.3
14/02/2020,24.25
13/02/2020,24.35
12/02/2020,23.95
11/02/2020,23.85
10/02/2020,23.85
07/02/2020,23.95
06/02/2020,24.0
05/02/2020,24.0
04/02/2020,23.8
03/02/2020,24.45
31/01/2020,25.5
30/01/2020,25.8
22/01/2020,25.9
21/01/2020,25.9
20/01/2020,25.9
17/01/2020,25.55
16/01/2020,25.8
15/01/2020,26.2
14/01/2020,25.8
13/01/2020,25.85
10/01/2020,25.85
09/01/2020,25.95
08/01/2020,26.0
07/01/2020,25.6
06/01/2020,26.0
03/01/2020,26.2
02/01/2020,26.1
31/12/2019,25.8
30/12/2019,25.6
27/12/2019,26.0
26/12/2019,25.5
25/12/2019,26.3
24/12/2019,26.35
23/12/2019,26.5
20/12/2019,26.35
19/12/2019,24.7
18/12/2019,24.4
17/12/2019,24.6
16/12/2019,24.8
13/12/2019,24.0
12/12/2019,23.7
11/12/2019,23.5
10/12/2019,23.8
09/12/2019,23.8
06/12/2019,23.0
05/12/2019,22.75
04/12/2019,22.8
03/12/2019,22.8
02/12/2019,22.7
29/11/2019,21.6
28/11/2019,21.5
27/11/2019,21.4
26/11/2019,21.4
25/11/2019,21.5
22/11/2019,21.5
21/11/2019,21.6
20/11/2019,21.6
19/11/2019,21.6
18/11/2019,21.8
15/11/2019,21.8
14/11/2019,21.8
13/11/2019,21.8
12/11/2019,21.8
11/11/2019,21.5
08/11/2019,21.85
07/11/2019,22.0
06/11/2019,22.0
05/11/2019,22.0
04/11/2019,22.0
01/11/2019,22.1
31/10/2019,22.0
30/10/2019,22.0
29/10/2019,21.7
28/10/2019,22.0
25/10/2019,22.0
24/10/2019,22.0
23/10/2019,22.0
22/10/2019,22.5
21/10/2019,22.5
18/10/2019,22.45
17/10/2019,22.3
16/10/2019,21.55
15/10/2019,21.85
14/10/2019,21.9
11/10/2019,21.8
10/10/2019,21.8
09/10/2019,21.9
08/10/2019,21.95
07/10/2019,22.0
04/10/2019,22.1
03/10/2019,22.0
02/10/2019,22.0
01/10/2019,22.2
30/09/2019,22.1
27/09/2019,21.8
26/09/2019,21.7
25/09/2019,21.4
24/09/2019,21.5
23/09/2019,21.2
20/09/2019,21.4
19/09/2019,21.9
18/09/2019,22.1
17/09/2019,22.8
16/09/2019,22.0
13/09/2019,22.2
12/09/2019,23.8
11/09/2019,23.05
10/09/2019,21.55
09/09/2019,20.15
06/09/2019,20.05
05/09/2019,20.0
04/09/2019,20.0
03/09/2019,19.7
30/08/2019,20.3
29/08/2019,19.8
28/08/2019,19.6
27/08/2019,19.9
26/08/2019,20.0
23/08/2019,20.3
22/08/2019,19.4
21/08/2019,19.1
20/08/2019,19.4
19/08/2019,19.4
16/08/2019,19.5
15/08/2019,19.5
14/08/2019,18.9
13/08/2019,19.4
12/08/2019,19.5
09/08/2019,19.7
08/08/2019,19.7
07/08/2019,19.8
06/08/2019,19.7
05/08/2019,19.4
02/08/2019,20.2
01/08/2019,20.4
31/07/2019,20.3
30/07/2019,19.6
29/07/2019,19.6
26/07/2019,19.75
25/07/2019,19.65
24/07/2019,19.3
23/07/2019,18.7
22/07/2019,18.7
19/07/2019,18.7
18/07/2019,18.7
17/07/2019,18.9
16/07/2019,19.0
15/07/2019,18.9
12/07/2019,18.5
11/07/2019,18.5
10/07/2019,18.9
09/07/2019,19.0
08/07/2019,19.1
05/07/2019,19.2
04/07/2019,19.3
03/07/2019,19.1
02/07/2019,19.6
01/07/2019,19.8
28/06/2019,19.1
27/06/2019,18.0
26/06/2019,18.1
25/06/2019,17.7
24/06/2019,17.8
21/06/2019,17.9
20/06/2019,17.4
19/06/2019,17.9
18/06/2019,17.6
17/06/2019,17.3
14/06/2019,17.4
13/06/2019,17.5
12/06/2019,17.0
11/06/2019,18.5
10/06/2019,18.3
07/06/2019,17.8
06/06/2019,17.8
05/06/2019,17.6
04/06/2019,17.8
03/06/2019,18.0
31/05/2019,18.0
30/05/2019,17.6
29/05/2019,17.2
28/05/2019,17.3
27/05/2019,17.0
24/05/2019,17.1
23/05/2019,17.1
22/05/2019,17.25
21/05/2019,17.3
20/05/2019,17.0
17/05/2019,16.2
16/05/2019,15.5
15/05/2019,15.15
14/05/2019,15.15
13/05/2019,15.05
10/05/2019,15.1
09/05/2019,15.15
08/05/2019,15.2
07/05/2019,15.15
06/05/2019,15.2
03/05/2019,15.3
02/05/2019,15.3
26/04/2019,15.2
25/04/2019,15.1
24/04/2019,15.2
23/04/2019,15.3
22/04/2019,15.0
19/04/2019,15.05
18/04/2019,15.0
17/04/2019,15.0
16/04/2019,15.1
12/04/2019,15.1
