Ngay,GiaDongCua
29/12/2023,68.1
28/12/2023,68.0
27/12/2023,68.2
26/12/2023,68.8
25/12/2023,69.5
22/12/2023,69.2
21/12/2023,69.0
20/12/2023,69.8
19/12/2023,69.0
18/12/2023,71.0
15/12/2023,70.3
14/12/2023,70.0
13/12/2023,69.6
12/12/2023,69.1
11/12/2023,70.7
08/12/2023,70.7
07/12/2023,70.7
06/12/2023,70.9
05/12/2023,71.0
04/12/2023,70.9
01/12/2023,69.6
30/11/2023,71.0
29/11/2023,71.0
28/11/2023,69.8
27/11/2023,69.8
24/11/2023,70.0
23/11/2023,71.3
22/11/2023,70.9
21/11/2023,70.6
20/11/2023,71.0
17/11/2023,70.6
16/11/2023,70.7
15/11/2023,71.0
14/11/2023,70.7
13/11/2023,70.8
10/11/2023,70.8
09/11/2023,70.0
08/11/2023,69.5
07/11/2023,69.9
06/11/2023,69.6
03/11/2023,69.6
02/11/2023,70.0
01/11/2023,68.1
31/10/2023,68.0
30/10/2023,69.0
27/10/2023,69.0
26/10/2023,70.0
25/10/2023,71.2
24/10/2023,71.3
23/10/2023,71.1
20/10/2023,71.1
19/10/2023,70.0
18/10/2023,71.2
17/10/2023,72.9
16/10/2023,72.7
13/10/2023,71.8
12/10/2023,72.0
11/10/2023,71.0
10/10/2023,71.5
09/10/2023,71.5
06/10/2023,70.5
05/10/2023,70.5
04/10/2023,70.5
03/10/2023,70.0
02/10/2023,71.0
29/09/2023,71.7
28/09/2023,71.8
27/09/2023,71.8
26/09/2023,72.5
25/09/2023,72.8
22/09/2023,73.0
21/09/2023,73.6
20/09/2023,74.2
19/09/2023,74.1
18/09/2023,74.1
15/09/2023,74.8
14/09/2023,74.8
13/09/2023,74.6
12/09/2023,74.5
11/09/2023,74.5
08/09/2023,74.5
07/09/2023,74.6
06/09/2023,74.3
05/09/2023,74.3
31/08/2023,74.3
30/08/2023,74.0
29/08/2023,74.1
28/08/2023,73.8
25/08/2023,73.7
24/08/2023,73.7
23/08/2023,72.0
22/08/2023,71.9
21/08/2023,71.6
18/08/2023,71.5
17/08/2023,75.5
16/08/2023,75.5
15/08/2023,76.0
14/08/2023,76.0
11/08/2023,76.0
10/08/2023,76.4
09/08/2023,76.0
08/08/2023,76.0
07/08/2023,76.9
04/08/2023,75.0
03/08/2023,75.0
02/08/2023,75.0
01/08/2023,73.8
31/07/2023,76.0
28/07/2023,74.9
27/07/2023,75.8
26/07/2023,79.0
25/07/2023,77.5
24/07/2023,74.9
21/07/2023,72.5
20/07/2023,73.0
19/07/2023,72.0
18/07/2023,72.0
17/07/2023,72.0
14/07/2023,70.8
13/07/2023,70.2
12/07/2023,70.8
11/07/2023,70.7
10/07/2023,69.9
07/07/2023,68.9
06/07/2023,69.2
05/07/2023,68.7
04/07/2023,68.6
03/07/2023,69.2
30/06/2023,69.2
29/06/2023,68.5
28/06/2023,68.9
27/06/2023,69.4
26/06/2023,69.4
23/06/2023,69.6
22/06/2023,71.6
21/06/2023,71.3
20/06/2023,70.0
19/06/2023,70.2
16/06/2023,70.7
15/06/2023,70.4
14/06/2023,70.4
13/06/2023,70.1
12/06/2023,69.9
09/06/2023,69.6
08/06/2023,69.4
07/06/2023,69.3
06/06/2023,69.3
05/06/2023,69.3
02/06/2023,69.3
01/06/2023,68.6
31/05/2023,67.2
30/05/2023,69.4
29/05/2023,69.3
26/05/2023,69.4
25/05/2023,70.3
24/05/2023,70.0
23/05/2023,70.5
22/05/2023,70.1
19/05/2023,70.9
18/05/2023,70.9
17/05/2023,69.4
16/05/2023,69.4
15/05/2023,69.4
12/05/2023,69.5
11/05/2023,69.5
10/05/2023,69.5
09/05/2023,69.8
08/05/2023,69.6
05/05/2023,69.1
04/05/2023,69.8
28/04/2023,70.4
27/04/2023,69.8
26/04/2023,70.0
25/04/2023,70.2
24/04/2023,70.4
21/04/2023,70.5
20/04/2023,70.5
19/04/2023,70.0
18/04/2023,70.7
17/04/2023,70.8
14/04/2023,71.6
13/04/2023,72.8
12/04/2023,73.7
11/04/2023,72.9
10/04/2023,72.9
07/04/2023,74.0
06/04/2023,73.0
05/04/2023,74.1
04/04/2023,74.4
03/04/2023,72.5
31/03/2023,74.0
30/03/2023,70.8
29/03/2023,70.0
28/03/2023,70.0
27/03/2023,70.1
24/03/2023,70.2
23/03/2023,70.3
22/03/2023,70.5
21/03/2023,70.6
20/03/2023,69.7
17/03/2023,70.4
16/03/2023,70.0
15/03/2023,69.4
14/03/2023,70.5
13/03/2023,70.5
10/03/2023,70.6
09/03/2023,70.7
08/03/2023,70.8
07/03/2023,70.8
06/03/2023,70.8
03/03/2023,70.9
02/03/2023,70.9
01/03/2023,71.0
28/02/2023,71.2
27/02/2023,71.2
24/02/2023,71.5
23/02/2023,70.6
22/02/2023,71.9
21/02/2023,71.9
20/02/2023,70.3
17/02/2023,70.5
16/02/2023,70.1
15/02/2023,70.7
14/02/2023,70.7
13/02/2023,70.6
10/02/2023,70.4
09/02/2023,70.4
08/02/2023,70.7
07/02/2023,70.7
06/02/2023,70.8
03/02/2023,69.6
02/02/2023,71.0
01/02/2023,71.5
31/01/2023,69.1
30/01/2023,71.2
27/01/2023,71.4
19/01/2023,71.0
18/01/2023,70.7
17/01/2023,70.9
16/01/2023,69.6
13/01/2023,70.6
12/01/2023,70.9
11/01/2023,70.1
10/01/2023,72.2
09/01/2023,72.0
06/01/2023,72.8
05/01/2023,72.8
04/01/2023,71.4
03/01/2023,71.8
30/12/2022,71.9
29/12/2022,72.9
28/12/2022,71.4
27/12/2022,70.8
26/12/2022,71.9
23/12/2022,72.8
22/12/2022,72.4
21/12/2022,72.0
20/12/2022,73.8
19/12/2022,73.8
16/12/2022,73.4
15/12/2022,72.6
14/12/2022,72.5
13/12/2022,71.1
12/12/2022,71.1
09/12/2022,70.0
08/12/2022,70.2
07/12/2022,70.5
06/12/2022,70.9
05/12/2022,70.5
02/12/2022,71.5
01/12/2022,72.4
30/11/2022,72.4
29/11/2022,69.7
28/11/2022,68.6
25/11/2022,66.8
24/11/2022,66.8
23/11/2022,68.0
22/11/2022,69.0
21/11/2022,69.5
18/11/2022,69.4
17/11/2022,68.3
16/11/2022,72.5
15/11/2022,69.4
14/11/2022,70.0
11/11/2022,70.0
10/11/2022,70.5
09/11/2022,73.3
08/11/2022,74.5
07/11/2022,71.5
04/11/2022,72.9
03/11/2022,73.8
02/11/2022,73.0
01/11/2022,73.5
31/10/2022,73.8
28/10/2022,74.0
27/10/2022,74.0
26/10/2022,74.4
25/10/2022,74.9
24/10/2022,73.5
21/10/2022,74.0
20/10/2022,76.6
19/10/2022,76.7
18/10/2022,75.0
17/10/2022,75.1
14/10/2022,75.1
13/10/2022,74.2
12/10/2022,75.3
11/10/2022,75.7
10/10/2022,74.7
07/10/2022,76.9
06/10/2022,78.1
05/10/2022,80.3
04/10/2022,80.0
03/10/2022,78.1
30/09/2022,81.9
29/09/2022,82.3
28/09/2022,82.4
27/09/2022,82.8
26/09/2022,82.9
23/09/2022,83.5
22/09/2022,82.8
21/09/2022,83.1
20/09/2022,83.0
19/09/2022,83.4
16/09/2022,82.9
15/09/2022,82.9
14/09/2022,82.8
13/09/2022,82.9
12/09/2022,82.9
09/09/2022,82.0
08/09/2022,81.5
07/09/2022,81.0
06/09/2022,83.0
05/09/2022,85.0
31/08/2022,88.0
30/08/2022,87.9
29/08/2022,86.6
26/08/2022,88.3
25/08/2022,88.2
24/08/2022,88.7
23/08/2022,89.8
22/08/2022,90.3
19/08/2022,90.7
18/08/2022,91.4
17/08/2022,91.4
16/08/2022,91.4
15/08/2022,91.5
12/08/2022,91.4
11/08/2022,92.3
10/08/2022,90.7
09/08/2022,91.7
08/08/2022,91.8
05/08/2022,90.5
04/08/2022,91.0
03/08/2022,91.0
02/08/2022,91.1
01/08/2022,94.4
29/07/2022,93.7
28/07/2022,91.6
27/07/2022,86.4
26/07/2022,86.5
25/07/2022,87.6
22/07/2022,86.4
21/07/2022,92.0
20/07/2022,86.4
19/07/2022,86.5
18/07/2022,86.0
15/07/2022,87.6
14/07/2022,87.8
13/07/2022,88.0
12/07/2022,88.9
11/07/2022,89.2
08/07/2022,92.2
07/07/2022,92.2
06/07/2022,92.4
05/07/2022,92.7
04/07/2022,92.3
01/07/2022,91.8
30/06/2022,93.5
29/06/2022,92.0
28/06/2022,92.4
27/06/2022,92.8
24/06/2022,92.8
23/06/2022,92.3
22/06/2022,89.4
21/06/2022,89.3
20/06/2022,92.0
17/06/2022,95.4
16/06/2022,95.7
15/06/2022,95.8
14/06/2022,94.3
13/06/2022,97.3
10/06/2022,97.1
09/06/2022,97.8
08/06/2022,98.9
07/06/2022,94.8
06/06/2022,94.9
03/06/2022,93.7
