Ngay,Symbol,GiaDongCua
29/12/2023,PHR,49.7
28/12/2023,PHR,49.4
27/12/2023,PHR,49.5
26/12/2023,PHR,48.7
25/12/2023,PHR,47.55
22/12/2023,PHR,47.5
21/12/2023,PHR,47.6
20/12/2023,PHR,47.65
19/12/2023,PHR,47.5
18/12/2023,PHR,47.2
15/12/2023,PHR,47.3
14/12/2023,PHR,47.4
13/12/2023,PHR,47.4
12/12/2023,PHR,48.1
11/12/2023,PHR,48.15
08/12/2023,PHR,48.05
07/12/2023,PHR,48.3
06/12/2023,PHR,48.4
05/12/2023,PHR,48.4
04/12/2023,PHR,48.2
01/12/2023,PHR,47.35
30/11/2023,PHR,47.15
29/11/2023,PHR,46.8
28/11/2023,PHR,46.35
27/11/2023,PHR,46.2
24/11/2023,PHR,46.45
23/11/2023,PHR,46.8
22/11/2023,PHR,47.15
21/11/2023,PHR,47.05
20/11/2023,PHR,47.1
17/11/2023,PHR,46.5
16/11/2023,PHR,47.1
15/11/2023,PHR,46.95
14/11/2023,PHR,46.45
13/11/2023,PHR,46.1
10/11/2023,PHR,46.2
09/11/2023,PHR,46.95
08/11/2023,PHR,46.4
07/11/2023,PHR,44.65
06/11/2023,PHR,44.7
03/11/2023,PHR,44.8
02/11/2023,PHR,45.0
01/11/2023,PHR,43.05
31/10/2023,PHR,41.8
30/10/2023,PHR,44.0
27/10/2023,PHR,44.85
26/10/2023,PHR,45.25
25/10/2023,PHR,48.4
24/10/2023,PHR,48.05
23/10/2023,PHR,46.85
20/10/2023,PHR,47.6
19/10/2023,PHR,46.8
18/10/2023,PHR,47.9
17/10/2023,PHR,49.0
16/10/2023,PHR,51.1
13/10/2023,PHR,50.8
12/10/2023,PHR,49.4
11/10/2023,PHR,49.5
10/10/2023,PHR,48.5
09/10/2023,PHR,48.45
06/10/2023,PHR,48.55
05/10/2023,PHR,47.65
04/10/2023,PHR,47.1
03/10/2023,PHR,46.6
02/10/2023,PHR,48.0
29/09/2023,PHR,47.4
28/09/2023,PHR,47.7
27/09/2023,PHR,48.0
26/09/2023,PHR,46.7
25/09/2023,PHR,47.5
22/09/2023,PHR,51.0
21/09/2023,PHR,52.7
20/09/2023,PHR,53.2
19/09/2023,PHR,49.9
18/09/2023,PHR,50.2
15/09/2023,PHR,49.7
14/09/2023,PHR,48.85
13/09/2023,PHR,49.25
12/09/2023,PHR,49.2
11/09/2023,PHR,48.7
08/09/2023,PHR,50.0
07/09/2023,PHR,51.5
06/09/2023,PHR,51.3
05/09/2023,PHR,51.1
31/08/2023,PHR,50.9
30/08/2023,PHR,50.3
29/08/2023,PHR,49.4
28/08/2023,PHR,49.0
25/08/2023,PHR,48.1
24/08/2023,PHR,48.35
23/08/2023,PHR,47.85
22/08/2023,PHR,47.9
21/08/2023,PHR,47.0
18/08/2023,PHR,47.2
17/08/2023,PHR,50.7
16/08/2023,PHR,51.3
15/08/2023,PHR,50.7
14/08/2023,PHR,50.8
11/08/2023,PHR,50.7
10/08/2023,PHR,50.5
09/08/2023,PHR,51.1
08/08/2023,PHR,52.4
07/08/2023,PHR,52.9
04/08/2023,PHR,52.5
03/08/2023,PHR,52.3
02/08/2023,PHR,52.6
01/08/2023,PHR,52.5
31/07/2023,PHR,52.2
28/07/2023,PHR,52.5
27/07/2023,PHR,52.8
26/07/2023,PHR,52.0
25/07/2023,PHR,51.5
24/07/2023,PHR,52.1
21/07/2023,PHR,51.2
20/07/2023,PHR,51.0
19/07/2023,PHR,51.3
18/07/2023,PHR,51.3
17/07/2023,PHR,51.9
14/07/2023,PHR,51.3
13/07/2023,PHR,51.3
12/07/2023,PHR,51.1
11/07/2023,PHR,50.8
10/07/2023,PHR,51.0
07/07/2023,PHR,51.0
06/07/2023,PHR,49.35
05/07/2023,PHR,49.5
04/07/2023,PHR,48.4
03/07/2023,PHR,47.4
30/06/2023,PHR,46.4
29/06/2023,PHR,46.55
28/06/2023,PHR,47.75
27/06/2023,PHR,47.45
26/06/2023,PHR,47.7
23/06/2023,PHR,47.15
22/06/2023,PHR,48.0
21/06/2023,PHR,47.95
20/06/2023,PHR,46.9
19/06/2023,PHR,45.9
16/06/2023,PHR,46.2
15/06/2023,PHR,46.0
14/06/2023,PHR,46.05
13/06/2023,PHR,46.35
12/06/2023,PHR,46.2
09/06/2023,PHR,46.2
08/06/2023,PHR,46.1
07/06/2023,PHR,47.6
06/06/2023,PHR,47.0
05/06/2023,PHR,46.65
02/06/2023,PHR,46.85
01/06/2023,PHR,47.5
31/05/2023,PHR,47.5
30/05/2023,PHR,45.8
29/05/2023,PHR,46.0
26/05/2023,PHR,46.0
25/05/2023,PHR,45.85
24/05/2023,PHR,43.5
23/05/2023,PHR,43.5
22/05/2023,PHR,43.35
19/05/2023,PHR,43.2
18/05/2023,PHR,41.5
17/05/2023,PHR,41.8
16/05/2023,PHR,41.65
15/05/2023,PHR,41.65
12/05/2023,PHR,42.3
11/05/2023,PHR,41.95
10/05/2023,PHR,42.4
09/05/2023,PHR,41.9
08/05/2023,PHR,41.8
05/05/2023,PHR,40.9
04/05/2023,PHR,41.25
28/04/2023,PHR,41.25
27/04/2023,PHR,40.85
26/04/2023,PHR,40.6
25/04/2023,PHR,40.05
24/04/2023,PHR,40.05
21/04/2023,PHR,40.1
20/04/2023,PHR,40.1
19/04/2023,PHR,40.2
18/04/2023,PHR,40.7
17/04/2023,PHR,41.0
14/04/2023,PHR,40.2
13/04/2023,PHR,42.05
12/04/2023,PHR,42.7
11/04/2023,PHR,41.6
10/04/2023,PHR,41.5
07/04/2023,PHR,41.55
06/04/2023,PHR,41.85
05/04/2023,PHR,42.5
04/04/2023,PHR,41.15
03/04/2023,PHR,40.9
31/03/2023,PHR,40.15
30/03/2023,PHR,39.5
29/03/2023,PHR,39.9
28/03/2023,PHR,39.65
27/03/2023,PHR,39.8
24/03/2023,PHR,39.5
23/03/2023,PHR,39.1
22/03/2023,PHR,39.4
21/03/2023,PHR,39.35
20/03/2023,PHR,38.8
17/03/2023,PHR,39.75
16/03/2023,PHR,39.8
15/03/2023,PHR,40.4
14/03/2023,PHR,39.5
13/03/2023,PHR,40.5
10/03/2023,PHR,41.0
09/03/2023,PHR,41.9
08/03/2023,PHR,40.85
07/03/2023,PHR,40.65
06/03/2023,PHR,40.6
03/03/2023,PHR,40.5
02/03/2023,PHR,40.85
01/03/2023,PHR,41.0
28/02/2023,PHR,40.3
27/02/2023,PHR,40.5
24/02/2023,PHR,40.55
23/02/2023,PHR,41.1
22/02/2023,PHR,41.5
21/02/2023,PHR,43.2
20/02/2023,PHR,43.5
17/02/2023,PHR,42.1
16/02/2023,PHR,42.1
15/02/2023,PHR,41.3
14/02/2023,PHR,40.65
13/02/2023,PHR,40.5
10/02/2023,PHR,41.65
09/02/2023,PHR,42.0
08/02/2023,PHR,41.55
07/02/2023,PHR,41.9
06/02/2023,PHR,43.5
03/02/2023,PHR,43.45
02/02/2023,PHR,43.45
01/02/2023,PHR,43.6
31/01/2023,PHR,45.5
30/01/2023,PHR,44.7
27/01/2023,PHR,45.75
19/01/2023,PHR,43.5
18/01/2023,PHR,42.6
17/01/2023,PHR,42.3
16/01/2023,PHR,40.35
13/01/2023,PHR,40.0
12/01/2023,PHR,40.3
11/01/2023,PHR,40.1
10/01/2023,PHR,40.0
09/01/2023,PHR,40.9
06/01/2023,PHR,41.4
05/01/2023,PHR,41.6
04/01/2023,PHR,41.4
03/01/2023,PHR,41.0
30/12/2022,PHR,39.4
29/12/2022,PHR,39.8
28/12/2022,PHR,40.55
27/12/2022,PHR,39.7
26/12/2022,PHR,38.25
23/12/2022,PHR,40.4
22/12/2022,PHR,40.85
21/12/2022,PHR,39.0
20/12/2022,PHR,38.5
19/12/2022,PHR,40.0
16/12/2022,PHR,42.4
15/12/2022,PHR,46.65
14/12/2022,PHR,46.6
13/12/2022,PHR,46.0
12/12/2022,PHR,45.5
09/12/2022,PHR,45.2
08/12/2022,PHR,45.4
07/12/2022,PHR,45.0
06/12/2022,PHR,43.6
05/12/2022,PHR,46.1
02/12/2022,PHR,46.0
01/12/2022,PHR,43.0
30/11/2022,PHR,42.6
29/11/2022,PHR,42.3
28/11/2022,PHR,42.5
25/11/2022,PHR,40.7
24/11/2022,PHR,38.5
23/11/2022,PHR,38.5
22/11/2022,PHR,37.5
21/11/2022,PHR,36.8
18/11/2022,PHR,37.0
17/11/2022,PHR,35.2
16/11/2022,PHR,35.2
15/11/2022,PHR,32.9
14/11/2022,PHR,35.35
11/11/2022,PHR,38.0
10/11/2022,PHR,38.2
09/11/2022,PHR,41.0
08/11/2022,PHR,40.45
07/11/2022,PHR,37.85
04/11/2022,PHR,38.4
03/11/2022,PHR,41.0
02/11/2022,PHR,41.0
01/11/2022,PHR,40.45
31/10/2022,PHR,40.4
28/10/2022,PHR,40.85
27/10/2022,PHR,40.1
26/10/2022,PHR,37.5
25/10/2022,PHR,38.25
24/10/2022,PHR,40.55
21/10/2022,PHR,43.6
20/10/2022,PHR,46.85
19/10/2022,PHR,47.4
18/10/2022,PHR,48.6
17/10/2022,PHR,48.3
14/10/2022,PHR,47.0
13/10/2022,PHR,45.55
12/10/2022,PHR,45.75
11/10/2022,PHR,44.3
10/10/2022,PHR,47.6
07/10/2022,PHR,46.45
06/10/2022,PHR,49.9
05/10/2022,PHR,52.5
04/10/2022,PHR,51.5
03/10/2022,PHR,51.3
30/09/2022,PHR,55.1
29/09/2022,PHR,55.1
28/09/2022,PHR,58.5
27/09/2022,PHR,60.0
26/09/2022,PHR,60.0
23/09/2022,PHR,62.2
22/09/2022,PHR,63.0
21/09/2022,PHR,62.8
20/09/2022,PHR,62.5
19/09/2022,PHR,61.0
16/09/2022,PHR,65.5
15/09/2022,PHR,67.5
14/09/2022,PHR,66.9
13/09/2022,PHR,67.3
12/09/2022,PHR,67.0
09/09/2022,PHR,68.0
08/09/2022,PHR,66.5
07/09/2022,PHR,66.2
06/09/2022,PHR,70.8
05/09/2022,PHR,72.1
31/08/2022,PHR,70.6
30/08/2022,PHR,70.7
29/08/2022,PHR,68.1
26/08/2022,PHR,69.4
25/08/2022,PHR,69.6
24/08/2022,PHR,69.6
23/08/2022,PHR,67.6
22/08/2022,PHR,67.3
19/08/2022,PHR,65.6
18/08/2022,PHR,66.5
17/08/2022,PHR,67.9
16/08/2022,PHR,68.6
15/08/2022,PHR,69.0
12/08/2022,PHR,68.6
11/08/2022,PHR,67.7
10/08/2022,PHR,69.3
09/08/2022,PHR,68.8
08/08/2022,PHR,70.0
05/08/2022,PHR,69.7
04/08/2022,PHR,69.0
03/08/2022,PHR,69.8
02/08/2022,PHR,68.4
01/08/2022,PHR,68.0
29/07/2022,PHR,66.9
28/07/2022,PHR,67.6
27/07/2022,PHR,65.4
26/07/2022,PHR,65.4
25/07/2022,PHR,66.0
22/07/2022,PHR,66.0
21/07/2022,PHR,66.5
20/07/2022,PHR,65.0
19/07/2022,PHR,66.1
18/07/2022,PHR,63.6
15/07/2022,PHR,64.0
14/07/2022,PHR,64.0
13/07/2022,PHR,65.5
12/07/2022,PHR,66.3
11/07/2022,PHR,62.8
08/07/2022,PHR,63.7
07/07/2022,PHR,61.7
06/07/2022,PHR,61.4
05/07/2022,PHR,61.6
04/07/2022,PHR,62.0
01/07/2022,PHR,64.8
30/06/2022,PHR,65.0
29/06/2022,PHR,69.8
28/06/2022,PHR,70.0
27/06/2022,PHR,68.7
24/06/2022,PHR,64.9
23/06/2022,PHR,65.2
22/06/2022,PHR,61.3
21/06/2022,PHR,62.0
20/06/2022,PHR,64.5
17/06/2022,PHR,65.8
16/06/2022,PHR,66.0
15/06/2022,PHR,64.0
14/06/2022,PHR,66.0
13/06/2022,PHR,65.1
10/06/2022,PHR,70.0
09/06/2022,PHR,73.0
08/06/2022,PHR,73.5
07/06/2022,PHR,70.0
06/06/2022,PHR,69.0
03/06/2022,PHR,68.0
02/06/2022,PHR,67.0
01/06/2022,PHR,65.6
31/05/2022,PHR,66.0
30/05/2022,PHR,65.0
27/05/2022,PHR,63.3
26/05/2022,PHR,62.9
25/05/2022,PHR,63.7
24/05/2022,PHR,60.6
23/05/2022,PHR,60.3
20/05/2022,PHR,60.3
19/05/2022,PHR,59.6
18/05/2022,PHR,59.9
17/05/2022,PHR,58.8
16/05/2022,PHR,55.0
13/05/2022,PHR,54.8
12/05/2022,PHR,58.9
11/05/2022,PHR,63.3
10/05/2022,PHR,63.3
09/05/2022,PHR,61.4
06/05/2022,PHR,66.0
05/05/2022,PHR,69.0
04/05/2022,PHR,68.3
29/04/2022,PHR,70.0
28/04/2022,PHR,69.2
27/04/2022,PHR,70.7
26/04/2022,PHR,68.6
25/04/2022,PHR,64.2
22/04/2022,PHR,69.0
21/04/2022,PHR,74.1
20/04/2022,PHR,79.6
19/04/2022,PHR,85.5
18/04/2022,PHR,87.5
15/04/2022,PHR,86.3
14/04/2022,PHR,80.7
13/04/2022,PHR,81.2
12/04/2022,PHR,77.0
08/04/2022,PHR,78.8
07/04/2022,PHR,77.9
06/04/2022,PHR,82.4
05/04/2022,PHR,84.0
04/04/2022,PHR,85.0
01/04/2022,PHR,80.8
31/03/2022,PHR,80.8
30/03/2022,PHR,79.5
29/03/2022,PHR,80.5
28/03/2022,PHR,79.7
25/03/2022,PHR,77.6
24/03/2022,PHR,77.1
23/03/2022,PHR,77.3
22/03/2022,PHR,75.8
21/03/2022,PHR,77.1
18/03/2022,PHR,76.5
17/03/2022,PHR,75.9
16/03/2022,PHR,74.4
15/03/2022,PHR,75.6
14/03/2022,PHR,74.4
11/03/2022,PHR,74.5
10/03/2022,PHR,77.9
09/03/2022,PHR,78.5
08/03/2022,PHR,78.6
07/03/2022,PHR,81.5
04/03/2022,PHR,81.5
03/03/2022,PHR,81.5
02/03/2022,PHR,79.0
01/03/2022,PHR,80.3
28/02/2022,PHR,80.3
25/02/2022,PHR,81.9
24/02/2022,PHR,82.5
23/02/2022,PHR,83.0
22/02/2022,PHR,83.5
21/02/2022,PHR,81.0
18/02/2022,PHR,81.0
17/02/2022,PHR,81.8
16/02/2022,PHR,81.5
15/02/2022,PHR,84.4
14/02/2022,PHR,84.6
11/02/2022,PHR,84.4
10/02/2022,PHR,82.4
09/02/2022,PHR,80.0
08/02/2022,PHR,80.2
07/02/2022,PHR,80.2
28/01/2022,PHR,78.4
27/01/2022,PHR,79.0
26/01/2022,PHR,78.2
25/01/2022,PHR,79.5
24/01/2022,PHR,74.3
21/01/2022,PHR,79.8
20/01/2022,PHR,81.8
19/01/2022,PHR,79.1
18/01/2022,PHR,74.0
17/01/2022,PHR,74.0
14/01/2022,PHR,79.4
13/01/2022,PHR,79.0
12/01/2022,PHR,82.0
11/01/2022,PHR,78.5
10/01/2022,PHR,77.7
07/01/2022,PHR,78.0
06/01/2022,PHR,78.1
05/01/2022,PHR,73.0
04/01/2022,PHR,72.1
31/12/2021,PHR,71.3
