Ngay,GiaDongCua
25/12/2023,1.79
22/12/2023,1.79
21/12/2023,1.79
20/12/2023,1.79
19/12/2023,1.79
18/12/2023,1.79
15/12/2023,1.79
14/12/2023,1.79
13/12/2023,1.79
12/12/2023,1.79
11/12/2023,1.79
08/12/2023,1.79
07/12/2023,1.79
06/12/2023,1.79
05/12/2023,1.79
04/12/2023,1.79
01/12/2023,1.79
30/11/2023,1.79
29/11/2023,1.79
28/11/2023,1.79
27/11/2023,1.79
24/11/2023,1.79
23/11/2023,1.79
16/11/2023,1.79
13/11/2023,1.79
10/11/2023,1.79
09/11/2023,1.9
08/11/2023,1.81
07/11/2023,1.94
06/11/2023,2.08
03/11/2023,2.23
02/11/2023,2.39
01/11/2023,2.24
31/10/2023,2.35
30/10/2023,2.42
27/10/2023,2.44
26/10/2023,2.53
25/10/2023,2.71
24/10/2023,2.72
23/10/2023,2.79
20/10/2023,2.99
19/10/2023,2.91
18/10/2023,2.98
17/10/2023,3.06
16/10/2023,3.16
13/10/2023,3.2
12/10/2023,3.3
11/10/2023,3.28
10/10/2023,3.21
09/10/2023,3.0
06/10/2023,3.09
05/10/2023,3.29
04/10/2023,3.53
03/10/2023,3.43
02/10/2023,3.54
29/09/2023,3.56
28/09/2023,3.55
27/09/2023,3.5
26/09/2023,3.61
25/09/2023,3.69
22/09/2023,3.89
21/09/2023,3.96
20/09/2023,3.97
19/09/2023,3.94
18/09/2023,3.82
15/09/2023,4.04
14/09/2023,4.1
13/09/2023,4.07
12/09/2023,4.34
11/09/2023,4.36
08/09/2023,4.55
07/09/2023,4.26
06/09/2023,4.26
05/09/2023,4.24
31/08/2023,4.23
30/08/2023,4.19
29/08/2023,4.17
28/08/2023,4.3
25/08/2023,4.45
24/08/2023,4.24
23/08/2023,3.99
22/08/2023,3.99
21/08/2023,3.99
18/08/2023,4.12
17/08/2023,4.42
16/08/2023,4.42
15/08/2023,4.49
14/08/2023,4.5
11/08/2023,4.45
10/08/2023,4.47
09/08/2023,4.64
