Ngay,Symbol,GiaDongCua
29/12/2023,SSC,30.0
28/12/2023,SSC,29.55
27/12/2023,SSC,29.2
26/12/2023,SSC,28.8
25/12/2023,SSC,28.8
22/12/2023,SSC,28.8
21/12/2023,SSC,28.8
20/12/2023,SSC,29.8
19/12/2023,SSC,29.8
18/12/2023,SSC,29.8
15/12/2023,SSC,29.8
14/12/2023,SSC,29.8
13/12/2023,SSC,29.8
12/12/2023,SSC,29.8
11/12/2023,SSC,29.85
08/12/2023,SSC,30.15
07/12/2023,SSC,30.15
06/12/2023,SSC,30.15
05/12/2023,SSC,30.2
04/12/2023,SSC,30.2
01/12/2023,SSC,30.2
30/11/2023,SSC,30.35
29/11/2023,SSC,30.35
28/11/2023,SSC,30.35
27/11/2023,SSC,30.35
24/11/2023,SSC,30.35
23/11/2023,SSC,28.4
22/11/2023,SSC,28.4
21/11/2023,SSC,28.4
20/11/2023,SSC,30.5
17/11/2023,SSC,29.5
16/11/2023,SSC,29.5
15/11/2023,SSC,29.5
14/11/2023,SSC,30.25
13/11/2023,SSC,28.3
10/11/2023,SSC,29.95
09/11/2023,SSC,28.0
08/11/2023,SSC,30.0
07/11/2023,SSC,30.0
06/11/2023,SSC,30.4
03/11/2023,SSC,30.4
02/11/2023,SSC,30.4
01/11/2023,SSC,28.5
31/10/2023,SSC,28.5
30/10/2023,SSC,30.0
27/10/2023,SSC,30.0
26/10/2023,SSC,30.0
25/10/2023,SSC,30.0
24/10/2023,SSC,30.0
23/10/2023,SSC,30.0
20/10/2023,SSC,30.0
19/10/2023,SSC,30.0
18/10/2023,SSC,31.5
17/10/2023,SSC,33.8
16/10/2023,SSC,33.8
13/10/2023,SSC,31.6
12/10/2023,SSC,31.6
11/10/2023,SSC,31.6
10/10/2023,SSC,31.6
09/10/2023,SSC,31.6
06/10/2023,SSC,31.2
05/10/2023,SSC,31.2
04/10/2023,SSC,31.2
03/10/2023,SSC,31.2
02/10/2023,SSC,31.2
29/09/2023,SSC,31.25
28/09/2023,SSC,31.25
27/09/2023,SSC,32.75
26/09/2023,SSC,32.75
25/09/2023,SSC,32.0
22/09/2023,SSC,32.5
21/09/2023,SSC,32.5
20/09/2023,SSC,31.05
19/09/2023,SSC,31.8
18/09/2023,SSC,31.05
15/09/2023,SSC,31.05
14/09/2023,SSC,32.7
13/09/2023,SSC,32.7
12/09/2023,SSC,31.5
11/09/2023,SSC,32.9
08/09/2023,SSC,30.75
07/09/2023,SSC,33.05
06/09/2023,SSC,33.05
05/09/2023,SSC,30.9
31/08/2023,SSC,30.95
30/08/2023,SSC,30.95
29/08/2023,SSC,30.05
28/08/2023,SSC,30.05
25/08/2023,SSC,30.0
