Ngay,Symbol,GiaDongCua
29/12/2023,TRC,31.1
28/12/2023,TRC,31.1
27/12/2023,TRC,31.05
26/12/2023,TRC,31.05
25/12/2023,TRC,31.1
22/12/2023,TRC,31.1
21/12/2023,TRC,31.1
20/12/2023,TRC,31.6
19/12/2023,TRC,31.0
18/12/2023,TRC,31.0
15/12/2023,TRC,31.0
14/12/2023,TRC,30.95
13/12/2023,TRC,31.45
12/12/2023,TRC,31.45
11/12/2023,TRC,31.45
08/12/2023,TRC,31.45
07/12/2023,TRC,30.85
06/12/2023,TRC,31.2
05/12/2023,TRC,31.35
04/12/2023,TRC,31.35
01/12/2023,TRC,31.35
30/11/2023,TRC,31.4
29/11/2023,TRC,31.4
28/11/2023,TRC,31.0
27/11/2023,TRC,30.7
24/11/2023,TRC,30.7
23/11/2023,TRC,31.0
22/11/2023,TRC,31.0
21/11/2023,TRC,31.3
20/11/2023,TRC,31.1
17/11/2023,TRC,31.1
16/11/2023,TRC,31.0
15/11/2023,TRC,31.0
14/11/2023,TRC,31.3
13/11/2023,TRC,31.3
10/11/2023,TRC,31.3
09/11/2023,TRC,31.2
08/11/2023,TRC,31.2
07/11/2023,TRC,31.0
06/11/2023,TRC,31.2
03/11/2023,TRC,31.0
02/11/2023,TRC,31.0
01/11/2023,TRC,30.5
31/10/2023,TRC,30.8
30/10/2023,TRC,31.0
27/10/2023,TRC,31.0
26/10/2023,TRC,31.0
25/10/2023,TRC,31.0
24/10/2023,TRC,30.7
23/10/2023,TRC,31.2
20/10/2023,TRC,30.0
19/10/2023,TRC,31.0
18/10/2023,TRC,32.0
17/10/2023,TRC,32.2
16/10/2023,TRC,32.2
13/10/2023,TRC,32.05
12/10/2023,TRC,32.0
11/10/2023,TRC,32.0
10/10/2023,TRC,32.4
09/10/2023,TRC,32.3
06/10/2023,TRC,32.2
05/10/2023,TRC,32.2
04/10/2023,TRC,32.2
03/10/2023,TRC,31.9
02/10/2023,TRC,32.5
29/09/2023,TRC,32.2
28/09/2023,TRC,31.8
27/09/2023,TRC,31.8
26/09/2023,TRC,31.9
25/09/2023,TRC,32.0
22/09/2023,TRC,33.8
21/09/2023,TRC,32.1
20/09/2023,TRC,32.1
19/09/2023,TRC,32.9
18/09/2023,TRC,32.0
15/09/2023,TRC,32.45
14/09/2023,TRC,31.4
13/09/2023,TRC,30.6
12/09/2023,TRC,30.5
11/09/2023,TRC,30.5
