Ngay,GiaDongCua
29/12/2023,36.0
28/12/2023,36.0
27/12/2023,36.0
26/12/2023,36.0
25/12/2023,36.0
22/12/2023,36.0
21/12/2023,36.0
20/12/2023,36.0
19/12/2023,36.1
18/12/2023,36.5
15/12/2023,36.7
14/12/2023,36.7
13/12/2023,36.5
12/12/2023,36.3
11/12/2023,36.6
08/12/2023,36.0
07/12/2023,36.0
06/12/2023,36.5
05/12/2023,35.1
04/12/2023,36.0
01/12/2023,36.5
30/11/2023,36.5
29/11/2023,36.0
28/11/2023,36.0
27/11/2023,36.5
24/11/2023,36.5
23/11/2023,36.0
22/11/2023,36.0
21/11/2023,36.0
20/11/2023,36.25
17/11/2023,36.8
16/11/2023,36.4
15/11/2023,36.5
14/11/2023,36.5
13/11/2023,36.3
10/11/2023,36.5
09/11/2023,36.5
08/11/2023,36.5
07/11/2023,36.5
06/11/2023,36.5
03/11/2023,36.5
02/11/2023,36.5
01/11/2023,36.2
31/10/2023,36.2
30/10/2023,37.5
27/10/2023,37.5
26/10/2023,37.75
25/10/2023,36.9
24/10/2023,36.9
23/10/2023,36.2
20/10/2023,36.5
19/10/2023,38.5
18/10/2023,36.2
17/10/2023,36.4
16/10/2023,36.2
13/10/2023,36.6
12/10/2023,36.2
11/10/2023,36.2
10/10/2023,36.4
09/10/2023,36.0
06/10/2023,36.0
05/10/2023,35.3
04/10/2023,36.2
03/10/2023,36.15
02/10/2023,36.25
29/09/2023,36.2
28/09/2023,36.3
27/09/2023,36.2
26/09/2023,36.2
25/09/2023,36.2
22/09/2023,36.5
21/09/2023,36.85
20/09/2023,36.5
19/09/2023,37.0
18/09/2023,37.0
15/09/2023,37.0
14/09/2023,37.0
13/09/2023,37.0
12/09/2023,36.9
11/09/2023,36.8
08/09/2023,36.8
07/09/2023,36.5
06/09/2023,36.2
05/09/2023,36.2
31/08/2023,36.2
30/08/2023,36.4
29/08/2023,36.7
28/08/2023,36.8
25/08/2023,36.5
24/08/2023,36.5
23/08/2023,36.5
22/08/2023,36.15
21/08/2023,36.15
18/08/2023,36.15
17/08/2023,36.6
16/08/2023,36.3
15/08/2023,36.0
14/08/2023,36.7
11/08/2023,37.0
10/08/2023,36.6
09/08/2023,36.9
08/08/2023,37.8
07/08/2023,37.5
04/08/2023,37.45
03/08/2023,37.95
02/08/2023,37.3
01/08/2023,37.3
31/07/2023,37.8
28/07/2023,37.85
27/07/2023,37.5
26/07/2023,37.8
25/07/2023,37.0
24/07/2023,37.0
21/07/2023,36.8
20/07/2023,36.8
19/07/2023,36.5
18/07/2023,36.7
17/07/2023,36.2
14/07/2023,36.2
13/07/2023,36.75
12/07/2023,36.0
11/07/2023,36.0
10/07/2023,37.0
07/07/2023,37.0
06/07/2023,35.7
05/07/2023,36.5
04/07/2023,36.5
03/07/2023,36.8
30/06/2023,36.0
29/06/2023,35.6
28/06/2023,35.6
27/06/2023,35.6
26/06/2023,36.0
23/06/2023,36.0
22/06/2023,36.0
21/06/2023,35.5
20/06/2023,35.3
19/06/2023,35.55
16/06/2023,36.45
15/06/2023,35.7
14/06/2023,35.7
13/06/2023,36.2
12/06/2023,36.0
09/06/2023,36.3
08/06/2023,36.3
07/06/2023,36.0
06/06/2023,35.6
05/06/2023,35.6
02/06/2023,35.85
01/06/2023,35.5
31/05/2023,35.0
30/05/2023,35.1
29/05/2023,35.75
26/05/2023,35.75
25/05/2023,35.0
24/05/2023,35.5
23/05/2023,35.5
22/05/2023,35.5
19/05/2023,35.5
18/05/2023,36.3
17/05/2023,37.5
16/05/2023,37.9
15/05/2023,37.9
12/05/2023,38.5
11/05/2023,38.5
10/05/2023,36.0
09/05/2023,36.0
08/05/2023,36.0
05/05/2023,36.05
04/05/2023,35.2
28/04/2023,35.6
27/04/2023,35.6
26/04/2023,35.7
25/04/2023,35.95
24/04/2023,36.0
21/04/2023,36.75
20/04/2023,36.4
19/04/2023,35.6
18/04/2023,36.45
17/04/2023,36.45
14/04/2023,36.45
13/04/2023,36.35
12/04/2023,36.0
11/04/2023,36.0
10/04/2023,36.9
07/04/2023,36.9
06/04/2023,36.0
05/04/2023,36.0
04/04/2023,35.55
03/04/2023,36.05
31/03/2023,35.55
30/03/2023,37.95
29/03/2023,35.7
28/03/2023,35.5
27/03/2023,36.15
24/03/2023,35.75
23/03/2023,35.75
22/03/2023,35.55
21/03/2023,36.0
20/03/2023,36.0
17/03/2023,36.0
16/03/2023,36.0
15/03/2023,36.9
14/03/2023,36.9
13/03/2023,35.9
10/03/2023,33.6
09/03/2023,36.0
