Ngay,GiaDongCua
29/12/2023,23.9
28/12/2023,23.75
27/12/2023,23.3
26/12/2023,23.25
25/12/2023,23.35
22/12/2023,23.2
21/12/2023,23.25
20/12/2023,23.2
19/12/2023,23.05
18/12/2023,22.8
15/12/2023,22.75
14/12/2023,22.5
13/12/2023,22.3
12/12/2023,22.5
11/12/2023,22.4
08/12/2023,22.4
07/12/2023,22.4
06/12/2023,22.3
05/12/2023,22.15
04/12/2023,22.3
01/12/2023,21.95
30/11/2023,21.95
29/11/2023,22.05
28/11/2023,21.9
27/11/2023,21.85
24/11/2023,22.05
23/11/2023,22.2
22/11/2023,22.7
21/11/2023,22.6
20/11/2023,22.5
17/11/2023,22.7
16/11/2023,23.3
15/11/2023,23.25
14/11/2023,22.7
13/11/2023,22.45
10/11/2023,22.4
09/11/2023,22.55
08/11/2023,22.8
07/11/2023,22.1
06/11/2023,22.2
03/11/2023,22.05
02/11/2023,22.3
01/11/2023,21.6
31/10/2023,21.4
30/10/2023,21.3
27/10/2023,21.55
26/10/2023,21.1
25/10/2023,21.9
24/10/2023,21.9
23/10/2023,21.8
20/10/2023,21.9
19/10/2023,21.8
18/10/2023,22.05
17/10/2023,22.45
16/10/2023,22.6
13/10/2023,22.65
12/10/2023,22.7
11/10/2023,22.7
10/10/2023,22.8
09/10/2023,22.5
06/10/2023,21.8
05/10/2023,21.6
04/10/2023,21.6
03/10/2023,21.6
02/10/2023,21.9
29/09/2023,21.85
28/09/2023,21.75
27/09/2023,22.0
26/09/2023,21.9
25/09/2023,22.0
22/09/2023,22.3
21/09/2023,22.4
20/09/2023,22.45
19/09/2023,22.3
18/09/2023,22.45
15/09/2023,22.65
14/09/2023,22.45
13/09/2023,22.55
12/09/2023,22.75
11/09/2023,22.35
08/09/2023,22.75
07/09/2023,22.9
06/09/2023,22.95
05/09/2023,22.75
31/08/2023,22.6
30/08/2023,22.45
29/08/2023,22.05
28/08/2023,22.05
25/08/2023,21.95
24/08/2023,22.05
23/08/2023,21.85
22/08/2023,22.05
21/08/2023,22.0
18/08/2023,21.9
17/08/2023,22.7
16/08/2023,22.9
15/08/2023,22.85
14/08/2023,23.05
11/08/2023,22.9
10/08/2023,22.9
09/08/2023,23.2
08/08/2023,23.4
07/08/2023,23.75
04/08/2023,24.4
03/08/2023,23.45
02/08/2023,23.1
01/08/2023,22.85
31/07/2023,22.95
28/07/2023,22.2
27/07/2023,22.15
26/07/2023,22.3
25/07/2023,22.3
24/07/2023,22.05
21/07/2023,22.1
20/07/2023,22.0
19/07/2023,22.0
18/07/2023,22.0
17/07/2023,22.0
14/07/2023,22.0
13/07/2023,22.0
12/07/2023,21.85
11/07/2023,22.0
10/07/2023,21.95
07/07/2023,21.7
06/07/2023,21.7
05/07/2023,21.95
04/07/2023,22.0
03/07/2023,22.05
30/06/2023,22.05
29/06/2023,21.9
28/06/2023,22.3
27/06/2023,22.2
26/06/2023,22.25
23/06/2023,21.9
22/06/2023,21.65
21/06/2023,21.7
20/06/2023,21.65
19/06/2023,21.65
16/06/2023,21.8
15/06/2023,21.7
14/06/2023,21.65
13/06/2023,21.6
12/06/2023,21.45
09/06/2023,21.55
08/06/2023,21.6
07/06/2023,21.85
06/06/2023,21.8
05/06/2023,21.75
02/06/2023,21.8
01/06/2023,21.4
31/05/2023,25.4
30/05/2023,25.2
29/05/2023,25.15
26/05/2023,25.0
25/05/2023,25.1
24/05/2023,25.15
23/05/2023,25.35
22/05/2023,25.05
19/05/2023,24.95
18/05/2023,25.0
17/05/2023,24.9
16/05/2023,25.0
15/05/2023,25.0
12/05/2023,25.0
11/05/2023,24.9
10/05/2023,24.9
09/05/2023,24.9
08/05/2023,24.95
05/05/2023,24.65
04/05/2023,24.7
28/04/2023,24.2
27/04/2023,24.15
26/04/2023,24.15
25/04/2023,24.15
24/04/2023,24.2
21/04/2023,24.25
20/04/2023,24.25
19/04/2023,24.4
18/04/2023,24.75
17/04/2023,25.0
14/04/2023,24.95
13/04/2023,24.95
12/04/2023,24.85
11/04/2023,24.95
10/04/2023,25.0
07/04/2023,25.05
06/04/2023,24.9
05/04/2023,25.3
04/04/2023,25.15
03/04/2023,25.25
31/03/2023,25.0
30/03/2023,24.6
29/03/2023,24.4
28/03/2023,24.45
27/03/2023,24.45
24/03/2023,24.55
23/03/2023,24.5
22/03/2023,24.15
21/03/2023,24.2
20/03/2023,24.0
17/03/2023,24.35
16/03/2023,24.4
15/03/2023,24.8
14/03/2023,24.05
13/03/2023,24.5
10/03/2023,24.9
09/03/2023,25.35
08/03/2023,25.0
07/03/2023,24.5
06/03/2023,24.3
03/03/2023,24.5
02/03/2023,25.05
01/03/2023,25.15
28/02/2023,24.4
27/02/2023,24.25
24/02/2023,24.6
23/02/2023,25.4
22/02/2023,24.85
21/02/2023,25.5
