Ngay,Symbol,GiaDongCua
29/12/2023,BID,43.4
28/12/2023,BID,42.7
27/12/2023,BID,43.0
26/12/2023,BID,43.0
25/12/2023,BID,43.2
22/12/2023,BID,42.45
21/12/2023,BID,41.8
20/12/2023,BID,41.3
19/12/2023,BID,41.2
18/12/2023,BID,41.0
15/12/2023,BID,41.5
14/12/2023,BID,41.6
13/12/2023,BID,41.6
12/12/2023,BID,41.9
11/12/2023,BID,41.4
08/12/2023,BID,41.9
07/12/2023,BID,40.6
06/12/2023,BID,40.0
05/12/2023,BID,39.65
04/12/2023,BID,39.8
01/12/2023,BID,39.4
30/11/2023,BID,38.85
29/11/2023,BID,39.3
28/11/2023,BID,38.85
27/11/2023,BID,43.0
24/11/2023,BID,43.65
23/11/2023,BID,43.0
22/11/2023,BID,43.6
21/11/2023,BID,43.95
20/11/2023,BID,43.15
17/11/2023,BID,42.9
16/11/2023,BID,43.75
15/11/2023,BID,44.15
14/11/2023,BID,43.0
13/11/2023,BID,42.1
10/11/2023,BID,42.2
09/11/2023,BID,42.85
08/11/2023,BID,42.9
07/11/2023,BID,41.8
06/11/2023,BID,41.8
03/11/2023,BID,41.5
02/11/2023,BID,41.65
01/11/2023,BID,40.0
31/10/2023,BID,40.2
30/10/2023,BID,41.0
27/10/2023,BID,42.0
26/10/2023,BID,40.55
25/10/2023,BID,40.75
24/10/2023,BID,41.3
23/10/2023,BID,40.3
20/10/2023,BID,40.5
19/10/2023,BID,40.2
18/10/2023,BID,40.0
17/10/2023,BID,41.3
16/10/2023,BID,41.65
13/10/2023,BID,42.5
12/10/2023,BID,42.15
11/10/2023,BID,42.0
10/10/2023,BID,42.05
09/10/2023,BID,41.95
06/10/2023,BID,42.2
05/10/2023,BID,41.6
04/10/2023,BID,42.5
03/10/2023,BID,41.55
02/10/2023,BID,43.95
29/09/2023,BID,44.35
28/09/2023,BID,44.35
27/09/2023,BID,44.4
26/09/2023,BID,44.35
25/09/2023,BID,45.1
22/09/2023,BID,46.05
21/09/2023,BID,45.2
20/09/2023,BID,45.7
19/09/2023,BID,45.2
18/09/2023,BID,45.75
15/09/2023,BID,46.8
14/09/2023,BID,46.75
13/09/2023,BID,47.0
12/09/2023,BID,47.0
11/09/2023,BID,46.5
08/09/2023,BID,47.0
07/09/2023,BID,47.35
06/09/2023,BID,47.3
05/09/2023,BID,47.5
31/08/2023,BID,46.95
30/08/2023,BID,46.2
29/08/2023,BID,45.8
28/08/2023,BID,45.4
25/08/2023,BID,45.2
24/08/2023,BID,45.8
23/08/2023,BID,45.7
22/08/2023,BID,45.8
21/08/2023,BID,45.6
18/08/2023,BID,44.2
17/08/2023,BID,47.1
16/08/2023,BID,47.5
15/08/2023,BID,47.0
14/08/2023,BID,47.6
11/08/2023,BID,46.7
10/08/2023,BID,46.5
09/08/2023,BID,48.2
08/08/2023,BID,48.65
07/08/2023,BID,48.85
04/08/2023,BID,48.4
03/08/2023,BID,48.55
02/08/2023,BID,49.1
01/08/2023,BID,48.2
31/07/2023,BID,47.2
28/07/2023,BID,46.7
27/07/2023,BID,46.7
26/07/2023,BID,47.35
25/07/2023,BID,47.15
24/07/2023,BID,46.8
21/07/2023,BID,46.75
20/07/2023,BID,46.25
19/07/2023,BID,46.25
18/07/2023,BID,46.7
17/07/2023,BID,46.2
14/07/2023,BID,46.75
13/07/2023,BID,46.9
12/07/2023,BID,46.7
11/07/2023,BID,46.55
10/07/2023,BID,46.95
07/07/2023,BID,44.3
06/07/2023,BID,43.95
05/07/2023,BID,44.35
04/07/2023,BID,44.0
03/07/2023,BID,44.5
30/06/2023,BID,43.35
29/06/2023,BID,44.5
28/06/2023,BID,45.35
27/06/2023,BID,44.3
26/06/2023,BID,44.3
23/06/2023,BID,44.3
22/06/2023,BID,43.95
21/06/2023,BID,43.4
20/06/2023,BID,43.5
19/06/2023,BID,43.3
16/06/2023,BID,43.7
15/06/2023,BID,43.85
14/06/2023,BID,44.0
13/06/2023,BID,44.35
12/06/2023,BID,43.65
09/06/2023,BID,43.45
08/06/2023,BID,43.7
07/06/2023,BID,44.35
06/06/2023,BID,44.8
05/06/2023,BID,44.7
02/06/2023,BID,44.7
01/06/2023,BID,43.9
31/05/2023,BID,44.0
30/05/2023,BID,43.8
29/05/2023,BID,43.9
26/05/2023,BID,43.4
25/05/2023,BID,43.75
24/05/2023,BID,43.5
23/05/2023,BID,43.85
22/05/2023,BID,44.4
19/05/2023,BID,44.4
18/05/2023,BID,44.65
17/05/2023,BID,44.8
16/05/2023,BID,45.0
15/05/2023,BID,44.9
12/05/2023,BID,45.0
11/05/2023,BID,45.0
10/05/2023,BID,45.0
09/05/2023,BID,45.1
08/05/2023,BID,44.7
05/05/2023,BID,43.45
04/05/2023,BID,43.75
28/04/2023,BID,43.5
27/04/2023,BID,43.9
26/04/2023,BID,44.1
25/04/2023,BID,43.55
24/04/2023,BID,43.7
21/04/2023,BID,44.2
20/04/2023,BID,44.6
19/04/2023,BID,44.4
18/04/2023,BID,44.6
17/04/2023,BID,45.0
14/04/2023,BID,44.45
13/04/2023,BID,44.95
12/04/2023,BID,44.4
11/04/2023,BID,44.4
10/04/2023,BID,44.7
07/04/2023,BID,45.65
06/04/2023,BID,46.0
05/04/2023,BID,45.5
04/04/2023,BID,46.0
03/04/2023,BID,45.9
31/03/2023,BID,46.2
30/03/2023,BID,46.2
29/03/2023,BID,46.2
28/03/2023,BID,46.0
27/03/2023,BID,46.0
24/03/2023,BID,45.55
23/03/2023,BID,45.9
22/03/2023,BID,46.1
21/03/2023,BID,45.35
20/03/2023,BID,45.35
17/03/2023,BID,46.3
16/03/2023,BID,46.25
15/03/2023,BID,46.8
14/03/2023,BID,45.05
13/03/2023,BID,46.25
10/03/2023,BID,47.15
09/03/2023,BID,47.65
08/03/2023,BID,48.0
07/03/2023,BID,46.9
06/03/2023,BID,45.8
03/03/2023,BID,45.9
02/03/2023,BID,46.4
01/03/2023,BID,45.65
28/02/2023,BID,44.1
27/02/2023,BID,44.25
24/02/2023,BID,44.6
23/02/2023,BID,45.55
22/02/2023,BID,45.0
21/02/2023,BID,46.25
20/02/2023,BID,47.2
17/02/2023,BID,45.8
16/02/2023,BID,45.0
15/02/2023,BID,44.0
14/02/2023,BID,43.4
13/02/2023,BID,44.4
10/02/2023,BID,42.95
09/02/2023,BID,44.0
08/02/2023,BID,44.5
07/02/2023,BID,43.8
06/02/2023,BID,45.0
03/02/2023,BID,43.35
02/02/2023,BID,43.15
01/02/2023,BID,42.8
31/01/2023,BID,45.1
30/01/2023,BID,44.5
27/01/2023,BID,44.55
19/01/2023,BID,45.95
18/01/2023,BID,45.1
17/01/2023,BID,44.95
16/01/2023,BID,44.7
13/01/2023,BID,41.8
12/01/2023,BID,41.45
11/01/2023,BID,41.25
10/01/2023,BID,41.3
09/01/2023,BID,41.0
06/01/2023,BID,41.65
05/01/2023,BID,40.75
04/01/2023,BID,40.8
03/01/2023,BID,41.2
30/12/2022,BID,38.6
29/12/2022,BID,40.0
28/12/2022,BID,41.9
27/12/2022,BID,40.0
26/12/2022,BID,38.8
23/12/2022,BID,39.0
22/12/2022,BID,39.0
21/12/2022,BID,38.6
20/12/2022,BID,38.5
19/12/2022,BID,38.8
16/12/2022,BID,38.9
15/12/2022,BID,39.0
14/12/2022,BID,38.8
13/12/2022,BID,38.7
12/12/2022,BID,38.1
09/12/2022,BID,39.2
08/12/2022,BID,39.0
07/12/2022,BID,39.0
06/12/2022,BID,39.1
05/12/2022,BID,41.25
02/12/2022,BID,41.2
01/12/2022,BID,39.0
30/11/2022,BID,41.1
29/11/2022,BID,41.0
28/11/2022,BID,39.5
25/11/2022,BID,40.0
24/11/2022,BID,38.0
23/11/2022,BID,37.4
22/11/2022,BID,36.45
21/11/2022,BID,35.5
18/11/2022,BID,35.95
17/11/2022,BID,35.65
16/11/2022,BID,35.7
15/11/2022,BID,33.4
14/11/2022,BID,35.9
11/11/2022,BID,36.0
10/11/2022,BID,34.7
09/11/2022,BID,36.15
08/11/2022,BID,34.9
07/11/2022,BID,33.3
04/11/2022,BID,33.3
03/11/2022,BID,33.0
02/11/2022,BID,33.7
01/11/2022,BID,34.05
31/10/2022,BID,34.55
28/10/2022,BID,33.8
27/10/2022,BID,33.9
26/10/2022,BID,31.7
25/10/2022,BID,31.3
24/10/2022,BID,30.35
21/10/2022,BID,32.6
20/10/2022,BID,33.15
19/10/2022,BID,33.0
18/10/2022,BID,32.8
17/10/2022,BID,32.7
14/10/2022,BID,33.0
13/10/2022,BID,32.45
12/10/2022,BID,30.45
11/10/2022,BID,28.5
10/10/2022,BID,30.0
07/10/2022,BID,29.2
06/10/2022,BID,31.0
05/10/2022,BID,31.8
04/10/2022,BID,31.0
03/10/2022,BID,31.55
30/09/2022,BID,33.9
29/09/2022,BID,33.5
28/09/2022,BID,33.5
27/09/2022,BID,33.7
26/09/2022,BID,33.4
23/09/2022,BID,34.75
22/09/2022,BID,35.15
21/09/2022,BID,34.75
20/09/2022,BID,35.15
19/09/2022,BID,34.2
16/09/2022,BID,35.5
15/09/2022,BID,35.75
14/09/2022,BID,36.5
13/09/2022,BID,36.8
12/09/2022,BID,36.9
09/09/2022,BID,37.0
08/09/2022,BID,36.7
07/09/2022,BID,37.8
06/09/2022,BID,40.05
05/09/2022,BID,39.5
31/08/2022,BID,40.0
30/08/2022,BID,39.8
29/08/2022,BID,39.0
26/08/2022,BID,39.4
25/08/2022,BID,39.3
24/08/2022,BID,39.3
23/08/2022,BID,39.5
22/08/2022,BID,38.45
19/08/2022,BID,39.35
18/08/2022,BID,39.6
17/08/2022,BID,40.0
16/08/2022,BID,40.5
15/08/2022,BID,41.0
12/08/2022,BID,39.2
11/08/2022,BID,38.3
10/08/2022,BID,38.4
09/08/2022,BID,38.65
08/08/2022,BID,38.8
05/08/2022,BID,39.0
04/08/2022,BID,39.3
03/08/2022,BID,39.3
02/08/2022,BID,38.5
01/08/2022,BID,39.0
29/07/2022,BID,37.3
