Ngay,GiaDongCua
29/12/2023,20.3
28/12/2023,19.35
27/12/2023,19.3
26/12/2023,19.2
25/12/2023,19.15
22/12/2023,18.95
21/12/2023,18.75
20/12/2023,18.8
19/12/2023,18.95
18/12/2023,18.4
15/12/2023,19.0
14/12/2023,18.9
13/12/2023,18.85
12/12/2023,18.8
11/12/2023,18.75
08/12/2023,18.75
07/12/2023,18.7
06/12/2023,18.6
05/12/2023,18.45
04/12/2023,18.5
01/12/2023,18.2
30/11/2023,18.0
29/11/2023,18.05
28/11/2023,18.05
27/11/2023,18.1
24/11/2023,18.3
23/11/2023,18.05
22/11/2023,18.6
21/11/2023,18.7
20/11/2023,18.7
17/11/2023,18.5
16/11/2023,18.95
15/11/2023,18.9
14/11/2023,18.75
13/11/2023,18.8
10/11/2023,18.85
09/11/2023,18.75
08/11/2023,18.8
07/11/2023,18.0
06/11/2023,18.25
03/11/2023,18.35
02/11/2023,17.6
01/11/2023,17.25
31/10/2023,17.2
30/10/2023,17.2
27/10/2023,17.25
26/10/2023,17.0
25/10/2023,17.5
24/10/2023,17.55
23/10/2023,17.5
20/10/2023,17.75
19/10/2023,17.5
18/10/2023,17.55
17/10/2023,17.55
16/10/2023,17.4
13/10/2023,17.6
12/10/2023,17.5
11/10/2023,17.6
10/10/2023,17.4
09/10/2023,17.05
06/10/2023,17.1
05/10/2023,16.95
04/10/2023,17.1
03/10/2023,17.1
02/10/2023,17.1
29/09/2023,17.35
28/09/2023,17.3
27/09/2023,17.4
26/09/2023,17.4
25/09/2023,17.4
22/09/2023,17.55
21/09/2023,17.55
20/09/2023,17.85
19/09/2023,17.7
18/09/2023,17.6
15/09/2023,18.0
14/09/2023,17.5
13/09/2023,17.45
12/09/2023,17.4
11/09/2023,17.1
08/09/2023,17.35
07/09/2023,17.3
06/09/2023,17.2
05/09/2023,17.1
31/08/2023,16.85
30/08/2023,16.35
29/08/2023,16.2
28/08/2023,16.3
25/08/2023,16.25
24/08/2023,16.2
23/08/2023,16.1
22/08/2023,16.4
21/08/2023,16.2
18/08/2023,16.2
17/08/2023,17.15
16/08/2023,17.15
15/08/2023,17.05
14/08/2023,17.15
11/08/2023,17.05
10/08/2023,17.2
09/08/2023,17.3
08/08/2023,17.35
07/08/2023,17.35
04/08/2023,17.15
03/08/2023,17.2
02/08/2023,17.4
01/08/2023,17.55
31/07/2023,17.35
28/07/2023,17.25
27/07/2023,17.2
26/07/2023,17.2
25/07/2023,17.2
24/07/2023,17.25
21/07/2023,17.2
20/07/2023,17.0
19/07/2023,16.85
18/07/2023,18.9
17/07/2023,18.9
14/07/2023,18.9
13/07/2023,18.6
12/07/2023,18.55
11/07/2023,18.6
10/07/2023,18.35
07/07/2023,18.35
06/07/2023,18.2
05/07/2023,18.45
04/07/2023,18.55
03/07/2023,18.45
30/06/2023,18.6
29/06/2023,18.35
28/06/2023,18.75
27/06/2023,18.7
26/06/2023,18.8
23/06/2023,18.65
22/06/2023,18.7
21/06/2023,18.65
20/06/2023,18.7
19/06/2023,18.35
16/06/2023,18.6
15/06/2023,18.65
14/06/2023,18.65
13/06/2023,18.6
12/06/2023,18.4
09/06/2023,18.5
08/06/2023,18.7
07/06/2023,19.0
06/06/2023,19.2
05/06/2023,19.05
02/06/2023,19.05
01/06/2023,18.6
31/05/2023,18.4
30/05/2023,18.8
29/05/2023,18.8
26/05/2023,19.5
25/05/2023,19.5
24/05/2023,19.5
23/05/2023,19.5
22/05/2023,19.45
19/05/2023,19.4
18/05/2023,19.4
17/05/2023,19.6
16/05/2023,19.5
15/05/2023,19.4
12/05/2023,19.4
11/05/2023,19.2
10/05/2023,19.15
09/05/2023,19.05
08/05/2023,19.2
05/05/2023,19.05
04/05/2023,18.8
28/04/2023,18.8
27/04/2023,19.0
26/04/2023,18.9
25/04/2023,18.35
24/04/2023,18.75
21/04/2023,18.8
20/04/2023,19.2
19/04/2023,19.05
18/04/2023,19.35
17/04/2023,19.3
14/04/2023,19.5
13/04/2023,19.7
12/04/2023,19.65
11/04/2023,19.55
10/04/2023,19.7
07/04/2023,19.45
06/04/2023,19.65
05/04/2023,19.7
04/04/2023,19.15
03/04/2023,19.35
31/03/2023,19.25
30/03/2023,18.7
29/03/2023,18.1
28/03/2023,18.15
27/03/2023,18.2
24/03/2023,18.05
23/03/2023,17.65
22/03/2023,17.65
21/03/2023,17.4
20/03/2023,17.8
17/03/2023,18.5
16/03/2023,17.85
15/03/2023,18.5
14/03/2023,18.05
13/03/2023,18.45
10/03/2023,18.5
09/03/2023,18.5
08/03/2023,18.6
07/03/2023,18.5
06/03/2023,18.0
03/03/2023,17.8
02/03/2023,18.0
01/03/2023,17.7
28/02/2023,17.05
27/02/2023,16.9
24/02/2023,17.5
23/02/2023,18.05
22/02/2023,18.5
21/02/2023,19.0
20/02/2023,18.8
17/02/2023,18.45
16/02/2023,18.5
15/02/2023,17.8
14/02/2023,17.65
13/02/2023,18.05
10/02/2023,18.15
09/02/2023,18.2
08/02/2023,18.3
07/02/2023,18.0
06/02/2023,18.5
03/02/2023,18.55
02/02/2023,18.35
01/02/2023,19.0
31/01/2023,18.65
30/01/2023,18.25
27/01/2023,17.7
19/01/2023,17.5
18/01/2023,17.45
17/01/2023,17.25
16/01/2023,16.9
13/01/2023,16.65
12/01/2023,16.6
11/01/2023,16.7
10/01/2023,16.75
09/01/2023,16.75
06/01/2023,16.45
05/01/2023,16.4
04/01/2023,16.35
03/01/2023,16.5
30/12/2022,15.95
29/12/2022,15.9
28/12/2022,16.2
27/12/2022,16.35
26/12/2022,16.25
23/12/2022,17.0
22/12/2022,16.85
21/12/2022,16.8
20/12/2022,16.65
19/12/2022,17.35
16/12/2022,17.3
15/12/2022,16.75
14/12/2022,16.45
13/12/2022,16.45
12/12/2022,16.2
09/12/2022,16.8
08/12/2022,16.5
07/12/2022,15.9
06/12/2022,16.4
05/12/2022,16.95
02/12/2022,16.5
01/12/2022,15.95
30/11/2022,15.55
29/11/2022,15.45
28/11/2022,15.45
25/11/2022,14.95
24/11/2022,14.8
23/11/2022,14.65
22/11/2022,14.65
21/11/2022,14.8
18/11/2022,15.0
17/11/2022,15.3
16/11/2022,14.9
15/11/2022,14.0
14/11/2022,14.6
11/11/2022,14.8
10/11/2022,14.6
09/11/2022,14.8
08/11/2022,14.5
07/11/2022,14.35
04/11/2022,15.4
03/11/2022,16.0
02/11/2022,16.45
01/11/2022,16.6
31/10/2022,16.4
28/10/2022,16.5
27/10/2022,16.6
26/10/2022,15.95
25/10/2022,16.0
24/10/2022,15.95
21/10/2022,16.5
20/10/2022,16.8
19/10/2022,16.7
18/10/2022,16.8
17/10/2022,16.5
14/10/2022,17.0
13/10/2022,16.8
12/10/2022,16.8
11/10/2022,16.2
10/10/2022,16.9
07/10/2022,17.45
06/10/2022,18.15
05/10/2022,18.5
04/10/2022,18.5
03/10/2022,18.4
30/09/2022,19.15
29/09/2022,19.15
28/09/2022,19.15
27/09/2022,19.3
26/09/2022,23.45
23/09/2022,24.3
22/09/2022,24.7
21/09/2022,24.7
20/09/2022,24.8
19/09/2022,24.5
16/09/2022,25.0
15/09/2022,25.15
14/09/2022,25.2
13/09/2022,25.9
12/09/2022,25.65
09/09/2022,25.8
08/09/2022,25.5
07/09/2022,26.1
06/09/2022,26.7
05/09/2022,26.4
31/08/2022,26.7
30/08/2022,26.3
29/08/2022,25.95
26/08/2022,26.3
25/08/2022,26.45
24/08/2022,25.9
23/08/2022,25.7
22/08/2022,25.45
19/08/2022,26.25
18/08/2022,26.8
17/08/2022,26.75
16/08/2022,26.35
15/08/2022,26.3
12/08/2022,25.4
11/08/2022,25.3
10/08/2022,25.05
09/08/2022,25.15
08/08/2022,25.0
05/08/2022,24.7
04/08/2022,24.9
03/08/2022,24.85
02/08/2022,24.85
01/08/2022,24.7
29/07/2022,24.15
28/07/2022,24.4
27/07/2022,23.9
26/07/2022,23.6
25/07/2022,23.6
22/07/2022,23.8
21/07/2022,24.05
20/07/2022,23.85
19/07/2022,23.4
