Ngay,Symbol,GiaDongCua
29/12/2023,LPB,15.75
28/12/2023,LPB,15.8
27/12/2023,LPB,15.7
26/12/2023,LPB,15.65
25/12/2023,LPB,15.6
22/12/2023,LPB,15.6
21/12/2023,LPB,15.35
20/12/2023,LPB,15.4
19/12/2023,LPB,15.3
18/12/2023,LPB,15.45
15/12/2023,LPB,15.7
14/12/2023,LPB,15.65
13/12/2023,LPB,15.8
12/12/2023,LPB,16.05
11/12/2023,LPB,16.2
08/12/2023,LPB,16.35
07/12/2023,LPB,16.0
06/12/2023,LPB,15.75
05/12/2023,LPB,15.35
04/12/2023,LPB,15.3
01/12/2023,LPB,15.3
30/11/2023,LPB,15.3
29/11/2023,LPB,15.2
28/11/2023,LPB,15.0
27/11/2023,LPB,14.8
24/11/2023,LPB,15.15
23/11/2023,LPB,15.0
22/11/2023,LPB,15.45
21/11/2023,LPB,15.6
20/11/2023,LPB,15.35
17/11/2023,LPB,15.35
16/11/2023,LPB,15.65
15/11/2023,LPB,15.7
14/11/2023,LPB,15.7
13/11/2023,LPB,15.3
10/11/2023,LPB,15.3
09/11/2023,LPB,15.7
08/11/2023,LPB,15.75
07/11/2023,LPB,15.5
06/11/2023,LPB,15.4
03/11/2023,LPB,15.25
02/11/2023,LPB,15.4
01/11/2023,LPB,15.1
31/10/2023,LPB,14.65
30/10/2023,LPB,14.45
27/10/2023,LPB,15.3
26/10/2023,LPB,14.3
25/10/2023,LPB,14.85
24/10/2023,LPB,14.75
23/10/2023,LPB,14.7
20/10/2023,LPB,14.55
19/10/2023,LPB,14.05
18/10/2023,LPB,14.0
17/10/2023,LPB,14.0
16/10/2023,LPB,14.15
13/10/2023,LPB,14.2
12/10/2023,LPB,14.2
11/10/2023,LPB,14.2
10/10/2023,LPB,14.15
09/10/2023,LPB,14.1
06/10/2023,LPB,13.75
05/10/2023,LPB,13.6
04/10/2023,LPB,13.5
03/10/2023,LPB,13.15
02/10/2023,LPB,13.65
29/09/2023,LPB,13.85
28/09/2023,LPB,13.6
27/09/2023,LPB,13.25
26/09/2023,LPB,13.2
25/09/2023,LPB,13.6
22/09/2023,LPB,14.4
21/09/2023,LPB,15.0
20/09/2023,LPB,15.4
19/09/2023,LPB,15.25
18/09/2023,LPB,15.4
15/09/2023,LPB,15.75
14/09/2023,LPB,16.0
13/09/2023,LPB,16.3
12/09/2023,LPB,16.3
11/09/2023,LPB,16.2
08/09/2023,LPB,16.1
07/09/2023,LPB,16.15
06/09/2023,LPB,16.15
05/09/2023,LPB,16.1
31/08/2023,LPB,16.05
30/08/2023,LPB,15.9
29/08/2023,LPB,15.85
28/08/2023,LPB,15.8
