Ngay,GiaDongCua
29/12/2023,18.65
28/12/2023,18.55
27/12/2023,18.4
26/12/2023,18.45
25/12/2023,18.4
22/12/2023,18.3
21/12/2023,18.15
20/12/2023,18.15
19/12/2023,18.15
18/12/2023,18.0
15/12/2023,18.05
14/12/2023,18.05
13/12/2023,18.05
12/12/2023,18.25
11/12/2023,18.15
08/12/2023,18.2
07/12/2023,18.25
06/12/2023,18.1
05/12/2023,18.05
04/12/2023,18.05
01/12/2023,17.8
30/11/2023,17.8
29/11/2023,17.85
28/11/2023,17.85
27/11/2023,17.6
24/11/2023,17.85
23/11/2023,17.9
22/11/2023,18.05
21/11/2023,18.1
20/11/2023,18.0
17/11/2023,18.2
16/11/2023,18.5
15/11/2023,18.55
14/11/2023,18.45
13/11/2023,18.1
10/11/2023,18.0
09/11/2023,18.35
08/11/2023,18.35
07/11/2023,17.8
06/11/2023,17.95
03/11/2023,17.4
02/11/2023,17.7
01/11/2023,17.2
31/10/2023,17.1
30/10/2023,17.0
27/10/2023,17.45
26/10/2023,17.2
25/10/2023,17.8
24/10/2023,17.9
23/10/2023,17.8
20/10/2023,17.95
19/10/2023,17.65
18/10/2023,17.75
17/10/2023,18.1
16/10/2023,18.2
13/10/2023,18.45
12/10/2023,18.35
11/10/2023,18.5
10/10/2023,18.45
09/10/2023,18.3
06/10/2023,18.15
05/10/2023,18.05
04/10/2023,18.15
03/10/2023,18.05
02/10/2023,18.6
29/09/2023,18.5
28/09/2023,18.5
27/09/2023,18.5
26/09/2023,18.25
25/09/2023,18.1
22/09/2023,18.7
21/09/2023,18.95
20/09/2023,19.2
19/09/2023,19.0
18/09/2023,19.15
15/09/2023,19.4
14/09/2023,19.15
13/09/2023,19.05
12/09/2023,19.25
11/09/2023,18.75
08/09/2023,19.1
07/09/2023,19.3
06/09/2023,19.25
05/09/2023,19.15
31/08/2023,18.5
30/08/2023,18.4
29/08/2023,18.25
28/08/2023,18.2
25/08/2023,18.1
24/08/2023,18.25
23/08/2023,18.0
22/08/2023,18.2
21/08/2023,18.15
18/08/2023,18.1
17/08/2023,18.85
16/08/2023,19.0
15/08/2023,18.95
14/08/2023,18.95
11/08/2023,18.9
10/08/2023,18.9
09/08/2023,19.15
08/08/2023,19.2
07/08/2023,19.35
04/08/2023,19.0
03/08/2023,18.85
02/08/2023,18.9
01/08/2023,18.85
31/07/2023,18.85
28/07/2023,18.7
27/07/2023,18.6
26/07/2023,18.75
25/07/2023,18.8
24/07/2023,18.75
21/07/2023,18.65
20/07/2023,18.45
19/07/2023,18.4
18/07/2023,18.6
17/07/2023,18.6
14/07/2023,18.65
13/07/2023,21.1
12/07/2023,21.0
11/07/2023,21.2
10/07/2023,20.75
07/07/2023,20.45
06/07/2023,20.2
05/07/2023,20.4
04/07/2023,20.35
03/07/2023,20.2
30/06/2023,20.2
29/06/2023,20.3
28/06/2023,20.7
27/06/2023,20.1
26/06/2023,20.2
23/06/2023,20.2
22/06/2023,19.9
21/06/2023,19.85
20/06/2023,19.65
19/06/2023,19.55
16/06/2023,19.7
15/06/2023,19.7
14/06/2023,19.75
13/06/2023,20.3
12/06/2023,20.35
09/06/2023,20.25
08/06/2023,20.0
07/06/2023,20.35
06/06/2023,20.45
05/06/2023,19.8
02/06/2023,19.7
01/06/2023,18.8
31/05/2023,18.6
30/05/2023,18.75
29/05/2023,18.75
26/05/2023,18.45
25/05/2023,18.45
24/05/2023,18.6
23/05/2023,18.75
22/05/2023,18.85
19/05/2023,18.65
18/05/2023,18.6
17/05/2023,18.45
16/05/2023,18.8
15/05/2023,18.85
12/05/2023,18.65
11/05/2023,18.5
10/05/2023,18.5
09/05/2023,18.3
08/05/2023,18.25
05/05/2023,18.1
04/05/2023,18.2
28/04/2023,18.45
27/04/2023,18.4
26/04/2023,18.35
25/04/2023,18.25
24/04/2023,18.25
21/04/2023,18.05
20/04/2023,18.15
19/04/2023,18.1
18/04/2023,18.15
17/04/2023,18.25
14/04/2023,18.3
13/04/2023,18.55
12/04/2023,18.7
11/04/2023,18.75
10/04/2023,18.6
07/04/2023,18.6
06/04/2023,18.5
05/04/2023,18.8
04/04/2023,18.75
03/04/2023,18.7
31/03/2023,18.25
30/03/2023,18.25
29/03/2023,18.3
28/03/2023,18.0
27/03/2023,17.95
24/03/2023,17.75
23/03/2023,17.4
22/03/2023,17.4
21/03/2023,17.35
20/03/2023,17.3
17/03/2023,17.45
16/03/2023,17.45
15/03/2023,17.8
14/03/2023,17.2
13/03/2023,17.5
10/03/2023,17.75
09/03/2023,17.8
08/03/2023,17.6
07/03/2023,17.4
06/03/2023,17.3
03/03/2023,17.15
02/03/2023,17.4
01/03/2023,17.65
28/02/2023,17.25
27/02/2023,17.25
24/02/2023,17.7
23/02/2023,18.15
22/02/2023,18.25
21/02/2023,18.6
20/02/2023,18.9
17/02/2023,18.1
16/02/2023,18.25
15/02/2023,18.0
14/02/2023,17.85
13/02/2023,18.0
10/02/2023,18.3
09/02/2023,18.45
08/02/2023,18.4
07/02/2023,18.35
06/02/2023,18.7
03/02/2023,18.6
02/02/2023,18.95
01/02/2023,18.9
31/01/2023,19.55
30/01/2023,19.25
27/01/2023,19.7
19/01/2023,19.6
18/01/2023,19.55
17/01/2023,19.4
16/01/2023,18.5
13/01/2023,18.25
12/01/2023,18.25
11/01/2023,18.25
10/01/2023,18.2
09/01/2023,18.25
06/01/2023,18.25
05/01/2023,18.2
04/01/2023,17.95
03/01/2023,18.0
30/12/2022,17.1
29/12/2022,17.4
28/12/2022,17.45
27/12/2022,17.25
26/12/2022,16.8
23/12/2022,17.75
22/12/2022,18.0
21/12/2022,17.7
20/12/2022,17.6
19/12/2022,18.35
16/12/2022,18.8
15/12/2022,18.95
14/12/2022,18.15
13/12/2022,18.0
12/12/2022,17.7
09/12/2022,18.2
08/12/2022,18.1
07/12/2022,17.3
06/12/2022,17.7
05/12/2022,19.0
02/12/2022,18.8
01/12/2022,17.8
30/11/2022,17.4
29/11/2022,17.2
28/11/2022,17.2
25/11/2022,16.2
24/11/2022,15.7
23/11/2022,15.7
22/11/2022,15.8
21/11/2022,15.7
18/11/2022,15.7
17/11/2022,15.7
16/11/2022,15.1
15/11/2022,14.15
14/11/2022,15.2
11/11/2022,16.0
10/11/2022,15.8
09/11/2022,16.95
08/11/2022,17.2
07/11/2022,16.95
04/11/2022,17.9
03/11/2022,17.65
02/11/2022,17.9
01/11/2022,18.0
31/10/2022,17.7
28/10/2022,17.65
27/10/2022,17.5
26/10/2022,16.4
25/10/2022,16.4
24/10/2022,15.6
21/10/2022,16.1
20/10/2022,17.15
19/10/2022,17.5
18/10/2022,17.55
17/10/2022,17.5
14/10/2022,17.8
13/10/2022,17.4
12/10/2022,17.15
11/10/2022,16.05
10/10/2022,17.25
07/10/2022,16.95
06/10/2022,18.1
05/10/2022,19.2
04/10/2022,18.8
03/10/2022,18.7
30/09/2022,20.0
29/09/2022,19.8
28/09/2022,19.95
27/09/2022,20.2
26/09/2022,20.1
23/09/2022,21.0
22/09/2022,21.25
21/09/2022,21.2
20/09/2022,21.35
19/09/2022,21.0
16/09/2022,21.8
15/09/2022,22.15
14/09/2022,22.4
13/09/2022,22.55
12/09/2022,22.6
09/09/2022,22.7
08/09/2022,22.8
07/09/2022,23.0
06/09/2022,23.65
05/09/2022,23.6
31/08/2022,23.75
30/08/2022,23.65
29/08/2022,23.4
26/08/2022,23.6
25/08/2022,23.65
24/08/2022,23.3
23/08/2022,23.2
22/08/2022,23.1
19/08/2022,27.6
18/08/2022,27.65
17/08/2022,27.75
16/08/2022,27.25
15/08/2022,27.35
12/08/2022,27.05
11/08/2022,26.8
10/08/2022,27.2
09/08/2022,27.35
08/08/2022,27.1
05/08/2022,26.95
04/08/2022,26.95
03/08/2022,26.9
02/08/2022,26.7
01/08/2022,26.5
29/07/2022,25.65
28/07/2022,25.55
27/07/2022,24.9
26/07/2022,25.15
25/07/2022,25.25
22/07/2022,25.55
21/07/2022,25.6
20/07/2022,25.55
19/07/2022,25.2
18/07/2022,25.4
15/07/2022,25.45
14/07/2022,25.5
13/07/2022,25.3
12/07/2022,25.05
11/07/2022,24.4
08/07/2022,25.05
07/07/2022,25.1
06/07/2022,24.9
05/07/2022,25.45
04/07/2022,24.6
01/07/2022,24.2
