Ngay,Symbol,GiaDongCua
29/12/2023,MSB,13.0
28/12/2023,MSB,12.8
27/12/2023,MSB,12.8
26/12/2023,MSB,12.7
25/12/2023,MSB,12.7
22/12/2023,MSB,12.6
21/12/2023,MSB,12.6
20/12/2023,MSB,12.55
19/12/2023,MSB,12.65
18/12/2023,MSB,12.7
15/12/2023,MSB,12.7
14/12/2023,MSB,12.8
13/12/2023,MSB,12.75
12/12/2023,MSB,12.95
11/12/2023,MSB,12.95
08/12/2023,MSB,13.05
07/12/2023,MSB,13.0
06/12/2023,MSB,13.0
05/12/2023,MSB,12.9
04/12/2023,MSB,13.0
01/12/2023,MSB,12.8
30/11/2023,MSB,12.8
29/11/2023,MSB,12.8
28/11/2023,MSB,12.75
27/11/2023,MSB,12.7
24/11/2023,MSB,12.85
23/11/2023,MSB,12.85
22/11/2023,MSB,13.05
21/11/2023,MSB,13.0
20/11/2023,MSB,13.0
17/11/2023,MSB,13.1
16/11/2023,MSB,13.45
15/11/2023,MSB,13.5
14/11/2023,MSB,13.5
13/11/2023,MSB,13.15
10/11/2023,MSB,13.15
09/11/2023,MSB,13.2
08/11/2023,MSB,13.35
07/11/2023,MSB,12.9
06/11/2023,MSB,13.3
03/11/2023,MSB,13.3
02/11/2023,MSB,13.0
01/11/2023,MSB,12.6
31/10/2023,MSB,12.25
30/10/2023,MSB,12.35
27/10/2023,MSB,12.3
26/10/2023,MSB,12.2
25/10/2023,MSB,13.05
24/10/2023,MSB,13.0
23/10/2023,MSB,12.8
20/10/2023,MSB,13.0
19/10/2023,MSB,12.65
18/10/2023,MSB,13.15
17/10/2023,MSB,13.5
16/10/2023,MSB,13.7
13/10/2023,MSB,13.95
12/10/2023,MSB,14.05
11/10/2023,MSB,14.0
10/10/2023,MSB,13.95
09/10/2023,MSB,13.9
06/10/2023,MSB,13.85
05/10/2023,MSB,13.6
04/10/2023,MSB,13.8
03/10/2023,MSB,13.5
02/10/2023,MSB,14.0
29/09/2023,MSB,13.75
28/09/2023,MSB,13.65
27/09/2023,MSB,13.75
26/09/2023,MSB,13.5
25/09/2023,MSB,13.5
22/09/2023,MSB,14.4
21/09/2023,MSB,14.85
20/09/2023,MSB,15.1
19/09/2023,MSB,14.9
18/09/2023,MSB,14.5
15/09/2023,MSB,14.85
14/09/2023,MSB,14.8
13/09/2023,MSB,14.6
12/09/2023,MSB,14.6
11/09/2023,MSB,14.25
08/09/2023,MSB,14.75
07/09/2023,MSB,15.0
06/09/2023,MSB,14.9
05/09/2023,MSB,14.9
31/08/2023,MSB,14.0
30/08/2023,MSB,14.0
29/08/2023,MSB,13.95
28/08/2023,MSB,13.7
25/08/2023,MSB,13.55
24/08/2023,MSB,13.65
23/08/2023,MSB,13.55
22/08/2023,MSB,13.65
21/08/2023,MSB,13.55
18/08/2023,MSB,13.3
17/08/2023,MSB,14.05
16/08/2023,MSB,14.15
15/08/2023,MSB,14.1
14/08/2023,MSB,14.4
11/08/2023,MSB,14.4
10/08/2023,MSB,14.2
09/08/2023,MSB,14.2
08/08/2023,MSB,14.4
07/08/2023,MSB,14.65
04/08/2023,MSB,14.4
03/08/2023,MSB,14.05
02/08/2023,MSB,14.1
01/08/2023,MSB,14.0
31/07/2023,MSB,13.75
28/07/2023,MSB,13.7
27/07/2023,MSB,13.4
26/07/2023,MSB,13.4
25/07/2023,MSB,13.5
24/07/2023,MSB,13.6
21/07/2023,MSB,13.25
20/07/2023,MSB,13.2
19/07/2023,MSB,12.85
18/07/2023,MSB,12.9
17/07/2023,MSB,12.8
14/07/2023,MSB,12.7
13/07/2023,MSB,12.95
12/07/2023,MSB,12.95
11/07/2023,MSB,13.0
10/07/2023,MSB,12.75
07/07/2023,MSB,12.65
06/07/2023,MSB,12.6
05/07/2023,MSB,12.7
04/07/2023,MSB,12.7
03/07/2023,MSB,12.65
30/06/2023,MSB,12.6
29/06/2023,MSB,12.75
28/06/2023,MSB,12.95
27/06/2023,MSB,12.8
26/06/2023,MSB,12.8
23/06/2023,MSB,13.0
22/06/2023,MSB,13.05
21/06/2023,MSB,12.95
20/06/2023,MSB,12.9
19/06/2023,MSB,12.8
16/06/2023,MSB,12.9
15/06/2023,MSB,12.95
14/06/2023,MSB,12.9
13/06/2023,MSB,13.1
12/06/2023,MSB,13.1
09/06/2023,MSB,13.1
08/06/2023,MSB,12.7
07/06/2023,MSB,13.0
06/06/2023,MSB,12.8
05/06/2023,MSB,12.65
02/06/2023,MSB,12.7
01/06/2023,MSB,12.3
31/05/2023,MSB,12.0
30/05/2023,MSB,12.0
29/05/2023,MSB,11.95
26/05/2023,MSB,11.85
25/05/2023,MSB,11.95
24/05/2023,MSB,12.0
23/05/2023,MSB,12.15
22/05/2023,MSB,12.15
19/05/2023,MSB,12.1
18/05/2023,MSB,12.05
17/05/2023,MSB,12.0
16/05/2023,MSB,12.1
15/05/2023,MSB,12.25
12/05/2023,MSB,12.25
11/05/2023,MSB,12.15
10/05/2023,MSB,12.25
09/05/2023,MSB,12.1
08/05/2023,MSB,12.15
05/05/2023,MSB,11.9
04/05/2023,MSB,12.0
28/04/2023,MSB,11.75
27/04/2023,MSB,11.75
26/04/2023,MSB,11.85
25/04/2023,MSB,11.95
24/04/2023,MSB,12.2
21/04/2023,MSB,12.35
20/04/2023,MSB,12.35
19/04/2023,MSB,12.35
18/04/2023,MSB,12.55
17/04/2023,MSB,12.7
14/04/2023,MSB,12.7
13/04/2023,MSB,12.45
12/04/2023,MSB,12.5
11/04/2023,MSB,12.5
10/04/2023,MSB,12.35
07/04/2023,MSB,12.5
06/04/2023,MSB,12.5
05/04/2023,MSB,12.65
04/04/2023,MSB,12.75
03/04/2023,MSB,12.7
31/03/2023,MSB,12.6
30/03/2023,MSB,12.5
29/03/2023,MSB,12.2
28/03/2023,MSB,12.2
27/03/2023,MSB,12.15
24/03/2023,MSB,12.15
23/03/2023,MSB,12.1
22/03/2023,MSB,12.05
21/03/2023,MSB,12.0
20/03/2023,MSB,11.95
17/03/2023,MSB,12.15
16/03/2023,MSB,12.05
15/03/2023,MSB,12.25
14/03/2023,MSB,12.0
13/03/2023,MSB,12.1
10/03/2023,MSB,12.3
09/03/2023,MSB,12.4
08/03/2023,MSB,12.3
07/03/2023,MSB,12.2
06/03/2023,MSB,12.2
03/03/2023,MSB,12.1
02/03/2023,MSB,12.35
01/03/2023,MSB,12.4
28/02/2023,MSB,12.05
27/02/2023,MSB,12.0
24/02/2023,MSB,12.2
23/02/2023,MSB,12.5
22/02/2023,MSB,12.45
21/02/2023,MSB,12.9
20/02/2023,MSB,13.0
17/02/2023,MSB,12.5
16/02/2023,MSB,12.4
15/02/2023,MSB,12.3
14/02/2023,MSB,12.25
13/02/2023,MSB,12.2
10/02/2023,MSB,12.55
09/02/2023,MSB,12.65
08/02/2023,MSB,12.7
07/02/2023,MSB,12.6
06/02/2023,MSB,12.85
03/02/2023,MSB,12.15
02/02/2023,MSB,12.9
01/02/2023,MSB,13.0
