Ngay,Symbol,GiaDongCua
29/12/2023,OCB,13.3
28/12/2023,OCB,13.3
27/12/2023,OCB,13.3
26/12/2023,OCB,13.25
25/12/2023,OCB,13.2
22/12/2023,OCB,13.1
21/12/2023,OCB,13.25
20/12/2023,OCB,13.2
19/12/2023,OCB,13.2
18/12/2023,OCB,13.15
15/12/2023,OCB,13.4
14/12/2023,OCB,13.55
13/12/2023,OCB,13.65
12/12/2023,OCB,13.9
11/12/2023,OCB,13.9
08/12/2023,OCB,14.1
07/12/2023,OCB,14.1
06/12/2023,OCB,14.0
05/12/2023,OCB,13.65
04/12/2023,OCB,13.55
01/12/2023,OCB,13.35
30/11/2023,OCB,13.35
29/11/2023,OCB,13.6
28/11/2023,OCB,13.35
27/11/2023,OCB,13.35
24/11/2023,OCB,13.55
23/11/2023,OCB,13.65
22/11/2023,OCB,13.75
21/11/2023,OCB,13.8
20/11/2023,OCB,13.7
17/11/2023,OCB,13.8
16/11/2023,OCB,14.1
15/11/2023,OCB,14.0
14/11/2023,OCB,13.9
13/11/2023,OCB,13.75
10/11/2023,OCB,13.75
09/11/2023,OCB,13.65
08/11/2023,OCB,13.8
07/11/2023,OCB,13.35
06/11/2023,OCB,13.65
03/11/2023,OCB,13.9
02/11/2023,OCB,13.2
01/11/2023,OCB,12.8
31/10/2023,OCB,12.75
30/10/2023,OCB,12.55
27/10/2023,OCB,12.5
26/10/2023,OCB,12.3
25/10/2023,OCB,12.8
24/10/2023,OCB,13.0
23/10/2023,OCB,12.4
20/10/2023,OCB,12.6
19/10/2023,OCB,12.15
18/10/2023,OCB,12.1
17/10/2023,OCB,12.6
16/10/2023,OCB,12.8
13/10/2023,OCB,13.0
12/10/2023,OCB,13.1
11/10/2023,OCB,13.2
10/10/2023,OCB,13.25
09/10/2023,OCB,13.25
06/10/2023,OCB,13.25
05/10/2023,OCB,12.95
04/10/2023,OCB,13.25
03/10/2023,OCB,13.0
02/10/2023,OCB,13.65
29/09/2023,OCB,13.4
28/09/2023,OCB,13.4
27/09/2023,OCB,13.5
26/09/2023,OCB,13.45
25/09/2023,OCB,13.45
22/09/2023,OCB,14.2
21/09/2023,OCB,14.7
20/09/2023,OCB,14.5
19/09/2023,OCB,20.9
18/09/2023,OCB,21.3
15/09/2023,OCB,21.7
14/09/2023,OCB,21.8
13/09/2023,OCB,22.0
12/09/2023,OCB,22.0
11/09/2023,OCB,21.9
08/09/2023,OCB,21.3
07/09/2023,OCB,21.2
06/09/2023,OCB,20.7
05/09/2023,OCB,20.0
31/08/2023,OCB,19.6
30/08/2023,OCB,19.3
29/08/2023,OCB,18.75
28/08/2023,OCB,18.6
25/08/2023,OCB,18.4
24/08/2023,OCB,18.5
23/08/2023,OCB,18.35
22/08/2023,OCB,18.35
21/08/2023,OCB,18.3
18/08/2023,OCB,18.2
17/08/2023,OCB,19.4
16/08/2023,OCB,19.6
15/08/2023,OCB,19.55
14/08/2023,OCB,19.95
11/08/2023,OCB,19.8
10/08/2023,OCB,19.55
09/08/2023,OCB,19.2
08/08/2023,OCB,19.25
07/08/2023,OCB,19.05
04/08/2023,OCB,18.55
03/08/2023,OCB,18.8
02/08/2023,OCB,19.1
01/08/2023,OCB,18.95
31/07/2023,OCB,19.1
28/07/2023,OCB,18.85
27/07/2023,OCB,18.7
26/07/2023,OCB,18.9
25/07/2023,OCB,19.05
24/07/2023,OCB,18.4
21/07/2023,OCB,18.3
20/07/2023,OCB,18.1
19/07/2023,OCB,18.2
18/07/2023,OCB,18.35
17/07/2023,OCB,18.25
14/07/2023,OCB,18.2
13/07/2023,OCB,18.5
12/07/2023,OCB,18.4
11/07/2023,OCB,18.4
10/07/2023,OCB,18.35
07/07/2023,OCB,18.1
06/07/2023,OCB,18.05
05/07/2023,OCB,18.2
04/07/2023,OCB,18.4
03/07/2023,OCB,18.35
30/06/2023,OCB,18.3
29/06/2023,OCB,18.35
28/06/2023,OCB,18.5
27/06/2023,OCB,18.7
26/06/2023,OCB,18.8
23/06/2023,OCB,18.6
22/06/2023,OCB,18.55
21/06/2023,OCB,18.3
20/06/2023,OCB,18.3
19/06/2023,OCB,18.35
16/06/2023,OCB,18.45
15/06/2023,OCB,18.45
14/06/2023,OCB,18.55
13/06/2023,OCB,18.4
12/06/2023,OCB,18.45
09/06/2023,OCB,18.5
08/06/2023,OCB,18.3
07/06/2023,OCB,18.45
06/06/2023,OCB,18.65
05/06/2023,OCB,18.1
02/06/2023,OCB,18.45
01/06/2023,OCB,18.0
31/05/2023,OCB,16.95
30/05/2023,OCB,17.0
29/05/2023,OCB,16.95
26/05/2023,OCB,16.8
25/05/2023,OCB,16.7
24/05/2023,OCB,16.85
23/05/2023,OCB,17.0
22/05/2023,OCB,17.2
19/05/2023,OCB,17.0
18/05/2023,OCB,17.0
17/05/2023,OCB,17.0
16/05/2023,OCB,17.05
15/05/2023,OCB,17.0
12/05/2023,OCB,16.5
11/05/2023,OCB,16.5
10/05/2023,OCB,16.25
09/05/2023,OCB,15.85
08/05/2023,OCB,15.95
05/05/2023,OCB,15.75
04/05/2023,OCB,15.75
28/04/2023,OCB,15.65
27/04/2023,OCB,16.05
26/04/2023,OCB,16.0
25/04/2023,OCB,16.15
24/04/2023,OCB,16.25
21/04/2023,OCB,16.3
20/04/2023,OCB,16.4
19/04/2023,OCB,16.2
18/04/2023,OCB,16.45
17/04/2023,OCB,16.4
14/04/2023,OCB,16.5
13/04/2023,OCB,16.6
12/04/2023,OCB,16.6
11/04/2023,OCB,16.9
10/04/2023,OCB,16.9
07/04/2023,OCB,16.9
06/04/2023,OCB,16.4
05/04/2023,OCB,16.75
04/04/2023,OCB,16.75
03/04/2023,OCB,16.8
31/03/2023,OCB,16.6
30/03/2023,OCB,16.2
29/03/2023,OCB,16.25
28/03/2023,OCB,15.8
27/03/2023,OCB,15.75
24/03/2023,OCB,15.8
23/03/2023,OCB,15.6
22/03/2023,OCB,15.4
21/03/2023,OCB,15.4
20/03/2023,OCB,15.35
17/03/2023,OCB,15.6
16/03/2023,OCB,15.65
15/03/2023,OCB,16.0
14/03/2023,OCB,15.5
13/03/2023,OCB,15.9
10/03/2023,OCB,16.2
09/03/2023,OCB,16.45
08/03/2023,OCB,16.05
07/03/2023,OCB,16.0
06/03/2023,OCB,16.0
03/03/2023,OCB,16.1
02/03/2023,OCB,16.2
01/03/2023,OCB,16.05
28/02/2023,OCB,16.25
27/02/2023,OCB,16.35
24/02/2023,OCB,16.85
23/02/2023,OCB,17.35
22/02/2023,OCB,16.9
21/02/2023,OCB,17.4
20/02/2023,OCB,17.65
17/02/2023,OCB,17.25
16/02/2023,OCB,17.1
15/02/2023,OCB,17.2
14/02/2023,OCB,17.35
13/02/2023,OCB,16.85
10/02/2023,OCB,18.1
09/02/2023,OCB,18.5
08/02/2023,OCB,18.1
07/02/2023,OCB,18.6
06/02/2023,OCB,19.4
03/02/2023,OCB,19.4
02/02/2023,OCB,18.8
01/02/2023,OCB,18.1
31/01/2023,OCB,18.8
30/01/2023,OCB,18.55
27/01/2023,OCB,18.7
19/01/2023,OCB,17.8
18/01/2023,OCB,17.7
17/01/2023,OCB,17.8
16/01/2023,OCB,17.4
13/01/2023,OCB,17.35
12/01/2023,OCB,17.65
11/01/2023,OCB,17.9
10/01/2023,OCB,17.8
09/01/2023,OCB,17.9
06/01/2023,OCB,17.9
05/01/2023,OCB,17.8
04/01/2023,OCB,18.0
03/01/2023,OCB,18.05
30/12/2022,OCB,18.0
29/12/2022,OCB,17.95
28/12/2022,OCB,17.8
27/12/2022,OCB,16.8
