Ngay,Symbol,GiaDongCua
29/12/2023,SSB,23.9
28/12/2023,SSB,23.65
27/12/2023,SSB,22.65
26/12/2023,SSB,22.7
25/12/2023,SSB,22.65
22/12/2023,SSB,22.6
21/12/2023,SSB,22.6
20/12/2023,SSB,22.6
19/12/2023,SSB,22.6
18/12/2023,SSB,22.6
15/12/2023,SSB,22.6
14/12/2023,SSB,22.6
13/12/2023,SSB,22.6
12/12/2023,SSB,22.65
11/12/2023,SSB,22.65
08/12/2023,SSB,22.7
07/12/2023,SSB,22.7
06/12/2023,SSB,22.7
05/12/2023,SSB,22.7
04/12/2023,SSB,22.75
01/12/2023,SSB,22.7
30/11/2023,SSB,22.6
29/11/2023,SSB,23.05
28/11/2023,SSB,23.05
27/11/2023,SSB,23.05
24/11/2023,SSB,23.1
23/11/2023,SSB,23.0
22/11/2023,SSB,23.1
21/11/2023,SSB,23.15
20/11/2023,SSB,23.15
17/11/2023,SSB,23.15
16/11/2023,SSB,23.45
15/11/2023,SSB,23.5
14/11/2023,SSB,23.15
13/11/2023,SSB,23.0
10/11/2023,SSB,23.8
09/11/2023,SSB,24.5
08/11/2023,SSB,24.95
07/11/2023,SSB,24.4
06/11/2023,SSB,25.3
03/11/2023,SSB,24.3
02/11/2023,SSB,25.95
01/11/2023,SSB,25.9
31/10/2023,SSB,25.8
30/10/2023,SSB,25.35
27/10/2023,SSB,25.55
26/10/2023,SSB,25.5
25/10/2023,SSB,25.9
24/10/2023,SSB,25.8
23/10/2023,SSB,24.8
20/10/2023,SSB,24.45
19/10/2023,SSB,24.6
18/10/2023,SSB,24.7
17/10/2023,SSB,24.75
16/10/2023,SSB,24.8
13/10/2023,SSB,24.8
12/10/2023,SSB,24.75
11/10/2023,SSB,24.75
10/10/2023,SSB,24.6
09/10/2023,SSB,24.55
06/10/2023,SSB,24.5
05/10/2023,SSB,24.5
04/10/2023,SSB,24.45
03/10/2023,SSB,24.9
02/10/2023,SSB,25.0
29/09/2023,SSB,25.0
28/09/2023,SSB,25.0
27/09/2023,SSB,26.25
26/09/2023,SSB,26.2
25/09/2023,SSB,26.0
22/09/2023,SSB,25.5
21/09/2023,SSB,26.5
20/09/2023,SSB,26.5
19/09/2023,SSB,26.8
18/09/2023,SSB,26.8
15/09/2023,SSB,27.0
14/09/2023,SSB,26.3
13/09/2023,SSB,27.15
12/09/2023,SSB,27.35
11/09/2023,SSB,27.0
08/09/2023,SSB,27.5
07/09/2023,SSB,27.45
06/09/2023,SSB,27.8
05/09/2023,SSB,27.5
31/08/2023,SSB,28.1
30/08/2023,SSB,28.1
29/08/2023,SSB,28.35
28/08/2023,SSB,28.3
25/08/2023,SSB,28.2
24/08/2023,SSB,28.45
23/08/2023,SSB,28.2
22/08/2023,SSB,28.2
21/08/2023,SSB,26.6
18/08/2023,SSB,27.45
17/08/2023,SSB,29.4
16/08/2023,SSB,29.5
15/08/2023,SSB,29.5
14/08/2023,SSB,29.75
11/08/2023,SSB,30.4
10/08/2023,SSB,30.0
09/08/2023,SSB,30.0
08/08/2023,SSB,30.3
07/08/2023,SSB,30.25
04/08/2023,SSB,29.0
03/08/2023,SSB,30.25
02/08/2023,SSB,30.25
01/08/2023,SSB,29.95
31/07/2023,SSB,29.15
28/07/2023,SSB,29.7
27/07/2023,SSB,29.65
26/07/2023,SSB,29.6
25/07/2023,SSB,29.5
24/07/2023,SSB,29.4
21/07/2023,SSB,29.3
20/07/2023,SSB,29.3
19/07/2023,SSB,29.3
18/07/2023,SSB,29.3
17/07/2023,SSB,29.1
14/07/2023,SSB,29.0
13/07/2023,SSB,28.95
12/07/2023,SSB,28.7
11/07/2023,SSB,28.9
10/07/2023,SSB,28.75
07/07/2023,SSB,28.65
06/07/2023,SSB,28.6
05/07/2023,SSB,27.3
04/07/2023,SSB,27.1
03/07/2023,SSB,27.05
30/06/2023,SSB,27.05
29/06/2023,SSB,27.15
28/06/2023,SSB,27.3
27/06/2023,SSB,27.2
26/06/2023,SSB,27.15
23/06/2023,SSB,27.15
22/06/2023,SSB,31.9
21/06/2023,SSB,31.75
20/06/2023,SSB,31.5
19/06/2023,SSB,31.45
16/06/2023,SSB,31.45
15/06/2023,SSB,31.5
14/06/2023,SSB,31.5
13/06/2023,SSB,31.5
12/06/2023,SSB,31.55
09/06/2023,SSB,31.35
08/06/2023,SSB,31.4
07/06/2023,SSB,31.6
06/06/2023,SSB,31.55
05/06/2023,SSB,31.5
02/06/2023,SSB,31.3
01/06/2023,SSB,30.55
31/05/2023,SSB,30.35
30/05/2023,SSB,30.2
29/05/2023,SSB,30.2
26/05/2023,SSB,30.05
25/05/2023,SSB,29.9
24/05/2023,SSB,29.9
23/05/2023,SSB,30.0
22/05/2023,SSB,30.15
19/05/2023,SSB,29.95
18/05/2023,SSB,30.05
17/05/2023,SSB,30.05
16/05/2023,SSB,30.35
15/05/2023,SSB,30.8
12/05/2023,SSB,31.0
11/05/2023,SSB,31.2
10/05/2023,SSB,31.4
09/05/2023,SSB,31.55
08/05/2023,SSB,31.55
05/05/2023,SSB,31.45
04/05/2023,SSB,31.45
28/04/2023,SSB,31.95
27/04/2023,SSB,30.6
