Ngay,Symbol,GiaDongCua
29/12/2023,STB,27.95
28/12/2023,STB,27.6
27/12/2023,STB,27.4
26/12/2023,STB,27.5
25/12/2023,STB,27.5
22/12/2023,STB,27.2
21/12/2023,STB,26.6
20/12/2023,STB,26.95
19/12/2023,STB,26.6
18/12/2023,STB,26.3
15/12/2023,STB,27.1
14/12/2023,STB,27.1
13/12/2023,STB,27.45
12/12/2023,STB,28.0
11/12/2023,STB,27.85
08/12/2023,STB,28.2
07/12/2023,STB,28.55
06/12/2023,STB,28.1
05/12/2023,STB,27.8
04/12/2023,STB,28.2
01/12/2023,STB,27.5
30/11/2023,STB,27.5
29/11/2023,STB,27.8
28/11/2023,STB,28.15
27/11/2023,STB,27.4
24/11/2023,STB,28.3
23/11/2023,STB,28.2
22/11/2023,STB,29.1
21/11/2023,STB,29.3
20/11/2023,STB,29.2
17/11/2023,STB,29.35
16/11/2023,STB,30.2
15/11/2023,STB,30.0
14/11/2023,STB,30.0
13/11/2023,STB,29.25
10/11/2023,STB,29.5
09/11/2023,STB,29.65
08/11/2023,STB,30.0
07/11/2023,STB,29.0
06/11/2023,STB,29.45
03/11/2023,STB,28.5
02/11/2023,STB,29.0
01/11/2023,STB,27.65
31/10/2023,STB,27.0
30/10/2023,STB,27.0
27/10/2023,STB,28.7
26/10/2023,STB,28.1
25/10/2023,STB,29.55
24/10/2023,STB,30.0
23/10/2023,STB,29.7
20/10/2023,STB,30.1
19/10/2023,STB,29.0
18/10/2023,STB,29.7
17/10/2023,STB,30.0
16/10/2023,STB,30.2
13/10/2023,STB,31.5
12/10/2023,STB,31.6
11/10/2023,STB,31.75
10/10/2023,STB,31.25
09/10/2023,STB,31.2
06/10/2023,STB,30.95
05/10/2023,STB,29.9
04/10/2023,STB,30.2
03/10/2023,STB,29.2
02/10/2023,STB,30.85
29/09/2023,STB,30.65
28/09/2023,STB,30.75
27/09/2023,STB,31.8
26/09/2023,STB,31.35
25/09/2023,STB,31.65
22/09/2023,STB,32.9
21/09/2023,STB,32.35
20/09/2023,STB,33.25
19/09/2023,STB,33.3
18/09/2023,STB,32.6
15/09/2023,STB,32.5
14/09/2023,STB,31.8
13/09/2023,STB,31.95
12/09/2023,STB,32.35
11/09/2023,STB,31.6
08/09/2023,STB,32.5
07/09/2023,STB,33.0
06/09/2023,STB,33.05
05/09/2023,STB,32.7
31/08/2023,STB,32.65
30/08/2023,STB,32.5
29/08/2023,STB,31.75
28/08/2023,STB,31.65
25/08/2023,STB,31.1
24/08/2023,STB,31.55
23/08/2023,STB,30.9
22/08/2023,STB,32.15
21/08/2023,STB,31.8
18/08/2023,STB,31.3
17/08/2023,STB,32.35
16/08/2023,STB,32.9
15/08/2023,STB,31.5
14/08/2023,STB,31.9
11/08/2023,STB,31.85
10/08/2023,STB,30.55
09/08/2023,STB,31.2
08/08/2023,STB,29.8
07/08/2023,STB,30.05
04/08/2023,STB,28.95
03/08/2023,STB,28.6
02/08/2023,STB,29.1
01/08/2023,STB,28.95
31/07/2023,STB,28.95
28/07/2023,STB,28.65
27/07/2023,STB,28.1
26/07/2023,STB,28.3
25/07/2023,STB,28.5
24/07/2023,STB,28.7
21/07/2023,STB,28.75
20/07/2023,STB,27.85
19/07/2023,STB,28.25
18/07/2023,STB,28.45
17/07/2023,STB,28.0
14/07/2023,STB,29.0
13/07/2023,STB,30.0
12/07/2023,STB,29.8
11/07/2023,STB,30.0
10/07/2023,STB,29.85
07/07/2023,STB,29.6
06/07/2023,STB,29.1
05/07/2023,STB,29.9
04/07/2023,STB,29.85
03/07/2023,STB,29.7
30/06/2023,STB,29.8
29/06/2023,STB,29.55
28/06/2023,STB,29.9
27/06/2023,STB,29.6
26/06/2023,STB,29.6
23/06/2023,STB,30.3
22/06/2023,STB,30.0
21/06/2023,STB,29.4
20/06/2023,STB,29.25
19/06/2023,STB,28.75
16/06/2023,STB,29.0
15/06/2023,STB,27.8
14/06/2023,STB,27.8
13/06/2023,STB,28.2
12/06/2023,STB,28.2
09/06/2023,STB,28.1
08/06/2023,STB,27.6
07/06/2023,STB,28.35
06/06/2023,STB,28.3
05/06/2023,STB,28.05
02/06/2023,STB,28.3
01/06/2023,STB,28.0
31/05/2023,STB,27.7
30/05/2023,STB,27.7
29/05/2023,STB,27.7
26/05/2023,STB,27.2
25/05/2023,STB,27.0
24/05/2023,STB,27.4
23/05/2023,STB,27.95
22/05/2023,STB,28.15
19/05/2023,STB,27.85
18/05/2023,STB,27.2
17/05/2023,STB,27.0
16/05/2023,STB,27.4
15/05/2023,STB,27.0
12/05/2023,STB,26.8
11/05/2023,STB,26.4
10/05/2023,STB,26.35
09/05/2023,STB,25.75
08/05/2023,STB,25.65
05/05/2023,STB,24.95
04/05/2023,STB,25.15
28/04/2023,STB,25.3
27/04/2023,STB,25.15
26/04/2023,STB,25.4
25/04/2023,STB,25.05
24/04/2023,STB,25.55
21/04/2023,STB,25.6
20/04/2023,STB,25.7
19/04/2023,STB,25.5
18/04/2023,STB,25.9
17/04/2023,STB,25.9
14/04/2023,STB,25.7
