Ngay,Symbol,GiaDongCua
29/12/2023,TPB,17.4
28/12/2023,TPB,17.3
27/12/2023,TPB,17.35
26/12/2023,TPB,17.0
25/12/2023,TPB,17.05
22/12/2023,TPB,16.9
21/12/2023,TPB,16.9
20/12/2023,TPB,16.9
19/12/2023,TPB,17.0
18/12/2023,TPB,16.9
15/12/2023,TPB,16.95
14/12/2023,TPB,16.9
13/12/2023,TPB,17.0
12/12/2023,TPB,17.35
11/12/2023,TPB,17.35
08/12/2023,TPB,17.45
07/12/2023,TPB,17.55
06/12/2023,TPB,17.45
05/12/2023,TPB,17.05
04/12/2023,TPB,17.2
01/12/2023,TPB,17.1
30/11/2023,TPB,17.0
29/11/2023,TPB,16.85
28/11/2023,TPB,16.75
27/11/2023,TPB,16.65
24/11/2023,TPB,17.0
23/11/2023,TPB,17.0
22/11/2023,TPB,17.1
21/11/2023,TPB,17.05
20/11/2023,TPB,17.2
17/11/2023,TPB,17.0
16/11/2023,TPB,17.5
15/11/2023,TPB,17.7
14/11/2023,TPB,17.4
13/11/2023,TPB,17.25
10/11/2023,TPB,17.0
09/11/2023,TPB,17.1
08/11/2023,TPB,17.25
07/11/2023,TPB,16.55
06/11/2023,TPB,16.6
03/11/2023,TPB,16.05
02/11/2023,TPB,16.4
01/11/2023,TPB,15.8
31/10/2023,TPB,15.8
30/10/2023,TPB,16.0
27/10/2023,TPB,16.2
26/10/2023,TPB,16.0
25/10/2023,TPB,16.75
24/10/2023,TPB,16.8
23/10/2023,TPB,16.45
20/10/2023,TPB,16.5
19/10/2023,TPB,16.15
18/10/2023,TPB,16.25
17/10/2023,TPB,16.5
16/10/2023,TPB,16.8
13/10/2023,TPB,17.25
12/10/2023,TPB,17.2
11/10/2023,TPB,16.75
10/10/2023,TPB,16.75
09/10/2023,TPB,16.85
06/10/2023,TPB,16.8
05/10/2023,TPB,16.55
04/10/2023,TPB,16.6
03/10/2023,TPB,16.7
02/10/2023,TPB,17.5
29/09/2023,TPB,17.85
28/09/2023,TPB,18.05
27/09/2023,TPB,17.8
26/09/2023,TPB,17.7
25/09/2023,TPB,18.0
22/09/2023,TPB,18.55
21/09/2023,TPB,19.05
20/09/2023,TPB,19.5
19/09/2023,TPB,19.05
18/09/2023,TPB,18.95
15/09/2023,TPB,19.2
14/09/2023,TPB,19.0
13/09/2023,TPB,19.25
12/09/2023,TPB,19.2
11/09/2023,TPB,18.95
08/09/2023,TPB,19.4
07/09/2023,TPB,19.65
06/09/2023,TPB,19.75
05/09/2023,TPB,19.65
31/08/2023,TPB,19.6
30/08/2023,TPB,19.55
29/08/2023,TPB,19.0
28/08/2023,TPB,19.0
25/08/2023,TPB,18.85
24/08/2023,TPB,18.8
23/08/2023,TPB,18.5
22/08/2023,TPB,18.55
21/08/2023,TPB,18.5
18/08/2023,TPB,18.1
17/08/2023,TPB,18.85
16/08/2023,TPB,19.1
15/08/2023,TPB,19.0
14/08/2023,TPB,18.65
11/08/2023,TPB,18.65
10/08/2023,TPB,18.5
09/08/2023,TPB,18.85
08/08/2023,TPB,19.0
07/08/2023,TPB,19.3
04/08/2023,TPB,18.95
03/08/2023,TPB,18.45
02/08/2023,TPB,18.9
01/08/2023,TPB,18.8
31/07/2023,TPB,18.75
28/07/2023,TPB,18.7
27/07/2023,TPB,18.55
26/07/2023,TPB,18.8
25/07/2023,TPB,19.0
24/07/2023,TPB,18.65
21/07/2023,TPB,18.75
20/07/2023,TPB,18.8
19/07/2023,TPB,18.7
18/07/2023,TPB,18.95
17/07/2023,TPB,18.25
14/07/2023,TPB,18.15
13/07/2023,TPB,18.25
12/07/2023,TPB,18.15
11/07/2023,TPB,18.3
10/07/2023,TPB,18.2
07/07/2023,TPB,18.05
06/07/2023,TPB,18.2
05/07/2023,TPB,18.1
04/07/2023,TPB,18.15
03/07/2023,TPB,18.15
30/06/2023,TPB,18.0
29/06/2023,TPB,18.1
28/06/2023,TPB,18.45
27/06/2023,TPB,18.4
26/06/2023,TPB,18.45
23/06/2023,TPB,18.5
22/06/2023,TPB,18.4
21/06/2023,TPB,18.4
20/06/2023,TPB,18.25
19/06/2023,TPB,18.3
16/06/2023,TPB,18.2
15/06/2023,TPB,18.15
14/06/2023,TPB,18.15
13/06/2023,TPB,18.15
12/06/2023,TPB,18.4
09/06/2023,TPB,18.65
08/06/2023,TPB,25.6
07/06/2023,TPB,26.25
06/06/2023,TPB,25.8
05/06/2023,TPB,26.1
02/06/2023,TPB,26.3
01/06/2023,TPB,26.15
31/05/2023,TPB,25.0
30/05/2023,TPB,24.1
29/05/2023,TPB,24.3
26/05/2023,TPB,23.65
25/05/2023,TPB,23.4
24/05/2023,TPB,23.5
23/05/2023,TPB,23.7
22/05/2023,TPB,23.8
19/05/2023,TPB,23.45
18/05/2023,TPB,23.4
17/05/2023,TPB,23.25
16/05/2023,TPB,23.85
15/05/2023,TPB,23.9
12/05/2023,TPB,23.55
11/05/2023,TPB,23.6
10/05/2023,TPB,23.75
09/05/2023,TPB,23.55
08/05/2023,TPB,23.25
05/05/2023,TPB,23.35
04/05/2023,TPB,23.6
28/04/2023,TPB,23.8
27/04/2023,TPB,23.05
26/04/2023,TPB,23.0
25/04/2023,TPB,22.75
24/04/2023,TPB,22.85
21/04/2023,TPB,22.55
20/04/2023,TPB,22.4
19/04/2023,TPB,22.35
18/04/2023,TPB,22.8
17/04/2023,TPB,23.0
14/04/2023,TPB,23.2
13/04/2023,TPB,23.2
12/04/2023,TPB,23.1
11/04/2023,TPB,23.1
10/04/2023,TPB,23.1
07/04/2023,TPB,23.1
06/04/2023,TPB,23.1
05/04/2023,TPB,22.7
04/04/2023,TPB,22.6
03/04/2023,TPB,22.75
31/03/2023,TPB,22.2
30/03/2023,TPB,22.15
29/03/2023,TPB,21.9
28/03/2023,TPB,21.85
27/03/2023,TPB,21.9
24/03/2023,TPB,22.0
23/03/2023,TPB,22.05
22/03/2023,TPB,21.8
21/03/2023,TPB,21.6
20/03/2023,TPB,21.6
17/03/2023,TPB,25.3
16/03/2023,TPB,24.65
15/03/2023,TPB,24.65
14/03/2023,TPB,24.2
13/03/2023,TPB,24.3
10/03/2023,TPB,24.0
09/03/2023,TPB,24.5
08/03/2023,TPB,23.95
07/03/2023,TPB,23.5
06/03/2023,TPB,23.45
03/03/2023,TPB,23.4
02/03/2023,TPB,23.8
01/03/2023,TPB,24.0
28/02/2023,TPB,23.3
27/02/2023,TPB,23.25
24/02/2023,TPB,23.5
23/02/2023,TPB,24.0
22/02/2023,TPB,23.55
21/02/2023,TPB,24.8
20/02/2023,TPB,24.6
17/02/2023,TPB,23.85
16/02/2023,TPB,24.0
15/02/2023,TPB,23.8
14/02/2023,TPB,23.5
13/02/2023,TPB,23.0
10/02/2023,TPB,23.55
09/02/2023,TPB,24.25
08/02/2023,TPB,24.6
07/02/2023,TPB,24.4
06/02/2023,TPB,24.1
03/02/2023,TPB,24.0
02/02/2023,TPB,23.9
01/02/2023,TPB,23.7
31/01/2023,TPB,25.0
30/01/2023,TPB,23.9
27/01/2023,TPB,24.5
19/01/2023,TPB,24.0
18/01/2023,TPB,23.6
17/01/2023,TPB,23.0
16/01/2023,TPB,22.0
13/01/2023,TPB,22.4
12/01/2023,TPB,22.4
11/01/2023,TPB,22.45
10/01/2023,TPB,22.5
09/01/2023,TPB,22.5
06/01/2023,TPB,22.5
05/01/2023,TPB,22.55
04/01/2023,TPB,22.0
03/01/2023,TPB,21.9
30/12/2022,TPB,21.05
29/12/2022,TPB,21.4
28/12/2022,TPB,21.4
27/12/2022,TPB,21.05
26/12/2022,TPB,21.0
23/12/2022,TPB,22.0
22/12/2022,TPB,22.35
21/12/2022,TPB,21.6
20/12/2022,TPB,22.0
19/12/2022,TPB,22.5
16/12/2022,TPB,23.0
15/12/2022,TPB,23.0
14/12/2022,TPB,22.8
13/12/2022,TPB,23.0
12/12/2022,TPB,22.9
09/12/2022,TPB,22.5
08/12/2022,TPB,22.0
07/12/2022,TPB,20.95
06/12/2022,TPB,21.6
05/12/2022,TPB,23.15
02/12/2022,TPB,22.8
01/12/2022,TPB,21.8
30/11/2022,TPB,22.0
29/11/2022,TPB,21.5
28/11/2022,TPB,21.0
25/11/2022,TPB,20.3
24/11/2022,TPB,20.0
23/11/2022,TPB,20.0
22/11/2022,TPB,20.65
21/11/2022,TPB,20.6
18/11/2022,TPB,20.6
17/11/2022,TPB,20.85
16/11/2022,TPB,20.85
15/11/2022,TPB,19.9
14/11/2022,TPB,19.7
11/11/2022,TPB,19.9
10/11/2022,TPB,19.9
09/11/2022,TPB,20.2
08/11/2022,TPB,20.5
07/11/2022,TPB,20.1
04/11/2022,TPB,21.3
03/11/2022,TPB,21.25
02/11/2022,TPB,21.55
01/11/2022,TPB,21.8
31/10/2022,TPB,20.7
28/10/2022,TPB,20.85
27/10/2022,TPB,21.0
26/10/2022,TPB,20.0
25/10/2022,TPB,20.15
24/10/2022,TPB,20.15
21/10/2022,TPB,20.1
20/10/2022,TPB,20.6
19/10/2022,TPB,20.55
18/10/2022,TPB,20.6
17/10/2022,TPB,20.6
14/10/2022,TPB,20.6
13/10/2022,TPB,20.6
12/10/2022,TPB,20.5
11/10/2022,TPB,19.35
10/10/2022,TPB,20.8
07/10/2022,TPB,22.35
06/10/2022,TPB,24.0
05/10/2022,TPB,24.0
04/10/2022,TPB,23.8
03/10/2022,TPB,23.85
30/09/2022,TPB,25.0
29/09/2022,TPB,24.7
28/09/2022,TPB,24.65
27/09/2022,TPB,24.9
26/09/2022,TPB,24.9
23/09/2022,TPB,25.05
22/09/2022,TPB,25.35
21/09/2022,TPB,25.25
20/09/2022,TPB,25.4
19/09/2022,TPB,25.0
16/09/2022,TPB,26.3
15/09/2022,TPB,26.55
14/09/2022,TPB,26.55
13/09/2022,TPB,26.85
12/09/2022,TPB,26.95
09/09/2022,TPB,27.0
08/09/2022,TPB,26.9
07/09/2022,TPB,27.3
06/09/2022,TPB,28.0
05/09/2022,TPB,28.0
31/08/2022,TPB,28.0
30/08/2022,TPB,27.9
29/08/2022,TPB,27.7
26/08/2022,TPB,28.4
25/08/2022,TPB,28.8
24/08/2022,TPB,28.1
23/08/2022,TPB,28.0
22/08/2022,TPB,27.9
19/08/2022,TPB,28.4
18/08/2022,TPB,28.7
17/08/2022,TPB,28.7
16/08/2022,TPB,28.85
15/08/2022,TPB,28.95
12/08/2022,TPB,28.6
11/08/2022,TPB,28.5
10/08/2022,TPB,28.3
09/08/2022,TPB,28.6
08/08/2022,TPB,28.55
05/08/2022,TPB,28.8
04/08/2022,TPB,28.8
03/08/2022,TPB,28.0
