Ngay,GiaDongCua
29/12/2023,19.2
28/12/2023,18.8
27/12/2023,18.5
26/12/2023,18.5
25/12/2023,18.5
22/12/2023,18.15
21/12/2023,18.2
20/12/2023,18.25
19/12/2023,18.3
18/12/2023,18.4
15/12/2023,18.7
14/12/2023,19.0
13/12/2023,19.2
12/12/2023,19.45
11/12/2023,19.4
08/12/2023,19.6
07/12/2023,19.65
06/12/2023,19.4
05/12/2023,19.15
04/12/2023,19.5
01/12/2023,19.3
30/11/2023,19.1
29/11/2023,19.25
28/11/2023,19.35
27/11/2023,19.2
24/11/2023,19.2
23/11/2023,19.15
22/11/2023,19.65
21/11/2023,19.65
20/11/2023,19.5
17/11/2023,19.3
16/11/2023,19.9
15/11/2023,19.95
14/11/2023,19.6
13/11/2023,19.2
10/11/2023,19.55
09/11/2023,20.0
08/11/2023,21.35
07/11/2023,20.7
06/11/2023,20.8
03/11/2023,19.8
02/11/2023,20.3
01/11/2023,19.8
31/10/2023,20.0
30/10/2023,19.9
27/10/2023,20.2
26/10/2023,20.2
25/10/2023,21.0
24/10/2023,21.05
23/10/2023,21.05
20/10/2023,21.6
19/10/2023,21.45
18/10/2023,22.5
17/10/2023,22.7
16/10/2023,22.5
13/10/2023,21.95
12/10/2023,21.85
11/10/2023,21.8
10/10/2023,21.6
09/10/2023,21.4
06/10/2023,20.95
05/10/2023,20.8
04/10/2023,21.0
03/10/2023,21.0
02/10/2023,21.8
29/09/2023,21.7
28/09/2023,21.2
27/09/2023,21.0
26/09/2023,20.45
25/09/2023,20.4
22/09/2023,21.25
21/09/2023,21.65
20/09/2023,21.9
19/09/2023,21.9
18/09/2023,22.15
15/09/2023,22.55
14/09/2023,22.4
13/09/2023,22.45
12/09/2023,22.3
11/09/2023,21.9
08/09/2023,21.8
07/09/2023,21.75
06/09/2023,21.8
05/09/2023,21.0
31/08/2023,20.95
30/08/2023,20.8
29/08/2023,20.85
28/08/2023,20.3
25/08/2023,20.2
24/08/2023,20.5
23/08/2023,20.25
22/08/2023,20.6
21/08/2023,20.8
18/08/2023,20.6
17/08/2023,22.15
16/08/2023,22.4
15/08/2023,22.0
14/08/2023,21.95
11/08/2023,22.0
10/08/2023,21.95
09/08/2023,22.05
08/08/2023,22.2
07/08/2023,22.65
