Ngay,Symbol,GiaDongCua
29/12/2023,BFC,24.7
28/12/2023,BFC,25.2
27/12/2023,BFC,25.1
26/12/2023,BFC,25.1
25/12/2023,BFC,25.05
22/12/2023,BFC,24.35
21/12/2023,BFC,24.35
20/12/2023,BFC,23.6
19/12/2023,BFC,23.7
18/12/2023,BFC,23.0
15/12/2023,BFC,24.55
14/12/2023,BFC,24.8
13/12/2023,BFC,25.05
12/12/2023,BFC,25.4
11/12/2023,BFC,24.65
08/12/2023,BFC,24.95
07/12/2023,BFC,24.95
06/12/2023,BFC,23.6
05/12/2023,BFC,24.25
04/12/2023,BFC,24.25
01/12/2023,BFC,24.15
30/11/2023,BFC,24.15
29/11/2023,BFC,23.45
28/11/2023,BFC,23.5
27/11/2023,BFC,23.6
24/11/2023,BFC,23.2
23/11/2023,BFC,22.0
22/11/2023,BFC,23.05
21/11/2023,BFC,23.3
20/11/2023,BFC,22.85
17/11/2023,BFC,21.9
16/11/2023,BFC,21.6
15/11/2023,BFC,20.2
14/11/2023,BFC,20.2
13/11/2023,BFC,19.9
10/11/2023,BFC,20.25
09/11/2023,BFC,20.7
08/11/2023,BFC,20.5
07/11/2023,BFC,19.65
06/11/2023,BFC,19.7
03/11/2023,BFC,19.75
02/11/2023,BFC,19.65
01/11/2023,BFC,18.95
31/10/2023,BFC,18.9
30/10/2023,BFC,19.15
27/10/2023,BFC,19.8
26/10/2023,BFC,19.9
25/10/2023,BFC,20.25
24/10/2023,BFC,20.95
23/10/2023,BFC,20.0
20/10/2023,BFC,20.5
19/10/2023,BFC,20.0
18/10/2023,BFC,20.2
17/10/2023,BFC,20.2
16/10/2023,BFC,21.2
13/10/2023,BFC,20.8
12/10/2023,BFC,20.6
11/10/2023,BFC,20.5
10/10/2023,BFC,19.9
09/10/2023,BFC,19.85
06/10/2023,BFC,19.3
05/10/2023,BFC,19.3
04/10/2023,BFC,19.4
03/10/2023,BFC,18.6
02/10/2023,BFC,19.35
29/09/2023,BFC,18.9
28/09/2023,BFC,18.8
27/09/2023,BFC,18.7
26/09/2023,BFC,18.45
25/09/2023,BFC,18.55
22/09/2023,BFC,19.85
21/09/2023,BFC,20.2
20/09/2023,BFC,20.2
19/09/2023,BFC,19.9
18/09/2023,BFC,19.55
15/09/2023,BFC,19.8
14/09/2023,BFC,20.0
13/09/2023,BFC,20.4
12/09/2023,BFC,20.5
11/09/2023,BFC,20.8
08/09/2023,BFC,20.8
07/09/2023,BFC,19.45
06/09/2023,BFC,19.6
05/09/2023,BFC,19.4
31/08/2023,BFC,19.3
30/08/2023,BFC,18.8
29/08/2023,BFC,18.85
28/08/2023,BFC,19.05
25/08/2023,BFC,18.6
24/08/2023,BFC,18.6
23/08/2023,BFC,18.35
22/08/2023,BFC,18.5
21/08/2023,BFC,18.5
18/08/2023,BFC,18.3
17/08/2023,BFC,19.45
16/08/2023,BFC,19.5
15/08/2023,BFC,19.7
14/08/2023,BFC,19.7
11/08/2023,BFC,19.5
10/08/2023,BFC,19.65
09/08/2023,BFC,19.75
08/08/2023,BFC,20.15
07/08/2023,BFC,20.1
04/08/2023,BFC,19.6
03/08/2023,BFC,19.2
02/08/2023,BFC,19.4
01/08/2023,BFC,19.5
31/07/2023,BFC,20.3
28/07/2023,BFC,19.65
27/07/2023,BFC,19.4
26/07/2023,BFC,19.2
25/07/2023,BFC,19.55
24/07/2023,BFC,19.4
21/07/2023,BFC,19.25
20/07/2023,BFC,19.2
19/07/2023,BFC,19.05
18/07/2023,BFC,19.1
17/07/2023,BFC,19.4
14/07/2023,BFC,19.55
13/07/2023,BFC,19.55
12/07/2023,BFC,19.2
11/07/2023,BFC,19.05
10/07/2023,BFC,19.3
07/07/2023,BFC,18.65
06/07/2023,BFC,18.45
05/07/2023,BFC,18.95
04/07/2023,BFC,18.0
03/07/2023,BFC,18.55
30/06/2023,BFC,17.95
29/06/2023,BFC,18.5
28/06/2023,BFC,18.4
27/06/2023,BFC,17.2
26/06/2023,BFC,16.7
23/06/2023,BFC,16.7
22/06/2023,BFC,16.8
21/06/2023,BFC,16.3
20/06/2023,BFC,16.25
19/06/2023,BFC,16.05
16/06/2023,BFC,16.6
15/06/2023,BFC,17.0
14/06/2023,BFC,18.65
13/06/2023,BFC,18.7
12/06/2023,BFC,18.65
09/06/2023,BFC,18.3
08/06/2023,BFC,18.4
07/06/2023,BFC,18.7
06/06/2023,BFC,18.7
05/06/2023,BFC,18.8
02/06/2023,BFC,18.1
01/06/2023,BFC,17.95
31/05/2023,BFC,18.0
30/05/2023,BFC,17.85
29/05/2023,BFC,17.4
26/05/2023,BFC,17.15
25/05/2023,BFC,17.15
24/05/2023,BFC,17.25
23/05/2023,BFC,17.75
22/05/2023,BFC,17.5
19/05/2023,BFC,17.3
18/05/2023,BFC,17.3
17/05/2023,BFC,17.1
16/05/2023,BFC,17.35
15/05/2023,BFC,17.4
12/05/2023,BFC,17.35
11/05/2023,BFC,17.4
10/05/2023,BFC,17.1
09/05/2023,BFC,17.0
08/05/2023,BFC,17.25
05/05/2023,BFC,17.8
04/05/2023,BFC,16.7
28/04/2023,BFC,16.4
27/04/2023,BFC,16.4
26/04/2023,BFC,16.3
25/04/2023,BFC,16.25
24/04/2023,BFC,16.45
21/04/2023,BFC,16.35
20/04/2023,BFC,16.4
19/04/2023,BFC,16.4
18/04/2023,BFC,16.4
17/04/2023,BFC,16.4
14/04/2023,BFC,16.0
13/04/2023,BFC,17.15
12/04/2023,BFC,17.1
11/04/2023,BFC,16.85
10/04/2023,BFC,16.8
07/04/2023,BFC,17.25
06/04/2023,BFC,17.25
05/04/2023,BFC,16.85
04/04/2023,BFC,16.7
03/04/2023,BFC,16.55
31/03/2023,BFC,16.45
30/03/2023,BFC,16.45
29/03/2023,BFC,16.35
28/03/2023,BFC,16.4
27/03/2023,BFC,16.35
24/03/2023,BFC,16.3
23/03/2023,BFC,16.35
22/03/2023,BFC,16.35
21/03/2023,BFC,16.45
20/03/2023,BFC,16.3
17/03/2023,BFC,16.35
16/03/2023,BFC,16.45
15/03/2023,BFC,16.55
14/03/2023,BFC,16.3
13/03/2023,BFC,16.45
10/03/2023,BFC,16.4
09/03/2023,BFC,16.35
08/03/2023,BFC,16.35
07/03/2023,BFC,16.1
06/03/2023,BFC,16.7
03/03/2023,BFC,16.7
02/03/2023,BFC,16.6
01/03/2023,BFC,16.5
28/02/2023,BFC,16.2
27/02/2023,BFC,16.15
24/02/2023,BFC,16.5
23/02/2023,BFC,16.9
22/02/2023,BFC,16.9
21/02/2023,BFC,17.25
20/02/2023,BFC,17.5
17/02/2023,BFC,17.35
16/02/2023,BFC,16.95
15/02/2023,BFC,16.9
14/02/2023,BFC,16.55
13/02/2023,BFC,16.2
10/02/2023,BFC,17.0
09/02/2023,BFC,17.0
08/02/2023,BFC,16.65
07/02/2023,BFC,16.55
06/02/2023,BFC,16.85
03/02/2023,BFC,16.8
02/02/2023,BFC,16.75
01/02/2023,BFC,17.4
31/01/2023,BFC,17.8
30/01/2023,BFC,17.8
27/01/2023,BFC,17.8
19/01/2023,BFC,17.35
18/01/2023,BFC,17.15
17/01/2023,BFC,16.9
16/01/2023,BFC,17.5
13/01/2023,BFC,17.3
12/01/2023,BFC,17.5
11/01/2023,BFC,17.6
10/01/2023,BFC,17.4
09/01/2023,BFC,17.25
06/01/2023,BFC,17.5
05/01/2023,BFC,17.6
04/01/2023,BFC,17.75
03/01/2023,BFC,17.8
30/12/2022,BFC,16.75
29/12/2022,BFC,16.85
28/12/2022,BFC,17.0
27/12/2022,BFC,16.5
26/12/2022,BFC,16.9
23/12/2022,BFC,17.55
22/12/2022,BFC,17.9
21/12/2022,BFC,17.8
20/12/2022,BFC,18.4
19/12/2022,BFC,18.75
16/12/2022,BFC,18.5
15/12/2022,BFC,18.65
14/12/2022,BFC,18.8
13/12/2022,BFC,18.45
12/12/2022,BFC,19.0
09/12/2022,BFC,18.95
08/12/2022,BFC,19.15
07/12/2022,BFC,18.8
06/12/2022,BFC,19.3
05/12/2022,BFC,18.05
02/12/2022,BFC,17.75
01/12/2022,BFC,17.6
30/11/2022,BFC,17.6
29/11/2022,BFC,17.0
28/11/2022,BFC,16.75
25/11/2022,BFC,16.0
24/11/2022,BFC,15.75
23/11/2022,BFC,15.75
22/11/2022,BFC,15.8
21/11/2022,BFC,15.5
18/11/2022,BFC,15.4
17/11/2022,BFC,15.4
16/11/2022,BFC,14.95
