Ngay,GiaDongCua
29/12/2023,12.1
28/12/2023,12.1
27/12/2023,12.1
26/12/2023,12.0
25/12/2023,11.5
22/12/2023,12.1
21/12/2023,11.5
20/12/2023,11.5
19/12/2023,11.5
18/12/2023,12.0
15/12/2023,12.0
14/12/2023,11.5
13/12/2023,12.15
12/12/2023,12.1
11/12/2023,12.25
08/12/2023,12.3
07/12/2023,11.9
06/12/2023,11.9
05/12/2023,11.8
04/12/2023,11.75
01/12/2023,11.3
30/11/2023,11.55
29/11/2023,11.55
28/11/2023,11.5
27/11/2023,11.2
24/11/2023,11.7
23/11/2023,11.7
22/11/2023,11.7
21/11/2023,11.7
20/11/2023,11.8
17/11/2023,11.8
16/11/2023,11.9
15/11/2023,11.9
14/11/2023,11.9
13/11/2023,11.45
10/11/2023,11.45
09/11/2023,11.75
08/11/2023,11.8
07/11/2023,11.8
06/11/2023,11.8
03/11/2023,11.8
02/11/2023,11.6
01/11/2023,11.6
31/10/2023,11.6
30/10/2023,11.6
27/10/2023,11.6
26/10/2023,11.4
25/10/2023,11.55
24/10/2023,11.2
23/10/2023,11.85
20/10/2023,11.85
19/10/2023,11.1
18/10/2023,11.4
17/10/2023,11.5
16/10/2023,11.75
13/10/2023,11.65
12/10/2023,11.7
11/10/2023,11.9
10/10/2023,11.55
09/10/2023,11.65
06/10/2023,11.65
05/10/2023,11.8
04/10/2023,11.8
03/10/2023,11.9
02/10/2023,11.45
29/09/2023,11.6
28/09/2023,12.0
27/09/2023,12.0
26/09/2023,11.65
25/09/2023,11.6
22/09/2023,11.8
21/09/2023,11.95
20/09/2023,12.1
19/09/2023,11.9
18/09/2023,11.8
15/09/2023,11.6
14/09/2023,11.8
13/09/2023,11.9
12/09/2023,11.8
11/09/2023,11.65
08/09/2023,11.8
07/09/2023,11.8
06/09/2023,11.8
05/09/2023,11.9
31/08/2023,11.8
30/08/2023,11.9
29/08/2023,11.9
28/08/2023,11.9
25/08/2023,11.65
24/08/2023,11.65
23/08/2023,11.4
22/08/2023,11.7
21/08/2023,11.2
18/08/2023,11.3
17/08/2023,11.75
16/08/2023,11.9
15/08/2023,12.0
14/08/2023,12.0
11/08/2023,12.0
10/08/2023,12.0
09/08/2023,11.9
08/08/2023,11.9
07/08/2023,12.0
04/08/2023,12.0
03/08/2023,12.0
02/08/2023,12.35
01/08/2023,12.25
31/07/2023,12.2
28/07/2023,12.2
27/07/2023,12.2
26/07/2023,12.4
25/07/2023,12.35
24/07/2023,12.4
21/07/2023,12.45
20/07/2023,12.35
19/07/2023,12.3
18/07/2023,12.5
17/07/2023,12.7
14/07/2023,12.7
13/07/2023,12.5
12/07/2023,12.75
11/07/2023,12.6
10/07/2023,13.0
07/07/2023,12.5
06/07/2023,12.5
05/07/2023,13.05
04/07/2023,14.95
03/07/2023,15.0
30/06/2023,14.2
29/06/2023,14.0
28/06/2023,13.95
27/06/2023,13.3
26/06/2023,13.1
23/06/2023,13.85
22/06/2023,14.0
21/06/2023,13.9
20/06/2023,13.2
19/06/2023,13.0
16/06/2023,12.2
15/06/2023,12.45
14/06/2023,12.1
13/06/2023,11.8
12/06/2023,11.8
09/06/2023,11.8
08/06/2023,12.5
07/06/2023,11.8
06/06/2023,11.65
05/06/2023,11.65
02/06/2023,11.2
01/06/2023,11.1
31/05/2023,11.1
30/05/2023,11.4
29/05/2023,11.5
26/05/2023,11.5
25/05/2023,11.0
24/05/2023,11.05
23/05/2023,11.3
22/05/2023,11.0
19/05/2023,11.0
18/05/2023,11.0
17/05/2023,11.0
16/05/2023,11.3
15/05/2023,11.45
12/05/2023,11.5
11/05/2023,11.0
10/05/2023,10.9
09/05/2023,11.0
08/05/2023,10.65
05/05/2023,10.6
04/05/2023,10.7
28/04/2023,10.45
27/04/2023,10.45
26/04/2023,10.45
25/04/2023,10.45
24/04/2023,10.65
21/04/2023,10.5
20/04/2023,10.5
19/04/2023,10.5
18/04/2023,10.45
17/04/2023,10.45
14/04/2023,10.5
13/04/2023,10.5
12/04/2023,10.5
11/04/2023,10.6
10/04/2023,10.6
07/04/2023,10.6
06/04/2023,10.55
05/04/2023,10.55
04/04/2023,10.5
03/04/2023,10.7
31/03/2023,11.0
30/03/2023,10.6
29/03/2023,10.6
28/03/2023,10.6
27/03/2023,10.45
24/03/2023,9.81
23/03/2023,10.5
22/03/2023,11.2
21/03/2023,10.55
20/03/2023,10.0
17/03/2023,10.1
16/03/2023,10.5
15/03/2023,10.5
14/03/2023,10.25
13/03/2023,10.3
10/03/2023,10.95
09/03/2023,10.95
08/03/2023,10.7
07/03/2023,10.7
06/03/2023,10.7
03/03/2023,10.6
02/03/2023,10.5
01/03/2023,10.4
28/02/2023,10.3
27/02/2023,10.3
24/02/2023,10.3
23/02/2023,10.3
22/02/2023,10.45
21/02/2023,10.45
20/02/2023,10.15
17/02/2023,10.15
16/02/2023,10.15
15/02/2023,10.15
14/02/2023,10.05
13/02/2023,10.4
10/02/2023,10.5
09/02/2023,10.1
08/02/2023,10.1
07/02/2023,10.05
06/02/2023,10.1
03/02/2023,10.1
02/02/2023,10.25
01/02/2023,10.1
31/01/2023,10.1
30/01/2023,10.05
27/01/2023,10.1
19/01/2023,9.85
18/01/2023,9.88
17/01/2023,9.99
16/01/2023,9.79
13/01/2023,9.98
12/01/2023,9.99
11/01/2023,9.84
10/01/2023,9.82
09/01/2023,9.82
06/01/2023,10.3
05/01/2023,10.0
04/01/2023,10.0
03/01/2023,10.2
30/12/2022,10.2
29/12/2022,10.3
28/12/2022,10.15
27/12/2022,9.82
26/12/2022,10.15
23/12/2022,10.15
22/12/2022,10.5
21/12/2022,10.55
20/12/2022,10.2
19/12/2022,10.4
16/12/2022,10.1
15/12/2022,10.4
14/12/2022,10.35
13/12/2022,11.0
12/12/2022,11.8
09/12/2022,11.3
08/12/2022,10.6
07/12/2022,10.6
06/12/2022,10.7
05/12/2022,10.7
02/12/2022,10.6
01/12/2022,10.6
30/11/2022,10.6
29/11/2022,10.6
28/11/2022,10.6
25/11/2022,10.85
24/11/2022,10.2
23/11/2022,10.0
22/11/2022,10.55
21/11/2022,10.55
18/11/2022,11.0
17/11/2022,10.6
16/11/2022,10.3
15/11/2022,10.3
14/11/2022,10.15
11/11/2022,10.75
10/11/2022,10.75
09/11/2022,10.75
08/11/2022,10.75
07/11/2022,11.45
04/11/2022,11.45
03/11/2022,11.75
02/11/2022,11.4
01/11/2022,11.0
31/10/2022,11.0
28/10/2022,11.4
27/10/2022,11.4
26/10/2022,10.7
25/10/2022,11.2
24/10/2022,12.0
21/10/2022,11.75
20/10/2022,11.7
19/10/2022,11.8
18/10/2022,11.7
17/10/2022,11.85
14/10/2022,11.85
13/10/2022,11.85
12/10/2022,11.9
11/10/2022,11.7
10/10/2022,11.7
07/10/2022,11.7
06/10/2022,11.6
05/10/2022,11.95
04/10/2022,11.95
03/10/2022,11.95
30/09/2022,11.95
29/09/2022,12.55
28/09/2022,12.1
27/09/2022,13.0
26/09/2022,12.85
23/09/2022,12.05
22/09/2022,12.2
21/09/2022,12.2
20/09/2022,12.1
19/09/2022,12.45
16/09/2022,12.45
15/09/2022,12.5
14/09/2022,12.5
13/09/2022,12.45
12/09/2022,12.55
09/09/2022,12.55
08/09/2022,12.8
07/09/2022,12.65
06/09/2022,12.95
05/09/2022,13.1
31/08/2022,13.15
30/08/2022,12.9
29/08/2022,12.75
26/08/2022,12.85
25/08/2022,12.7
24/08/2022,12.4
23/08/2022,12.3
22/08/2022,12.35
19/08/2022,12.8
18/08/2022,13.0
17/08/2022,13.3
16/08/2022,13.3
15/08/2022,13.6
12/08/2022,13.6
11/08/2022,13.6
10/08/2022,13.4
09/08/2022,14.15
08/08/2022,14.6
05/08/2022,15.2
04/08/2022,15.5
03/08/2022,15.65
02/08/2022,16.5
01/08/2022,16.0
29/07/2022,15.0
28/07/2022,14.2
27/07/2022,13.3
26/07/2022,12.95
25/07/2022,12.95
22/07/2022,12.9
21/07/2022,12.8
20/07/2022,12.7
19/07/2022,12.6
18/07/2022,12.65
15/07/2022,12.65
14/07/2022,12.7
13/07/2022,12.5
