Ngay,Symbol,GiaDongCua
29/12/2023,CSM,12.2
28/12/2023,CSM,12.1
27/12/2023,CSM,12.1
26/12/2023,CSM,12.1
25/12/2023,CSM,12.0
22/12/2023,CSM,11.9
21/12/2023,CSM,12.1
20/12/2023,CSM,12.0
19/12/2023,CSM,12.0
18/12/2023,CSM,12.0
15/12/2023,CSM,12.0
14/12/2023,CSM,11.7
13/12/2023,CSM,11.95
12/12/2023,CSM,11.95
11/12/2023,CSM,11.95
08/12/2023,CSM,12.0
07/12/2023,CSM,12.0
06/12/2023,CSM,12.0
05/12/2023,CSM,12.0
04/12/2023,CSM,12.0
01/12/2023,CSM,12.0
30/11/2023,CSM,12.0
29/11/2023,CSM,12.0
28/11/2023,CSM,11.9
27/11/2023,CSM,12.0
24/11/2023,CSM,11.9
23/11/2023,CSM,12.0
22/11/2023,CSM,12.0
21/11/2023,CSM,12.0
20/11/2023,CSM,11.75
17/11/2023,CSM,11.9
16/11/2023,CSM,12.05
15/11/2023,CSM,12.0
14/11/2023,CSM,12.05
13/11/2023,CSM,12.05
10/11/2023,CSM,12.05
09/11/2023,CSM,12.15
08/11/2023,CSM,12.3
07/11/2023,CSM,12.2
06/11/2023,CSM,12.2
03/11/2023,CSM,12.05
02/11/2023,CSM,12.1
01/11/2023,CSM,12.1
31/10/2023,CSM,12.1
30/10/2023,CSM,11.95
27/10/2023,CSM,12.0
26/10/2023,CSM,12.25
25/10/2023,CSM,12.45
24/10/2023,CSM,12.65
23/10/2023,CSM,12.6
20/10/2023,CSM,12.4
19/10/2023,CSM,12.15
18/10/2023,CSM,12.75
17/10/2023,CSM,12.75
16/10/2023,CSM,12.8
13/10/2023,CSM,12.8
12/10/2023,CSM,12.9
11/10/2023,CSM,12.7
10/10/2023,CSM,12.7
09/10/2023,CSM,12.75
06/10/2023,CSM,12.8
05/10/2023,CSM,12.75
04/10/2023,CSM,12.7
03/10/2023,CSM,12.7
02/10/2023,CSM,12.7
29/09/2023,CSM,12.6
28/09/2023,CSM,12.4
27/09/2023,CSM,12.45
26/09/2023,CSM,12.75
25/09/2023,CSM,12.75
22/09/2023,CSM,12.95
21/09/2023,CSM,12.95
20/09/2023,CSM,12.95
19/09/2023,CSM,12.9
18/09/2023,CSM,12.9
15/09/2023,CSM,13.3
14/09/2023,CSM,13.35
13/09/2023,CSM,13.35
12/09/2023,CSM,13.5
11/09/2023,CSM,13.4
08/09/2023,CSM,13.4
07/09/2023,CSM,13.45
06/09/2023,CSM,13.45
05/09/2023,CSM,13.4
31/08/2023,CSM,13.35
30/08/2023,CSM,13.6
29/08/2023,CSM,13.6
28/08/2023,CSM,13.35
25/08/2023,CSM,13.65
24/08/2023,CSM,13.55
23/08/2023,CSM,13.4
22/08/2023,CSM,13.7
21/08/2023,CSM,13.5
18/08/2023,CSM,13.65
17/08/2023,CSM,13.7
16/08/2023,CSM,14.0
15/08/2023,CSM,13.95
14/08/2023,CSM,14.0
11/08/2023,CSM,14.2
10/08/2023,CSM,14.45
09/08/2023,CSM,14.5
08/08/2023,CSM,14.4
07/08/2023,CSM,14.3
04/08/2023,CSM,14.2
03/08/2023,CSM,14.1
02/08/2023,CSM,13.95
01/08/2023,CSM,13.9
31/07/2023,CSM,13.9
28/07/2023,CSM,14.0
27/07/2023,CSM,13.95
26/07/2023,CSM,13.95
