Ngay,Symbol,GiaDongCua
29/12/2023,CSV,41.0
28/12/2023,CSV,40.95
27/12/2023,CSV,41.25
26/12/2023,CSV,41.25
25/12/2023,CSV,40.0
22/12/2023,CSV,40.0
21/12/2023,CSV,40.5
20/12/2023,CSV,40.0
19/12/2023,CSV,39.55
18/12/2023,CSV,39.4
15/12/2023,CSV,40.5
14/12/2023,CSV,40.8
13/12/2023,CSV,40.4
12/12/2023,CSV,40.9
11/12/2023,CSV,41.05
08/12/2023,CSV,41.45
07/12/2023,CSV,40.75
06/12/2023,CSV,41.55
05/12/2023,CSV,41.6
04/12/2023,CSV,39.85
01/12/2023,CSV,38.7
30/11/2023,CSV,38.1
29/11/2023,CSV,38.55
28/11/2023,CSV,38.0
27/11/2023,CSV,38.0
24/11/2023,CSV,38.5
23/11/2023,CSV,38.4
22/11/2023,CSV,39.9
21/11/2023,CSV,39.1
20/11/2023,CSV,38.6
17/11/2023,CSV,39.0
16/11/2023,CSV,40.0
15/11/2023,CSV,39.3
14/11/2023,CSV,39.15
13/11/2023,CSV,39.0
10/11/2023,CSV,38.8
09/11/2023,CSV,38.8
08/11/2023,CSV,38.95
07/11/2023,CSV,37.15
06/11/2023,CSV,36.55
03/11/2023,CSV,36.45
02/11/2023,CSV,36.5
01/11/2023,CSV,34.35
31/10/2023,CSV,33.3
30/10/2023,CSV,33.5
27/10/2023,CSV,35.5
26/10/2023,CSV,34.75
25/10/2023,CSV,37.3
24/10/2023,CSV,39.5
23/10/2023,CSV,39.0
20/10/2023,CSV,41.0
19/10/2023,CSV,40.5
18/10/2023,CSV,40.0
17/10/2023,CSV,42.45
16/10/2023,CSV,45.6
13/10/2023,CSV,46.4
12/10/2023,CSV,45.65
11/10/2023,CSV,46.0
10/10/2023,CSV,45.45
09/10/2023,CSV,45.75
06/10/2023,CSV,42.8
05/10/2023,CSV,42.0
04/10/2023,CSV,42.8
03/10/2023,CSV,41.3
02/10/2023,CSV,43.9
29/09/2023,CSV,43.1
28/09/2023,CSV,43.15
27/09/2023,CSV,41.8
26/09/2023,CSV,41.25
25/09/2023,CSV,41.95
22/09/2023,CSV,44.8
21/09/2023,CSV,41.9
20/09/2023,CSV,40.5
19/09/2023,CSV,38.9
18/09/2023,CSV,37.6
15/09/2023,CSV,38.6
14/09/2023,CSV,38.55
13/09/2023,CSV,39.35
12/09/2023,CSV,39.0
11/09/2023,CSV,38.2
08/09/2023,CSV,39.2
07/09/2023,CSV,38.05
06/09/2023,CSV,39.15
05/09/2023,CSV,38.45
31/08/2023,CSV,36.95
30/08/2023,CSV,35.6
29/08/2023,CSV,35.9
28/08/2023,CSV,35.9
25/08/2023,CSV,37.2
24/08/2023,CSV,35.6
23/08/2023,CSV,35.0
22/08/2023,CSV,34.4
21/08/2023,CSV,35.1
