Ngay,Symbol,GiaDongCua
29/12/2023,DGC,94.4
28/12/2023,DGC,94.0
27/12/2023,DGC,94.1
26/12/2023,DGC,93.9
25/12/2023,DGC,91.8
22/12/2023,DGC,90.5
21/12/2023,DGC,91.0
20/12/2023,DGC,91.6
19/12/2023,DGC,92.3
18/12/2023,DGC,93.8
15/12/2023,DGC,93.3
14/12/2023,DGC,95.0
13/12/2023,DGC,95.9
12/12/2023,DGC,97.0
11/12/2023,DGC,97.8
08/12/2023,DGC,97.8
07/12/2023,DGC,97.2
06/12/2023,DGC,98.0
05/12/2023,DGC,97.3
04/12/2023,DGC,97.5
01/12/2023,DGC,95.1
30/11/2023,DGC,94.5
29/11/2023,DGC,95.8
28/11/2023,DGC,94.3
27/11/2023,DGC,94.2
24/11/2023,DGC,95.5
23/11/2023,DGC,92.9
22/11/2023,DGC,96.2
21/11/2023,DGC,94.9
20/11/2023,DGC,93.3
17/11/2023,DGC,93.3
16/11/2023,DGC,95.8
15/11/2023,DGC,94.0
14/11/2023,DGC,93.5
13/11/2023,DGC,93.3
10/11/2023,DGC,93.0
09/11/2023,DGC,92.8
08/11/2023,DGC,93.0
07/11/2023,DGC,88.0
06/11/2023,DGC,88.4
03/11/2023,DGC,85.8
02/11/2023,DGC,85.8
01/11/2023,DGC,80.3
31/10/2023,DGC,79.0
30/10/2023,DGC,81.5
27/10/2023,DGC,85.0
26/10/2023,DGC,85.0
25/10/2023,DGC,89.3
24/10/2023,DGC,89.9
23/10/2023,DGC,87.5
20/10/2023,DGC,90.9
19/10/2023,DGC,89.8
18/10/2023,DGC,91.1
17/10/2023,DGC,90.2
16/10/2023,DGC,96.9
13/10/2023,DGC,99.3
12/10/2023,DGC,97.9
11/10/2023,DGC,97.0
10/10/2023,DGC,95.3
09/10/2023,DGC,97.0
06/10/2023,DGC,95.0
05/10/2023,DGC,93.0
04/10/2023,DGC,94.5
03/10/2023,DGC,91.0
02/10/2023,DGC,93.7
29/09/2023,DGC,93.5
28/09/2023,DGC,93.9
27/09/2023,DGC,91.6
26/09/2023,DGC,90.5
25/09/2023,DGC,91.2
22/09/2023,DGC,98.0
21/09/2023,DGC,94.0
20/09/2023,DGC,95.9
19/09/2023,DGC,92.8
18/09/2023,DGC,89.2
15/09/2023,DGC,90.8
14/09/2023,DGC,90.8
13/09/2023,DGC,90.8
12/09/2023,DGC,92.2
11/09/2023,DGC,90.9
08/09/2023,DGC,92.4
07/09/2023,DGC,89.0
06/09/2023,DGC,90.8
05/09/2023,DGC,91.0
31/08/2023,DGC,87.5
30/08/2023,DGC,83.7
29/08/2023,DGC,83.0
28/08/2023,DGC,83.8
25/08/2023,DGC,79.8
24/08/2023,DGC,75.1
23/08/2023,DGC,72.4
22/08/2023,DGC,71.0
21/08/2023,DGC,70.0
18/08/2023,DGC,70.5
17/08/2023,DGC,75.6
16/08/2023,DGC,75.7
15/08/2023,DGC,76.4
14/08/2023,DGC,73.4
11/08/2023,DGC,73.3
10/08/2023,DGC,74.2
09/08/2023,DGC,74.0
08/08/2023,DGC,74.6
07/08/2023,DGC,73.9
04/08/2023,DGC,74.5
03/08/2023,DGC,74.1
02/08/2023,DGC,74.1
01/08/2023,DGC,74.4
31/07/2023,DGC,72.0
28/07/2023,DGC,72.6
27/07/2023,DGC,71.3
26/07/2023,DGC,72.0
25/07/2023,DGC,72.3
24/07/2023,DGC,72.3
21/07/2023,DGC,73.0
20/07/2023,DGC,72.9
19/07/2023,DGC,71.0
18/07/2023,DGC,70.8
17/07/2023,DGC,71.4
14/07/2023,DGC,71.6
13/07/2023,DGC,71.2
12/07/2023,DGC,67.7
11/07/2023,DGC,66.6
10/07/2023,DGC,67.8
07/07/2023,DGC,67.8
06/07/2023,DGC,67.5
05/07/2023,DGC,66.6
04/07/2023,DGC,64.8
03/07/2023,DGC,63.8
30/06/2023,DGC,63.8
29/06/2023,DGC,63.0
28/06/2023,DGC,65.4
27/06/2023,DGC,65.5
26/06/2023,DGC,64.9
23/06/2023,DGC,65.3
22/06/2023,DGC,66.0
21/06/2023,DGC,63.7
20/06/2023,DGC,62.9
19/06/2023,DGC,61.2
16/06/2023,DGC,61.4
15/06/2023,DGC,62.5
14/06/2023,DGC,61.5
13/06/2023,DGC,62.7
12/06/2023,DGC,64.5
09/06/2023,DGC,63.1
08/06/2023,DGC,59.0
07/06/2023,DGC,60.4
06/06/2023,DGC,59.8
05/06/2023,DGC,59.1
02/06/2023,DGC,56.3
01/06/2023,DGC,54.6
31/05/2023,DGC,53.6
30/05/2023,DGC,53.8
29/05/2023,DGC,51.5
26/05/2023,DGC,50.3
25/05/2023,DGC,50.7
24/05/2023,DGC,50.8
23/05/2023,DGC,51.4
22/05/2023,DGC,50.4
19/05/2023,DGC,50.2
18/05/2023,DGC,50.4
17/05/2023,DGC,50.8
16/05/2023,DGC,51.2
15/05/2023,DGC,51.5
12/05/2023,DGC,51.8
11/05/2023,DGC,52.2
10/05/2023,DGC,51.2
09/05/2023,DGC,51.7
08/05/2023,DGC,51.7
05/05/2023,DGC,51.4
04/05/2023,DGC,51.0
28/04/2023,DGC,51.5
27/04/2023,DGC,51.6
26/04/2023,DGC,51.4
25/04/2023,DGC,51.5
24/04/2023,DGC,51.3
21/04/2023,DGC,52.0
20/04/2023,DGC,53.6
19/04/2023,DGC,54.0
18/04/2023,DGC,54.0
17/04/2023,DGC,53.3
14/04/2023,DGC,54.3
13/04/2023,DGC,54.6
12/04/2023,DGC,53.0
11/04/2023,DGC,52.8
10/04/2023,DGC,52.7
07/04/2023,DGC,52.6
06/04/2023,DGC,53.1
05/04/2023,DGC,54.2
04/04/2023,DGC,53.4
03/04/2023,DGC,52.0
31/03/2023,DGC,51.3
30/03/2023,DGC,51.3
29/03/2023,DGC,51.9
28/03/2023,DGC,51.7
27/03/2023,DGC,51.0
24/03/2023,DGC,50.6
23/03/2023,DGC,50.6
22/03/2023,DGC,50.6
21/03/2023,DGC,51.0
20/03/2023,DGC,50.6
17/03/2023,DGC,52.5
16/03/2023,DGC,52.0
15/03/2023,DGC,52.5
14/03/2023,DGC,51.6
13/03/2023,DGC,51.8
10/03/2023,DGC,52.6
09/03/2023,DGC,51.9
08/03/2023,DGC,50.6
07/03/2023,DGC,50.6
06/03/2023,DGC,50.6
03/03/2023,DGC,50.3
02/03/2023,DGC,51.0
01/03/2023,DGC,50.3
28/02/2023,DGC,50.1
27/02/2023,DGC,49.4
24/02/2023,DGC,50.6
23/02/2023,DGC,52.0
22/02/2023,DGC,53.0
21/02/2023,DGC,54.6
20/02/2023,DGC,54.7
17/02/2023,DGC,53.0
16/02/2023,DGC,53.3
15/02/2023,DGC,53.6
