Ngay,Symbol,GiaDongCua
29/12/2023,DPM,33.3
28/12/2023,DPM,33.15
27/12/2023,DPM,33.4
26/12/2023,DPM,33.1
25/12/2023,DPM,32.9
22/12/2023,DPM,32.55
21/12/2023,DPM,32.75
20/12/2023,DPM,32.7
19/12/2023,DPM,32.8
18/12/2023,DPM,32.8
15/12/2023,DPM,32.75
14/12/2023,DPM,33.2
13/12/2023,DPM,33.6
12/12/2023,DPM,34.1
11/12/2023,DPM,33.75
08/12/2023,DPM,33.7
07/12/2023,DPM,33.6
06/12/2023,DPM,34.0
05/12/2023,DPM,33.6
04/12/2023,DPM,34.0
01/12/2023,DPM,33.2
30/11/2023,DPM,32.95
29/11/2023,DPM,32.6
28/11/2023,DPM,32.3
27/11/2023,DPM,32.65
24/11/2023,DPM,32.8
23/11/2023,DPM,32.5
22/11/2023,DPM,33.55
21/11/2023,DPM,33.4
20/11/2023,DPM,32.9
17/11/2023,DPM,33.0
16/11/2023,DPM,33.9
15/11/2023,DPM,32.8
14/11/2023,DPM,32.55
13/11/2023,DPM,32.1
10/11/2023,DPM,32.3
09/11/2023,DPM,32.85
08/11/2023,DPM,32.85
07/11/2023,DPM,31.35
06/11/2023,DPM,31.8
03/11/2023,DPM,31.6
02/11/2023,DPM,30.85
01/11/2023,DPM,28.85
31/10/2023,DPM,28.4
30/10/2023,DPM,30.5
27/10/2023,DPM,31.9
26/10/2023,DPM,31.6
25/10/2023,DPM,33.7
24/10/2023,DPM,34.8
23/10/2023,DPM,35.25
20/10/2023,DPM,36.3
19/10/2023,DPM,35.7
18/10/2023,DPM,36.0
17/10/2023,DPM,38.2
16/10/2023,DPM,40.3
13/10/2023,DPM,39.6
12/10/2023,DPM,38.95
11/10/2023,DPM,39.3
10/10/2023,DPM,38.7
09/10/2023,DPM,39.5
06/10/2023,DPM,38.05
05/10/2023,DPM,38.6
04/10/2023,DPM,39.3
03/10/2023,DPM,38.0
02/10/2023,DPM,37.8
29/09/2023,DPM,36.9
28/09/2023,DPM,37.0
27/09/2023,DPM,36.8
26/09/2023,DPM,36.0
25/09/2023,DPM,35.95
22/09/2023,DPM,37.45
21/09/2023,DPM,38.75
20/09/2023,DPM,39.5
19/09/2023,DPM,39.1
18/09/2023,DPM,38.45
15/09/2023,DPM,39.15
14/09/2023,DPM,39.25
13/09/2023,DPM,39.25
12/09/2023,DPM,40.2
11/09/2023,DPM,40.45
08/09/2023,DPM,40.45
07/09/2023,DPM,37.85
06/09/2023,DPM,37.85
05/09/2023,DPM,37.35
31/08/2023,DPM,36.95
30/08/2023,DPM,36.15
29/08/2023,DPM,35.95
28/08/2023,DPM,36.25
25/08/2023,DPM,35.1
24/08/2023,DPM,35.6
23/08/2023,DPM,35.2
22/08/2023,DPM,36.35
21/08/2023,DPM,39.95
18/08/2023,DPM,39.05
17/08/2023,DPM,41.0
16/08/2023,DPM,41.5
15/08/2023,DPM,41.5
14/08/2023,DPM,41.0
11/08/2023,DPM,39.9
10/08/2023,DPM,39.05
09/08/2023,DPM,39.0
08/08/2023,DPM,39.55
07/08/2023,DPM,39.0
04/08/2023,DPM,39.3
03/08/2023,DPM,38.6
02/08/2023,DPM,39.15
01/08/2023,DPM,39.15
31/07/2023,DPM,39.5
28/07/2023,DPM,38.6
27/07/2023,DPM,37.6
26/07/2023,DPM,37.95
25/07/2023,DPM,37.85
24/07/2023,DPM,37.4
21/07/2023,DPM,37.4
20/07/2023,DPM,36.7
19/07/2023,DPM,36.7
18/07/2023,DPM,37.05
17/07/2023,DPM,36.65
14/07/2023,DPM,36.9
13/07/2023,DPM,37.1
12/07/2023,DPM,36.95
11/07/2023,DPM,36.5
10/07/2023,DPM,36.4
07/07/2023,DPM,35.5
06/07/2023,DPM,35.05
05/07/2023,DPM,35.6
04/07/2023,DPM,35.35
03/07/2023,DPM,35.65
30/06/2023,DPM,34.75
29/06/2023,DPM,34.85
28/06/2023,DPM,35.6
27/06/2023,DPM,35.1
26/06/2023,DPM,35.1
23/06/2023,DPM,34.35
22/06/2023,DPM,34.35
21/06/2023,DPM,33.2
20/06/2023,DPM,32.95
19/06/2023,DPM,32.7
16/06/2023,DPM,32.6
15/06/2023,DPM,32.6
14/06/2023,DPM,33.0
13/06/2023,DPM,33.3
12/06/2023,DPM,33.4
09/06/2023,DPM,33.3
08/06/2023,DPM,32.9
07/06/2023,DPM,33.2
06/06/2023,DPM,32.8
05/06/2023,DPM,33.1
02/06/2023,DPM,32.25
01/06/2023,DPM,31.6
31/05/2023,DPM,31.9
30/05/2023,DPM,32.0
29/05/2023,DPM,31.35
26/05/2023,DPM,31.5
25/05/2023,DPM,31.2
24/05/2023,DPM,31.3
23/05/2023,DPM,31.85
22/05/2023,DPM,31.3
19/05/2023,DPM,32.15
18/05/2023,DPM,32.8
