Ngay,GiaDongCua
29/12/2023,26.5
28/12/2023,26.6
27/12/2023,27.0
26/12/2023,26.85
25/12/2023,27.25
22/12/2023,26.9
21/12/2023,25.85
20/12/2023,24.2
19/12/2023,23.85
18/12/2023,24.45
15/12/2023,23.8
14/12/2023,23.1
13/12/2023,23.1
12/12/2023,23.3
11/12/2023,23.55
08/12/2023,23.65
07/12/2023,23.7
06/12/2023,23.65
05/12/2023,23.7
04/12/2023,23.4
01/12/2023,23.1
30/11/2023,22.8
29/11/2023,23.15
28/11/2023,23.0
27/11/2023,22.9
24/11/2023,22.95
23/11/2023,23.05
22/11/2023,23.05
21/11/2023,23.1
20/11/2023,23.1
17/11/2023,23.1
16/11/2023,23.0
15/11/2023,22.8
14/11/2023,22.8
13/11/2023,22.5
10/11/2023,22.55
09/11/2023,22.5
08/11/2023,22.5
07/11/2023,21.8
06/11/2023,22.25
03/11/2023,22.4
02/11/2023,22.4
01/11/2023,21.8
31/10/2023,21.0
30/10/2023,22.0
27/10/2023,22.2
26/10/2023,21.7
25/10/2023,22.8
24/10/2023,22.95
23/10/2023,22.75
20/10/2023,23.3
19/10/2023,22.2
18/10/2023,22.5
17/10/2023,23.1
16/10/2023,24.0
13/10/2023,24.45
12/10/2023,24.55
11/10/2023,24.65
10/10/2023,23.6
09/10/2023,23.0
06/10/2023,22.95
05/10/2023,22.7
04/10/2023,22.7
03/10/2023,22.85
02/10/2023,22.85
29/09/2023,22.95
28/09/2023,23.1
27/09/2023,23.0
26/09/2023,23.0
25/09/2023,22.6
22/09/2023,23.5
21/09/2023,23.5
20/09/2023,23.65
19/09/2023,22.9
18/09/2023,22.8
15/09/2023,22.8
14/09/2023,23.0
13/09/2023,23.3
12/09/2023,23.55
11/09/2023,23.25
08/09/2023,23.4
07/09/2023,23.1
06/09/2023,23.15
05/09/2023,23.15
31/08/2023,23.05
30/08/2023,22.75
29/08/2023,22.7
28/08/2023,22.7
25/08/2023,22.6
24/08/2023,22.65
23/08/2023,22.25
22/08/2023,22.25
21/08/2023,22.35
18/08/2023,21.95
17/08/2023,23.2
16/08/2023,23.3
15/08/2023,23.55
14/08/2023,23.35
11/08/2023,23.4
10/08/2023,23.15
09/08/2023,23.9
08/08/2023,24.2
07/08/2023,23.5
04/08/2023,24.1
03/08/2023,24.0
02/08/2023,23.4
01/08/2023,23.3
31/07/2023,23.1
28/07/2023,23.5
27/07/2023,23.45
26/07/2023,23.1
25/07/2023,23.55
24/07/2023,23.8
21/07/2023,22.9
20/07/2023,22.8
19/07/2023,23.0
18/07/2023,22.55
17/07/2023,23.0
14/07/2023,23.2
13/07/2023,23.4
12/07/2023,23.4
11/07/2023,23.1
10/07/2023,23.3
07/07/2023,22.35
06/07/2023,22.0
05/07/2023,22.2
04/07/2023,22.0
03/07/2023,22.0
30/06/2023,21.95
29/06/2023,21.0
28/06/2023,21.25
27/06/2023,21.3
26/06/2023,21.25
23/06/2023,20.6
22/06/2023,20.75
21/06/2023,20.65
20/06/2023,20.3
19/06/2023,20.15
16/06/2023,20.0
15/06/2023,20.05
14/06/2023,20.3
13/06/2023,20.35
12/06/2023,20.4
09/06/2023,20.55
08/06/2023,20.75
07/06/2023,22.2
06/06/2023,22.25
05/06/2023,22.35
02/06/2023,22.25
01/06/2023,21.9
31/05/2023,21.8
30/05/2023,21.95
29/05/2023,21.45
26/05/2023,21.35
25/05/2023,21.25
24/05/2023,21.1
23/05/2023,21.3
22/05/2023,21.3
19/05/2023,21.0
18/05/2023,21.0
17/05/2023,21.05
16/05/2023,21.1
15/05/2023,21.0
12/05/2023,21.5
11/05/2023,21.35
10/05/2023,21.35
09/05/2023,21.05
08/05/2023,20.8
05/05/2023,20.95
04/05/2023,21.05
28/04/2023,20.9
27/04/2023,20.25
26/04/2023,20.2
25/04/2023,20.25
24/04/2023,20.2
21/04/2023,20.3
20/04/2023,20.7
19/04/2023,20.7
18/04/2023,21.1
17/04/2023,20.7
14/04/2023,20.8
13/04/2023,21.65
12/04/2023,21.65
11/04/2023,22.0
10/04/2023,21.8
07/04/2023,22.1
06/04/2023,22.3
05/04/2023,22.45
04/04/2023,22.55
03/04/2023,22.25
31/03/2023,21.9
30/03/2023,21.9
29/03/2023,22.0
28/03/2023,22.1
27/03/2023,22.15
24/03/2023,21.95
23/03/2023,21.9
22/03/2023,21.85
21/03/2023,21.95
20/03/2023,21.75
17/03/2023,22.3
16/03/2023,22.4
15/03/2023,22.5
14/03/2023,21.8
13/03/2023,22.3
10/03/2023,22.4
09/03/2023,22.7
08/03/2023,22.5
07/03/2023,22.25
06/03/2023,22.2
03/03/2023,22.2
02/03/2023,22.7
01/03/2023,22.9
28/02/2023,22.25
27/02/2023,21.9
24/02/2023,22.45
23/02/2023,22.9
22/02/2023,23.0
21/02/2023,23.6
20/02/2023,23.4
17/02/2023,23.0
16/02/2023,23.5
15/02/2023,22.35
14/02/2023,22.4
13/02/2023,21.8
10/02/2023,21.9
09/02/2023,22.6
08/02/2023,22.35
07/02/2023,22.1
06/02/2023,22.7
03/02/2023,22.7
02/02/2023,21.9
01/02/2023,21.95
31/01/2023,23.2
30/01/2023,22.7
27/01/2023,23.05
19/01/2023,22.4
18/01/2023,22.2
17/01/2023,21.55
16/01/2023,21.5
13/01/2023,21.45
12/01/2023,21.4
11/01/2023,21.65
10/01/2023,21.55
09/01/2023,21.6
06/01/2023,21.7
05/01/2023,21.4
04/01/2023,21.3
03/01/2023,21.5
30/12/2022,20.6
29/12/2022,20.6
28/12/2022,20.65
27/12/2022,20.6
26/12/2022,20.2
23/12/2022,20.8
22/12/2022,20.8
21/12/2022,20.6
20/12/2022,20.85
19/12/2022,21.3
16/12/2022,21.5
15/12/2022,21.7
14/12/2022,21.3
13/12/2022,21.4
12/12/2022,21.0
09/12/2022,21.45
08/12/2022,21.3
07/12/2022,21.05
06/12/2022,21.05
05/12/2022,21.5
02/12/2022,21.1
01/12/2022,20.95
30/11/2022,20.45
29/11/2022,20.4
28/11/2022,20.4
25/11/2022,19.4
24/11/2022,19.1
23/11/2022,19.1
22/11/2022,18.95
21/11/2022,19.0
18/11/2022,18.7
17/11/2022,18.6
16/11/2022,18.25
15/11/2022,17.1
14/11/2022,18.35
11/11/2022,18.5
10/11/2022,18.85
09/11/2022,20.25
08/11/2022,20.05
07/11/2022,20.1
04/11/2022,21.6
03/11/2022,22.9
02/11/2022,23.1
01/11/2022,22.7
31/10/2022,23.15
28/10/2022,23.9
27/10/2022,23.8
26/10/2022,23.3
25/10/2022,23.0
24/10/2022,22.9
21/10/2022,24.15
20/10/2022,25.95
19/10/2022,26.05
18/10/2022,26.5
17/10/2022,26.5
14/10/2022,25.6
13/10/2022,25.05
12/10/2022,24.7
11/10/2022,23.8
10/10/2022,25.0
07/10/2022,24.45
06/10/2022,26.25
05/10/2022,27.15
04/10/2022,26.4
03/10/2022,26.3
30/09/2022,28.2
29/09/2022,27.6
28/09/2022,28.2
27/09/2022,30.25
26/09/2022,31.2
23/09/2022,31.1
22/09/2022,31.85
21/09/2022,30.35
20/09/2022,30.5
19/09/2022,29.3
16/09/2022,30.0
15/09/2022,30.6
14/09/2022,30.7
13/09/2022,30.95
12/09/2022,31.4
09/09/2022,31.35
08/09/2022,31.0
07/09/2022,30.3
06/09/2022,30.3
05/09/2022,30.15
31/08/2022,30.15
30/08/2022,30.4
29/08/2022,29.7
26/08/2022,30.05
25/08/2022,30.55
24/08/2022,30.55
23/08/2022,30.55
22/08/2022,29.65
19/08/2022,29.8
18/08/2022,30.0
17/08/2022,30.0
16/08/2022,30.4
15/08/2022,29.8
12/08/2022,29.4
11/08/2022,29.4
10/08/2022,29.1
09/08/2022,29.35
08/08/2022,29.5
05/08/2022,28.65
04/08/2022,28.65
03/08/2022,28.9
02/08/2022,28.6
01/08/2022,28.7
29/07/2022,27.7
28/07/2022,27.5
27/07/2022,27.15
26/07/2022,27.15
25/07/2022,27.15
22/07/2022,27.6
21/07/2022,28.0
20/07/2022,28.0
19/07/2022,27.95
18/07/2022,28.1
15/07/2022,27.8
14/07/2022,27.6
13/07/2022,27.55
12/07/2022,27.65
11/07/2022,27.0
08/07/2022,27.0
07/07/2022,26.4
06/07/2022,26.3
05/07/2022,26.8
04/07/2022,27.5
01/07/2022,27.5
30/06/2022,27.2
29/06/2022,27.45
28/06/2022,28.1
27/06/2022,27.7
24/06/2022,27.15
23/06/2022,27.0
22/06/2022,26.65
21/06/2022,26.5
20/06/2022,27.5
17/06/2022,28.65
16/06/2022,28.7
15/06/2022,28.35
14/06/2022,29.0
13/06/2022,28.45
10/06/2022,30.55
09/06/2022,31.5
08/06/2022,31.7
07/06/2022,30.55
06/06/2022,29.6
03/06/2022,28.9
02/06/2022,29.0
01/06/2022,29.2
31/05/2022,30.4
