Ngay,GiaDongCua
29/12/2023,7.7
28/12/2023,7.6
27/12/2023,7.84
26/12/2023,7.86
25/12/2023,7.9
22/12/2023,7.75
21/12/2023,7.83
20/12/2023,7.93
19/12/2023,7.85
18/12/2023,7.87
15/12/2023,7.9
14/12/2023,7.85
13/12/2023,7.88
12/12/2023,8.1
11/12/2023,8.1
08/12/2023,8.04
07/12/2023,7.89
06/12/2023,7.6
05/12/2023,7.48
04/12/2023,7.65
01/12/2023,7.58
30/11/2023,7.57
29/11/2023,7.58
28/11/2023,7.5
27/11/2023,7.42
24/11/2023,7.42
23/11/2023,7.41
22/11/2023,7.64
21/11/2023,7.65
20/11/2023,7.65
17/11/2023,7.4
16/11/2023,7.77
15/11/2023,7.82
14/11/2023,7.78
13/11/2023,7.57
10/11/2023,7.58
09/11/2023,7.6
08/11/2023,7.5
07/11/2023,7.38
06/11/2023,7.5
03/11/2023,7.6
02/11/2023,7.75
01/11/2023,7.4
31/10/2023,7.4
30/10/2023,7.45
27/10/2023,7.45
26/10/2023,7.4
25/10/2023,7.79
24/10/2023,7.8
23/10/2023,7.49
20/10/2023,7.49
19/10/2023,7.0
18/10/2023,7.0
17/10/2023,7.17
16/10/2023,7.17
13/10/2023,7.24
12/10/2023,7.2
11/10/2023,7.18
10/10/2023,7.2
09/10/2023,7.16
06/10/2023,7.08
05/10/2023,6.98
04/10/2023,6.98
03/10/2023,6.91
02/10/2023,7.18
29/09/2023,7.13
28/09/2023,6.99
27/09/2023,7.03
26/09/2023,6.7
25/09/2023,6.67
22/09/2023,7.17
21/09/2023,7.48
20/09/2023,7.46
19/09/2023,7.49
18/09/2023,7.49
15/09/2023,7.45
14/09/2023,7.6
13/09/2023,7.7
12/09/2023,7.7
11/09/2023,7.62
08/09/2023,8.01
07/09/2023,8.24
06/09/2023,8.28
05/09/2023,8.28
31/08/2023,9.83
30/08/2023,9.74
29/08/2023,9.9
28/08/2023,9.95
25/08/2023,9.94
24/08/2023,9.76
23/08/2023,9.51
22/08/2023,9.5
21/08/2023,9.3
18/08/2023,9.06
17/08/2023,9.64
16/08/2023,9.72
15/08/2023,9.69
14/08/2023,9.72
11/08/2023,9.7
10/08/2023,9.69
09/08/2023,9.89
08/08/2023,9.75
07/08/2023,9.7
04/08/2023,9.07
03/08/2023,9.05
02/08/2023,8.89
01/08/2023,9.1
31/07/2023,9.3
28/07/2023,9.49
27/07/2023,9.3
26/07/2023,9.3
25/07/2023,9.68
24/07/2023,10.0
21/07/2023,10.05
20/07/2023,10.2
19/07/2023,10.05
18/07/2023,10.45
17/07/2023,10.4
14/07/2023,10.0
13/07/2023,9.6
12/07/2023,9.32
11/07/2023,9.45
10/07/2023,9.5
07/07/2023,9.37
06/07/2023,9.3
05/07/2023,9.4
04/07/2023,9.4
03/07/2023,9.1
30/06/2023,9.07
29/06/2023,9.19
28/06/2023,8.6
27/06/2023,8.52
26/06/2023,8.2
23/06/2023,7.79
22/06/2023,7.6
21/06/2023,7.2
20/06/2023,7.15
19/06/2023,7.06
16/06/2023,7.25
15/06/2023,7.31
