Ngay,Symbol,GiaDongCua
29/12/2023,PAC,24.25
28/12/2023,PAC,24.9
27/12/2023,PAC,24.8
26/12/2023,PAC,24.5
25/12/2023,PAC,24.7
22/12/2023,PAC,24.7
21/12/2023,PAC,24.7
20/12/2023,PAC,24.5
19/12/2023,PAC,23.95
18/12/2023,PAC,23.7
15/12/2023,PAC,23.75
14/12/2023,PAC,23.1
13/12/2023,PAC,23.0
12/12/2023,PAC,24.0
11/12/2023,PAC,25.5
08/12/2023,PAC,25.0
07/12/2023,PAC,25.0
06/12/2023,PAC,25.05
05/12/2023,PAC,25.0
04/12/2023,PAC,25.0
01/12/2023,PAC,25.0
30/11/2023,PAC,25.0
29/11/2023,PAC,25.0
28/11/2023,PAC,25.35
27/11/2023,PAC,25.3
24/11/2023,PAC,26.0
23/11/2023,PAC,25.7
22/11/2023,PAC,24.9
21/11/2023,PAC,24.35
20/11/2023,PAC,25.55
17/11/2023,PAC,24.7
16/11/2023,PAC,26.15
15/11/2023,PAC,26.2
14/11/2023,PAC,26.4
13/11/2023,PAC,25.8
10/11/2023,PAC,25.8
09/11/2023,PAC,25.0
08/11/2023,PAC,25.2
07/11/2023,PAC,25.0
06/11/2023,PAC,25.6
03/11/2023,PAC,25.0
02/11/2023,PAC,25.0
01/11/2023,PAC,25.0
31/10/2023,PAC,25.05
30/10/2023,PAC,26.55
27/10/2023,PAC,26.55
26/10/2023,PAC,26.8
25/10/2023,PAC,27.1
24/10/2023,PAC,27.15
23/10/2023,PAC,27.15
20/10/2023,PAC,27.15
19/10/2023,PAC,27.4
18/10/2023,PAC,26.4
17/10/2023,PAC,27.3
16/10/2023,PAC,27.3
13/10/2023,PAC,27.7
12/10/2023,PAC,27.85
11/10/2023,PAC,27.2
10/10/2023,PAC,27.8
09/10/2023,PAC,27.95
06/10/2023,PAC,28.45
05/10/2023,PAC,27.4
04/10/2023,PAC,27.85
03/10/2023,PAC,27.95
02/10/2023,PAC,28.0
29/09/2023,PAC,28.05
28/09/2023,PAC,28.05
27/09/2023,PAC,28.1
26/09/2023,PAC,28.0
25/09/2023,PAC,28.4
22/09/2023,PAC,28.25
21/09/2023,PAC,28.85
20/09/2023,PAC,28.95
19/09/2023,PAC,29.25
18/09/2023,PAC,29.25
15/09/2023,PAC,28.85
14/09/2023,PAC,29.0
13/09/2023,PAC,29.2
12/09/2023,PAC,28.6
11/09/2023,PAC,29.45
08/09/2023,PAC,29.3
07/09/2023,PAC,29.45
06/09/2023,PAC,29.45
05/09/2023,PAC,29.05
31/08/2023,PAC,29.05
30/08/2023,PAC,29.05
29/08/2023,PAC,29.5
28/08/2023,PAC,29.6
25/08/2023,PAC,29.6
24/08/2023,PAC,30.15
23/08/2023,PAC,29.5
22/08/2023,PAC,30.7
21/08/2023,PAC,29.3
18/08/2023,PAC,29.5
17/08/2023,PAC,29.5
16/08/2023,PAC,30.7
15/08/2023,PAC,29.6
14/08/2023,PAC,29.35
11/08/2023,PAC,29.8
10/08/2023,PAC,29.8
09/08/2023,PAC,29.9
08/08/2023,PAC,30.0
07/08/2023,PAC,29.65
04/08/2023,PAC,29.65
03/08/2023,PAC,30.1
02/08/2023,PAC,30.2
01/08/2023,PAC,29.9
31/07/2023,PAC,30.1
28/07/2023,PAC,30.3
27/07/2023,PAC,29.9
26/07/2023,PAC,29.7
25/07/2023,PAC,30.7
24/07/2023,PAC,29.6
21/07/2023,PAC,29.45
20/07/2023,PAC,30.45
19/07/2023,PAC,29.7
18/07/2023,PAC,29.75
17/07/2023,PAC,30.7
14/07/2023,PAC,30.0
13/07/2023,PAC,30.75
12/07/2023,PAC,30.35
11/07/2023,PAC,30.45
10/07/2023,PAC,30.5
07/07/2023,PAC,31.0
06/07/2023,PAC,31.0
05/07/2023,PAC,31.0
04/07/2023,PAC,31.0
03/07/2023,PAC,30.55
30/06/2023,PAC,30.7
29/06/2023,PAC,30.6
28/06/2023,PAC,30.5
27/06/2023,PAC,30.55
26/06/2023,PAC,30.2
23/06/2023,PAC,30.7
22/06/2023,PAC,30.4
21/06/2023,PAC,30.7
20/06/2023,PAC,30.0
19/06/2023,PAC,29.8
