Ngay,GiaDongCua
29/12/2023,4.22
28/12/2023,4.24
27/12/2023,4.18
26/12/2023,4.18
25/12/2023,4.18
22/12/2023,4.18
21/12/2023,4.2
20/12/2023,4.17
19/12/2023,4.17
18/12/2023,4.17
15/12/2023,4.27
14/12/2023,4.21
13/12/2023,4.21
12/12/2023,4.33
11/12/2023,4.15
08/12/2023,4.15
07/12/2023,4.15
06/12/2023,4.16
05/12/2023,4.13
04/12/2023,4.11
01/12/2023,4.04
30/11/2023,4.08
29/11/2023,4.06
28/11/2023,4.04
27/11/2023,4.01
24/11/2023,4.03
23/11/2023,4.08
22/11/2023,4.12
21/11/2023,4.12
20/11/2023,4.08
17/11/2023,4.11
16/11/2023,4.14
15/11/2023,4.1
14/11/2023,4.1
13/11/2023,4.1
10/11/2023,4.12
09/11/2023,4.12
08/11/2023,4.12
07/11/2023,4.04
06/11/2023,4.09
03/11/2023,4.08
02/11/2023,3.93
01/11/2023,3.75
31/10/2023,3.75
30/10/2023,3.81
27/10/2023,3.88
26/10/2023,3.85
25/10/2023,4.13
24/10/2023,4.11
23/10/2023,4.1
20/10/2023,4.1
19/10/2023,4.08
18/10/2023,4.2
17/10/2023,4.25
16/10/2023,4.31
13/10/2023,4.46
12/10/2023,4.49
11/10/2023,4.44
10/10/2023,4.39
09/10/2023,4.36
06/10/2023,4.27
05/10/2023,4.41
04/10/2023,4.52
03/10/2023,4.5
02/10/2023,4.66
29/09/2023,4.66
28/09/2023,4.65
27/09/2023,4.7
26/09/2023,4.72
25/09/2023,4.71
22/09/2023,4.89
21/09/2023,5.06
20/09/2023,5.1
19/09/2023,4.94
18/09/2023,5.08
15/09/2023,5.11
14/09/2023,5.16
13/09/2023,5.12
12/09/2023,5.11
11/09/2023,5.12
08/09/2023,5.12
07/09/2023,5.15
06/09/2023,5.15
05/09/2023,5.15
31/08/2023,5.07
30/08/2023,5.06
29/08/2023,5.01
28/08/2023,5.05
25/08/2023,5.0
24/08/2023,5.06
23/08/2023,4.95
22/08/2023,4.86
21/08/2023,4.82
18/08/2023,5.03
17/08/2023,5.4
16/08/2023,5.55
15/08/2023,5.55
14/08/2023,5.52
11/08/2023,5.61
10/08/2023,5.73
09/08/2023,5.81
