Ngay,GiaDongCua
29/12/2023,9.3
28/12/2023,9.36
27/12/2023,9.36
26/12/2023,9.4
25/12/2023,9.45
22/12/2023,9.4
21/12/2023,9.43
20/12/2023,9.4
19/12/2023,9.43
18/12/2023,9.4
15/12/2023,9.4
14/12/2023,9.5
13/12/2023,9.54
12/12/2023,9.41
11/12/2023,9.72
08/12/2023,9.75
07/12/2023,9.75
06/12/2023,9.8
05/12/2023,9.82
04/12/2023,9.85
01/12/2023,9.35
30/11/2023,9.32
29/11/2023,9.39
28/11/2023,9.46
27/11/2023,9.49
24/11/2023,9.51
23/11/2023,9.51
22/11/2023,9.7
21/11/2023,9.71
20/11/2023,9.7
17/11/2023,9.89
16/11/2023,9.7
15/11/2023,10.0
14/11/2023,10.0
13/11/2023,9.9
10/11/2023,10.15
09/11/2023,10.05
08/11/2023,9.4
07/11/2023,9.4
06/11/2023,9.69
03/11/2023,9.79
02/11/2023,9.9
01/11/2023,9.26
31/10/2023,9.95
30/10/2023,10.2
27/10/2023,10.1
26/10/2023,10.0
25/10/2023,10.6
24/10/2023,9.94
23/10/2023,9.93
20/10/2023,10.1
19/10/2023,10.0
18/10/2023,10.65
17/10/2023,10.65
16/10/2023,9.99
13/10/2023,10.45
12/10/2023,10.5
11/10/2023,10.5
10/10/2023,11.25
09/10/2023,12.05
06/10/2023,11.3
05/10/2023,10.6
04/10/2023,11.3
03/10/2023,10.6
02/10/2023,9.94
29/09/2023,9.29
28/09/2023,8.83
27/09/2023,8.83
26/09/2023,8.85
25/09/2023,8.85
22/09/2023,9.09
21/09/2023,9.4
20/09/2023,9.4
19/09/2023,9.1
18/09/2023,8.67
15/09/2023,8.66
14/09/2023,8.7
13/09/2023,8.6
12/09/2023,8.74
11/09/2023,8.65
08/09/2023,8.76
07/09/2023,8.63
06/09/2023,8.93
05/09/2023,8.8
31/08/2023,8.81
30/08/2023,8.89
29/08/2023,8.79
28/08/2023,8.5
25/08/2023,8.99
24/08/2023,8.99
23/08/2023,8.9
22/08/2023,8.9
21/08/2023,8.45
18/08/2023,8.49
17/08/2023,9.1
16/08/2023,9.14
15/08/2023,9.29
14/08/2023,9.25
11/08/2023,9.02
10/08/2023,9.01
09/08/2023,9.21
08/08/2023,9.12
07/08/2023,8.8
04/08/2023,8.97
03/08/2023,8.73
02/08/2023,9.09
01/08/2023,9.2
31/07/2023,9.2
28/07/2023,9.12
27/07/2023,9.14
26/07/2023,9.15
25/07/2023,9.15
24/07/2023,9.15
21/07/2023,9.25
20/07/2023,9.2
19/07/2023,9.33
18/07/2023,9.5
17/07/2023,9.5
14/07/2023,8.92
13/07/2023,8.9
12/07/2023,9.15
11/07/2023,8.69
10/07/2023,8.13
07/07/2023,7.6
06/07/2023,7.57
05/07/2023,7.58
04/07/2023,7.35
