Ngay,GiaDongCua
29/12/2023,8.22
28/12/2023,8.2
27/12/2023,8.2
26/12/2023,8.2
25/12/2023,8.37
22/12/2023,8.38
21/12/2023,8.32
20/12/2023,8.3
19/12/2023,8.3
18/12/2023,8.17
15/12/2023,8.5
14/12/2023,8.5
13/12/2023,8.47
12/12/2023,8.37
11/12/2023,8.4
08/12/2023,8.31
07/12/2023,8.3
06/12/2023,8.35
05/12/2023,8.39
04/12/2023,8.39
01/12/2023,8.3
30/11/2023,8.35
29/11/2023,8.49
28/11/2023,8.49
27/11/2023,8.4
24/11/2023,8.2
23/11/2023,8.59
22/11/2023,8.5
21/11/2023,8.32
20/11/2023,8.4
17/11/2023,8.42
16/11/2023,8.49
15/11/2023,8.35
14/11/2023,8.54
13/11/2023,8.2
10/11/2023,8.5
09/11/2023,8.69
08/11/2023,8.69
07/11/2023,8.5
06/11/2023,8.3
03/11/2023,8.2
02/11/2023,8.2
01/11/2023,7.92
31/10/2023,8.5
30/10/2023,8.46
27/10/2023,8.49
26/10/2023,8.5
25/10/2023,8.87
24/10/2023,8.9
23/10/2023,8.6
20/10/2023,8.98
19/10/2023,8.95
18/10/2023,9.0
17/10/2023,9.21
16/10/2023,9.21
13/10/2023,9.1
12/10/2023,9.04
11/10/2023,9.0
10/10/2023,9.0
09/10/2023,8.91
06/10/2023,8.82
05/10/2023,9.1
04/10/2023,9.05
03/10/2023,8.91
02/10/2023,9.1
29/09/2023,9.29
28/09/2023,9.3
27/09/2023,9.35
26/09/2023,9.42
25/09/2023,9.45
22/09/2023,9.5
21/09/2023,9.55
20/09/2023,10.0
19/09/2023,10.05
18/09/2023,9.46
15/09/2023,9.89
14/09/2023,9.99
13/09/2023,10.15
12/09/2023,10.55
11/09/2023,10.05
08/09/2023,9.41
07/09/2023,8.8
06/09/2023,8.9
05/09/2023,8.95
31/08/2023,8.62
30/08/2023,8.92
29/08/2023,8.98
28/08/2023,8.6
25/08/2023,8.95
24/08/2023,8.97
23/08/2023,8.99
22/08/2023,8.8
21/08/2023,8.9
18/08/2023,9.0
17/08/2023,9.1
16/08/2023,9.05
15/08/2023,9.05
14/08/2023,9.05
11/08/2023,9.06
10/08/2023,8.7
09/08/2023,9.0
08/08/2023,9.0
07/08/2023,9.0
04/08/2023,9.0
03/08/2023,8.96
02/08/2023,9.0
01/08/2023,8.9
31/07/2023,9.1
28/07/2023,8.95
27/07/2023,8.6
26/07/2023,9.1
25/07/2023,9.19
24/07/2023,8.67
21/07/2023,8.67
20/07/2023,8.5
19/07/2023,8.6
18/07/2023,9.1
17/07/2023,9.0
14/07/2023,8.87
13/07/2023,9.05
12/07/2023,9.1
11/07/2023,9.1
10/07/2023,9.01
07/07/2023,9.02
06/07/2023,9.12
05/07/2023,9.12
04/07/2023,9.4
03/07/2023,9.4
30/06/2023,8.83
29/06/2023,9.38
28/06/2023,9.48
27/06/2023,9.49
26/06/2023,9.2
23/06/2023,9.85
22/06/2023,9.46
21/06/2023,9.25
20/06/2023,9.59
19/06/2023,9.5
16/06/2023,9.5
15/06/2023,9.5
14/06/2023,9.5
13/06/2023,9.5
12/06/2023,9.2
09/06/2023,9.39
08/06/2023,9.4
07/06/2023,9.31
06/06/2023,9.3
05/06/2023,9.3
02/06/2023,8.7
01/06/2023,8.65
31/05/2023,8.69
30/05/2023,8.6
29/05/2023,8.5
26/05/2023,8.55
25/05/2023,8.55
24/05/2023,8.5
23/05/2023,8.5
22/05/2023,8.49
19/05/2023,8.4
18/05/2023,8.23
17/05/2023,8.79
16/05/2023,8.79
15/05/2023,8.51
12/05/2023,8.5
11/05/2023,8.54
10/05/2023,8.51
09/05/2023,8.5
08/05/2023,8.3
05/05/2023,8.33
04/05/2023,8.35
28/04/2023,8.37
27/04/2023,8.38
26/04/2023,8.39
25/04/2023,8.01
24/04/2023,8.29
21/04/2023,8.3
20/04/2023,8.35
19/04/2023,8.35
18/04/2023,8.46
17/04/2023,8.48
14/04/2023,8.1
13/04/2023,8.39
12/04/2023,8.4
11/04/2023,8.46
10/04/2023,8.5
07/04/2023,8.3
06/04/2023,8.1
05/04/2023,8.34
04/04/2023,8.34
03/04/2023,7.92
31/03/2023,8.1
30/03/2023,8.1
29/03/2023,8.1
28/03/2023,8.1
27/03/2023,7.99
24/03/2023,7.99
23/03/2023,8.0
22/03/2023,8.0
21/03/2023,8.0
20/03/2023,8.29
17/03/2023,8.36
16/03/2023,8.39
15/03/2023,8.43
14/03/2023,8.41
13/03/2023,8.43
10/03/2023,8.43
09/03/2023,8.43
08/03/2023,8.44
07/03/2023,8.49
06/03/2023,8.56
03/03/2023,8.1
02/03/2023,8.42
01/03/2023,8.29
28/02/2023,8.23
27/02/2023,8.76
24/02/2023,8.8
23/02/2023,8.73
22/02/2023,8.6
21/02/2023,8.8
20/02/2023,8.9
17/02/2023,8.89
16/02/2023,8.9
15/02/2023,8.9
14/02/2023,8.93
13/02/2023,8.96
10/02/2023,8.97
09/02/2023,8.97
08/02/2023,8.97
07/02/2023,8.97
06/02/2023,8.97
03/02/2023,8.92
02/02/2023,8.92
01/02/2023,8.97
31/01/2023,9.0
30/01/2023,9.09
27/01/2023,9.38
19/01/2023,8.96
18/01/2023,9.62
17/01/2023,9.64
16/01/2023,9.59
13/01/2023,9.92
12/01/2023,9.96
11/01/2023,9.98
10/01/2023,9.37
09/01/2023,9.37
06/01/2023,9.38
05/01/2023,9.38
04/01/2023,9.38
03/01/2023,9.48
30/12/2022,9.48
29/12/2022,9.48
28/12/2022,9.48
27/12/2022,9.48
26/12/2022,9.48
23/12/2022,9.47
22/12/2022,9.4
21/12/2022,9.38
20/12/2022,9.39
19/12/2022,9.5
16/12/2022,9.49
15/12/2022,9.5
14/12/2022,9.5
13/12/2022,9.46
12/12/2022,9.47
09/12/2022,9.0
08/12/2022,9.0
07/12/2022,9.0
06/12/2022,9.39
05/12/2022,9.4
02/12/2022,8.98
01/12/2022,8.64
30/11/2022,8.64
29/11/2022,8.6
28/11/2022,8.5
25/11/2022,8.28
24/11/2022,8.3
23/11/2022,8.37
22/11/2022,8.4
21/11/2022,8.0
18/11/2022,8.15
17/11/2022,7.89
16/11/2022,8.48
15/11/2022,8.3
14/11/2022,8.5
11/11/2022,8.7
10/11/2022,8.92
09/11/2022,9.59
08/11/2022,9.7
07/11/2022,9.75
04/11/2022,9.88
03/11/2022,9.93
02/11/2022,9.96
01/11/2022,9.95
31/10/2022,9.97
28/10/2022,10.0
27/10/2022,10.0
26/10/2022,9.8
25/10/2022,9.98
24/10/2022,10.35
21/10/2022,10.5
20/10/2022,10.85
19/10/2022,10.85
18/10/2022,11.0
17/10/2022,11.4
14/10/2022,11.4
13/10/2022,11.4
12/10/2022,11.4
11/10/2022,11.35
10/10/2022,11.8
07/10/2022,11.8
06/10/2022,12.0
05/10/2022,12.05
04/10/2022,12.15
03/10/2022,12.4
30/09/2022,12.4
29/09/2022,12.0
28/09/2022,12.1
27/09/2022,12.4
26/09/2022,13.3
23/09/2022,12.5
22/09/2022,12.25
21/09/2022,12.5
20/09/2022,12.7
19/09/2022,12.7
16/09/2022,12.95
15/09/2022,12.65
14/09/2022,12.6
13/09/2022,12.6
12/09/2022,12.6
09/09/2022,12.6
08/09/2022,12.75
07/09/2022,13.4
06/09/2022,13.0
05/09/2022,13.0
31/08/2022,13.4
30/08/2022,13.6
29/08/2022,13.9
26/08/2022,14.2
25/08/2022,13.65
24/08/2022,12.8
23/08/2022,12.75
22/08/2022,12.75
19/08/2022,12.8
18/08/2022,12.7
17/08/2022,12.85
16/08/2022,12.9
15/08/2022,13.0
12/08/2022,12.95
11/08/2022,13.0
10/08/2022,13.1
09/08/2022,13.15
08/08/2022,13.1
05/08/2022,13.0
04/08/2022,13.0
03/08/2022,13.0
02/08/2022,12.8
01/08/2022,12.7
29/07/2022,12.7
28/07/2022,12.75
27/07/2022,12.7
26/07/2022,12.9
25/07/2022,12.85
22/07/2022,12.85
21/07/2022,12.8
20/07/2022,12.5
19/07/2022,13.0
18/07/2022,13.0
15/07/2022,12.95
14/07/2022,13.1
13/07/2022,13.2
12/07/2022,13.4
11/07/2022,13.55
08/07/2022,13.6
07/07/2022,13.9
06/07/2022,14.3
05/07/2022,13.6
04/07/2022,13.35
