Ngay,GiaDongCua
29/12/2023,5.8
28/12/2023,5.8
27/12/2023,5.8
26/12/2023,5.99
25/12/2023,6.0
22/12/2023,5.8
21/12/2023,5.5
20/12/2023,5.5
19/12/2023,5.68
18/12/2023,5.32
15/12/2023,5.32
14/12/2023,5.51
13/12/2023,5.88
12/12/2023,5.56
11/12/2023,5.88
08/12/2023,5.8
07/12/2023,5.97
06/12/2023,5.8
05/12/2023,5.8
04/12/2023,5.81
01/12/2023,5.74
30/11/2023,5.74
29/11/2023,5.77
28/11/2023,5.4
27/11/2023,5.8
24/11/2023,5.9
23/11/2023,5.91
22/11/2023,5.85
21/11/2023,5.85
20/11/2023,5.7
17/11/2023,5.7
16/11/2023,5.8
15/11/2023,5.65
14/11/2023,5.6
13/11/2023,5.7
10/11/2023,5.7
09/11/2023,5.59
08/11/2023,5.51
07/11/2023,5.51
06/11/2023,5.67
03/11/2023,5.67
02/11/2023,5.67
01/11/2023,5.54
31/10/2023,5.2
30/10/2023,5.55
27/10/2023,5.74
26/10/2023,5.6
25/10/2023,5.5
24/10/2023,5.86
23/10/2023,5.84
20/10/2023,5.84
19/10/2023,5.49
18/10/2023,5.49
17/10/2023,5.49
16/10/2023,5.48
13/10/2023,5.5
12/10/2023,5.5
11/10/2023,5.5
10/10/2023,5.5
09/10/2023,5.5
06/10/2023,5.3
05/10/2023,5.55
04/10/2023,5.6
03/10/2023,5.55
02/10/2023,5.55
29/09/2023,5.71
28/09/2023,5.6
27/09/2023,5.6
26/09/2023,5.6
25/09/2023,5.6
22/09/2023,5.6
21/09/2023,5.75
20/09/2023,5.6
19/09/2023,5.5
18/09/2023,5.65
15/09/2023,5.72
14/09/2023,5.72
13/09/2023,5.6
12/09/2023,5.6
11/09/2023,5.51
08/09/2023,5.7
07/09/2023,5.77
06/09/2023,5.83
05/09/2023,5.91
31/08/2023,5.6
30/08/2023,5.32
29/08/2023,5.72
28/08/2023,5.55
25/08/2023,5.91
24/08/2023,5.95
23/08/2023,5.82
22/08/2023,5.81
21/08/2023,6.04
18/08/2023,5.68
17/08/2023,6.1
16/08/2023,6.1
15/08/2023,6.12
14/08/2023,6.09
11/08/2023,6.16
10/08/2023,6.11
09/08/2023,6.11
08/08/2023,6.15
07/08/2023,6.13
04/08/2023,6.15
03/08/2023,6.17
02/08/2023,6.07
01/08/2023,6.23
31/07/2023,6.69
28/07/2023,6.5
27/07/2023,6.5
26/07/2023,6.39
25/07/2023,6.4
24/07/2023,6.41
21/07/2023,6.49
20/07/2023,6.45
19/07/2023,6.48
18/07/2023,6.07
17/07/2023,6.5
14/07/2023,6.5
13/07/2023,6.5
12/07/2023,6.45
11/07/2023,6.55
10/07/2023,6.55
07/07/2023,6.6
06/07/2023,6.6
05/07/2023,6.65
04/07/2023,6.67
03/07/2023,6.67
30/06/2023,6.5
29/06/2023,6.42
28/06/2023,6.41
27/06/2023,6.41
26/06/2023,6.5
23/06/2023,6.46
22/06/2023,6.46
21/06/2023,6.37
20/06/2023,6.6
19/06/2023,6.58
16/06/2023,6.58
15/06/2023,6.57
14/06/2023,6.59
13/06/2023,6.5
12/06/2023,6.5
09/06/2023,6.58
08/06/2023,6.6
07/06/2023,6.55
06/06/2023,6.78
05/06/2023,6.5
02/06/2023,6.5
01/06/2023,6.48
31/05/2023,6.47
30/05/2023,6.5
29/05/2023,6.69
26/05/2023,6.48
25/05/2023,6.57
24/05/2023,6.57
23/05/2023,6.5
22/05/2023,6.55
19/05/2023,6.55
18/05/2023,6.55
17/05/2023,6.55
16/05/2023,6.55
15/05/2023,6.45
12/05/2023,6.45
11/05/2023,6.5
10/05/2023,6.5
09/05/2023,6.52
08/05/2023,6.1
05/05/2023,6.05
04/05/2023,6.5
28/04/2023,6.5
27/04/2023,6.5
26/04/2023,6.5
25/04/2023,6.5
24/04/2023,6.5
21/04/2023,6.5
20/04/2023,6.5
19/04/2023,6.5
18/04/2023,6.5
17/04/2023,6.6
14/04/2023,6.5
13/04/2023,6.5
12/04/2023,6.5
11/04/2023,6.8
10/04/2023,6.8
07/04/2023,6.65
06/04/2023,6.56
05/04/2023,6.5
04/04/2023,6.5
03/04/2023,6.5
31/03/2023,6.55
30/03/2023,6.55
29/03/2023,6.55
28/03/2023,6.66
27/03/2023,6.43
24/03/2023,6.52
23/03/2023,6.6
22/03/2023,7.0
21/03/2023,6.85
20/03/2023,7.21
17/03/2023,7.21
16/03/2023,7.21
15/03/2023,7.75
14/03/2023,7.75
13/03/2023,7.75
10/03/2023,7.31
09/03/2023,7.31
08/03/2023,7.31
07/03/2023,7.66
06/03/2023,7.16
03/03/2023,7.16
02/03/2023,7.16
01/03/2023,7.16
28/02/2023,7.16
27/02/2023,7.16
24/02/2023,7.16
23/02/2023,7.16
22/02/2023,7.16
21/02/2023,7.16
20/02/2023,7.16
17/02/2023,7.16
16/02/2023,6.7
15/02/2023,6.71
14/02/2023,7.1
13/02/2023,7.1
10/02/2023,7.13
09/02/2023,7.13
08/02/2023,7.13
07/02/2023,7.1
06/02/2023,7.1
03/02/2023,7.09
02/02/2023,7.09
01/02/2023,7.09
31/01/2023,7.1
30/01/2023,7.1
27/01/2023,7.1
19/01/2023,7.17
18/01/2023,7.17
17/01/2023,7.19
16/01/2023,7.19
13/01/2023,7.0
12/01/2023,7.0
11/01/2023,6.71
10/01/2023,6.71
09/01/2023,7.2
06/01/2023,6.9
05/01/2023,7.1
04/01/2023,7.11
03/01/2023,7.11
30/12/2022,6.65
29/12/2022,6.65
28/12/2022,7.14
27/12/2022,7.14
26/12/2022,7.0
23/12/2022,7.0
22/12/2022,7.0
21/12/2022,7.0
20/12/2022,7.0
19/12/2022,7.0
16/12/2022,7.1
15/12/2022,7.1
14/12/2022,7.37
13/12/2022,7.1
12/12/2022,7.05
09/12/2022,7.05
08/12/2022,7.05
07/12/2022,6.59
06/12/2022,7.07
05/12/2022,7.6
02/12/2022,7.14
01/12/2022,7.14
30/11/2022,6.68
29/11/2022,6.68
28/11/2022,6.68
25/11/2022,6.27
24/11/2022,5.97
23/11/2022,5.97
22/11/2022,6.01
21/11/2022,6.05
18/11/2022,5.93
17/11/2022,5.55
16/11/2022,5.44
15/11/2022,5.09
14/11/2022,5.1
11/11/2022,5.45
10/11/2022,5.85
09/11/2022,6.29
08/11/2022,6.45
07/11/2022,6.93
04/11/2022,6.68
03/11/2022,7.18
02/11/2022,7.71
01/11/2022,8.28
31/10/2022,8.18
28/10/2022,8.79
27/10/2022,9.1
26/10/2022,9.15
25/10/2022,8.75
24/10/2022,9.4
21/10/2022,10.1
20/10/2022,9.49
19/10/2022,9.5
18/10/2022,9.5
17/10/2022,9.5
14/10/2022,9.5
13/10/2022,9.4
12/10/2022,9.4
11/10/2022,9.7
10/10/2022,9.7
07/10/2022,9.7
06/10/2022,9.75
05/10/2022,9.75
04/10/2022,9.75
03/10/2022,9.75
30/09/2022,9.12
29/09/2022,9.7
28/09/2022,10.15
27/09/2022,10.15
26/09/2022,10.9
23/09/2022,10.8
22/09/2022,10.25
21/09/2022,10.2
20/09/2022,10.2
19/09/2022,10.2
16/09/2022,10.9
15/09/2022,10.4
14/09/2022,10.4
13/09/2022,11.1
12/09/2022,11.15
09/09/2022,11.2
08/09/2022,10.7
07/09/2022,10.15
06/09/2022,10.05
05/09/2022,9.85
31/08/2022,10.45
30/08/2022,9.8
29/08/2022,9.8
26/08/2022,10.5
25/08/2022,11.0
24/08/2022,10.35
23/08/2022,9.7
22/08/2022,10.35
19/08/2022,10.9
18/08/2022,10.9
17/08/2022,11.1
16/08/2022,11.05
15/08/2022,10.35
12/08/2022,10.5
11/08/2022,10.7
10/08/2022,10.0
09/08/2022,9.43
08/08/2022,9.96
05/08/2022,9.31
04/08/2022,10.0
03/08/2022,9.54
02/08/2022,9.32
01/08/2022,9.28
29/07/2022,9.11
28/07/2022,9.11
27/07/2022,9.11
26/07/2022,9.11
25/07/2022,9.69
22/07/2022,9.69
21/07/2022,9.12
20/07/2022,9.12
19/07/2022,9.12
18/07/2022,9.72
15/07/2022,9.1
14/07/2022,9.1
13/07/2022,9.1
12/07/2022,9.1
11/07/2022,9.68
08/07/2022,9.07
07/07/2022,9.07
06/07/2022,9.07
05/07/2022,9.07
04/07/2022,9.0
01/07/2022,9.0
30/06/2022,9.11
29/06/2022,9.44
28/06/2022,9.57
27/06/2022,9.57
24/06/2022,9.0
23/06/2022,9.0
22/06/2022,9.0
21/06/2022,9.14
20/06/2022,9.82
17/06/2022,9.2
16/06/2022,9.2
15/06/2022,9.22
14/06/2022,9.2
13/06/2022,9.2
10/06/2022,9.7
09/06/2022,9.7
08/06/2022,9.4
07/06/2022,9.32
06/06/2022,9.4
03/06/2022,9.4
02/06/2022,9.6
01/06/2022,9.65
31/05/2022,9.65
30/05/2022,9.44
27/05/2022,9.44
26/05/2022,9.4
25/05/2022,9.79
24/05/2022,9.89
23/05/2022,10.25
20/05/2022,10.2
19/05/2022,10.2
18/05/2022,9.8
17/05/2022,10.15
16/05/2022,9.6
13/05/2022,9.57
12/05/2022,10.2
11/05/2022,10.55
10/05/2022,10.6
09/05/2022,10.25
06/05/2022,10.25
05/05/2022,10.3
04/05/2022,10.3
29/04/2022,10.15
28/04/2022,10.55
27/04/2022,10.2
26/04/2022,10.0
25/04/2022,10.05
22/04/2022,9.8
21/04/2022,10.25
20/04/2022,10.25
19/04/2022,10.55
18/04/2022,9.9
15/04/2022,10.3
14/04/2022,10.15
13/04/2022,9.5
12/04/2022,9.8
08/04/2022,10.0
07/04/2022,10.3
06/04/2022,10.3
05/04/2022,10.3
04/04/2022,10.2
01/04/2022,10.3
31/03/2022,10.15
30/03/2022,10.65
29/03/2022,10.5
28/03/2022,10.5
25/03/2022,10.5
24/03/2022,10.5
23/03/2022,10.55
22/03/2022,10.5
21/03/2022,10.55
18/03/2022,10.55
17/03/2022,10.55
16/03/2022,10.35
15/03/2022,10.55
14/03/2022,10.3
11/03/2022,10.3
10/03/2022,10.5
09/03/2022,10.3
08/03/2022,10.25
07/03/2022,10.55
04/03/2022,10.5
03/03/2022,10.65
02/03/2022,10.3
01/03/2022,10.35
28/02/2022,10.35
25/02/2022,10.45
24/02/2022,10.45
23/02/2022,10.5
22/02/2022,10.0
21/02/2022,10.5
18/02/2022,10.05
17/02/2022,10.15
16/02/2022,10.05
15/02/2022,10.05
14/02/2022,10.5
11/02/2022,9.9
10/02/2022,10.6
09/02/2022,10.0
08/02/2022,10.0
07/02/2022,10.0
28/01/2022,9.85
27/01/2022,9.21
26/01/2022,9.7
25/01/2022,10.0
24/01/2022,10.0
21/01/2022,10.15
20/01/2022,10.1
19/01/2022,10.1
18/01/2022,10.0
17/01/2022,10.5
14/01/2022,10.6
13/01/2022,10.75
12/01/2022,10.75
11/01/2022,10.55
10/01/2022,10.6
07/01/2022,10.55
06/01/2022,10.75
05/01/2022,10.55
04/01/2022,10.9
31/12/2021,10.55
30/12/2021,10.4
29/12/2021,10.55
28/12/2021,10.55
27/12/2021,10.45
24/12/2021,10.5
23/12/2021,10.75
22/12/2021,10.75
21/12/2021,10.3
20/12/2021,10.35
17/12/2021,10.6
16/12/2021,10.75
15/12/2021,10.35
14/12/2021,10.35
13/12/2021,10.5
10/12/2021,10.7
09/12/2021,10.8
08/12/2021,10.75
07/12/2021,10.75
06/12/2021,10.75
03/12/2021,10.75
02/12/2021,10.8
01/12/2021,10.85
30/11/2021,10.85
29/11/2021,10.75
26/11/2021,10.8
25/11/2021,10.8
24/11/2021,10.8
23/11/2021,10.7
22/11/2021,10.8
19/11/2021,11.0
18/11/2021,10.85
17/11/2021,10.75
16/11/2021,11.0
15/11/2021,11.0
12/11/2021,11.0
11/11/2021,10.6
10/11/2021,10.75
09/11/2021,10.3
08/11/2021,10.1
05/11/2021,10.1
04/11/2021,10.1
03/11/2021,10.1
02/11/2021,10.05
01/11/2021,10.0
29/10/2021,10.1
28/10/2021,10.1
27/10/2021,9.94
26/10/2021,10.15
25/10/2021,10.2
22/10/2021,10.2
21/10/2021,10.15
20/10/2021,10.0
19/10/2021,10.1
18/10/2021,10.0
15/10/2021,9.8
14/10/2021,9.8
13/10/2021,9.83
12/10/2021,9.84
11/10/2021,9.85
08/10/2021,9.85
07/10/2021,9.85
06/10/2021,9.61
05/10/2021,9.61
04/10/2021,9.89
01/10/2021,9.46
30/09/2021,9.45
29/09/2021,9.45
28/09/2021,9.45
27/09/2021,9.53
24/09/2021,10.0
23/09/2021,9.91
22/09/2021,9.9
21/09/2021,9.75
20/09/2021,9.78
17/09/2021,9.56
16/09/2021,9.46
15/09/2021,9.46
14/09/2021,9.5
13/09/2021,9.51
10/09/2021,9.55
09/09/2021,9.58
08/09/2021,9.45
07/09/2021,9.6
06/09/2021,9.6
01/09/2021,9.72
31/08/2021,9.76
30/08/2021,9.79
27/08/2021,9.41
26/08/2021,10.0
25/08/2021,10.7
24/08/2021,10.2
23/08/2021,10.5
20/08/2021,10.1
19/08/2021,10.05
18/08/2021,10.6
17/08/2021,10.9
16/08/2021,10.6
13/08/2021,10.15
12/08/2021,9.52
11/08/2021,9.52
10/08/2021,8.9
09/08/2021,9.09
06/08/2021,9.09
05/08/2021,9.09
04/08/2021,8.7
03/08/2021,8.7
02/08/2021,8.7
30/07/2021,9.29
29/07/2021,9.29
28/07/2021,8.82
27/07/2021,8.82
26/07/2021,8.82
23/07/2021,8.82
22/07/2021,8.82
21/07/2021,9.41
20/07/2021,8.8
19/07/2021,8.76
16/07/2021,9.41
15/07/2021,9.41
14/07/2021,8.8
13/07/2021,8.8
12/07/2021,8.84
09/07/2021,9.5
08/07/2021,9.5
07/07/2021,8.9
06/07/2021,8.9
05/07/2021,9.5
02/07/2021,9.8
01/07/2021,9.76
30/06/2021,9.76
29/06/2021,9.76
28/06/2021,9.13
25/06/2021,9.51
24/06/2021,9.51
23/06/2021,9.2
22/06/2021,9.2
21/06/2021,8.61
18/06/2021,8.61
17/06/2021,8.61
16/06/2021,9.0
15/06/2021,8.99
14/06/2021,8.6
11/06/2021,9.15
10/06/2021,8.57
09/06/2021,9.0
08/06/2021,9.09
07/06/2021,9.09
04/06/2021,9.1
03/06/2021,9.1
02/06/2021,9.2
01/06/2021,9.1
31/05/2021,9.2
28/05/2021,9.0
27/05/2021,9.0
26/05/2021,8.81
25/05/2021,9.2
24/05/2021,9.2
21/05/2021,8.62
20/05/2021,8.61
19/05/2021,8.61
18/05/2021,9.09
17/05/2021,9.1
14/05/2021,8.51
13/05/2021,8.99
12/05/2021,8.41
11/05/2021,9.0
10/05/2021,9.0
07/05/2021,8.5
06/05/2021,8.5
05/05/2021,8.6
04/05/2021,8.6
29/04/2021,9.2
28/04/2021,9.3
27/04/2021,8.78
26/04/2021,9.4
23/04/2021,9.13
22/04/2021,9.8
20/04/2021,9.8
19/04/2021,9.5
16/04/2021,9.41
15/04/2021,9.99
14/04/2021,9.99
13/04/2021,9.97
12/04/2021,10.0
09/04/2021,9.61
08/04/2021,9.61
07/04/2021,9.61
06/04/2021,10.0
05/04/2021,10.15
02/04/2021,9.6
01/04/2021,9.89
31/03/2021,9.7
30/03/2021,9.7
29/03/2021,9.7
26/03/2021,10.1
25/03/2021,10.15
24/03/2021,10.15
23/03/2021,10.15
22/03/2021,10.15
19/03/2021,10.15
18/03/2021,10.15
17/03/2021,10.4
16/03/2021,10.25
15/03/2021,11.0
12/03/2021,11.0
11/03/2021,10.45
10/03/2021,9.81
09/03/2021,10.4
08/03/2021,10.4
05/03/2021,11.0
04/03/2021,11.0
03/03/2021,11.1
02/03/2021,11.15
01/03/2021,11.3
26/02/2021,10.6
25/02/2021,10.25
24/02/2021,9.6
23/02/2021,9.51
22/02/2021,10.0
19/02/2021,10.2
18/02/2021,10.95
17/02/2021,11.0
09/02/2021,10.35
08/02/2021,10.45
05/02/2021,10.45
04/02/2021,9.99
03/02/2021,9.99
02/02/2021,9.99
01/02/2021,9.34
29/01/2021,9.82
28/01/2021,9.18
27/01/2021,9.87
26/01/2021,9.87
25/01/2021,10.6
22/01/2021,10.6
21/01/2021,10.6
20/01/2021,9.93
19/01/2021,9.93
18/01/2021,9.93
15/01/2021,10.4
14/01/2021,10.4
13/01/2021,10.4
12/01/2021,10.4
11/01/2021,9.91
08/01/2021,10.65
07/01/2021,9.96
06/01/2021,9.31
05/01/2021,9.31
04/01/2021,9.3
31/12/2020,10.0
30/12/2020,10.2
29/12/2020,10.2
28/12/2020,10.2
25/12/2020,10.1
24/12/2020,10.85
23/12/2020,10.25
22/12/2020,9.6
21/12/2020,9.0
18/12/2020,9.0
17/12/2020,9.0
16/12/2020,8.42
15/12/2020,8.99
14/12/2020,8.45
11/12/2020,8.48
10/12/2020,9.1
09/12/2020,9.1
08/12/2020,9.0
07/12/2020,8.51
04/12/2020,8.41
03/12/2020,7.86
02/12/2020,7.35
01/12/2020,7.75
30/11/2020,8.33
27/11/2020,7.79
26/11/2020,8.36
25/11/2020,8.98
24/11/2020,8.98
23/11/2020,8.5
20/11/2020,7.99
19/11/2020,7.5
18/11/2020,7.9
17/11/2020,7.39
16/11/2020,7.39
13/11/2020,6.91
12/11/2020,7.4
11/11/2020,7.4
10/11/2020,7.4
09/11/2020,7.3
06/11/2020,7.3
05/11/2020,7.3
04/11/2020,7.4
03/11/2020,7.39
02/11/2020,7.47
30/10/2020,7.11
29/10/2020,7.11
28/10/2020,7.39
27/10/2020,7.39
26/10/2020,7.19
23/10/2020,7.35
22/10/2020,7.2
21/10/2020,7.09
20/10/2020,7.6
19/10/2020,7.42
16/10/2020,7.39
15/10/2020,7.39
14/10/2020,7.05
13/10/2020,7.4
12/10/2020,7.4
09/10/2020,7.35
08/10/2020,7.4
07/10/2020,7.4
06/10/2020,7.64
05/10/2020,7.65
02/10/2020,7.65
01/10/2020,7.7
30/09/2020,7.63
29/09/2020,7.53
28/09/2020,7.52
25/09/2020,7.52
24/09/2020,7.03
23/09/2020,7.5
22/09/2020,7.89
21/09/2020,7.89
18/09/2020,7.9
17/09/2020,7.64
16/09/2020,7.8
15/09/2020,7.61
14/09/2020,7.61
11/09/2020,7.92
10/09/2020,7.6
09/09/2020,7.75
08/09/2020,7.75
07/09/2020,7.94
04/09/2020,8.07
03/09/2020,7.89
01/09/2020,8.08
31/08/2020,8.16
28/08/2020,8.07
27/08/2020,8.15
26/08/2020,8.22
25/08/2020,7.9
24/08/2020,8.29
21/08/2020,8.16
20/08/2020,8.89
19/08/2020,8.5
18/08/2020,8.5
17/08/2020,8.5
14/08/2020,8.4
13/08/2020,8.1
12/08/2020,8.01
11/08/2020,8.1
10/08/2020,8.1
07/08/2020,8.09
06/08/2020,7.58
05/08/2020,7.1
04/08/2020,7.4
03/08/2020,7.16
31/07/2020,7.16
30/07/2020,7.4
29/07/2020,7.89
28/07/2020,7.99
27/07/2020,7.5
24/07/2020,7.5
23/07/2020,7.8
22/07/2020,7.8
21/07/2020,8.19
20/07/2020,8.19
17/07/2020,7.82
16/07/2020,7.34
15/07/2020,6.86
14/07/2020,7.31
13/07/2020,7.31
10/07/2020,7.36
09/07/2020,7.56
08/07/2020,7.52
07/07/2020,7.48
06/07/2020,8.02
03/07/2020,7.5
02/07/2020,7.9
01/07/2020,8.2
30/06/2020,8.17
29/06/2020,7.65
26/06/2020,8.0
25/06/2020,8.0
24/06/2020,8.49
23/06/2020,8.29
22/06/2020,8.19
19/06/2020,8.2
18/06/2020,8.2
17/06/2020,8.6
16/06/2020,8.69
15/06/2020,8.29
12/06/2020,8.29
11/06/2020,8.29
10/06/2020,8.16
09/06/2020,8.37
08/06/2020,8.37
05/06/2020,8.2
04/06/2020,8.0
03/06/2020,8.19
02/06/2020,8.2
01/06/2020,8.2
29/05/2020,8.37
28/05/2020,8.3
27/05/2020,8.3
26/05/2020,8.4
25/05/2020,8.39
22/05/2020,8.3
21/05/2020,8.19
20/05/2020,8.2
19/05/2020,8.3
18/05/2020,8.24
15/05/2020,8.15
14/05/2020,8.74
13/05/2020,9.39
12/05/2020,8.88
11/05/2020,8.89
08/05/2020,8.45
07/05/2020,7.98
06/05/2020,7.99
05/05/2020,7.51
04/05/2020,7.95
29/04/2020,8.54
28/04/2020,7.99
27/04/2020,7.99
24/04/2020,7.5
23/04/2020,7.51
22/04/2020,8.0
21/04/2020,8.0
20/04/2020,8.02
17/04/2020,7.59
16/04/2020,7.32
15/04/2020,7.5
14/04/2020,7.01
13/04/2020,7.41
10/04/2020,7.45
09/04/2020,7.45
08/04/2020,7.99
07/04/2020,7.51
06/04/2020,7.03
03/04/2020,7.51
01/04/2020,8.0
31/03/2020,8.54
30/03/2020,8.0
27/03/2020,8.06
26/03/2020,8.06
25/03/2020,8.06
24/03/2020,8.06
23/03/2020,8.06
20/03/2020,8.66
19/03/2020,8.66
18/03/2020,9.22
17/03/2020,8.63
16/03/2020,8.48
13/03/2020,9.1
12/03/2020,9.14
11/03/2020,8.55
10/03/2020,9.17
09/03/2020,9.68
06/03/2020,10.4
05/03/2020,9.76
04/03/2020,9.76
03/03/2020,9.76
02/03/2020,9.13
28/02/2020,8.55
27/02/2020,8.98
26/02/2020,8.98
25/02/2020,8.98
24/02/2020,8.98
21/02/2020,9.64
20/02/2020,9.01
19/02/2020,9.01
18/02/2020,9.5
17/02/2020,9.95
14/02/2020,9.3
13/02/2020,8.73
12/02/2020,8.71
11/02/2020,9.27
10/02/2020,9.27
07/02/2020,9.21
06/02/2020,9.89
05/02/2020,9.25
04/02/2020,9.92
03/02/2020,10.65
31/01/2020,10.4
30/01/2020,9.74
22/01/2020,9.11
21/01/2020,9.11
20/01/2020,9.11
17/01/2020,9.11
16/01/2020,8.85
15/01/2020,8.28
14/01/2020,8.28
13/01/2020,8.28
10/01/2020,8.89
09/01/2020,8.89
08/01/2020,8.89
07/01/2020,9.02
06/01/2020,9.31
03/01/2020,9.31
02/01/2020,9.99
31/12/2019,9.52
30/12/2019,10.2
27/12/2019,10.95
26/12/2019,11.0
25/12/2019,11.8
24/12/2019,11.05
23/12/2019,10.7
20/12/2019,10.0
19/12/2019,10.4
18/12/2019,10.0
17/12/2019,10.1
16/12/2019,9.5
13/12/2019,10.2
12/12/2019,10.95
11/12/2019,10.95
10/12/2019,10.95
09/12/2019,10.7
06/12/2019,10.0
05/12/2019,10.0
04/12/2019,10.0
03/12/2019,10.45
02/12/2019,10.45
29/11/2019,10.15
28/11/2019,9.5
27/11/2019,9.5
