Ngay,GiaDongCua
29/12/2023,16.8
28/12/2023,16.95
27/12/2023,16.9
26/12/2023,16.95
25/12/2023,16.9
22/12/2023,16.85
21/12/2023,16.85
20/12/2023,16.85
19/12/2023,16.8
18/12/2023,16.75
15/12/2023,16.75
14/12/2023,16.85
13/12/2023,16.8
12/12/2023,16.8
11/12/2023,16.7
08/12/2023,16.8
07/12/2023,16.8
06/12/2023,16.8
05/12/2023,16.8
04/12/2023,16.85
01/12/2023,16.6
30/11/2023,16.85
29/11/2023,16.85
28/11/2023,16.85
27/11/2023,16.6
24/11/2023,16.65
23/11/2023,16.65
22/11/2023,16.65
21/11/2023,16.7
20/11/2023,16.75
17/11/2023,16.95
16/11/2023,16.95
15/11/2023,16.9
14/11/2023,16.65
13/11/2023,16.8
10/11/2023,16.8
09/11/2023,17.1
08/11/2023,17.05
07/11/2023,16.7
06/11/2023,17.1
03/11/2023,17.1
02/11/2023,17.2
01/11/2023,16.95
31/10/2023,16.7
30/10/2023,16.8
27/10/2023,17.1
26/10/2023,16.85
25/10/2023,17.2
24/10/2023,17.2
23/10/2023,17.2
20/10/2023,17.2
19/10/2023,17.15
18/10/2023,17.0
17/10/2023,17.2
16/10/2023,17.3
13/10/2023,17.3
12/10/2023,17.3
11/10/2023,17.4
10/10/2023,17.4
09/10/2023,17.3
06/10/2023,17.2
05/10/2023,17.0
04/10/2023,17.05
03/10/2023,17.25
02/10/2023,17.4
29/09/2023,17.35
28/09/2023,17.1
27/09/2023,17.25
26/09/2023,17.55
25/09/2023,17.2
22/09/2023,18.1
21/09/2023,18.3
20/09/2023,18.6
19/09/2023,18.5
18/09/2023,18.6
15/09/2023,18.3
14/09/2023,18.5
13/09/2023,18.4
12/09/2023,18.6
11/09/2023,18.45
08/09/2023,18.65
07/09/2023,18.7
06/09/2023,18.85
05/09/2023,18.65
31/08/2023,18.8
30/08/2023,18.7
29/08/2023,18.7
28/08/2023,18.75
25/08/2023,18.6
24/08/2023,18.8
23/08/2023,18.7
22/08/2023,18.75
21/08/2023,18.7
18/08/2023,18.7
17/08/2023,18.85
16/08/2023,19.0
15/08/2023,19.0
14/08/2023,19.0
11/08/2023,19.05
10/08/2023,19.15
09/08/2023,19.2
08/08/2023,19.3
07/08/2023,19.1
04/08/2023,19.05
03/08/2023,19.15
02/08/2023,19.2
01/08/2023,19.0
31/07/2023,19.4
28/07/2023,19.45
27/07/2023,19.2
26/07/2023,19.35
25/07/2023,19.65
24/07/2023,19.8
21/07/2023,19.9
20/07/2023,19.55
19/07/2023,19.5
18/07/2023,19.5
17/07/2023,19.55
14/07/2023,19.2
