Ngay,GiaDongCua
29/12/2023,17.25
28/12/2023,16.85
27/12/2023,16.8
26/12/2023,16.95
25/12/2023,16.8
22/12/2023,16.55
21/12/2023,16.7
20/12/2023,16.65
19/12/2023,16.5
18/12/2023,16.3
15/12/2023,16.7
14/12/2023,16.85
13/12/2023,17.2
12/12/2023,17.45
11/12/2023,17.4
08/12/2023,17.4
07/12/2023,17.6
06/12/2023,18.1
05/12/2023,17.65
04/12/2023,17.65
01/12/2023,16.9
30/11/2023,16.95
29/11/2023,17.1
28/11/2023,16.85
27/11/2023,16.5
24/11/2023,16.9
23/11/2023,16.8
22/11/2023,17.8
21/11/2023,17.5
20/11/2023,16.95
17/11/2023,17.1
16/11/2023,17.4
15/11/2023,17.0
14/11/2023,17.1
13/11/2023,16.95
10/11/2023,16.95
09/11/2023,17.1
08/11/2023,17.2
07/11/2023,16.1
06/11/2023,16.35
03/11/2023,16.2
02/11/2023,15.55
01/11/2023,14.55
31/10/2023,13.9
30/10/2023,14.2
27/10/2023,15.1
26/10/2023,14.7
25/10/2023,15.8
24/10/2023,16.05
23/10/2023,15.6
20/10/2023,16.25
19/10/2023,15.2
18/10/2023,15.05
17/10/2023,16.15
16/10/2023,17.35
13/10/2023,18.0
12/10/2023,18.6
11/10/2023,18.8
10/10/2023,18.5
09/10/2023,18.35
06/10/2023,17.9
05/10/2023,18.0
04/10/2023,18.65
03/10/2023,18.45
02/10/2023,19.8
29/09/2023,19.3
28/09/2023,18.8
27/09/2023,19.3
26/09/2023,18.6
25/09/2023,19.65
22/09/2023,21.1
21/09/2023,22.4
20/09/2023,22.55
19/09/2023,21.8
18/09/2023,22.7
15/09/2023,23.3
14/09/2023,23.2
13/09/2023,24.0
12/09/2023,23.8
11/09/2023,23.05
08/09/2023,23.3
07/09/2023,23.0
06/09/2023,23.3
05/09/2023,22.9
31/08/2023,22.4
30/08/2023,22.25
29/08/2023,21.45
28/08/2023,21.25
25/08/2023,20.7
24/08/2023,20.6
23/08/2023,19.95
22/08/2023,20.4
21/08/2023,20.0
18/08/2023,20.5
17/08/2023,22.0
16/08/2023,22.35
15/08/2023,22.2
14/08/2023,22.4
11/08/2023,20.95
10/08/2023,20.6
09/08/2023,21.0
08/08/2023,21.3
07/08/2023,21.85
04/08/2023,21.55
03/08/2023,21.2
02/08/2023,21.7
01/08/2023,20.7
31/07/2023,20.7
28/07/2023,20.45
27/07/2023,20.6
26/07/2023,20.1
25/07/2023,19.95
24/07/2023,20.25
21/07/2023,20.2
20/07/2023,19.5
19/07/2023,19.3
18/07/2023,19.25
17/07/2023,19.5
14/07/2023,19.65
13/07/2023,18.85
12/07/2023,18.6
11/07/2023,18.5
10/07/2023,18.35
07/07/2023,18.15
06/07/2023,17.8
05/07/2023,18.55
04/07/2023,18.8
03/07/2023,18.5
30/06/2023,18.2
29/06/2023,18.25
28/06/2023,18.4
27/06/2023,18.9
26/06/2023,19.0
23/06/2023,18.85
22/06/2023,19.05
21/06/2023,18.8
20/06/2023,18.5
19/06/2023,17.3
16/06/2023,17.45
15/06/2023,17.4
14/06/2023,17.05
13/06/2023,17.55
12/06/2023,17.3
09/06/2023,17.6
08/06/2023,17.55
07/06/2023,18.2
06/06/2023,18.0
05/06/2023,17.8
02/06/2023,18.2
01/06/2023,17.5
31/05/2023,17.6
30/05/2023,17.55
29/05/2023,17.55
26/05/2023,17.3
25/05/2023,16.75
24/05/2023,16.65
23/05/2023,16.25
22/05/2023,16.1
19/05/2023,15.05
18/05/2023,14.75
17/05/2023,14.75
16/05/2023,15.0
15/05/2023,15.15
12/05/2023,15.1
11/05/2023,15.15
10/05/2023,15.1
09/05/2023,14.65
08/05/2023,14.6
05/05/2023,14.3
04/05/2023,14.55
28/04/2023,14.45
27/04/2023,14.2
26/04/2023,14.15
25/04/2023,14.2
24/04/2023,14.3
21/04/2023,14.3
20/04/2023,14.5
19/04/2023,14.55
18/04/2023,14.9
17/04/2023,14.7
14/04/2023,14.9
13/04/2023,15.4
12/04/2023,15.0
11/04/2023,15.2
10/04/2023,15.05
07/04/2023,15.35
06/04/2023,15.25
05/04/2023,15.7
04/04/2023,15.5
03/04/2023,15.15
31/03/2023,14.6
30/03/2023,14.8
29/03/2023,15.0
28/03/2023,14.65
27/03/2023,14.7
24/03/2023,14.5
23/03/2023,14.45
22/03/2023,14.2
21/03/2023,14.35
20/03/2023,14.3
17/03/2023,14.1
16/03/2023,14.0
15/03/2023,14.4
14/03/2023,13.65
13/03/2023,13.85
10/03/2023,13.5
09/03/2023,13.8
08/03/2023,13.5
07/03/2023,13.3
06/03/2023,13.25
03/03/2023,13.0
02/03/2023,13.25
01/03/2023,13.4
28/02/2023,12.95
27/02/2023,12.95
24/02/2023,13.15
23/02/2023,13.5
22/02/2023,13.5
21/02/2023,14.2
20/02/2023,14.3
17/02/2023,13.5
16/02/2023,13.4
15/02/2023,13.1
14/02/2023,12.65
13/02/2023,12.6
10/02/2023,13.4
09/02/2023,13.75
08/02/2023,13.85
07/02/2023,13.5
06/02/2023,13.9
03/02/2023,13.95
02/02/2023,13.85
01/02/2023,14.3
31/01/2023,15.35
30/01/2023,15.25
27/01/2023,14.8
19/01/2023,14.65
18/01/2023,14.8
17/01/2023,14.6
16/01/2023,13.9
13/01/2023,13.7
12/01/2023,13.8
11/01/2023,14.0
10/01/2023,14.0
09/01/2023,13.65
06/01/2023,13.45
05/01/2023,13.9
04/01/2023,13.85
03/01/2023,13.8
30/12/2022,12.9
29/12/2022,13.0
