Ngay,Symbol,GiaDongCua
29/12/2023,CTD,68.8
28/12/2023,CTD,68.6
27/12/2023,CTD,69.7
26/12/2023,CTD,69.5
25/12/2023,CTD,65.8
22/12/2023,CTD,65.2
21/12/2023,CTD,63.9
20/12/2023,CTD,63.8
19/12/2023,CTD,63.8
18/12/2023,CTD,63.6
15/12/2023,CTD,62.0
14/12/2023,CTD,62.1
13/12/2023,CTD,62.4
12/12/2023,CTD,64.1
11/12/2023,CTD,63.8
08/12/2023,CTD,64.3
07/12/2023,CTD,65.7
06/12/2023,CTD,65.7
05/12/2023,CTD,64.4
04/12/2023,CTD,65.5
01/12/2023,CTD,62.5
30/11/2023,CTD,62.0
29/11/2023,CTD,61.9
28/11/2023,CTD,61.9
27/11/2023,CTD,60.0
24/11/2023,CTD,62.5
23/11/2023,CTD,61.4
22/11/2023,CTD,66.0
21/11/2023,CTD,65.8
20/11/2023,CTD,62.5
17/11/2023,CTD,62.0
16/11/2023,CTD,63.0
15/11/2023,CTD,61.8
14/11/2023,CTD,63.4
13/11/2023,CTD,62.3
10/11/2023,CTD,63.0
09/11/2023,CTD,62.0
08/11/2023,CTD,63.0
07/11/2023,CTD,61.1
06/11/2023,CTD,58.7
03/11/2023,CTD,57.5
02/11/2023,CTD,53.8
01/11/2023,CTD,50.3
31/10/2023,CTD,50.6
30/10/2023,CTD,52.1
27/10/2023,CTD,54.8
26/10/2023,CTD,51.3
25/10/2023,CTD,55.0
24/10/2023,CTD,52.9
23/10/2023,CTD,49.5
20/10/2023,CTD,51.0
19/10/2023,CTD,49.2
18/10/2023,CTD,49.5
17/10/2023,CTD,51.2
16/10/2023,CTD,54.7
13/10/2023,CTD,54.9
12/10/2023,CTD,53.8
11/10/2023,CTD,54.3
10/10/2023,CTD,51.1
09/10/2023,CTD,51.7
06/10/2023,CTD,51.5
05/10/2023,CTD,49.4
04/10/2023,CTD,47.4
03/10/2023,CTD,46.1
02/10/2023,CTD,47.8
29/09/2023,CTD,47.8
28/09/2023,CTD,48.3
27/09/2023,CTD,63.0
26/09/2023,CTD,63.4
25/09/2023,CTD,63.7
22/09/2023,CTD,68.4
21/09/2023,CTD,70.6
20/09/2023,CTD,72.0
19/09/2023,CTD,70.5
18/09/2023,CTD,70.8
15/09/2023,CTD,67.5
14/09/2023,CTD,65.2
13/09/2023,CTD,66.8
12/09/2023,CTD,66.2
11/09/2023,CTD,64.5
08/09/2023,CTD,66.8
07/09/2023,CTD,66.4
06/09/2023,CTD,67.0
05/09/2023,CTD,65.3
31/08/2023,CTD,63.1
30/08/2023,CTD,61.7
29/08/2023,CTD,62.5
28/08/2023,CTD,62.4
25/08/2023,CTD,62.4
24/08/2023,CTD,59.5
23/08/2023,CTD,59.0
22/08/2023,CTD,58.5
21/08/2023,CTD,59.2
18/08/2023,CTD,61.0
17/08/2023,CTD,65.5
16/08/2023,CTD,67.0
15/08/2023,CTD,66.9
14/08/2023,CTD,67.3
11/08/2023,CTD,67.4
10/08/2023,CTD,68.2
09/08/2023,CTD,66.0
08/08/2023,CTD,66.8
07/08/2023,CTD,64.0
04/08/2023,CTD,64.6
03/08/2023,CTD,64.0
02/08/2023,CTD,63.3
01/08/2023,CTD,66.9
31/07/2023,CTD,71.9
28/07/2023,CTD,73.6
27/07/2023,CTD,68.8
26/07/2023,CTD,72.8
25/07/2023,CTD,74.0
24/07/2023,CTD,73.7
21/07/2023,CTD,79.2
20/07/2023,CTD,79.0
19/07/2023,CTD,77.7
18/07/2023,CTD,78.5
17/07/2023,CTD,78.0
14/07/2023,CTD,80.0
13/07/2023,CTD,77.7
12/07/2023,CTD,78.0
11/07/2023,CTD,77.3
10/07/2023,CTD,75.0
07/07/2023,CTD,74.0
06/07/2023,CTD,69.5
05/07/2023,CTD,69.7
04/07/2023,CTD,70.0
03/07/2023,CTD,70.0
30/06/2023,CTD,68.9
29/06/2023,CTD,68.6
28/06/2023,CTD,69.3
27/06/2023,CTD,68.8
26/06/2023,CTD,68.8
23/06/2023,CTD,70.0
22/06/2023,CTD,67.7
21/06/2023,CTD,67.7
20/06/2023,CTD,65.0
19/06/2023,CTD,64.2
16/06/2023,CTD,65.7
15/06/2023,CTD,66.2
14/06/2023,CTD,65.8
13/06/2023,CTD,68.0
12/06/2023,CTD,69.8
09/06/2023,CTD,66.5
08/06/2023,CTD,65.5
07/06/2023,CTD,65.6
06/06/2023,CTD,66.5
05/06/2023,CTD,64.8
02/06/2023,CTD,63.6
01/06/2023,CTD,64.0
31/05/2023,CTD,64.0
30/05/2023,CTD,65.5
29/05/2023,CTD,63.7
26/05/2023,CTD,64.0
25/05/2023,CTD,64.0
24/05/2023,CTD,64.8
23/05/2023,CTD,66.0
22/05/2023,CTD,63.4
19/05/2023,CTD,63.3
18/05/2023,CTD,64.0
17/05/2023,CTD,64.0
16/05/2023,CTD,63.4
15/05/2023,CTD,63.2
12/05/2023,CTD,64.6
11/05/2023,CTD,62.0
10/05/2023,CTD,58.0
09/05/2023,CTD,57.9
08/05/2023,CTD,59.0
05/05/2023,CTD,59.6
04/05/2023,CTD,56.7
28/04/2023,CTD,59.0
27/04/2023,CTD,59.3
26/04/2023,CTD,58.5
25/04/2023,CTD,58.0
24/04/2023,CTD,58.8
21/04/2023,CTD,55.0
20/04/2023,CTD,53.3
19/04/2023,CTD,53.0
18/04/2023,CTD,51.3
17/04/2023,CTD,48.0
14/04/2023,CTD,45.85
13/04/2023,CTD,46.0
12/04/2023,CTD,47.9
11/04/2023,CTD,48.3
10/04/2023,CTD,47.0
07/04/2023,CTD,47.4
06/04/2023,CTD,46.7
05/04/2023,CTD,47.5
04/04/2023,CTD,45.7
03/04/2023,CTD,44.9
31/03/2023,CTD,43.7
30/03/2023,CTD,44.1
29/03/2023,CTD,41.25
28/03/2023,CTD,39.6
27/03/2023,CTD,40.0
24/03/2023,CTD,39.4
23/03/2023,CTD,40.0
22/03/2023,CTD,38.6
21/03/2023,CTD,37.25
20/03/2023,CTD,36.65
17/03/2023,CTD,37.2
16/03/2023,CTD,36.9
15/03/2023,CTD,37.6
14/03/2023,CTD,36.2
13/03/2023,CTD,37.4
10/03/2023,CTD,37.95
09/03/2023,CTD,38.15
08/03/2023,CTD,36.8
07/03/2023,CTD,36.0
06/03/2023,CTD,36.05
03/03/2023,CTD,35.1
02/03/2023,CTD,35.05
01/03/2023,CTD,35.6
28/02/2023,CTD,33.65
27/02/2023,CTD,33.5
24/02/2023,CTD,35.0
23/02/2023,CTD,35.5
22/02/2023,CTD,36.5
21/02/2023,CTD,37.55
20/02/2023,CTD,37.2
17/02/2023,CTD,35.05
16/02/2023,CTD,34.75
15/02/2023,CTD,34.3
14/02/2023,CTD,33.5
13/02/2023,CTD,33.0
10/02/2023,CTD,35.45
09/02/2023,CTD,36.05
08/02/2023,CTD,35.95
07/02/2023,CTD,36.0
06/02/2023,CTD,37.0
03/02/2023,CTD,36.9
