Ngay,GiaDongCua
29/12/2023,5.65
28/12/2023,5.48
27/12/2023,5.45
26/12/2023,5.48
25/12/2023,5.5
22/12/2023,5.4
21/12/2023,5.49
20/12/2023,5.59
19/12/2023,5.53
18/12/2023,5.38
15/12/2023,5.41
14/12/2023,5.38
13/12/2023,5.5
12/12/2023,5.54
11/12/2023,5.41
08/12/2023,5.55
07/12/2023,5.74
06/12/2023,5.74
05/12/2023,5.46
04/12/2023,5.44
01/12/2023,5.34
30/11/2023,5.34
29/11/2023,5.26
28/11/2023,5.24
27/11/2023,5.18
24/11/2023,5.3
23/11/2023,5.3
22/11/2023,5.53
21/11/2023,5.59
20/11/2023,5.59
17/11/2023,5.54
16/11/2023,5.23
15/11/2023,5.12
14/11/2023,5.12
13/11/2023,5.12
10/11/2023,5.1
09/11/2023,5.2
08/11/2023,5.06
07/11/2023,4.73
06/11/2023,4.68
03/11/2023,4.7
02/11/2023,4.68
01/11/2023,4.38
31/10/2023,4.32
30/10/2023,4.57
27/10/2023,4.58
26/10/2023,4.65
25/10/2023,5.0
24/10/2023,4.97
23/10/2023,4.92
20/10/2023,5.05
19/10/2023,4.88
18/10/2023,4.73
17/10/2023,5.08
16/10/2023,5.08
13/10/2023,5.42
12/10/2023,5.5
11/10/2023,5.46
10/10/2023,5.47
09/10/2023,5.4
06/10/2023,5.15
05/10/2023,5.1
04/10/2023,5.12
03/10/2023,5.26
02/10/2023,5.65
29/09/2023,5.6
28/09/2023,5.63
27/09/2023,5.79
26/09/2023,5.5
25/09/2023,5.7
22/09/2023,6.12
21/09/2023,6.58
20/09/2023,6.75
19/09/2023,6.47
18/09/2023,6.77
15/09/2023,7.04
14/09/2023,6.99
13/09/2023,6.8
12/09/2023,6.76
11/09/2023,6.65
08/09/2023,6.96
07/09/2023,6.89
06/09/2023,6.98
05/09/2023,6.9
31/08/2023,6.45
30/08/2023,6.36
29/08/2023,6.38
28/08/2023,6.39
25/08/2023,6.38
24/08/2023,6.5
23/08/2023,6.2
22/08/2023,6.14
21/08/2023,6.1
18/08/2023,6.52
17/08/2023,7.01
16/08/2023,7.38
15/08/2023,7.5
14/08/2023,7.55
