Ngay,GiaDongCua
29/12/2023,14.35
28/12/2023,14.4
27/12/2023,14.5
26/12/2023,14.5
25/12/2023,14.45
22/12/2023,14.2
21/12/2023,14.2
20/12/2023,14.15
19/12/2023,14.05
18/12/2023,13.9
15/12/2023,14.2
14/12/2023,14.45
13/12/2023,14.5
12/12/2023,14.6
11/12/2023,14.7
08/12/2023,14.4
07/12/2023,14.7
06/12/2023,15.05
05/12/2023,14.65
04/12/2023,14.75
01/12/2023,13.85
30/11/2023,13.65
29/11/2023,13.9
28/11/2023,13.7
27/11/2023,13.6
24/11/2023,13.6
23/11/2023,13.7
22/11/2023,14.6
21/11/2023,14.45
20/11/2023,14.15
17/11/2023,14.15
16/11/2023,14.2
15/11/2023,13.95
14/11/2023,13.95
13/11/2023,13.85
10/11/2023,13.9
09/11/2023,13.95
08/11/2023,13.55
07/11/2023,12.7
06/11/2023,12.95
03/11/2023,12.9
02/11/2023,12.7
01/11/2023,11.9
31/10/2023,11.3
30/10/2023,11.8
27/10/2023,12.5
26/10/2023,12.6
25/10/2023,13.5
24/10/2023,13.8
23/10/2023,13.45
20/10/2023,13.85
19/10/2023,13.4
18/10/2023,13.0
17/10/2023,13.95
16/10/2023,14.95
13/10/2023,15.45
12/10/2023,15.5
11/10/2023,15.6
10/10/2023,15.3
09/10/2023,15.5
06/10/2023,15.2
05/10/2023,14.9
04/10/2023,14.9
03/10/2023,14.5
02/10/2023,15.25
29/09/2023,14.6
28/09/2023,14.35
27/09/2023,15.0
26/09/2023,14.25
25/09/2023,15.3
22/09/2023,16.45
21/09/2023,17.65
20/09/2023,18.2
19/09/2023,18.05
18/09/2023,19.4
15/09/2023,19.0
14/09/2023,19.4
13/09/2023,19.25
12/09/2023,18.0
11/09/2023,17.15
08/09/2023,17.55
07/09/2023,17.6
06/09/2023,17.1
05/09/2023,16.9
31/08/2023,16.25
30/08/2023,15.85
29/08/2023,15.9
28/08/2023,15.7
25/08/2023,15.5
24/08/2023,15.7
23/08/2023,15.35
22/08/2023,15.35
21/08/2023,15.25
18/08/2023,16.1
17/08/2023,17.3
16/08/2023,17.6
15/08/2023,17.8
14/08/2023,17.45
11/08/2023,17.0
10/08/2023,16.7
09/08/2023,16.95
08/08/2023,17.1
07/08/2023,17.45
04/08/2023,17.2
03/08/2023,17.0
02/08/2023,16.85
01/08/2023,16.9
31/07/2023,16.8
28/07/2023,16.95
27/07/2023,17.05
26/07/2023,17.0
25/07/2023,17.2
24/07/2023,17.6
21/07/2023,17.15
20/07/2023,16.85
19/07/2023,16.55
18/07/2023,17.0
17/07/2023,17.15
14/07/2023,17.35
13/07/2023,16.95
12/07/2023,16.5
11/07/2023,16.35
10/07/2023,16.7
07/07/2023,16.6
06/07/2023,15.9
05/07/2023,16.0
04/07/2023,16.0
03/07/2023,15.65
30/06/2023,15.35
29/06/2023,15.6
28/06/2023,16.0
27/06/2023,16.2
26/06/2023,16.1
23/06/2023,16.25
22/06/2023,16.55
21/06/2023,16.55
20/06/2023,15.85
19/06/2023,15.2
16/06/2023,15.2
15/06/2023,15.35
14/06/2023,15.05
13/06/2023,15.55
12/06/2023,15.75
09/06/2023,15.4
08/06/2023,15.15
07/06/2023,16.0
06/06/2023,15.2
05/06/2023,14.8
02/06/2023,15.1
01/06/2023,15.2
31/05/2023,15.45
30/05/2023,15.3
29/05/2023,14.3
26/05/2023,14.35
25/05/2023,14.1
24/05/2023,14.1
23/05/2023,14.15
22/05/2023,14.3
19/05/2023,13.65
18/05/2023,13.2
17/05/2023,13.3
16/05/2023,13.5
15/05/2023,12.65
12/05/2023,12.5
11/05/2023,11.7
10/05/2023,11.75
09/05/2023,11.6
08/05/2023,11.5
05/05/2023,11.3
04/05/2023,11.35
28/04/2023,11.25
27/04/2023,11.25
26/04/2023,11.3
25/04/2023,11.15
24/04/2023,11.2
21/04/2023,11.1
20/04/2023,11.5
