Ngay,GiaDongCua
29/12/2023,15.45
28/12/2023,15.4
27/12/2023,15.45
26/12/2023,15.55
25/12/2023,15.2
22/12/2023,15.1
21/12/2023,15.35
20/12/2023,15.25
19/12/2023,15.25
18/12/2023,15.05
15/12/2023,15.1
14/12/2023,15.05
13/12/2023,15.3
12/12/2023,15.45
11/12/2023,15.55
08/12/2023,15.65
07/12/2023,15.7
06/12/2023,15.8
05/12/2023,15.3
04/12/2023,15.5
01/12/2023,14.65
30/11/2023,14.15
29/11/2023,14.4
28/11/2023,14.3
27/11/2023,14.65
24/11/2023,14.95
23/11/2023,14.6
22/11/2023,15.6
21/11/2023,15.45
20/11/2023,15.2
17/11/2023,15.25
16/11/2023,15.6
15/11/2023,15.35
14/11/2023,15.45
13/11/2023,15.4
10/11/2023,15.2
09/11/2023,15.3
08/11/2023,15.35
07/11/2023,14.35
06/11/2023,14.5
03/11/2023,14.5
02/11/2023,14.4
01/11/2023,13.5
31/10/2023,12.7
30/10/2023,13.05
27/10/2023,14.0
26/10/2023,13.95
25/10/2023,15.0
24/10/2023,15.3
23/10/2023,14.75
20/10/2023,15.0
19/10/2023,14.5
18/10/2023,15.0
17/10/2023,15.7
16/10/2023,16.8
13/10/2023,17.45
12/10/2023,17.55
11/10/2023,17.45
10/10/2023,16.8
09/10/2023,17.15
06/10/2023,16.8
05/10/2023,16.5
04/10/2023,16.55
03/10/2023,16.2
02/10/2023,16.5
29/09/2023,15.75
28/09/2023,15.9
27/09/2023,15.9
26/09/2023,15.1
25/09/2023,15.5
22/09/2023,16.65
21/09/2023,17.65
20/09/2023,18.0
19/09/2023,17.7
18/09/2023,17.9
15/09/2023,17.7
14/09/2023,17.65
13/09/2023,17.3
12/09/2023,16.2
11/09/2023,15.6
08/09/2023,15.9
07/09/2023,15.9
06/09/2023,15.6
05/09/2023,15.6
31/08/2023,15.25
30/08/2023,14.95
29/08/2023,14.85
28/08/2023,14.8
25/08/2023,14.8
24/08/2023,14.7
23/08/2023,14.4
22/08/2023,14.4
21/08/2023,14.35
18/08/2023,14.7
17/08/2023,15.8
16/08/2023,15.9
15/08/2023,16.05
14/08/2023,16.1
11/08/2023,15.7
10/08/2023,15.9
09/08/2023,16.05
08/08/2023,16.25
07/08/2023,16.45
04/08/2023,16.35
03/08/2023,16.05
02/08/2023,16.1
01/08/2023,16.05
31/07/2023,16.05
28/07/2023,15.95
27/07/2023,15.9
26/07/2023,16.05
25/07/2023,16.15
24/07/2023,16.35
21/07/2023,15.85
20/07/2023,15.65
19/07/2023,15.55
18/07/2023,15.8
17/07/2023,15.75
14/07/2023,15.85
13/07/2023,15.9
12/07/2023,15.9
11/07/2023,15.5
10/07/2023,15.6
07/07/2023,15.65
06/07/2023,15.35
05/07/2023,15.35
04/07/2023,15.45
03/07/2023,15.35
30/06/2023,15.25
29/06/2023,15.15
28/06/2023,15.05
27/06/2023,15.25
26/06/2023,15.0
23/06/2023,14.9
22/06/2023,14.95
21/06/2023,14.95
20/06/2023,14.8
19/06/2023,13.85
16/06/2023,13.7
15/06/2023,13.6
14/06/2023,13.65
13/06/2023,13.8
12/06/2023,13.85
09/06/2023,13.8
08/06/2023,13.75
07/06/2023,14.3
06/06/2023,14.65
05/06/2023,14.45
02/06/2023,14.7
01/06/2023,14.65
31/05/2023,14.7
30/05/2023,14.9
29/05/2023,14.45
26/05/2023,14.4
25/05/2023,14.3
24/05/2023,13.95
23/05/2023,13.75
22/05/2023,13.95
19/05/2023,13.25
18/05/2023,13.1
17/05/2023,13.1
16/05/2023,13.35
15/05/2023,13.3
12/05/2023,13.6
11/05/2023,13.4
10/05/2023,13.4
09/05/2023,13.2
08/05/2023,13.0
05/05/2023,12.95
04/05/2023,13.1
28/04/2023,12.85
27/04/2023,12.9
26/04/2023,12.75
25/04/2023,12.65
24/04/2023,12.8
21/04/2023,12.65
20/04/2023,12.85
19/04/2023,12.9
18/04/2023,13.25
17/04/2023,12.85
14/04/2023,12.8
13/04/2023,13.1
12/04/2023,13.15
11/04/2023,13.2
10/04/2023,12.95
07/04/2023,13.35
06/04/2023,13.5
05/04/2023,13.7
04/04/2023,13.9
03/04/2023,14.0
31/03/2023,13.45
30/03/2023,13.35
29/03/2023,13.6
28/03/2023,13.55
27/03/2023,13.35
24/03/2023,13.15
23/03/2023,13.1
22/03/2023,13.0
21/03/2023,13.05
20/03/2023,12.85
17/03/2023,13.0
16/03/2023,13.05
15/03/2023,13.45
14/03/2023,12.85
13/03/2023,13.25
10/03/2023,13.3
09/03/2023,13.7
08/03/2023,13.9
07/03/2023,13.3
06/03/2023,13.05
03/03/2023,13.05
02/03/2023,13.0
01/03/2023,13.05
28/02/2023,12.2
27/02/2023,12.55
24/02/2023,12.95
23/02/2023,13.5
22/02/2023,13.35
21/02/2023,13.6
20/02/2023,13.6
17/02/2023,13.35
16/02/2023,13.15
15/02/2023,12.85
14/02/2023,12.05
13/02/2023,11.75
10/02/2023,12.25
09/02/2023,12.65
08/02/2023,12.45
07/02/2023,12.05
06/02/2023,12.95
03/02/2023,13.05
02/02/2023,12.2
01/02/2023,12.65
31/01/2023,13.6
30/01/2023,13.1
27/01/2023,13.35
19/01/2023,12.6
18/01/2023,12.65
17/01/2023,12.5
16/01/2023,11.7
13/01/2023,10.95
12/01/2023,11.0
