Ngay,GiaDongCua
29/12/2023,16.0
28/12/2023,15.8
27/12/2023,15.9
26/12/2023,16.15
25/12/2023,16.15
22/12/2023,15.95
21/12/2023,15.85
20/12/2023,16.0
19/12/2023,15.7
18/12/2023,15.6
15/12/2023,15.9
14/12/2023,15.75
13/12/2023,16.1
12/12/2023,16.45
11/12/2023,16.6
08/12/2023,17.0
07/12/2023,17.25
06/12/2023,17.15
05/12/2023,16.6
04/12/2023,16.8
01/12/2023,16.25
30/11/2023,16.25
29/11/2023,16.4
28/11/2023,16.25
27/11/2023,16.2
24/11/2023,16.6
23/11/2023,16.65
22/11/2023,17.9
21/11/2023,17.1
20/11/2023,17.0
17/11/2023,16.85
16/11/2023,17.35
15/11/2023,16.25
14/11/2023,16.35
13/11/2023,16.5
10/11/2023,16.4
09/11/2023,16.7
08/11/2023,16.2
07/11/2023,15.15
06/11/2023,15.6
03/11/2023,15.8
02/11/2023,15.45
01/11/2023,14.45
31/10/2023,14.3
30/10/2023,15.15
27/10/2023,15.15
26/10/2023,14.55
25/10/2023,15.6
24/10/2023,15.6
23/10/2023,15.4
20/10/2023,15.5
19/10/2023,14.75
18/10/2023,14.45
17/10/2023,15.5
16/10/2023,16.25
13/10/2023,16.8
12/10/2023,16.8
11/10/2023,16.7
10/10/2023,16.3
09/10/2023,16.6
06/10/2023,15.55
05/10/2023,14.55
04/10/2023,15.2
03/10/2023,15.3
02/10/2023,16.4
29/09/2023,16.5
28/09/2023,16.15
27/09/2023,16.8
26/09/2023,16.0
25/09/2023,16.85
22/09/2023,18.1
21/09/2023,19.0
20/09/2023,19.7
19/09/2023,18.8
18/09/2023,19.25
15/09/2023,19.6
14/09/2023,19.15
13/09/2023,20.5
12/09/2023,21.0
11/09/2023,20.15
08/09/2023,21.65
07/09/2023,21.6
06/09/2023,20.6
05/09/2023,19.5
31/08/2023,19.8
30/08/2023,19.95
29/08/2023,19.55
28/08/2023,19.5
25/08/2023,19.1
24/08/2023,19.05
23/08/2023,17.85
22/08/2023,18.2
21/08/2023,17.8
18/08/2023,18.9
17/08/2023,20.3
16/08/2023,20.2
15/08/2023,20.2
14/08/2023,20.6
11/08/2023,20.1
10/08/2023,19.95
09/08/2023,20.05
08/08/2023,19.2
07/08/2023,19.75
04/08/2023,19.3
03/08/2023,18.05
02/08/2023,17.75
01/08/2023,17.4
31/07/2023,17.9
28/07/2023,18.05
27/07/2023,18.2
26/07/2023,17.85
25/07/2023,17.15
24/07/2023,17.65
21/07/2023,17.5
20/07/2023,17.0
19/07/2023,15.9
18/07/2023,16.55
17/07/2023,16.2
14/07/2023,15.15
13/07/2023,14.9
12/07/2023,13.95
11/07/2023,14.05
10/07/2023,14.1
07/07/2023,13.85
06/07/2023,13.9
05/07/2023,14.2
04/07/2023,14.2
03/07/2023,13.9
30/06/2023,14.1
29/06/2023,14.55
28/06/2023,14.8
27/06/2023,14.4
26/06/2023,14.25
23/06/2023,14.5
22/06/2023,14.6
21/06/2023,14.35
20/06/2023,14.2
19/06/2023,13.75
16/06/2023,14.05
15/06/2023,14.15
14/06/2023,14.5
13/06/2023,14.8
12/06/2023,14.75
09/06/2023,15.2
08/06/2023,14.9
07/06/2023,15.0
06/06/2023,14.75
05/06/2023,14.35
02/06/2023,14.55
01/06/2023,14.45
31/05/2023,14.9
30/05/2023,14.25
29/05/2023,14.15
26/05/2023,13.9
25/05/2023,13.0
24/05/2023,13.0
23/05/2023,12.85
22/05/2023,13.0
19/05/2023,12.7
18/05/2023,12.5
17/05/2023,12.8
16/05/2023,13.0
15/05/2023,13.0
12/05/2023,13.65
11/05/2023,13.35
10/05/2023,13.25
09/05/2023,13.0
08/05/2023,12.85
05/05/2023,12.5
04/05/2023,12.85
28/04/2023,13.1
27/04/2023,12.5
26/04/2023,12.5
25/04/2023,12.15
24/04/2023,11.4
21/04/2023,10.7
20/04/2023,11.0
19/04/2023,10.95
18/04/2023,11.2
17/04/2023,10.7
14/04/2023,11.0
13/04/2023,11.65
12/04/2023,12.05
11/04/2023,12.0
10/04/2023,11.8
07/04/2023,11.9
06/04/2023,11.9
05/04/2023,12.05
04/04/2023,11.5
03/04/2023,11.2
31/03/2023,10.9
30/03/2023,10.65
29/03/2023,11.15
28/03/2023,11.2
27/03/2023,11.0
24/03/2023,10.3
23/03/2023,10.2
22/03/2023,10.3
21/03/2023,10.25
20/03/2023,10.3
17/03/2023,10.3
16/03/2023,10.25
15/03/2023,10.6
14/03/2023,10.05
13/03/2023,10.7
10/03/2023,11.25
09/03/2023,11.4
08/03/2023,11.4
07/03/2023,11.4
06/03/2023,11.6
03/03/2023,11.6
02/03/2023,11.7
01/03/2023,12.0
28/02/2023,11.95
27/02/2023,12.0
24/02/2023,12.3
23/02/2023,12.1
22/02/2023,12.5
21/02/2023,13.35
20/02/2023,13.4
17/02/2023,12.55
16/02/2023,12.3
15/02/2023,12.2
14/02/2023,12.25
13/02/2023,12.25
10/02/2023,12.7
09/02/2023,13.1
08/02/2023,13.2
07/02/2023,13.15
06/02/2023,14.1
03/02/2023,13.8
02/02/2023,13.55
01/02/2023,14.45
31/01/2023,15.5
30/01/2023,14.75
27/01/2023,14.85
19/01/2023,13.9
18/01/2023,13.0
17/01/2023,12.9
16/01/2023,12.6
13/01/2023,12.6
12/01/2023,12.7
11/01/2023,12.7
10/01/2023,12.65
09/01/2023,12.7
06/01/2023,12.9
05/01/2023,12.95
04/01/2023,12.9
03/01/2023,13.1
30/12/2022,12.25
29/12/2022,12.6
28/12/2022,12.8
27/12/2022,13.2
26/12/2022,12.9
23/12/2022,13.7
22/12/2022,14.5
21/12/2022,14.6
20/12/2022,14.25
19/12/2022,15.3
16/12/2022,15.25
15/12/2022,14.35
14/12/2022,14.55
13/12/2022,14.35
12/12/2022,14.6
09/12/2022,15.0
08/12/2022,15.1
07/12/2022,15.6
06/12/2022,16.75
05/12/2022,18.0
02/12/2022,19.0
01/12/2022,18.95
30/11/2022,17.85
29/11/2022,18.1
28/11/2022,17.2
25/11/2022,16.5
24/11/2022,16.4
23/11/2022,16.5
