Ngay,GiaDongCua
29/12/2023,12.0
28/12/2023,12.0
27/12/2023,12.0
26/12/2023,12.1
25/12/2023,11.95
22/12/2023,11.75
21/12/2023,11.8
20/12/2023,11.8
19/12/2023,11.85
18/12/2023,11.7
15/12/2023,12.0
14/12/2023,12.05
13/12/2023,12.3
12/12/2023,12.3
11/12/2023,12.35
08/12/2023,12.35
07/12/2023,12.35
06/12/2023,12.65
05/12/2023,12.5
04/12/2023,12.5
01/12/2023,11.95
30/11/2023,11.8
29/11/2023,12.0
28/11/2023,11.9
27/11/2023,11.7
24/11/2023,11.85
23/11/2023,11.9
22/11/2023,12.45
21/11/2023,12.3
20/11/2023,12.1
17/11/2023,12.05
16/11/2023,12.1
15/11/2023,11.85
14/11/2023,11.9
13/11/2023,11.8
10/11/2023,11.85
09/11/2023,12.0
08/11/2023,12.05
07/11/2023,11.3
06/11/2023,11.3
03/11/2023,11.15
02/11/2023,10.65
01/11/2023,9.99
31/10/2023,9.58
30/10/2023,10.2
27/10/2023,10.9
26/10/2023,10.65
25/10/2023,11.4
24/10/2023,11.3
23/10/2023,11.1
20/10/2023,11.2
19/10/2023,10.5
18/10/2023,11.2
17/10/2023,12.0
16/10/2023,12.85
13/10/2023,13.0
12/10/2023,13.1
11/10/2023,13.1
10/10/2023,12.7
09/10/2023,12.8
06/10/2023,12.8
05/10/2023,12.6
04/10/2023,12.6
03/10/2023,12.3
02/10/2023,12.5
29/09/2023,12.15
28/09/2023,12.1
27/09/2023,12.4
26/09/2023,12.1
25/09/2023,13.0
22/09/2023,13.95
21/09/2023,14.75
20/09/2023,14.6
19/09/2023,14.2
18/09/2023,14.0
15/09/2023,14.3
14/09/2023,14.35
13/09/2023,14.9
12/09/2023,14.4
11/09/2023,13.7
08/09/2023,13.8
07/09/2023,13.85
06/09/2023,13.6
05/09/2023,13.5
31/08/2023,13.2
30/08/2023,12.7
29/08/2023,12.65
28/08/2023,12.55
25/08/2023,12.5
24/08/2023,12.75
23/08/2023,12.55
22/08/2023,12.6
21/08/2023,12.25
18/08/2023,12.95
17/08/2023,13.9
16/08/2023,14.2
15/08/2023,14.25
14/08/2023,14.25
11/08/2023,14.1
10/08/2023,13.9
09/08/2023,14.25
08/08/2023,14.3
07/08/2023,14.75
04/08/2023,14.4
03/08/2023,14.25
02/08/2023,14.15
01/08/2023,14.1
31/07/2023,14.15
28/07/2023,14.2
27/07/2023,14.15
26/07/2023,14.05
25/07/2023,14.2
24/07/2023,14.6
21/07/2023,13.8
20/07/2023,13.7
19/07/2023,13.65
18/07/2023,13.9
17/07/2023,14.0
14/07/2023,14.2
13/07/2023,14.2
12/07/2023,13.85
11/07/2023,13.8
10/07/2023,13.95
07/07/2023,13.85
06/07/2023,13.35
05/07/2023,13.5
04/07/2023,13.55
03/07/2023,13.4
30/06/2023,13.3
29/06/2023,13.35
28/06/2023,13.5
27/06/2023,13.75
26/06/2023,13.6
23/06/2023,13.75
22/06/2023,13.85
21/06/2023,14.0
20/06/2023,13.8
19/06/2023,13.45
16/06/2023,13.0
15/06/2023,13.0
14/06/2023,12.9
13/06/2023,13.2
12/06/2023,13.05
09/06/2023,12.9
08/06/2023,13.15
07/06/2023,13.75
06/06/2023,13.55
05/06/2023,13.4
02/06/2023,13.65
01/06/2023,13.5
31/05/2023,13.6
30/05/2023,13.75
29/05/2023,13.45
26/05/2023,13.35
25/05/2023,13.25
24/05/2023,13.35
23/05/2023,12.95
22/05/2023,12.85
19/05/2023,12.05
18/05/2023,11.9
17/05/2023,12.5
16/05/2023,12.75
15/05/2023,12.5
12/05/2023,12.8
11/05/2023,12.4
10/05/2023,12.45
09/05/2023,12.2
08/05/2023,12.0
05/05/2023,12.05
04/05/2023,12.15
28/04/2023,11.75
27/04/2023,11.75
26/04/2023,11.8
25/04/2023,11.6
24/04/2023,11.65
21/04/2023,11.9
20/04/2023,12.1
19/04/2023,12.3
18/04/2023,12.65
17/04/2023,12.1
14/04/2023,12.05
13/04/2023,12.15
12/04/2023,12.35
11/04/2023,12.45
10/04/2023,12.2
