Ngay,Symbol,GiaDongCua
29/12/2023,LGC,51.2
28/12/2023,LGC,51.2
27/12/2023,LGC,51.2
26/12/2023,LGC,57.0
25/12/2023,LGC,57.0
22/12/2023,LGC,57.0
21/12/2023,LGC,57.0
20/12/2023,LGC,55.0
19/12/2023,LGC,59.0
18/12/2023,LGC,59.0
15/12/2023,LGC,59.0
14/12/2023,LGC,59.0
13/12/2023,LGC,59.0
12/12/2023,LGC,56.9
11/12/2023,LGC,56.9
08/12/2023,LGC,56.9
07/12/2023,LGC,61.0
06/12/2023,LGC,61.0
05/12/2023,LGC,57.4
04/12/2023,LGC,57.4
01/12/2023,LGC,53.8
30/11/2023,LGC,50.7
29/11/2023,LGC,54.4
28/11/2023,LGC,58.3
27/11/2023,LGC,58.4
24/11/2023,LGC,55.4
23/11/2023,LGC,55.4
22/11/2023,LGC,51.8
21/11/2023,LGC,55.5
20/11/2023,LGC,55.5
17/11/2023,LGC,55.5
16/11/2023,LGC,55.7
15/11/2023,LGC,52.5
14/11/2023,LGC,52.5
13/11/2023,LGC,55.1
10/11/2023,LGC,52.0
09/11/2023,LGC,49.3
08/11/2023,LGC,52.9
07/11/2023,LGC,50.8
06/11/2023,LGC,50.8
03/11/2023,LGC,50.8
02/11/2023,LGC,50.8
01/11/2023,LGC,51.0
31/10/2023,LGC,51.0
30/10/2023,LGC,51.0
27/10/2023,LGC,51.0
26/10/2023,LGC,51.0
25/10/2023,LGC,51.0
24/10/2023,LGC,51.0
23/10/2023,LGC,51.0
20/10/2023,LGC,51.0
19/10/2023,LGC,51.0
18/10/2023,LGC,51.0
17/10/2023,LGC,51.0
16/10/2023,LGC,51.0
13/10/2023,LGC,51.0
12/10/2023,LGC,51.0
11/10/2023,LGC,51.0
10/10/2023,LGC,51.0
09/10/2023,LGC,51.0
06/10/2023,LGC,51.0
05/10/2023,LGC,51.0
04/10/2023,LGC,51.0
03/10/2023,LGC,51.0
02/10/2023,LGC,51.0
29/09/2023,LGC,51.0
28/09/2023,LGC,49.3
27/09/2023,LGC,52.9
26/09/2023,LGC,52.9
25/09/2023,LGC,52.9
22/09/2023,LGC,52.9
21/09/2023,LGC,52.9
20/09/2023,LGC,52.5
19/09/2023,LGC,52.5
18/09/2023,LGC,49.4
15/09/2023,LGC,53.0
14/09/2023,LGC,53.0
13/09/2023,LGC,53.0
12/09/2023,LGC,53.0
11/09/2023,LGC,53.0
