Ngay,GiaDongCua
29/12/2023,28.8
28/12/2023,27.8
27/12/2023,28.2
26/12/2023,28.75
25/12/2023,28.7
22/12/2023,28.5
21/12/2023,28.45
20/12/2023,27.8
19/12/2023,27.9
18/12/2023,27.4
15/12/2023,27.35
14/12/2023,27.35
13/12/2023,27.45
12/12/2023,28.0
11/12/2023,27.25
08/12/2023,27.5
07/12/2023,27.0
06/12/2023,27.85
05/12/2023,27.5
04/12/2023,28.0
01/12/2023,26.95
30/11/2023,26.7
29/11/2023,26.95
28/11/2023,25.55
27/11/2023,25.5
24/11/2023,25.9
23/11/2023,26.0
22/11/2023,26.85
21/11/2023,30.2
20/11/2023,29.9
17/11/2023,29.25
16/11/2023,30.1
15/11/2023,30.2
14/11/2023,29.95
13/11/2023,29.4
10/11/2023,29.65
09/11/2023,28.9
08/11/2023,29.0
07/11/2023,27.65
06/11/2023,26.65
03/11/2023,26.5
02/11/2023,26.3
01/11/2023,24.6
31/10/2023,23.7
30/10/2023,25.4
27/10/2023,26.45
26/10/2023,25.9
25/10/2023,27.8
24/10/2023,27.2
23/10/2023,27.0
20/10/2023,28.0
19/10/2023,27.3
18/10/2023,28.8
17/10/2023,29.9
16/10/2023,32.1
13/10/2023,33.7
12/10/2023,32.7
11/10/2023,33.45
10/10/2023,32.7
09/10/2023,31.7
06/10/2023,30.85
05/10/2023,30.0
04/10/2023,31.0
03/10/2023,29.2
02/10/2023,31.0
29/09/2023,30.9
28/09/2023,30.65
27/09/2023,30.6
26/09/2023,28.6
25/09/2023,28.6
22/09/2023,30.7
21/09/2023,32.4
20/09/2023,32.35
19/09/2023,32.3
18/09/2023,30.2
15/09/2023,30.2
14/09/2023,30.8
13/09/2023,30.8
12/09/2023,31.1
11/09/2023,29.95
08/09/2023,30.55
07/09/2023,28.95
06/09/2023,29.2
05/09/2023,28.9
31/08/2023,27.05
30/08/2023,25.8
29/08/2023,25.6
28/08/2023,25.5
25/08/2023,25.2
24/08/2023,25.3
23/08/2023,25.0
22/08/2023,25.25
21/08/2023,25.0
18/08/2023,25.75
17/08/2023,27.65
16/08/2023,28.0
15/08/2023,28.3
14/08/2023,27.9
11/08/2023,28.0
10/08/2023,28.4
09/08/2023,28.95
08/08/2023,28.55
07/08/2023,27.75
04/08/2023,27.75
03/08/2023,27.75
02/08/2023,27.85
01/08/2023,27.9
31/07/2023,27.4
28/07/2023,28.2
27/07/2023,28.35
26/07/2023,28.6
25/07/2023,28.55
24/07/2023,29.0
21/07/2023,29.0
20/07/2023,28.05
19/07/2023,28.25
18/07/2023,27.75
17/07/2023,27.95
14/07/2023,28.0
13/07/2023,28.0
12/07/2023,27.0
11/07/2023,27.2
10/07/2023,27.4
07/07/2023,26.4
06/07/2023,26.25
05/07/2023,26.8
04/07/2023,26.6
03/07/2023,26.3
30/06/2023,26.7
29/06/2023,27.2
28/06/2023,27.9
27/06/2023,27.8
26/06/2023,27.4
23/06/2023,28.0
22/06/2023,28.0
21/06/2023,27.8
20/06/2023,27.45
19/06/2023,27.0
16/06/2023,27.9
15/06/2023,28.0
14/06/2023,28.1
13/06/2023,28.35
12/06/2023,29.35
09/06/2023,29.5
08/06/2023,29.6
07/06/2023,29.8
06/06/2023,29.6
05/06/2023,29.8
02/06/2023,29.7
01/06/2023,30.15
31/05/2023,30.1
30/05/2023,29.3
29/05/2023,29.5
26/05/2023,29.1
25/05/2023,28.65
24/05/2023,28.85
23/05/2023,28.8
22/05/2023,29.25
19/05/2023,28.8
18/05/2023,28.35
17/05/2023,28.65
16/05/2023,28.8
15/05/2023,28.7
12/05/2023,29.5
11/05/2023,28.7
10/05/2023,28.7
09/05/2023,28.45
08/05/2023,28.45
05/05/2023,28.15
04/05/2023,28.25
28/04/2023,28.5
27/04/2023,28.2
26/04/2023,28.1
25/04/2023,27.95
24/04/2023,28.35
21/04/2023,27.7
20/04/2023,28.15
19/04/2023,28.0
18/04/2023,28.1
17/04/2023,28.1
14/04/2023,27.75
13/04/2023,28.7
12/04/2023,29.5
11/04/2023,29.0
10/04/2023,28.5
07/04/2023,28.5
06/04/2023,28.6
05/04/2023,29.45
04/04/2023,29.7
03/04/2023,29.4
31/03/2023,28.1
30/03/2023,28.35
29/03/2023,28.7
28/03/2023,28.3
27/03/2023,27.6
24/03/2023,27.5
23/03/2023,27.5
22/03/2023,27.25
21/03/2023,27.5
20/03/2023,27.2
17/03/2023,27.7
16/03/2023,27.8
15/03/2023,28.2
14/03/2023,27.2
13/03/2023,27.45
10/03/2023,27.95
09/03/2023,27.7
08/03/2023,28.2
07/03/2023,27.75
06/03/2023,27.05
03/03/2023,27.0
02/03/2023,27.75
01/03/2023,28.5
28/02/2023,27.2
27/02/2023,26.2
24/02/2023,27.3
23/02/2023,27.0
22/02/2023,26.9
21/02/2023,27.4
20/02/2023,28.0
17/02/2023,26.8
16/02/2023,25.95
15/02/2023,25.5
14/02/2023,24.4
13/02/2023,24.5
10/02/2023,25.75
09/02/2023,25.25
08/02/2023,25.15
07/02/2023,24.9
06/02/2023,24.9
03/02/2023,23.3
02/02/2023,23.55
01/02/2023,24.3
31/01/2023,26.1
30/01/2023,25.5
27/01/2023,25.9
19/01/2023,25.5
18/01/2023,25.5
17/01/2023,25.7
16/01/2023,24.5
13/01/2023,24.1
12/01/2023,24.25
11/01/2023,23.8
10/01/2023,23.0
09/01/2023,23.4
06/01/2023,23.6
05/01/2023,23.5
04/01/2023,22.35
03/01/2023,21.6
30/12/2022,20.2
29/12/2022,19.8
28/12/2022,20.4
27/12/2022,19.85
26/12/2022,20.1
23/12/2022,21.6
22/12/2022,20.8
21/12/2022,20.9
20/12/2022,21.0
19/12/2022,20.8
16/12/2022,21.2
15/12/2022,20.65
14/12/2022,21.0
13/12/2022,21.2
12/12/2022,20.0
09/12/2022,20.6
08/12/2022,19.3
07/12/2022,18.8
06/12/2022,18.85
05/12/2022,19.5
02/12/2022,19.8
01/12/2022,18.65
30/11/2022,19.0
29/11/2022,18.5
28/11/2022,18.25
25/11/2022,17.1
24/11/2022,16.0
23/11/2022,15.75
22/11/2022,16.2
21/11/2022,16.45
18/11/2022,15.4
17/11/2022,14.4
16/11/2022,13.5
15/11/2022,12.65
14/11/2022,13.6
11/11/2022,14.6
10/11/2022,15.65
09/11/2022,16.8
08/11/2022,16.8
07/11/2022,17.3
04/11/2022,18.6
03/11/2022,19.2
02/11/2022,18.8
01/11/2022,18.3
31/10/2022,20.65
28/10/2022,22.2
27/10/2022,21.9
26/10/2022,21.2
25/10/2022,22.75
24/10/2022,24.45
21/10/2022,26.25
20/10/2022,28.2
19/10/2022,29.0
18/10/2022,28.8
17/10/2022,28.6
14/10/2022,28.2
13/10/2022,27.7
12/10/2022,27.3
