Ngay,Symbol,GiaDongCua
29/12/2023,SZL,36.4
28/12/2023,SZL,36.8
27/12/2023,SZL,36.8
26/12/2023,SZL,36.75
25/12/2023,SZL,36.7
22/12/2023,SZL,36.8
21/12/2023,SZL,36.5
20/12/2023,SZL,37.7
19/12/2023,SZL,37.0
18/12/2023,SZL,36.75
15/12/2023,SZL,37.0
14/12/2023,SZL,37.2
13/12/2023,SZL,37.2
12/12/2023,SZL,37.3
11/12/2023,SZL,37.0
08/12/2023,SZL,37.25
07/12/2023,SZL,37.3
06/12/2023,SZL,37.0
05/12/2023,SZL,37.3
04/12/2023,SZL,37.3
01/12/2023,SZL,37.25
30/11/2023,SZL,37.3
29/11/2023,SZL,37.5
28/11/2023,SZL,37.5
27/11/2023,SZL,36.8
24/11/2023,SZL,37.0
23/11/2023,SZL,37.95
22/11/2023,SZL,37.9
21/11/2023,SZL,37.95
20/11/2023,SZL,38.5
17/11/2023,SZL,37.4
16/11/2023,SZL,37.8
15/11/2023,SZL,55.8
14/11/2023,SZL,55.5
13/11/2023,SZL,56.3
10/11/2023,SZL,54.0
09/11/2023,SZL,54.7
08/11/2023,SZL,52.5
07/11/2023,SZL,52.2
06/11/2023,SZL,52.3
03/11/2023,SZL,52.3
02/11/2023,SZL,52.5
01/11/2023,SZL,51.5
31/10/2023,SZL,50.0
30/10/2023,SZL,51.4
27/10/2023,SZL,51.4
26/10/2023,SZL,51.1
25/10/2023,SZL,53.3
24/10/2023,SZL,52.9
23/10/2023,SZL,53.7
20/10/2023,SZL,52.5
19/10/2023,SZL,52.4
18/10/2023,SZL,51.0
17/10/2023,SZL,53.0
16/10/2023,SZL,53.2
13/10/2023,SZL,52.8
12/10/2023,SZL,51.0
11/10/2023,SZL,51.0
10/10/2023,SZL,50.9
09/10/2023,SZL,50.9
06/10/2023,SZL,50.9
05/10/2023,SZL,50.9
04/10/2023,SZL,51.0
03/10/2023,SZL,51.0
02/10/2023,SZL,52.0
29/09/2023,SZL,52.0
28/09/2023,SZL,50.5
27/09/2023,SZL,50.7
26/09/2023,SZL,50.7
25/09/2023,SZL,51.4
22/09/2023,SZL,52.8
21/09/2023,SZL,53.7
20/09/2023,SZL,53.2
19/09/2023,SZL,52.0
18/09/2023,SZL,52.5
15/09/2023,SZL,52.5
14/09/2023,SZL,52.5
13/09/2023,SZL,52.5
12/09/2023,SZL,53.0
11/09/2023,SZL,53.3
08/09/2023,SZL,53.1
07/09/2023,SZL,53.7
06/09/2023,SZL,53.1
05/09/2023,SZL,54.0
31/08/2023,SZL,54.3
30/08/2023,SZL,56.5
