Ngay,GiaDongCua
29/12/2023,3.8
28/12/2023,3.9
27/12/2023,3.9
26/12/2023,3.9
25/12/2023,4.0
22/12/2023,3.9
21/12/2023,4.0
20/12/2023,3.9
19/12/2023,4.1
18/12/2023,4.1
15/12/2023,4.2
14/12/2023,4.3
13/12/2023,4.0
12/12/2023,4.1
11/12/2023,3.9
08/12/2023,3.9
07/12/2023,3.9
06/12/2023,4.0
05/12/2023,4.0
04/12/2023,4.0
01/12/2023,4.0
30/11/2023,4.0
29/11/2023,4.0
28/11/2023,4.1
27/11/2023,4.1
24/11/2023,4.1
23/11/2023,4.1
22/11/2023,4.1
21/11/2023,4.1
20/11/2023,4.1
17/11/2023,4.4
16/11/2023,4.2
15/11/2023,4.3
14/11/2023,3.9
13/11/2023,3.9
10/11/2023,4.2
09/11/2023,4.3
08/11/2023,4.2
07/11/2023,4.2
06/11/2023,4.3
03/11/2023,4.1
02/11/2023,4.4
01/11/2023,4.0
31/10/2023,3.8
30/10/2023,3.6
27/10/2023,3.7
26/10/2023,3.7
25/10/2023,4.0
24/10/2023,4.0
23/10/2023,4.0
20/10/2023,4.1
19/10/2023,4.0
18/10/2023,4.1
17/10/2023,4.1
16/10/2023,4.1
13/10/2023,4.1
12/10/2023,4.2
11/10/2023,4.1
10/10/2023,4.2
09/10/2023,4.2
06/10/2023,4.2
05/10/2023,4.3
04/10/2023,4.5
03/10/2023,4.6
02/10/2023,4.6
29/09/2023,4.5
28/09/2023,4.5
27/09/2023,4.6
26/09/2023,4.4
25/09/2023,4.3
22/09/2023,4.7
21/09/2023,4.8
20/09/2023,4.8
19/09/2023,4.6
18/09/2023,4.8
15/09/2023,4.9
14/09/2023,4.7
13/09/2023,4.9
12/09/2023,4.8
11/09/2023,4.8
08/09/2023,4.8
07/09/2023,4.8
06/09/2023,4.9
05/09/2023,5.1
31/08/2023,5.0
30/08/2023,4.9
29/08/2023,4.9
28/08/2023,4.9
25/08/2023,5.1
24/08/2023,5.0
23/08/2023,5.0
22/08/2023,5.1
21/08/2023,5.0
