Ngay,GiaDongCua
29/12/2023,6.7
28/12/2023,6.7
27/12/2023,6.75
26/12/2023,6.68
25/12/2023,6.68
22/12/2023,6.67
21/12/2023,6.85
20/12/2023,6.87
19/12/2023,6.94
18/12/2023,6.95
15/12/2023,6.95
14/12/2023,6.95
13/12/2023,6.89
12/12/2023,6.73
11/12/2023,6.75
08/12/2023,6.7
07/12/2023,6.75
06/12/2023,6.69
05/12/2023,6.62
04/12/2023,6.62
01/12/2023,6.42
30/11/2023,6.51
29/11/2023,6.6
28/11/2023,6.55
27/11/2023,6.55
24/11/2023,6.4
23/11/2023,6.67
22/11/2023,6.73
21/11/2023,6.75
20/11/2023,6.81
17/11/2023,6.88
16/11/2023,7.1
15/11/2023,6.88
14/11/2023,7.0
13/11/2023,7.09
10/11/2023,6.63
09/11/2023,6.2
08/11/2023,6.16
07/11/2023,5.92
06/11/2023,5.92
03/11/2023,6.03
02/11/2023,6.09
01/11/2023,5.7
31/10/2023,5.95
30/10/2023,6.39
27/10/2023,6.46
26/10/2023,6.04
25/10/2023,6.47
24/10/2023,6.95
23/10/2023,7.47
20/10/2023,8.03
19/10/2023,8.63
18/10/2023,9.27
17/10/2023,9.96
16/10/2023,10.7
13/10/2023,11.2
12/10/2023,11.4
11/10/2023,11.5
10/10/2023,11.55
09/10/2023,11.6
06/10/2023,11.2
05/10/2023,11.15
04/10/2023,11.2
03/10/2023,11.25
02/10/2023,11.25
29/09/2023,11.25
28/09/2023,11.2
27/09/2023,11.15
26/09/2023,11.2
25/09/2023,11.3
22/09/2023,11.5
21/09/2023,11.55
20/09/2023,11.9
19/09/2023,11.9
18/09/2023,11.7
15/09/2023,11.4
14/09/2023,11.5
13/09/2023,11.55
12/09/2023,11.85
11/09/2023,11.85
08/09/2023,12.3
07/09/2023,12.1
06/09/2023,11.8
05/09/2023,12.2
31/08/2023,11.5
30/08/2023,11.5
29/08/2023,11.55
28/08/2023,11.6
25/08/2023,11.6
24/08/2023,11.6
23/08/2023,11.55
22/08/2023,11.45
21/08/2023,11.5
18/08/2023,11.6
17/08/2023,11.6
16/08/2023,11.6
15/08/2023,11.7
14/08/2023,11.6
11/08/2023,11.6
10/08/2023,11.65
09/08/2023,11.7
08/08/2023,11.75
07/08/2023,11.7
04/08/2023,11.7
03/08/2023,11.8
02/08/2023,11.8
01/08/2023,11.7
31/07/2023,11.7
28/07/2023,11.85
27/07/2023,11.65
26/07/2023,11.85
25/07/2023,11.9
24/07/2023,11.9
21/07/2023,11.9
20/07/2023,11.9
19/07/2023,11.9
18/07/2023,11.95
17/07/2023,11.95
14/07/2023,12.0
13/07/2023,12.0
12/07/2023,12.05
11/07/2023,12.1
10/07/2023,12.05
07/07/2023,12.0
06/07/2023,12.15
05/07/2023,12.15
04/07/2023,12.2
03/07/2023,12.2
30/06/2023,12.05
29/06/2023,12.3
28/06/2023,12.1
27/06/2023,12.2
26/06/2023,12.3
23/06/2023,12.65
22/06/2023,12.35
21/06/2023,12.25
20/06/2023,12.25
19/06/2023,12.3
16/06/2023,12.2
15/06/2023,12.1
14/06/2023,12.1
13/06/2023,12.4
12/06/2023,12.3
09/06/2023,12.2
08/06/2023,12.3
07/06/2023,12.55
06/06/2023,12.6
05/06/2023,12.1
02/06/2023,12.45
01/06/2023,12.45
31/05/2023,12.3
30/05/2023,12.25
29/05/2023,12.35
26/05/2023,12.3
25/05/2023,12.25
24/05/2023,11.55
23/05/2023,10.8
22/05/2023,11.05
19/05/2023,10.45
18/05/2023,10.45
17/05/2023,10.55
16/05/2023,10.5
15/05/2023,10.6
12/05/2023,10.8
11/05/2023,10.75
10/05/2023,10.55
09/05/2023,10.5
08/05/2023,10.45
05/05/2023,10.3
04/05/2023,10.8
28/04/2023,10.8
27/04/2023,10.65
26/04/2023,10.7
25/04/2023,10.45
24/04/2023,10.45
21/04/2023,10.45
20/04/2023,10.65
19/04/2023,10.7
18/04/2023,10.8
17/04/2023,10.9
14/04/2023,10.7
13/04/2023,10.7
12/04/2023,10.65
11/04/2023,10.2
10/04/2023,9.62
07/04/2023,9.59
06/04/2023,9.59
05/04/2023,9.63
04/04/2023,9.6
03/04/2023,9.6
31/03/2023,9.53
30/03/2023,9.52
29/03/2023,9.54
28/03/2023,9.55
27/03/2023,9.56
24/03/2023,9.55
23/03/2023,9.52
22/03/2023,9.5
21/03/2023,9.46
20/03/2023,9.33
17/03/2023,9.31
16/03/2023,9.2
15/03/2023,9.25
14/03/2023,9.19
13/03/2023,9.26
10/03/2023,9.27
09/03/2023,9.28
08/03/2023,9.28
07/03/2023,9.29
06/03/2023,9.33
03/03/2023,9.3
02/03/2023,9.37
01/03/2023,9.37
28/02/2023,9.37
27/02/2023,9.47
24/02/2023,9.55
23/02/2023,9.6
22/02/2023,9.6
21/02/2023,9.73
20/02/2023,9.74
17/02/2023,9.56
16/02/2023,9.48
15/02/2023,9.56
14/02/2023,9.48
13/02/2023,9.5
10/02/2023,9.78
09/02/2023,9.63
08/02/2023,9.6
07/02/2023,9.6
06/02/2023,9.6
03/02/2023,9.53
02/02/2023,9.58
01/02/2023,9.6
31/01/2023,9.75
30/01/2023,9.77
27/01/2023,9.78
19/01/2023,9.78
18/01/2023,9.7
17/01/2023,9.72
16/01/2023,9.7
13/01/2023,9.73
12/01/2023,9.73
11/01/2023,9.7
10/01/2023,9.6
09/01/2023,9.25
06/01/2023,9.55
05/01/2023,9.65
04/01/2023,9.19
03/01/2023,9.19
30/12/2022,9.11
29/12/2022,9.11
28/12/2022,9.12
27/12/2022,9.14
26/12/2022,9.13
23/12/2022,9.18
22/12/2022,9.09
21/12/2022,9.09
20/12/2022,9.16
19/12/2022,9.19
16/12/2022,9.2
15/12/2022,9.21
14/12/2022,9.26
13/12/2022,9.21
12/12/2022,9.22
09/12/2022,9.24
08/12/2022,9.12
07/12/2022,9.11
06/12/2022,9.24
05/12/2022,9.73
02/12/2022,9.9
01/12/2022,9.8
30/11/2022,9.28
29/11/2022,9.36
28/11/2022,9.45
25/11/2022,9.24
24/11/2022,9.19
23/11/2022,9.19
22/11/2022,9.2
21/11/2022,9.15
18/11/2022,9.24
17/11/2022,9.23
16/11/2022,9.3
15/11/2022,9.17
14/11/2022,9.2
11/11/2022,9.29
10/11/2022,9.3
09/11/2022,9.4
08/11/2022,9.2
07/11/2022,8.9
04/11/2022,9.0
03/11/2022,9.04
02/11/2022,9.05
01/11/2022,9.1
31/10/2022,9.03
28/10/2022,9.15
27/10/2022,9.15
26/10/2022,9.05
25/10/2022,9.1
24/10/2022,9.1
21/10/2022,9.0
20/10/2022,9.15
19/10/2022,9.28
18/10/2022,9.3
17/10/2022,9.4
14/10/2022,9.4
