Ngay,Symbol,GiaDongCua
29/12/2023,BMP,104.3
28/12/2023,BMP,106.2
27/12/2023,BMP,106.0
26/12/2023,BMP,105.8
25/12/2023,BMP,105.4
22/12/2023,BMP,100.0
21/12/2023,BMP,93.5
20/12/2023,BMP,92.4
19/12/2023,BMP,88.3
18/12/2023,BMP,88.2
15/12/2023,BMP,89.1
14/12/2023,BMP,90.0
13/12/2023,BMP,90.5
12/12/2023,BMP,91.4
11/12/2023,BMP,91.3
08/12/2023,BMP,92.0
07/12/2023,BMP,91.1
06/12/2023,BMP,91.7
05/12/2023,BMP,90.9
04/12/2023,BMP,92.1
01/12/2023,BMP,87.2
30/11/2023,BMP,86.8
29/11/2023,BMP,87.4
28/11/2023,BMP,86.4
27/11/2023,BMP,87.4
24/11/2023,BMP,89.0
23/11/2023,BMP,86.1
22/11/2023,BMP,92.5
21/11/2023,BMP,93.9
20/11/2023,BMP,89.9
17/11/2023,BMP,96.0
16/11/2023,BMP,95.0
15/11/2023,BMP,96.3
14/11/2023,BMP,95.6
13/11/2023,BMP,97.0
10/11/2023,BMP,95.3
09/11/2023,BMP,94.0
08/11/2023,BMP,94.0
07/11/2023,BMP,91.0
06/11/2023,BMP,88.9
03/11/2023,BMP,88.0
02/11/2023,BMP,85.5
01/11/2023,BMP,80.5
31/10/2023,BMP,78.5
30/10/2023,BMP,81.3
27/10/2023,BMP,82.9
26/10/2023,BMP,82.0
25/10/2023,BMP,86.7
24/10/2023,BMP,85.2
23/10/2023,BMP,83.9
20/10/2023,BMP,85.0
19/10/2023,BMP,84.8
18/10/2023,BMP,86.0
17/10/2023,BMP,89.1
16/10/2023,BMP,89.1
13/10/2023,BMP,92.1
12/10/2023,BMP,92.0
11/10/2023,BMP,93.5
10/10/2023,BMP,90.2
09/10/2023,BMP,88.6
06/10/2023,BMP,88.6
05/10/2023,BMP,86.6
04/10/2023,BMP,84.7
03/10/2023,BMP,83.8
02/10/2023,BMP,86.7
29/09/2023,BMP,86.0
28/09/2023,BMP,87.3
27/09/2023,BMP,87.0
26/09/2023,BMP,85.3
25/09/2023,BMP,85.1
22/09/2023,BMP,88.5
21/09/2023,BMP,90.9
20/09/2023,BMP,90.0
19/09/2023,BMP,87.1
18/09/2023,BMP,87.2
15/09/2023,BMP,86.3
14/09/2023,BMP,88.2
13/09/2023,BMP,91.5
12/09/2023,BMP,91.8
11/09/2023,BMP,93.1
08/09/2023,BMP,95.9
07/09/2023,BMP,94.4
06/09/2023,BMP,93.7
05/09/2023,BMP,87.6
31/08/2023,BMP,88.1
30/08/2023,BMP,89.2
29/08/2023,BMP,90.0
28/08/2023,BMP,87.5
25/08/2023,BMP,88.3
24/08/2023,BMP,83.9
23/08/2023,BMP,83.0
22/08/2023,BMP,85.0
21/08/2023,BMP,85.5
18/08/2023,BMP,85.7
17/08/2023,BMP,85.4
16/08/2023,BMP,88.8
15/08/2023,BMP,90.4
14/08/2023,BMP,88.9
11/08/2023,BMP,87.6
10/08/2023,BMP,89.3
09/08/2023,BMP,91.4
08/08/2023,BMP,92.8
07/08/2023,BMP,89.5
04/08/2023,BMP,87.9
03/08/2023,BMP,89.5
02/08/2023,BMP,95.8
01/08/2023,BMP,96.8
31/07/2023,BMP,98.0
28/07/2023,BMP,98.0
27/07/2023,BMP,99.0
26/07/2023,BMP,102.0
25/07/2023,BMP,103.0
24/07/2023,BMP,102.0
21/07/2023,BMP,100.8
20/07/2023,BMP,102.7
19/07/2023,BMP,101.6
18/07/2023,BMP,95.0
17/07/2023,BMP,95.0
14/07/2023,BMP,95.0
13/07/2023,BMP,94.9
12/07/2023,BMP,93.1
11/07/2023,BMP,93.1
10/07/2023,BMP,94.0
07/07/2023,BMP,94.0
06/07/2023,BMP,92.3
05/07/2023,BMP,91.5
04/07/2023,BMP,91.6
03/07/2023,BMP,92.4
30/06/2023,BMP,92.4
29/06/2023,BMP,89.0
28/06/2023,BMP,91.9
27/06/2023,BMP,92.3
26/06/2023,BMP,93.5
23/06/2023,BMP,89.1
22/06/2023,BMP,87.0
21/06/2023,BMP,88.3
20/06/2023,BMP,88.1
19/06/2023,BMP,86.7
16/06/2023,BMP,89.4
15/06/2023,BMP,89.8
14/06/2023,BMP,88.0
13/06/2023,BMP,92.0
12/06/2023,BMP,89.9
09/06/2023,BMP,88.3
08/06/2023,BMP,82.6
07/06/2023,BMP,78.6
06/06/2023,BMP,78.4
05/06/2023,BMP,74.8
02/06/2023,BMP,76.0
01/06/2023,BMP,78.5
31/05/2023,BMP,79.8
30/05/2023,BMP,79.0
29/05/2023,BMP,78.3
26/05/2023,BMP,77.6
25/05/2023,BMP,78.4
24/05/2023,BMP,74.3
23/05/2023,BMP,75.9
22/05/2023,BMP,76.4
19/05/2023,BMP,75.5
18/05/2023,BMP,85.0
17/05/2023,BMP,85.0
16/05/2023,BMP,86.9
15/05/2023,BMP,82.9
12/05/2023,BMP,82.2
11/05/2023,BMP,82.8
10/05/2023,BMP,82.4
09/05/2023,BMP,80.9
08/05/2023,BMP,81.6
05/05/2023,BMP,81.5
04/05/2023,BMP,82.4
28/04/2023,BMP,77.4
27/04/2023,BMP,78.6
26/04/2023,BMP,77.3
25/04/2023,BMP,72.3
24/04/2023,BMP,74.0
21/04/2023,BMP,74.0
20/04/2023,BMP,69.4
19/04/2023,BMP,66.5
18/04/2023,BMP,62.2
17/04/2023,BMP,62.3
14/04/2023,BMP,62.4
13/04/2023,BMP,62.2
12/04/2023,BMP,62.7
11/04/2023,BMP,62.3
10/04/2023,BMP,62.2
07/04/2023,BMP,62.7
06/04/2023,BMP,60.7
05/04/2023,BMP,60.3
04/04/2023,BMP,59.6
03/04/2023,BMP,58.6
31/03/2023,BMP,58.4
30/03/2023,BMP,58.1
29/03/2023,BMP,58.3
28/03/2023,BMP,58.4
27/03/2023,BMP,58.7
24/03/2023,BMP,57.5
23/03/2023,BMP,58.1
22/03/2023,BMP,58.3
21/03/2023,BMP,57.7
20/03/2023,BMP,57.4
17/03/2023,BMP,57.4
16/03/2023,BMP,57.1
15/03/2023,BMP,58.5
14/03/2023,BMP,57.8
13/03/2023,BMP,58.5
10/03/2023,BMP,59.1
09/03/2023,BMP,59.5
08/03/2023,BMP,60.1
07/03/2023,BMP,60.0
06/03/2023,BMP,59.7
03/03/2023,BMP,59.9
02/03/2023,BMP,60.8
01/03/2023,BMP,61.2
28/02/2023,BMP,59.8
27/02/2023,BMP,59.8
24/02/2023,BMP,60.1
23/02/2023,BMP,60.9
22/02/2023,BMP,61.0
21/02/2023,BMP,61.8
20/02/2023,BMP,61.2
17/02/2023,BMP,60.8
16/02/2023,BMP,62.5
15/02/2023,BMP,62.0
14/02/2023,BMP,62.0
13/02/2023,BMP,59.2
10/02/2023,BMP,60.0
09/02/2023,BMP,60.8
08/02/2023,BMP,61.0
07/02/2023,BMP,59.3
06/02/2023,BMP,58.5
03/02/2023,BMP,59.6
02/02/2023,BMP,60.0
01/02/2023,BMP,61.6
31/01/2023,BMP,65.0
30/01/2023,BMP,67.2
27/01/2023,BMP,63.9
19/01/2023,BMP,63.4
18/01/2023,BMP,63.5
17/01/2023,BMP,64.5
16/01/2023,BMP,62.0
13/01/2023,BMP,60.6
12/01/2023,BMP,60.4
