Ngay,GiaDongCua
29/12/2023,15.4
28/12/2023,15.4
27/12/2023,15.25
26/12/2023,15.25
25/12/2023,14.85
22/12/2023,14.6
21/12/2023,14.6
20/12/2023,14.75
19/12/2023,14.3
18/12/2023,14.0
15/12/2023,14.3
14/12/2023,14.5
13/12/2023,14.5
12/12/2023,14.8
11/12/2023,14.75
08/12/2023,14.6
07/12/2023,14.9
06/12/2023,15.1
05/12/2023,14.8
04/12/2023,14.95
01/12/2023,14.55
30/11/2023,14.5
29/11/2023,14.45
28/11/2023,14.25
27/11/2023,14.5
24/11/2023,14.5
23/11/2023,14.55
22/11/2023,15.05
21/11/2023,14.7
20/11/2023,14.65
17/11/2023,14.65
16/11/2023,14.55
15/11/2023,14.55
14/11/2023,14.5
13/11/2023,14.55
10/11/2023,14.55
09/11/2023,14.65
08/11/2023,14.8
07/11/2023,14.25
06/11/2023,14.35
03/11/2023,14.3
02/11/2023,14.45
01/11/2023,14.0
31/10/2023,14.55
30/10/2023,15.25
27/10/2023,15.6
26/10/2023,15.2
25/10/2023,15.7
24/10/2023,15.75
23/10/2023,15.15
20/10/2023,15.25
19/10/2023,14.8
18/10/2023,14.85
17/10/2023,15.35
16/10/2023,15.6
13/10/2023,15.6
12/10/2023,15.35
11/10/2023,15.9
10/10/2023,15.45
09/10/2023,15.35
06/10/2023,15.4
05/10/2023,15.15
04/10/2023,15.4
03/10/2023,15.25
02/10/2023,15.1
29/09/2023,14.85
28/09/2023,14.85
27/09/2023,14.95
26/09/2023,14.5
25/09/2023,14.75
22/09/2023,15.85
21/09/2023,16.55
20/09/2023,16.8
19/09/2023,16.0
18/09/2023,16.15
15/09/2023,16.4
14/09/2023,16.5
13/09/2023,17.0
12/09/2023,16.7
11/09/2023,16.2
08/09/2023,16.15
07/09/2023,16.1
06/09/2023,16.1
05/09/2023,15.85
31/08/2023,15.6
30/08/2023,15.4
29/08/2023,15.35
28/08/2023,15.45
25/08/2023,15.4
24/08/2023,15.3
23/08/2023,15.05
22/08/2023,15.05
21/08/2023,14.85
18/08/2023,15.3
17/08/2023,16.4
16/08/2023,16.55
15/08/2023,16.75
14/08/2023,16.55
11/08/2023,16.4
10/08/2023,17.25
09/08/2023,17.0
08/08/2023,17.0
07/08/2023,17.15
04/08/2023,17.3
03/08/2023,17.3
02/08/2023,16.95
01/08/2023,16.7
31/07/2023,16.7
28/07/2023,16.3
27/07/2023,16.2
26/07/2023,16.4
25/07/2023,16.4
24/07/2023,16.9
21/07/2023,16.8
20/07/2023,16.7
19/07/2023,16.25
18/07/2023,16.2
17/07/2023,16.4
14/07/2023,16.65
13/07/2023,16.5
12/07/2023,16.7
11/07/2023,16.2
10/07/2023,16.25
07/07/2023,15.2
06/07/2023,14.65
05/07/2023,15.05
04/07/2023,15.15
03/07/2023,14.85
30/06/2023,14.4
29/06/2023,14.6
28/06/2023,14.75
27/06/2023,15.1
26/06/2023,14.65
23/06/2023,14.95
22/06/2023,15.5
21/06/2023,15.3
20/06/2023,14.9
19/06/2023,14.35
16/06/2023,14.3
15/06/2023,14.3
14/06/2023,14.5
13/06/2023,15.1
12/06/2023,15.15
09/06/2023,14.4
08/06/2023,14.4
07/06/2023,14.7
06/06/2023,14.55
05/06/2023,14.4
02/06/2023,14.7
01/06/2023,14.6
31/05/2023,14.55
30/05/2023,14.75
29/05/2023,14.8
26/05/2023,14.8
25/05/2023,14.35
24/05/2023,14.35
23/05/2023,14.4
22/05/2023,13.65
19/05/2023,13.45
18/05/2023,13.45
17/05/2023,12.6
16/05/2023,12.45
15/05/2023,12.5
12/05/2023,12.55
11/05/2023,12.3
10/05/2023,12.3
09/05/2023,12.1
08/05/2023,12.05
05/05/2023,11.95
04/05/2023,12.05
28/04/2023,12.35
27/04/2023,12.3
26/04/2023,12.2
25/04/2023,12.2
24/04/2023,12.2
21/04/2023,12.15
20/04/2023,12.25
19/04/2023,12.25
18/04/2023,12.65
17/04/2023,12.5
14/04/2023,12.4
13/04/2023,12.65
12/04/2023,12.9
11/04/2023,13.0
10/04/2023,12.6
07/04/2023,12.7
06/04/2023,12.6
05/04/2023,12.9
04/04/2023,12.5
03/04/2023,12.65
31/03/2023,12.35
30/03/2023,12.35
29/03/2023,12.3
28/03/2023,12.25
27/03/2023,12.05
24/03/2023,12.05
23/03/2023,12.0
22/03/2023,11.9
21/03/2023,11.95
20/03/2023,11.85
17/03/2023,12.15
16/03/2023,12.15
15/03/2023,12.3
14/03/2023,11.9
13/03/2023,12.2
10/03/2023,12.3
09/03/2023,12.6
08/03/2023,12.5
07/03/2023,12.35
06/03/2023,12.35
03/03/2023,12.5
02/03/2023,12.5
01/03/2023,12.55
28/02/2023,12.2
27/02/2023,12.05
24/02/2023,12.9
23/02/2023,12.8
22/02/2023,12.8
21/02/2023,13.1
20/02/2023,13.15
17/02/2023,12.65
16/02/2023,12.85
15/02/2023,12.75
14/02/2023,12.3
13/02/2023,12.3
10/02/2023,12.5
09/02/2023,12.5
08/02/2023,12.6
07/02/2023,12.5
06/02/2023,13.2
03/02/2023,13.35
02/02/2023,13.15
01/02/2023,13.05
31/01/2023,14.0
30/01/2023,14.0
27/01/2023,13.9
19/01/2023,13.95
18/01/2023,14.1
17/01/2023,14.2
16/01/2023,13.3
13/01/2023,13.15
12/01/2023,13.65
11/01/2023,13.15
10/01/2023,13.75
09/01/2023,13.1
06/01/2023,13.0
05/01/2023,13.55
04/01/2023,13.4
03/01/2023,13.55
30/12/2022,12.7
29/12/2022,12.25
28/12/2022,12.25
27/12/2022,12.0
26/12/2022,11.65
23/12/2022,12.35
22/12/2022,11.9
21/12/2022,11.8
20/12/2022,12.15
19/12/2022,12.85
16/12/2022,12.05
15/12/2022,11.75
14/12/2022,11.95
13/12/2022,12.05
12/12/2022,12.0
09/12/2022,12.3
08/12/2022,11.6
07/12/2022,11.4
06/12/2022,11.7
05/12/2022,12.55
02/12/2022,12.05
01/12/2022,11.9
30/11/2022,11.7
29/11/2022,11.85
28/11/2022,11.65
25/11/2022,11.1
24/11/2022,10.95
23/11/2022,11.3
22/11/2022,11.5
21/11/2022,11.2
18/11/2022,11.1
17/11/2022,11.15
16/11/2022,11.2
15/11/2022,10.8
14/11/2022,11.0
11/11/2022,10.9
