Ngay,GiaDongCua
29/12/2023,48.95
28/12/2023,48.65
27/12/2023,48.4
26/12/2023,48.3
25/12/2023,48.1
22/12/2023,47.9
21/12/2023,48.7
20/12/2023,48.65
19/12/2023,48.9
18/12/2023,48.0
15/12/2023,49.1
14/12/2023,49.6
13/12/2023,48.7
12/12/2023,48.6
11/12/2023,48.75
08/12/2023,48.25
07/12/2023,48.1
06/12/2023,49.0
05/12/2023,49.0
04/12/2023,46.65
01/12/2023,45.85
30/11/2023,45.85
29/11/2023,46.1
28/11/2023,46.1
27/11/2023,46.3
24/11/2023,46.3
23/11/2023,46.5
22/11/2023,46.85
21/11/2023,46.9
20/11/2023,46.4
17/11/2023,46.0
16/11/2023,46.9
15/11/2023,46.95
14/11/2023,45.5
13/11/2023,45.35
10/11/2023,45.9
09/11/2023,46.95
08/11/2023,45.0
07/11/2023,44.3
06/11/2023,44.3
03/11/2023,44.1
02/11/2023,43.5
01/11/2023,42.3
31/10/2023,41.6
30/10/2023,44.5
27/10/2023,45.8
26/10/2023,45.55
25/10/2023,47.0
24/10/2023,47.0
23/10/2023,47.65
20/10/2023,48.45
19/10/2023,48.1
18/10/2023,48.05
17/10/2023,49.2
16/10/2023,49.7
13/10/2023,50.6
12/10/2023,51.0
11/10/2023,51.5
10/10/2023,49.5
09/10/2023,49.25
06/10/2023,48.75
05/10/2023,48.95
04/10/2023,48.6
03/10/2023,48.3
02/10/2023,49.8
29/09/2023,48.6
28/09/2023,48.3
27/09/2023,48.2
26/09/2023,48.1
25/09/2023,48.1
22/09/2023,50.6
21/09/2023,52.4
20/09/2023,52.8
19/09/2023,53.3
18/09/2023,51.1
15/09/2023,53.8
14/09/2023,55.0
13/09/2023,59.7
12/09/2023,59.0
11/09/2023,59.0
08/09/2023,55.3
07/09/2023,54.2
06/09/2023,55.0
05/09/2023,55.4
31/08/2023,52.4
30/08/2023,49.4
29/08/2023,49.95
28/08/2023,49.1
25/08/2023,48.95
24/08/2023,48.85
23/08/2023,48.7
22/08/2023,48.8
21/08/2023,48.8
18/08/2023,48.1
17/08/2023,47.6
16/08/2023,48.4
15/08/2023,48.4
14/08/2023,47.8
11/08/2023,47.6
10/08/2023,48.0
09/08/2023,49.7
08/08/2023,49.75
07/08/2023,51.5
04/08/2023,48.6
03/08/2023,48.5
02/08/2023,48.9
01/08/2023,48.7
31/07/2023,48.5
28/07/2023,47.8
27/07/2023,48.45
26/07/2023,48.85
25/07/2023,47.6
24/07/2023,48.8
21/07/2023,48.3
20/07/2023,48.5
19/07/2023,47.8
18/07/2023,44.7
17/07/2023,45.0
14/07/2023,45.2
13/07/2023,45.2
