Ngay,GiaDongCua
29/12/2023,38.0
28/12/2023,38.2
27/12/2023,37.85
26/12/2023,37.95
25/12/2023,38.1
22/12/2023,37.9
21/12/2023,37.3
20/12/2023,36.7
19/12/2023,36.15
18/12/2023,36.0
15/12/2023,37.5
14/12/2023,37.4
13/12/2023,37.55
12/12/2023,38.3
11/12/2023,38.15
08/12/2023,38.2
07/12/2023,38.5
06/12/2023,38.5
05/12/2023,38.45
04/12/2023,38.45
01/12/2023,38.1
30/11/2023,38.5
29/11/2023,38.85
28/11/2023,38.15
27/11/2023,38.05
24/11/2023,39.15
23/11/2023,40.7
22/11/2023,40.7
21/11/2023,41.0
20/11/2023,41.0
17/11/2023,41.55
16/11/2023,41.7
15/11/2023,42.1
14/11/2023,41.65
13/11/2023,40.7
10/11/2023,41.25
09/11/2023,41.8
08/11/2023,41.95
07/11/2023,41.1
06/11/2023,41.5
03/11/2023,41.55
02/11/2023,39.3
01/11/2023,38.4
31/10/2023,38.15
30/10/2023,39.0
27/10/2023,39.65
26/10/2023,40.5
25/10/2023,42.05
24/10/2023,42.4
23/10/2023,42.2
20/10/2023,43.0
19/10/2023,42.0
18/10/2023,42.05
17/10/2023,42.6
16/10/2023,45.7
13/10/2023,47.3
12/10/2023,46.8
11/10/2023,45.0
10/10/2023,44.55
09/10/2023,44.5
06/10/2023,44.2
05/10/2023,44.5
04/10/2023,45.0
03/10/2023,44.0
02/10/2023,45.3
29/09/2023,45.4
28/09/2023,45.7
27/09/2023,44.8
26/09/2023,43.6
25/09/2023,43.8
22/09/2023,46.8
21/09/2023,47.05
20/09/2023,48.25
19/09/2023,47.4
18/09/2023,47.4
15/09/2023,46.1
14/09/2023,46.3
13/09/2023,46.75
12/09/2023,45.1
11/09/2023,45.5
08/09/2023,46.0
07/09/2023,46.65
06/09/2023,44.05
05/09/2023,41.2
31/08/2023,41.0
30/08/2023,40.5
29/08/2023,39.95
28/08/2023,39.9
25/08/2023,39.9
24/08/2023,39.9
23/08/2023,39.85
22/08/2023,40.0
21/08/2023,39.3
18/08/2023,39.0
17/08/2023,40.6
16/08/2023,40.7
15/08/2023,41.05
14/08/2023,41.05
11/08/2023,41.0
10/08/2023,40.75
09/08/2023,40.8
08/08/2023,41.3
07/08/2023,40.8
04/08/2023,40.65
03/08/2023,39.85
02/08/2023,41.0
01/08/2023,41.3
31/07/2023,41.5
28/07/2023,41.8
27/07/2023,42.0
26/07/2023,42.0
25/07/2023,42.3
24/07/2023,42.4
21/07/2023,42.25
20/07/2023,42.5
19/07/2023,42.35
18/07/2023,42.7
17/07/2023,42.7
14/07/2023,42.7
13/07/2023,41.8
12/07/2023,41.8
11/07/2023,40.5
10/07/2023,40.45
07/07/2023,40.5
06/07/2023,40.0
05/07/2023,40.5
04/07/2023,40.5
03/07/2023,40.55
30/06/2023,40.9
29/06/2023,40.8
28/06/2023,42.0
27/06/2023,41.95
26/06/2023,42.5
23/06/2023,42.5
22/06/2023,42.5
21/06/2023,42.5
20/06/2023,42.5
19/06/2023,42.5
16/06/2023,42.2
15/06/2023,42.15
14/06/2023,42.45
13/06/2023,42.4
12/06/2023,42.8
09/06/2023,42.1
08/06/2023,42.5
07/06/2023,42.8
06/06/2023,42.9
05/06/2023,42.15
02/06/2023,42.0
01/06/2023,41.8
31/05/2023,40.7
30/05/2023,40.55
29/05/2023,40.2
26/05/2023,39.9
25/05/2023,39.7
24/05/2023,40.35
23/05/2023,40.35
22/05/2023,39.95
