Ngay,Symbol,GiaDongCua
29/12/2023,FCM,4.74
28/12/2023,FCM,4.7
27/12/2023,FCM,4.7
26/12/2023,FCM,4.7
25/12/2023,FCM,4.75
22/12/2023,FCM,4.68
21/12/2023,FCM,4.7
20/12/2023,FCM,4.71
19/12/2023,FCM,4.77
18/12/2023,FCM,4.77
15/12/2023,FCM,4.85
14/12/2023,FCM,4.94
13/12/2023,FCM,4.88
12/12/2023,FCM,4.85
11/12/2023,FCM,4.86
08/12/2023,FCM,4.86
07/12/2023,FCM,4.8
06/12/2023,FCM,4.83
05/12/2023,FCM,4.78
04/12/2023,FCM,4.85
01/12/2023,FCM,4.75
30/11/2023,FCM,4.77
29/11/2023,FCM,4.77
28/11/2023,FCM,4.79
27/11/2023,FCM,4.85
24/11/2023,FCM,4.84
23/11/2023,FCM,4.83
22/11/2023,FCM,4.84
21/11/2023,FCM,4.98
20/11/2023,FCM,4.85
17/11/2023,FCM,4.87
16/11/2023,FCM,4.89
15/11/2023,FCM,4.85
14/11/2023,FCM,4.84
13/11/2023,FCM,4.8
10/11/2023,FCM,4.9
09/11/2023,FCM,4.9
08/11/2023,FCM,4.86
07/11/2023,FCM,4.81
06/11/2023,FCM,4.88
03/11/2023,FCM,4.9
02/11/2023,FCM,4.93
01/11/2023,FCM,4.69
31/10/2023,FCM,4.7
30/10/2023,FCM,5.02
27/10/2023,FCM,5.24
26/10/2023,FCM,5.19
25/10/2023,FCM,5.34
24/10/2023,FCM,5.35
23/10/2023,FCM,5.3
20/10/2023,FCM,5.3
19/10/2023,FCM,5.3
18/10/2023,FCM,5.28
17/10/2023,FCM,5.39
16/10/2023,FCM,5.32
13/10/2023,FCM,5.45
12/10/2023,FCM,5.65
11/10/2023,FCM,5.6
10/10/2023,FCM,5.58
09/10/2023,FCM,5.6
06/10/2023,FCM,5.42
05/10/2023,FCM,5.58
04/10/2023,FCM,5.59
03/10/2023,FCM,5.47
02/10/2023,FCM,5.59
29/09/2023,FCM,5.55
28/09/2023,FCM,5.48
27/09/2023,FCM,5.49
26/09/2023,FCM,5.49
25/09/2023,FCM,5.81
22/09/2023,FCM,6.24
21/09/2023,FCM,6.6
20/09/2023,FCM,6.4
19/09/2023,FCM,6.4
18/09/2023,FCM,6.4
15/09/2023,FCM,6.5
14/09/2023,FCM,6.2
13/09/2023,FCM,6.3
12/09/2023,FCM,6.3
11/09/2023,FCM,6.19
08/09/2023,FCM,6.0
07/09/2023,FCM,6.03
06/09/2023,FCM,5.96
05/09/2023,FCM,6.0
31/08/2023,FCM,5.74
30/08/2023,FCM,5.73
29/08/2023,FCM,5.74
28/08/2023,FCM,5.83
25/08/2023,FCM,5.71
24/08/2023,FCM,5.78
23/08/2023,FCM,5.78
22/08/2023,FCM,5.87
21/08/2023,FCM,5.49
18/08/2023,FCM,5.82
17/08/2023,FCM,6.25
16/08/2023,FCM,6.44
15/08/2023,FCM,6.02
14/08/2023,FCM,5.63
11/08/2023,FCM,5.27
10/08/2023,FCM,5.27
09/08/2023,FCM,5.33
08/08/2023,FCM,5.4
07/08/2023,FCM,5.45
04/08/2023,FCM,5.2
03/08/2023,FCM,5.2
02/08/2023,FCM,5.17
01/08/2023,FCM,5.1
31/07/2023,FCM,5.3
28/07/2023,FCM,5.2
27/07/2023,FCM,5.14
26/07/2023,FCM,5.08
25/07/2023,FCM,5.02
24/07/2023,FCM,5.12
21/07/2023,FCM,5.19
20/07/2023,FCM,5.2
19/07/2023,FCM,5.3
18/07/2023,FCM,5.09
17/07/2023,FCM,5.04
14/07/2023,FCM,4.85
13/07/2023,FCM,4.85
12/07/2023,FCM,4.88
11/07/2023,FCM,4.7
10/07/2023,FCM,4.73
07/07/2023,FCM,4.72
06/07/2023,FCM,4.76
05/07/2023,FCM,4.76
04/07/2023,FCM,4.77
03/07/2023,FCM,4.76
30/06/2023,FCM,4.8
29/06/2023,FCM,4.88
28/06/2023,FCM,5.0
27/06/2023,FCM,5.05
26/06/2023,FCM,5.13
23/06/2023,FCM,5.2
22/06/2023,FCM,4.96
21/06/2023,FCM,4.93
20/06/2023,FCM,4.9
19/06/2023,FCM,4.75
16/06/2023,FCM,4.85
15/06/2023,FCM,4.98
14/06/2023,FCM,4.89
13/06/2023,FCM,5.18
12/06/2023,FCM,5.06
09/06/2023,FCM,4.73
08/06/2023,FCM,4.75
07/06/2023,FCM,4.73
06/06/2023,FCM,4.74
05/06/2023,FCM,4.73
02/06/2023,FCM,4.75
01/06/2023,FCM,4.77
31/05/2023,FCM,4.75
30/05/2023,FCM,4.89
29/05/2023,FCM,4.7
26/05/2023,FCM,4.46
25/05/2023,FCM,4.27
24/05/2023,FCM,4.29
23/05/2023,FCM,4.4
22/05/2023,FCM,4.35
19/05/2023,FCM,4.32
18/05/2023,FCM,4.32
17/05/2023,FCM,4.42
16/05/2023,FCM,4.4
15/05/2023,FCM,4.3
12/05/2023,FCM,4.27
11/05/2023,FCM,4.12
10/05/2023,FCM,4.13
09/05/2023,FCM,3.98
08/05/2023,FCM,3.99
05/05/2023,FCM,3.99
04/05/2023,FCM,3.95
28/04/2023,FCM,3.95
27/04/2023,FCM,3.98
26/04/2023,FCM,3.97
25/04/2023,FCM,3.9
24/04/2023,FCM,3.97
21/04/2023,FCM,4.02
20/04/2023,FCM,4.02
19/04/2023,FCM,4.04
18/04/2023,FCM,4.04
17/04/2023,FCM,4.02
14/04/2023,FCM,4.06
13/04/2023,FCM,4.08
12/04/2023,FCM,4.14
11/04/2023,FCM,4.14
10/04/2023,FCM,4.18
07/04/2023,FCM,4.17
06/04/2023,FCM,4.17
05/04/2023,FCM,4.08
04/04/2023,FCM,3.9
03/04/2023,FCM,4.13
31/03/2023,FCM,4.05
30/03/2023,FCM,4.05
29/03/2023,FCM,4.04
28/03/2023,FCM,4.06
27/03/2023,FCM,4.08
24/03/2023,FCM,4.07
23/03/2023,FCM,4.15
22/03/2023,FCM,4.0
21/03/2023,FCM,4.02
20/03/2023,FCM,3.98
17/03/2023,FCM,4.02
16/03/2023,FCM,4.06
15/03/2023,FCM,4.11
14/03/2023,FCM,4.04
13/03/2023,FCM,4.15
10/03/2023,FCM,4.2
09/03/2023,FCM,4.24
08/03/2023,FCM,4.16
07/03/2023,FCM,4.21
06/03/2023,FCM,4.21
03/03/2023,FCM,4.14
02/03/2023,FCM,4.17
01/03/2023,FCM,4.17
28/02/2023,FCM,4.17
27/02/2023,FCM,4.11
24/02/2023,FCM,4.38
23/02/2023,FCM,4.4
22/02/2023,FCM,4.4
21/02/2023,FCM,4.5
20/02/2023,FCM,4.44
17/02/2023,FCM,4.26
16/02/2023,FCM,4.36
15/02/2023,FCM,4.36
14/02/2023,FCM,4.24
13/02/2023,FCM,4.15
10/02/2023,FCM,4.15
09/02/2023,FCM,4.26
08/02/2023,FCM,4.19
07/02/2023,FCM,4.27
06/02/2023,FCM,4.37
03/02/2023,FCM,4.29
02/02/2023,FCM,4.2
01/02/2023,FCM,4.29
31/01/2023,FCM,4.41
30/01/2023,FCM,4.29
27/01/2023,FCM,4.01
19/01/2023,FCM,3.75
18/01/2023,FCM,3.79
17/01/2023,FCM,3.8
16/01/2023,FCM,3.68
13/01/2023,FCM,3.69
12/01/2023,FCM,3.7
11/01/2023,FCM,3.7
10/01/2023,FCM,3.7
09/01/2023,FCM,3.68
06/01/2023,FCM,3.72
05/01/2023,FCM,3.77
04/01/2023,FCM,3.77
03/01/2023,FCM,3.74
30/12/2022,FCM,3.59
29/12/2022,FCM,3.59
28/12/2022,FCM,3.59
27/12/2022,FCM,3.48
26/12/2022,FCM,3.42
23/12/2022,FCM,3.55
22/12/2022,FCM,3.65
