Ngay,GiaDongCua
29/12/2023,27.95
28/12/2023,27.95
27/12/2023,27.75
26/12/2023,27.8
25/12/2023,27.45
22/12/2023,27.05
21/12/2023,27.2
20/12/2023,27.2
19/12/2023,27.2
18/12/2023,26.6
15/12/2023,26.8
14/12/2023,27.05
13/12/2023,27.35
12/12/2023,27.95
11/12/2023,27.5
08/12/2023,27.7
07/12/2023,27.6
06/12/2023,27.6
05/12/2023,27.25
04/12/2023,27.5
01/12/2023,26.9
30/11/2023,26.55
29/11/2023,27.0
28/11/2023,26.7
27/11/2023,26.3
24/11/2023,26.4
23/11/2023,25.85
22/11/2023,27.2
21/11/2023,27.05
20/11/2023,26.65
17/11/2023,26.5
16/11/2023,27.2
15/11/2023,27.0
14/11/2023,27.0
13/11/2023,27.2
10/11/2023,26.5
09/11/2023,26.7
08/11/2023,26.95
07/11/2023,25.8
06/11/2023,25.75
03/11/2023,25.1
02/11/2023,25.25
01/11/2023,23.95
31/10/2023,23.0
30/10/2023,23.0
27/10/2023,23.35
26/10/2023,22.8
25/10/2023,24.05
24/10/2023,24.0
23/10/2023,24.0
20/10/2023,24.35
19/10/2023,23.7
18/10/2023,24.0
17/10/2023,24.8
16/10/2023,25.0
13/10/2023,25.75
12/10/2023,25.8
11/10/2023,26.2
10/10/2023,26.0
09/10/2023,25.5
06/10/2023,24.95
05/10/2023,24.9
04/10/2023,25.25
03/10/2023,24.8
02/10/2023,26.2
29/09/2023,26.3
28/09/2023,26.6
27/09/2023,26.5
26/09/2023,26.2
25/09/2023,26.0
22/09/2023,27.3
21/09/2023,28.4
20/09/2023,28.4
19/09/2023,28.15
18/09/2023,27.6
15/09/2023,27.6
14/09/2023,27.8
13/09/2023,28.4
12/09/2023,28.75
11/09/2023,28.0
08/09/2023,28.75
07/09/2023,28.65
06/09/2023,29.0
05/09/2023,27.8
31/08/2023,27.6
30/08/2023,27.2
29/08/2023,27.0
28/08/2023,26.85
25/08/2023,25.95
24/08/2023,26.3
23/08/2023,25.65
22/08/2023,26.15
21/08/2023,26.2
18/08/2023,26.5
17/08/2023,28.1
16/08/2023,27.95
15/08/2023,27.95
14/08/2023,28.15
11/08/2023,27.7
10/08/2023,27.35
09/08/2023,27.8
08/08/2023,27.2
07/08/2023,27.55
04/08/2023,27.35
03/08/2023,26.85
02/08/2023,27.5
01/08/2023,27.5
31/07/2023,28.2
28/07/2023,28.3
27/07/2023,28.4
26/07/2023,28.4
25/07/2023,28.25
24/07/2023,28.25
21/07/2023,28.4
20/07/2023,28.2
19/07/2023,27.4
18/07/2023,27.2
17/07/2023,27.3
14/07/2023,27.5
13/07/2023,27.05
12/07/2023,27.0
11/07/2023,27.3
10/07/2023,27.7
07/07/2023,27.45
06/07/2023,27.0
05/07/2023,26.95
04/07/2023,26.25
03/07/2023,26.2
30/06/2023,26.15
29/06/2023,25.8
28/06/2023,26.6
27/06/2023,25.8
26/06/2023,25.2
23/06/2023,25.4
22/06/2023,24.85
21/06/2023,24.6
20/06/2023,23.65
19/06/2023,23.35
16/06/2023,23.45
15/06/2023,23.15
14/06/2023,23.1
13/06/2023,23.4
12/06/2023,22.95
09/06/2023,22.9
08/06/2023,22.8
07/06/2023,22.6
06/06/2023,21.75
05/06/2023,21.65
02/06/2023,21.6
01/06/2023,21.4
31/05/2023,21.2
30/05/2023,21.35
29/05/2023,21.45
26/05/2023,21.1
25/05/2023,21.2
24/05/2023,21.3
23/05/2023,21.7
22/05/2023,21.9
19/05/2023,21.8
18/05/2023,21.95
17/05/2023,21.8
16/05/2023,22.0
15/05/2023,22.1
12/05/2023,22.35
11/05/2023,21.75
10/05/2023,21.7
09/05/2023,21.8
