Ngay,GiaDongCua
29/12/2023,22.8
28/12/2023,22.7
27/12/2023,22.45
26/12/2023,22.1
25/12/2023,21.95
22/12/2023,21.6
21/12/2023,21.75
20/12/2023,21.5
19/12/2023,21.5
18/12/2023,20.75
15/12/2023,20.85
14/12/2023,21.0
13/12/2023,21.1
12/12/2023,21.75
11/12/2023,21.7
08/12/2023,22.1
07/12/2023,22.45
06/12/2023,22.7
05/12/2023,22.3
04/12/2023,22.25
01/12/2023,21.75
30/11/2023,21.45
29/11/2023,21.75
28/11/2023,21.3
27/11/2023,20.65
24/11/2023,20.95
23/11/2023,20.5
22/11/2023,22.0
21/11/2023,21.9
20/11/2023,21.7
17/11/2023,21.45
16/11/2023,21.6
15/11/2023,21.5
14/11/2023,21.7
13/11/2023,21.5
10/11/2023,20.65
09/11/2023,20.8
08/11/2023,21.1
07/11/2023,19.75
06/11/2023,20.0
03/11/2023,19.45
02/11/2023,18.9
01/11/2023,17.7
31/10/2023,17.0
30/10/2023,17.2
27/10/2023,17.65
26/10/2023,16.6
25/10/2023,17.8
24/10/2023,17.7
23/10/2023,17.7
20/10/2023,17.8
19/10/2023,17.0
18/10/2023,17.0
17/10/2023,18.0
16/10/2023,18.8
13/10/2023,19.65
12/10/2023,19.7
11/10/2023,19.7
10/10/2023,19.3
09/10/2023,19.35
06/10/2023,18.75
05/10/2023,18.35
04/10/2023,19.1
03/10/2023,18.7
02/10/2023,20.1
29/09/2023,20.0
28/09/2023,20.3
27/09/2023,20.0
26/09/2023,19.0
25/09/2023,20.05
22/09/2023,21.55
21/09/2023,23.15
20/09/2023,23.15
19/09/2023,23.0
18/09/2023,21.8
15/09/2023,21.4
14/09/2023,21.3
13/09/2023,22.0
12/09/2023,21.85
11/09/2023,21.3
08/09/2023,22.0
07/09/2023,21.5
06/09/2023,21.3
05/09/2023,19.95
31/08/2023,20.0
30/08/2023,19.7
29/08/2023,19.1
28/08/2023,19.2
25/08/2023,18.6
24/08/2023,18.75
23/08/2023,18.3
22/08/2023,18.4
21/08/2023,18.45
18/08/2023,18.6
17/08/2023,20.0
16/08/2023,20.4
15/08/2023,20.6
14/08/2023,20.1
11/08/2023,19.85
10/08/2023,18.8
09/08/2023,19.1
08/08/2023,18.7
07/08/2023,19.0
04/08/2023,18.9
03/08/2023,18.7
02/08/2023,18.8
01/08/2023,18.6
31/07/2023,19.25
28/07/2023,19.3
27/07/2023,18.75
26/07/2023,18.7
25/07/2023,18.3
24/07/2023,18.3
21/07/2023,18.2
20/07/2023,17.55
19/07/2023,17.35
18/07/2023,17.25
17/07/2023,17.65
14/07/2023,17.75
13/07/2023,17.5
12/07/2023,17.45
11/07/2023,17.45
10/07/2023,17.45
