Ngay,Symbol,GiaDongCua
29/12/2023,HT1,12.0
28/12/2023,HT1,12.0
27/12/2023,HT1,12.1
26/12/2023,HT1,12.1
25/12/2023,HT1,12.1
22/12/2023,HT1,12.0
21/12/2023,HT1,12.0
20/12/2023,HT1,12.0
19/12/2023,HT1,12.0
18/12/2023,HT1,11.95
15/12/2023,HT1,12.05
14/12/2023,HT1,12.1
13/12/2023,HT1,12.15
12/12/2023,HT1,12.45
11/12/2023,HT1,12.5
08/12/2023,HT1,12.4
07/12/2023,HT1,12.5
06/12/2023,HT1,12.75
05/12/2023,HT1,12.8
04/12/2023,HT1,12.7
01/12/2023,HT1,12.25
30/11/2023,HT1,12.2
29/11/2023,HT1,11.85
28/11/2023,HT1,11.65
27/11/2023,HT1,11.65
24/11/2023,HT1,11.8
23/11/2023,HT1,11.9
22/11/2023,HT1,12.05
21/11/2023,HT1,11.95
20/11/2023,HT1,11.95
17/11/2023,HT1,12.1
16/11/2023,HT1,12.35
15/11/2023,HT1,12.35
14/11/2023,HT1,12.25
13/11/2023,HT1,12.3
10/11/2023,HT1,12.3
09/11/2023,HT1,12.25
08/11/2023,HT1,12.2
07/11/2023,HT1,11.5
06/11/2023,HT1,12.0
03/11/2023,HT1,11.75
02/11/2023,HT1,11.8
01/11/2023,HT1,11.1
31/10/2023,HT1,11.15
30/10/2023,HT1,11.35
27/10/2023,HT1,11.5
26/10/2023,HT1,11.4
25/10/2023,HT1,12.25
24/10/2023,HT1,12.2
23/10/2023,HT1,12.15
20/10/2023,HT1,12.4
19/10/2023,HT1,12.2
18/10/2023,HT1,12.8
17/10/2023,HT1,13.5
16/10/2023,HT1,13.65
13/10/2023,HT1,13.8
12/10/2023,HT1,13.95
11/10/2023,HT1,14.0
10/10/2023,HT1,14.0
09/10/2023,HT1,13.8
06/10/2023,HT1,13.9
05/10/2023,HT1,13.8
04/10/2023,HT1,13.45
03/10/2023,HT1,13.35
02/10/2023,HT1,13.8
29/09/2023,HT1,13.65
28/09/2023,HT1,13.45
27/09/2023,HT1,13.5
26/09/2023,HT1,13.5
25/09/2023,HT1,13.3
22/09/2023,HT1,14.3
21/09/2023,HT1,14.8
20/09/2023,HT1,14.85
19/09/2023,HT1,14.6
18/09/2023,HT1,14.9
15/09/2023,HT1,15.4
14/09/2023,HT1,15.8
13/09/2023,HT1,15.65
12/09/2023,HT1,15.35
11/09/2023,HT1,15.3
08/09/2023,HT1,15.3
07/09/2023,HT1,15.1
06/09/2023,HT1,15.1
05/09/2023,HT1,15.1
31/08/2023,HT1,14.9
30/08/2023,HT1,14.6
29/08/2023,HT1,14.25
28/08/2023,HT1,14.35
25/08/2023,HT1,14.3
24/08/2023,HT1,14.65
23/08/2023,HT1,14.05
22/08/2023,HT1,14.0
21/08/2023,HT1,14.2
18/08/2023,HT1,14.65
17/08/2023,HT1,15.75
16/08/2023,HT1,16.15
15/08/2023,HT1,16.2
14/08/2023,HT1,16.55
11/08/2023,HT1,16.35
10/08/2023,HT1,16.4
09/08/2023,HT1,16.95
08/08/2023,HT1,17.0
07/08/2023,HT1,17.3
04/08/2023,HT1,16.9
03/08/2023,HT1,16.9
02/08/2023,HT1,16.95
01/08/2023,HT1,16.8
31/07/2023,HT1,16.85
28/07/2023,HT1,16.7
27/07/2023,HT1,16.7
26/07/2023,HT1,16.95
25/07/2023,HT1,17.1
24/07/2023,HT1,17.45
21/07/2023,HT1,17.1
20/07/2023,HT1,17.0
19/07/2023,HT1,16.7
18/07/2023,HT1,16.95
17/07/2023,HT1,16.95
14/07/2023,HT1,17.0
13/07/2023,HT1,16.6
12/07/2023,HT1,16.75
11/07/2023,HT1,16.75
10/07/2023,HT1,17.2
07/07/2023,HT1,17.2
06/07/2023,HT1,16.7
05/07/2023,HT1,17.0
04/07/2023,HT1,16.4
03/07/2023,HT1,16.3
30/06/2023,HT1,16.2
29/06/2023,HT1,16.2
28/06/2023,HT1,16.3
27/06/2023,HT1,16.45
26/06/2023,HT1,16.3
23/06/2023,HT1,16.2
22/06/2023,HT1,16.25
21/06/2023,HT1,16.25
20/06/2023,HT1,15.2
19/06/2023,HT1,14.85
16/06/2023,HT1,14.7
15/06/2023,HT1,14.7
14/06/2023,HT1,14.9
13/06/2023,HT1,15.05
12/06/2023,HT1,15.15
09/06/2023,HT1,15.0
08/06/2023,HT1,15.15
07/06/2023,HT1,15.6
06/06/2023,HT1,15.05
05/06/2023,HT1,15.05
02/06/2023,HT1,15.05
01/06/2023,HT1,15.0
31/05/2023,HT1,15.1
30/05/2023,HT1,15.2
29/05/2023,HT1,14.6
26/05/2023,HT1,14.35
25/05/2023,HT1,14.35
24/05/2023,HT1,14.25
23/05/2023,HT1,14.2
22/05/2023,HT1,14.4
19/05/2023,HT1,13.8
18/05/2023,HT1,13.8
17/05/2023,HT1,14.05
16/05/2023,HT1,14.2
15/05/2023,HT1,14.2
12/05/2023,HT1,14.45
11/05/2023,HT1,14.25
10/05/2023,HT1,14.1
09/05/2023,HT1,14.05
08/05/2023,HT1,14.05
05/05/2023,HT1,14.15
04/05/2023,HT1,14.15
28/04/2023,HT1,13.75
27/04/2023,HT1,13.55
26/04/2023,HT1,13.55
25/04/2023,HT1,13.6
24/04/2023,HT1,13.7
21/04/2023,HT1,14.05
20/04/2023,HT1,14.55
19/04/2023,HT1,14.6
18/04/2023,HT1,14.8
17/04/2023,HT1,14.7
14/04/2023,HT1,14.5
13/04/2023,HT1,14.6
12/04/2023,HT1,14.65
11/04/2023,HT1,14.75
10/04/2023,HT1,14.7
07/04/2023,HT1,15.4
06/04/2023,HT1,15.35
05/04/2023,HT1,15.45
04/04/2023,HT1,15.6
03/04/2023,HT1,15.55
31/03/2023,HT1,15.1
30/03/2023,HT1,15.35
29/03/2023,HT1,15.55
28/03/2023,HT1,15.3
27/03/2023,HT1,15.4
24/03/2023,HT1,15.2
23/03/2023,HT1,15.45
22/03/2023,HT1,15.3
21/03/2023,HT1,14.85
20/03/2023,HT1,14.6
17/03/2023,HT1,14.8
16/03/2023,HT1,14.8
15/03/2023,HT1,15.1
14/03/2023,HT1,14.35
13/03/2023,HT1,14.9
10/03/2023,HT1,14.9
09/03/2023,HT1,15.4
08/03/2023,HT1,15.6
07/03/2023,HT1,15.4
06/03/2023,HT1,14.65
03/03/2023,HT1,14.65
02/03/2023,HT1,14.45
01/03/2023,HT1,14.6
28/02/2023,HT1,14.0
27/02/2023,HT1,14.65
24/02/2023,HT1,15.05
23/02/2023,HT1,15.05
22/02/2023,HT1,14.1
21/02/2023,HT1,15.0
20/02/2023,HT1,15.45
17/02/2023,HT1,14.8
16/02/2023,HT1,15.0
15/02/2023,HT1,14.95
14/02/2023,HT1,14.05
13/02/2023,HT1,14.3
10/02/2023,HT1,13.45
09/02/2023,HT1,13.1
08/02/2023,HT1,13.2
07/02/2023,HT1,13.0
06/02/2023,HT1,13.4
03/02/2023,HT1,13.7
02/02/2023,HT1,13.2
01/02/2023,HT1,13.35
31/01/2023,HT1,14.35
30/01/2023,HT1,13.8
27/01/2023,HT1,13.65
19/01/2023,HT1,13.3
18/01/2023,HT1,13.05
17/01/2023,HT1,13.45
16/01/2023,HT1,13.35
13/01/2023,HT1,12.9
12/01/2023,HT1,13.1
11/01/2023,HT1,12.4
10/01/2023,HT1,11.7
09/01/2023,HT1,10.95
06/01/2023,HT1,11.1
05/01/2023,HT1,11.45
04/01/2023,HT1,11.4
03/01/2023,HT1,11.05
30/12/2022,HT1,10.35
29/12/2022,HT1,10.3
28/12/2022,HT1,10.45
27/12/2022,HT1,10.2
26/12/2022,HT1,9.85
23/12/2022,HT1,10.25
22/12/2022,HT1,10.25
21/12/2022,HT1,10.4
20/12/2022,HT1,10.35
19/12/2022,HT1,11.1
16/12/2022,HT1,10.95
15/12/2022,HT1,10.7
14/12/2022,HT1,10.65
13/12/2022,HT1,10.8
12/12/2022,HT1,11.0
09/12/2022,HT1,10.8
08/12/2022,HT1,10.3
07/12/2022,HT1,10.05
06/12/2022,HT1,10.25
05/12/2022,HT1,10.5
02/12/2022,HT1,10.3
01/12/2022,HT1,10.25
30/11/2022,HT1,10.2
29/11/2022,HT1,10.0
28/11/2022,HT1,9.42
25/11/2022,HT1,8.81
24/11/2022,HT1,8.58
23/11/2022,HT1,8.74
22/11/2022,HT1,8.98
21/11/2022,HT1,8.64
18/11/2022,HT1,8.49
17/11/2022,HT1,8.3
16/11/2022,HT1,7.99
15/11/2022,HT1,7.47
14/11/2022,HT1,8.03
11/11/2022,HT1,8.46
10/11/2022,HT1,8.47
09/11/2022,HT1,9.1
08/11/2022,HT1,9.1
07/11/2022,HT1,9.06
04/11/2022,HT1,9.74
03/11/2022,HT1,10.1
02/11/2022,HT1,10.1
01/11/2022,HT1,10.15
31/10/2022,HT1,10.0
28/10/2022,HT1,10.1
27/10/2022,HT1,9.86
26/10/2022,HT1,9.47
25/10/2022,HT1,9.52
24/10/2022,HT1,9.7
21/10/2022,HT1,10.4
20/10/2022,HT1,11.15
19/10/2022,HT1,11.25
18/10/2022,HT1,11.25
17/10/2022,HT1,11.1
14/10/2022,HT1,11.1
13/10/2022,HT1,10.9
12/10/2022,HT1,10.9
11/10/2022,HT1,10.45
10/10/2022,HT1,11.1
07/10/2022,HT1,10.75
06/10/2022,HT1,11.55
05/10/2022,HT1,12.4
04/10/2022,HT1,12.0
03/10/2022,HT1,12.85
30/09/2022,HT1,13.8
29/09/2022,HT1,14.1
28/09/2022,HT1,14.3
27/09/2022,HT1,14.85
26/09/2022,HT1,14.3
23/09/2022,HT1,14.9
22/09/2022,HT1,15.6
21/09/2022,HT1,15.3
20/09/2022,HT1,15.25
19/09/2022,HT1,15.0
16/09/2022,HT1,15.3
15/09/2022,HT1,15.4
14/09/2022,HT1,15.3
13/09/2022,HT1,15.4
12/09/2022,HT1,15.5
09/09/2022,HT1,15.5
08/09/2022,HT1,15.35
07/09/2022,HT1,15.45
06/09/2022,HT1,16.0
05/09/2022,HT1,16.2
31/08/2022,HT1,15.95
30/08/2022,HT1,15.95
29/08/2022,HT1,16.0
26/08/2022,HT1,16.3
25/08/2022,HT1,16.5
24/08/2022,HT1,16.35
23/08/2022,HT1,16.5
22/08/2022,HT1,16.0
19/08/2022,HT1,16.15
18/08/2022,HT1,16.4
