Ngay,GiaDongCua
29/12/2023,26.75
28/12/2023,26.25
27/12/2023,26.3
26/12/2023,26.25
25/12/2023,26.2
22/12/2023,25.55
21/12/2023,25.6
20/12/2023,25.65
19/12/2023,25.2
18/12/2023,25.0
15/12/2023,25.7
14/12/2023,26.1
13/12/2023,26.3
12/12/2023,26.3
11/12/2023,26.3
08/12/2023,26.5
07/12/2023,26.2
06/12/2023,26.95
05/12/2023,26.6
04/12/2023,26.5
01/12/2023,25.3
30/11/2023,25.05
29/11/2023,25.2
28/11/2023,24.9
27/11/2023,24.9
24/11/2023,25.3
23/11/2023,24.95
22/11/2023,26.8
21/11/2023,26.35
20/11/2023,25.9
17/11/2023,25.9
16/11/2023,25.5
15/11/2023,25.3
14/11/2023,25.2
13/11/2023,25.0
10/11/2023,24.85
09/11/2023,25.1
08/11/2023,24.95
07/11/2023,23.35
06/11/2023,23.35
03/11/2023,23.0
02/11/2023,22.8
01/11/2023,21.35
31/10/2023,21.0
30/10/2023,21.85
27/10/2023,23.35
26/10/2023,23.9
25/10/2023,25.65
24/10/2023,25.5
23/10/2023,25.45
20/10/2023,25.9
19/10/2023,25.0
18/10/2023,24.85
17/10/2023,26.7
16/10/2023,28.7
13/10/2023,28.95
12/10/2023,28.95
11/10/2023,29.0
10/10/2023,28.4
09/10/2023,28.95
06/10/2023,28.5
05/10/2023,27.75
04/10/2023,27.9
03/10/2023,27.0
02/10/2023,28.35
29/09/2023,27.45
28/09/2023,27.65
27/09/2023,28.0
26/09/2023,26.8
25/09/2023,28.75
22/09/2023,30.9
21/09/2023,32.5
20/09/2023,32.95
19/09/2023,31.75
18/09/2023,32.0
15/09/2023,32.65
14/09/2023,33.0
13/09/2023,33.95
12/09/2023,32.8
11/09/2023,32.0
08/09/2023,31.6
07/09/2023,31.4
06/09/2023,31.5
05/09/2023,31.35
31/08/2023,30.7
30/08/2023,29.7
29/08/2023,29.7
28/08/2023,29.4
25/08/2023,29.2
24/08/2023,29.2
23/08/2023,28.35
22/08/2023,28.3
21/08/2023,28.1
18/08/2023,29.25
17/08/2023,31.4
16/08/2023,31.35
15/08/2023,31.6
14/08/2023,31.25
11/08/2023,31.0
10/08/2023,30.5
09/08/2023,31.8
08/08/2023,32.05
07/08/2023,32.6
04/08/2023,31.9
03/08/2023,31.75
02/08/2023,32.1
01/08/2023,31.6
31/07/2023,31.8
28/07/2023,32.0
27/07/2023,31.5
26/07/2023,31.85
25/07/2023,31.8
24/07/2023,32.5
21/07/2023,32.2
20/07/2023,32.0
19/07/2023,30.95
18/07/2023,30.8
17/07/2023,31.2
14/07/2023,31.5
13/07/2023,31.2
12/07/2023,30.95
11/07/2023,30.9
10/07/2023,31.25
07/07/2023,31.3
06/07/2023,31.0
05/07/2023,30.25
04/07/2023,30.8
03/07/2023,30.8
30/06/2023,29.8
29/06/2023,29.8
28/06/2023,29.5
27/06/2023,29.8
26/06/2023,30.0
23/06/2023,29.95
22/06/2023,29.2
21/06/2023,29.15
20/06/2023,27.25
19/06/2023,26.4
16/06/2023,26.3
15/06/2023,26.5
14/06/2023,26.4
13/06/2023,26.8
12/06/2023,27.3
09/06/2023,26.7
08/06/2023,26.6
07/06/2023,27.1
06/06/2023,26.7
05/06/2023,26.55
02/06/2023,27.0
01/06/2023,26.6
31/05/2023,26.8
30/05/2023,27.2
29/05/2023,26.85
26/05/2023,26.4
25/05/2023,26.6
24/05/2023,26.45
23/05/2023,25.85
22/05/2023,26.0
19/05/2023,25.0
18/05/2023,24.8
17/05/2023,24.85
16/05/2023,25.5
15/05/2023,25.65
12/05/2023,26.05
11/05/2023,25.6
10/05/2023,25.75
09/05/2023,25.65
08/05/2023,25.1
05/05/2023,25.0
04/05/2023,25.35
28/04/2023,24.7
27/04/2023,24.65
26/04/2023,24.9
25/04/2023,24.35
24/04/2023,24.6
21/04/2023,25.0
20/04/2023,25.35
19/04/2023,25.7
18/04/2023,26.45
17/04/2023,26.3
14/04/2023,25.65
13/04/2023,25.5
12/04/2023,25.9
11/04/2023,25.85
10/04/2023,25.65
07/04/2023,27.1
06/04/2023,26.85
05/04/2023,26.9
04/04/2023,27.0
03/04/2023,27.3
31/03/2023,26.6
30/03/2023,26.9
29/03/2023,27.9
28/03/2023,27.35
27/03/2023,27.0
24/03/2023,27.05
23/03/2023,27.5
22/03/2023,26.8
21/03/2023,26.9
20/03/2023,25.15
17/03/2023,24.9
16/03/2023,25.1
15/03/2023,25.8
14/03/2023,24.5
13/03/2023,24.5
10/03/2023,25.2
09/03/2023,25.5
08/03/2023,25.8
07/03/2023,24.3
06/03/2023,24.0
03/03/2023,24.0
02/03/2023,23.8
01/03/2023,24.25
28/02/2023,22.7
27/02/2023,23.0
24/02/2023,24.0
23/02/2023,25.15
22/02/2023,24.1
21/02/2023,25.05
20/02/2023,25.45
17/02/2023,24.7
16/02/2023,24.0
15/02/2023,23.45
14/02/2023,21.95
13/02/2023,21.2
10/02/2023,21.9
09/02/2023,22.45
08/02/2023,22.1
07/02/2023,21.3
06/02/2023,22.85
03/02/2023,23.1
02/02/2023,22.05
01/02/2023,23.1
31/01/2023,24.8
30/01/2023,24.35
27/01/2023,25.2
19/01/2023,24.9
18/01/2023,24.25
17/01/2023,24.4
16/01/2023,23.9
13/01/2023,23.0
12/01/2023,23.45
11/01/2023,22.55
10/01/2023,21.9
09/01/2023,20.5
06/01/2023,20.3
05/01/2023,21.3
04/01/2023,20.4
03/01/2023,20.0
30/12/2022,18.7
29/12/2022,17.5
28/12/2022,17.45
27/12/2022,17.8
26/12/2022,16.8
23/12/2022,17.6
22/12/2022,17.25
21/12/2022,16.8
20/12/2022,16.9
19/12/2022,18.15
16/12/2022,18.0
15/12/2022,17.35
14/12/2022,17.3
13/12/2022,17.2
12/12/2022,16.8
09/12/2022,17.45
08/12/2022,16.35
07/12/2022,15.4
06/12/2022,16.35
05/12/2022,17.55
02/12/2022,17.3
01/12/2022,16.5
30/11/2022,16.2
29/11/2022,16.1
28/11/2022,15.05
25/11/2022,14.1
24/11/2022,13.2
23/11/2022,13.15
22/11/2022,13.95
21/11/2022,14.35
18/11/2022,13.95
17/11/2022,13.4
16/11/2022,13.2
15/11/2022,12.5
14/11/2022,13.4
11/11/2022,14.4
10/11/2022,14.45
09/11/2022,15.5
08/11/2022,15.95
07/11/2022,15.95
04/11/2022,17.1
03/11/2022,17.5
02/11/2022,17.3
01/11/2022,16.8
31/10/2022,16.5
28/10/2022,16.5
27/10/2022,17.5
26/10/2022,16.5
25/10/2022,16.5
24/10/2022,17.4
21/10/2022,18.7
20/10/2022,20.1
19/10/2022,20.35
18/10/2022,20.25
17/10/2022,19.85
14/10/2022,19.85
13/10/2022,19.75
12/10/2022,19.55
11/10/2022,19.55
10/10/2022,21.0
07/10/2022,20.0
06/10/2022,21.5
05/10/2022,23.1
04/10/2022,22.45
03/10/2022,22.45
30/09/2022,24.1
29/09/2022,24.1
28/09/2022,25.9
27/09/2022,27.8
26/09/2022,28.05
23/09/2022,27.5
22/09/2022,26.6
21/09/2022,25.35
20/09/2022,25.0
19/09/2022,24.55
