Ngay,GiaDongCua
29/12/2023,24.65
28/12/2023,24.55
27/12/2023,24.1
26/12/2023,24.2
25/12/2023,24.1
22/12/2023,24.3
21/12/2023,24.3
20/12/2023,24.0
19/12/2023,24.0
18/12/2023,22.75
15/12/2023,23.25
14/12/2023,22.8
13/12/2023,22.7
12/12/2023,23.35
11/12/2023,23.25
08/12/2023,23.3
07/12/2023,23.3
06/12/2023,23.7
05/12/2023,23.55
04/12/2023,23.85
01/12/2023,22.9
30/11/2023,23.0
29/11/2023,22.9
28/11/2023,22.8
27/11/2023,21.8
24/11/2023,22.1
23/11/2023,21.15
22/11/2023,22.7
21/11/2023,22.2
20/11/2023,22.2
17/11/2023,21.85
16/11/2023,21.6
15/11/2023,21.45
14/11/2023,21.6
13/11/2023,21.5
10/11/2023,20.5
09/11/2023,20.75
08/11/2023,20.65
07/11/2023,19.3
06/11/2023,19.5
03/11/2023,19.25
02/11/2023,19.1
01/11/2023,17.9
31/10/2023,17.5
30/10/2023,18.0
27/10/2023,18.0
26/10/2023,17.3
25/10/2023,18.6
24/10/2023,18.65
23/10/2023,18.5
20/10/2023,18.4
19/10/2023,17.85
18/10/2023,18.05
17/10/2023,18.6
16/10/2023,19.9
13/10/2023,20.55
12/10/2023,20.3
11/10/2023,20.5
10/10/2023,19.95
09/10/2023,19.95
06/10/2023,19.15
05/10/2023,18.6
04/10/2023,19.2
03/10/2023,18.55
02/10/2023,19.9
29/09/2023,19.75
28/09/2023,19.9
27/09/2023,19.75
26/09/2023,18.85
25/09/2023,19.4
22/09/2023,20.85
21/09/2023,22.4
20/09/2023,22.85
19/09/2023,22.7
18/09/2023,21.55
15/09/2023,21.5
14/09/2023,21.3
13/09/2023,22.05
12/09/2023,21.75
11/09/2023,21.0
08/09/2023,21.85
07/09/2023,20.9
06/09/2023,21.15
05/09/2023,19.8
31/08/2023,19.3
30/08/2023,18.8
29/08/2023,18.4
28/08/2023,18.6
25/08/2023,18.1
24/08/2023,18.4
23/08/2023,17.9
22/08/2023,17.9
21/08/2023,17.7
18/08/2023,18.6
17/08/2023,20.0
16/08/2023,20.3
15/08/2023,20.4
14/08/2023,20.3
11/08/2023,19.5
10/08/2023,19.0
09/08/2023,19.55
08/08/2023,19.25
07/08/2023,19.25
04/08/2023,19.25
03/08/2023,18.85
02/08/2023,19.2
01/08/2023,19.05
31/07/2023,19.7
28/07/2023,19.8
27/07/2023,19.65
26/07/2023,19.65
25/07/2023,19.6
24/07/2023,19.6
21/07/2023,19.7
20/07/2023,19.2
19/07/2023,19.05
18/07/2023,19.1
17/07/2023,19.45
14/07/2023,19.35
13/07/2023,18.65
12/07/2023,18.6
11/07/2023,18.65
10/07/2023,18.8
07/07/2023,18.4
06/07/2023,17.5
05/07/2023,17.7
04/07/2023,17.5
03/07/2023,17.2
30/06/2023,17.25
29/06/2023,17.25
28/06/2023,18.15
27/06/2023,18.05
26/06/2023,18.1
23/06/2023,18.2
22/06/2023,17.7
21/06/2023,17.7
20/06/2023,16.95
19/06/2023,16.4
16/06/2023,16.8
15/06/2023,16.75
14/06/2023,17.1
13/06/2023,17.45
12/06/2023,16.5
09/06/2023,16.7
08/06/2023,16.3
07/06/2023,16.7
06/06/2023,16.4
05/06/2023,16.25
02/06/2023,15.85
01/06/2023,15.35
31/05/2023,15.5
30/05/2023,15.5
29/05/2023,15.15
26/05/2023,14.7
25/05/2023,14.85
24/05/2023,14.8
23/05/2023,15.1
22/05/2023,15.25
19/05/2023,14.6
18/05/2023,14.55
17/05/2023,14.5
16/05/2023,14.8
15/05/2023,15.0
12/05/2023,15.4
11/05/2023,15.2
10/05/2023,15.15
09/05/2023,15.05
08/05/2023,14.5
05/05/2023,14.5
04/05/2023,14.4
28/04/2023,14.55
27/04/2023,14.5
