Ngay,Symbol,GiaDongCua
29/12/2023,NNC,19.2
28/12/2023,NNC,19.1
27/12/2023,NNC,19.1
26/12/2023,NNC,19.25
25/12/2023,NNC,19.3
22/12/2023,NNC,19.3
21/12/2023,NNC,19.2
20/12/2023,NNC,19.2
19/12/2023,NNC,19.15
18/12/2023,NNC,19.25
15/12/2023,NNC,19.2
14/12/2023,NNC,19.65
13/12/2023,NNC,19.3
12/12/2023,NNC,19.4
11/12/2023,NNC,19.7
08/12/2023,NNC,19.7
07/12/2023,NNC,19.5
06/12/2023,NNC,19.5
05/12/2023,NNC,19.4
04/12/2023,NNC,19.35
01/12/2023,NNC,19.4
30/11/2023,NNC,19.3
29/11/2023,NNC,19.4
28/11/2023,NNC,19.2
27/11/2023,NNC,19.05
24/11/2023,NNC,19.25
23/11/2023,NNC,19.4
22/11/2023,NNC,19.4
21/11/2023,NNC,19.7
20/11/2023,NNC,19.45
17/11/2023,NNC,19.45
16/11/2023,NNC,19.95
15/11/2023,NNC,19.95
14/11/2023,NNC,19.9
13/11/2023,NNC,19.85
10/11/2023,NNC,19.6
09/11/2023,NNC,19.3
08/11/2023,NNC,20.2
07/11/2023,NNC,19.9
06/11/2023,NNC,20.0
03/11/2023,NNC,21.0
02/11/2023,NNC,20.4
01/11/2023,NNC,19.1
31/10/2023,NNC,19.15
30/10/2023,NNC,19.15
27/10/2023,NNC,19.3
26/10/2023,NNC,19.25
25/10/2023,NNC,19.25
24/10/2023,NNC,19.0
23/10/2023,NNC,18.45
20/10/2023,NNC,18.3
19/10/2023,NNC,17.7
18/10/2023,NNC,17.7
17/10/2023,NNC,18.0
16/10/2023,NNC,17.95
13/10/2023,NNC,17.7
12/10/2023,NNC,18.05
11/10/2023,NNC,18.05
10/10/2023,NNC,18.0
09/10/2023,NNC,17.9
06/10/2023,NNC,17.45
05/10/2023,NNC,17.5
04/10/2023,NNC,17.35
03/10/2023,NNC,17.45
02/10/2023,NNC,18.0
29/09/2023,NNC,17.8
28/09/2023,NNC,17.6
27/09/2023,NNC,17.85
26/09/2023,NNC,18.1
25/09/2023,NNC,17.8
22/09/2023,NNC,18.9
21/09/2023,NNC,18.9
20/09/2023,NNC,18.9
19/09/2023,NNC,18.8
18/09/2023,NNC,18.9
15/09/2023,NNC,19.25
14/09/2023,NNC,19.25
13/09/2023,NNC,19.5
12/09/2023,NNC,19.3
11/09/2023,NNC,19.2
08/09/2023,NNC,19.0
07/09/2023,NNC,19.0
06/09/2023,NNC,18.95
05/09/2023,NNC,18.8
31/08/2023,NNC,18.5
30/08/2023,NNC,18.5
29/08/2023,NNC,18.8
28/08/2023,NNC,18.45
25/08/2023,NNC,18.45
24/08/2023,NNC,18.6
23/08/2023,NNC,18.4
22/08/2023,NNC,18.5
21/08/2023,NNC,18.5
18/08/2023,NNC,18.5
17/08/2023,NNC,19.5
16/08/2023,NNC,19.6
15/08/2023,NNC,19.95
14/08/2023,NNC,19.95
11/08/2023,NNC,19.85
10/08/2023,NNC,20.0
09/08/2023,NNC,19.8
08/08/2023,NNC,20.15
07/08/2023,NNC,20.3
04/08/2023,NNC,20.45
03/08/2023,NNC,19.85
02/08/2023,NNC,19.2
01/08/2023,NNC,19.0
31/07/2023,NNC,19.0
28/07/2023,NNC,18.95
27/07/2023,NNC,19.25
26/07/2023,NNC,19.25
25/07/2023,NNC,19.25
24/07/2023,NNC,19.7
21/07/2023,NNC,19.7
20/07/2023,NNC,19.6
19/07/2023,NNC,19.1
18/07/2023,NNC,19.1
17/07/2023,NNC,18.9
14/07/2023,NNC,18.9
13/07/2023,NNC,18.8
12/07/2023,NNC,18.6
11/07/2023,NNC,18.95
10/07/2023,NNC,18.95
07/07/2023,NNC,18.45
06/07/2023,NNC,18.45
05/07/2023,NNC,18.5
04/07/2023,NNC,18.35
03/07/2023,NNC,18.35
30/06/2023,NNC,18.2
29/06/2023,NNC,18.15
28/06/2023,NNC,18.35
27/06/2023,NNC,18.4
26/06/2023,NNC,18.4
23/06/2023,NNC,18.5
22/06/2023,NNC,18.15
21/06/2023,NNC,18.4
20/06/2023,NNC,18.45
19/06/2023,NNC,18.5
16/06/2023,NNC,18.5
15/06/2023,NNC,18.55
14/06/2023,NNC,18.55
13/06/2023,NNC,18.2
12/06/2023,NNC,18.0
09/06/2023,NNC,18.1
08/06/2023,NNC,18.15
07/06/2023,NNC,18.3
06/06/2023,NNC,18.6
05/06/2023,NNC,18.75
02/06/2023,NNC,18.65
01/06/2023,NNC,18.0
31/05/2023,NNC,17.75
30/05/2023,NNC,17.5
29/05/2023,NNC,17.45
26/05/2023,NNC,17.5
25/05/2023,NNC,17.5
24/05/2023,NNC,17.5
23/05/2023,NNC,17.4
22/05/2023,NNC,17.35
19/05/2023,NNC,17.45
18/05/2023,NNC,17.45
17/05/2023,NNC,17.3
16/05/2023,NNC,17.1
15/05/2023,NNC,17.3
12/05/2023,NNC,17.4
11/05/2023,NNC,17.15
10/05/2023,NNC,17.2
09/05/2023,NNC,17.2
08/05/2023,NNC,17.3
05/05/2023,NNC,17.3
04/05/2023,NNC,17.7
28/04/2023,NNC,17.9
27/04/2023,NNC,17.3
26/04/2023,NNC,17.6
25/04/2023,NNC,17.9
24/04/2023,NNC,18.3
21/04/2023,NNC,18.4
20/04/2023,NNC,18.5
19/04/2023,NNC,18.5
