Ngay,Symbol,GiaDongCua
29/12/2023,TCR,3.17
28/12/2023,TCR,3.3
27/12/2023,TCR,3.36
26/12/2023,TCR,3.36
25/12/2023,TCR,3.36
22/12/2023,TCR,3.36
21/12/2023,TCR,3.37
20/12/2023,TCR,3.2
19/12/2023,TCR,3.36
18/12/2023,TCR,3.36
15/12/2023,TCR,3.36
14/12/2023,TCR,3.36
13/12/2023,TCR,3.21
12/12/2023,TCR,3.2
11/12/2023,TCR,3.39
08/12/2023,TCR,3.39
07/12/2023,TCR,3.2
06/12/2023,TCR,3.2
05/12/2023,TCR,3.2
04/12/2023,TCR,3.2
01/12/2023,TCR,3.2
30/11/2023,TCR,3.4
29/11/2023,TCR,3.3
28/11/2023,TCR,3.3
27/11/2023,TCR,3.3
24/11/2023,TCR,3.3
23/11/2023,TCR,3.3
22/11/2023,TCR,3.3
21/11/2023,TCR,3.32
20/11/2023,TCR,3.32
17/11/2023,TCR,3.32
16/11/2023,TCR,3.32
15/11/2023,TCR,3.29
14/11/2023,TCR,3.32
13/11/2023,TCR,3.32
10/11/2023,TCR,3.32
09/11/2023,TCR,3.4
08/11/2023,TCR,3.41
07/11/2023,TCR,3.2
06/11/2023,TCR,3.29
03/11/2023,TCR,3.29
02/11/2023,TCR,3.31
01/11/2023,TCR,3.12
31/10/2023,TCR,3.11
30/10/2023,TCR,3.25
27/10/2023,TCR,3.15
26/10/2023,TCR,3.12
25/10/2023,TCR,3.31
24/10/2023,TCR,3.47
23/10/2023,TCR,3.48
20/10/2023,TCR,3.43
19/10/2023,TCR,3.5
18/10/2023,TCR,3.5
17/10/2023,TCR,3.5
16/10/2023,TCR,3.52
13/10/2023,TCR,3.52
12/10/2023,TCR,3.52
11/10/2023,TCR,3.32
10/10/2023,TCR,3.5
09/10/2023,TCR,3.45
06/10/2023,TCR,3.45
05/10/2023,TCR,3.5
04/10/2023,TCR,3.47
03/10/2023,TCR,3.47
02/10/2023,TCR,3.5
29/09/2023,TCR,3.58
28/09/2023,TCR,3.4
27/09/2023,TCR,3.6
26/09/2023,TCR,3.66
25/09/2023,TCR,3.6
22/09/2023,TCR,3.65
21/09/2023,TCR,3.65
20/09/2023,TCR,3.65
19/09/2023,TCR,3.63
18/09/2023,TCR,3.63
15/09/2023,TCR,3.7
14/09/2023,TCR,3.8
13/09/2023,TCR,3.61
12/09/2023,TCR,3.65
11/09/2023,TCR,3.75
08/09/2023,TCR,3.75
07/09/2023,TCR,3.64
06/09/2023,TCR,3.6
05/09/2023,TCR,3.65
31/08/2023,TCR,3.58
30/08/2023,TCR,3.56
29/08/2023,TCR,3.7
28/08/2023,TCR,3.7
25/08/2023,TCR,3.69
24/08/2023,TCR,3.69
23/08/2023,TCR,3.61
22/08/2023,TCR,3.52
21/08/2023,TCR,3.56
18/08/2023,TCR,3.5
17/08/2023,TCR,3.56
16/08/2023,TCR,3.56
15/08/2023,TCR,3.56
14/08/2023,TCR,3.56
11/08/2023,TCR,3.55
10/08/2023,TCR,3.53
09/08/2023,TCR,3.51
08/08/2023,TCR,3.55
07/08/2023,TCR,3.65
04/08/2023,TCR,3.65
03/08/2023,TCR,3.67
02/08/2023,TCR,3.6
01/08/2023,TCR,3.51
31/07/2023,TCR,3.55
28/07/2023,TCR,3.51
27/07/2023,TCR,3.53
26/07/2023,TCR,3.5
25/07/2023,TCR,3.6
24/07/2023,TCR,3.5
21/07/2023,TCR,3.5
20/07/2023,TCR,3.58
19/07/2023,TCR,3.58
18/07/2023,TCR,3.56
17/07/2023,TCR,3.55
14/07/2023,TCR,3.5
13/07/2023,TCR,3.6
12/07/2023,TCR,3.51
11/07/2023,TCR,3.51
10/07/2023,TCR,3.51
07/07/2023,TCR,3.7
06/07/2023,TCR,3.6
05/07/2023,TCR,3.79
04/07/2023,TCR,3.69
03/07/2023,TCR,3.7
30/06/2023,TCR,3.65
29/06/2023,TCR,3.64
28/06/2023,TCR,3.69
27/06/2023,TCR,3.7
26/06/2023,TCR,3.7
23/06/2023,TCR,3.73
22/06/2023,TCR,3.74
21/06/2023,TCR,3.75
20/06/2023,TCR,3.79
19/06/2023,TCR,3.59
16/06/2023,TCR,3.65
15/06/2023,TCR,3.75
14/06/2023,TCR,3.69
13/06/2023,TCR,3.68
12/06/2023,TCR,3.55
09/06/2023,TCR,3.55
08/06/2023,TCR,3.6
07/06/2023,TCR,3.6
06/06/2023,TCR,3.45
05/06/2023,TCR,3.54
02/06/2023,TCR,3.48
01/06/2023,TCR,3.47
31/05/2023,TCR,3.47
30/05/2023,TCR,3.4
29/05/2023,TCR,3.32
26/05/2023,TCR,3.3
25/05/2023,TCR,3.3
24/05/2023,TCR,3.33
23/05/2023,TCR,3.33
22/05/2023,TCR,3.33
19/05/2023,TCR,3.38
18/05/2023,TCR,3.4
17/05/2023,TCR,3.35
16/05/2023,TCR,3.3
15/05/2023,TCR,3.3
12/05/2023,TCR,3.3
11/05/2023,TCR,3.3
10/05/2023,TCR,3.3
09/05/2023,TCR,3.25
08/05/2023,TCR,3.25
05/05/2023,TCR,3.21
04/05/2023,TCR,3.38
28/04/2023,TCR,3.38
27/04/2023,TCR,3.34
26/04/2023,TCR,3.34
25/04/2023,TCR,3.35
24/04/2023,TCR,3.35
21/04/2023,TCR,3.23
20/04/2023,TCR,3.22
19/04/2023,TCR,3.22
18/04/2023,TCR,3.25
17/04/2023,TCR,3.25
14/04/2023,TCR,3.25
13/04/2023,TCR,3.4
12/04/2023,TCR,3.4
11/04/2023,TCR,3.29
10/04/2023,TCR,3.22
07/04/2023,TCR,3.35
06/04/2023,TCR,3.25
05/04/2023,TCR,3.21
04/04/2023,TCR,3.2
03/04/2023,TCR,3.2
31/03/2023,TCR,3.2
30/03/2023,TCR,3.27
29/03/2023,TCR,3.26
28/03/2023,TCR,3.27
27/03/2023,TCR,3.27
24/03/2023,TCR,3.25
23/03/2023,TCR,3.2
22/03/2023,TCR,3.35
21/03/2023,TCR,3.4
20/03/2023,TCR,3.31
17/03/2023,TCR,3.32
16/03/2023,TCR,3.49
15/03/2023,TCR,3.49
14/03/2023,TCR,3.4
13/03/2023,TCR,3.42
10/03/2023,TCR,3.66
09/03/2023,TCR,3.67
08/03/2023,TCR,3.53
07/03/2023,TCR,3.3
06/03/2023,TCR,3.4
03/03/2023,TCR,3.37
02/03/2023,TCR,3.38
01/03/2023,TCR,3.43
28/02/2023,TCR,3.43
27/02/2023,TCR,3.35
24/02/2023,TCR,3.39
23/02/2023,TCR,3.48
22/02/2023,TCR,3.48
21/02/2023,TCR,3.48
20/02/2023,TCR,3.3
17/02/2023,TCR,3.12
16/02/2023,TCR,3.3
15/02/2023,TCR,3.25
14/02/2023,TCR,3.29
13/02/2023,TCR,3.3
10/02/2023,TCR,3.3
09/02/2023,TCR,3.3
08/02/2023,TCR,3.3
07/02/2023,TCR,3.3
06/02/2023,TCR,3.3
03/02/2023,TCR,3.3
02/02/2023,TCR,3.3
01/02/2023,TCR,3.4
31/01/2023,TCR,3.4
30/01/2023,TCR,3.4
27/01/2023,TCR,3.5
19/01/2023,TCR,3.36
18/01/2023,TCR,3.47
17/01/2023,TCR,3.36
16/01/2023,TCR,3.39
13/01/2023,TCR,3.5
12/01/2023,TCR,3.5
11/01/2023,TCR,3.5
10/01/2023,TCR,3.48
09/01/2023,TCR,3.48
06/01/2023,TCR,3.3
05/01/2023,TCR,3.3
04/01/2023,TCR,3.28
03/01/2023,TCR,3.3
30/12/2022,TCR,3.39
29/12/2022,TCR,3.3
28/12/2022,TCR,3.3
27/12/2022,TCR,3.18
26/12/2022,TCR,3.17
23/12/2022,TCR,3.4
22/12/2022,TCR,3.2
21/12/2022,TCR,3.4
20/12/2022,TCR,3.65
19/12/2022,TCR,3.7
16/12/2022,TCR,3.64
15/12/2022,TCR,3.55
14/12/2022,TCR,3.74
13/12/2022,TCR,3.6
12/12/2022,TCR,3.64
09/12/2022,TCR,3.62
08/12/2022,TCR,3.62
07/12/2022,TCR,3.4
06/12/2022,TCR,3.3
05/12/2022,TCR,3.29
02/12/2022,TCR,3.09
01/12/2022,TCR,3.08
30/11/2022,TCR,3.03
29/11/2022,TCR,3.0
28/11/2022,TCR,2.98
25/11/2022,TCR,2.85
24/11/2022,TCR,2.8
23/11/2022,TCR,2.66
22/11/2022,TCR,2.84
21/11/2022,TCR,2.84
18/11/2022,TCR,2.66
17/11/2022,TCR,2.51
16/11/2022,TCR,2.4
15/11/2022,TCR,2.49
14/11/2022,TCR,2.59
11/11/2022,TCR,2.78
10/11/2022,TCR,2.98
09/11/2022,TCR,2.98
08/11/2022,TCR,3.0
07/11/2022,TCR,3.19
04/11/2022,TCR,3.0
03/11/2022,TCR,3.1
02/11/2022,TCR,2.99
01/11/2022,TCR,2.9
31/10/2022,TCR,3.1
28/10/2022,TCR,2.96
27/10/2022,TCR,2.97
26/10/2022,TCR,3.19
25/10/2022,TCR,3.19
24/10/2022,TCR,3.0
21/10/2022,TCR,3.0
20/10/2022,TCR,3.02
19/10/2022,TCR,3.07
18/10/2022,TCR,3.3
17/10/2022,TCR,3.4
14/10/2022,TCR,3.4
13/10/2022,TCR,3.4
12/10/2022,TCR,3.65
11/10/2022,TCR,3.72
10/10/2022,TCR,3.99
07/10/2022,TCR,3.81
06/10/2022,TCR,3.72
05/10/2022,TCR,3.95
04/10/2022,TCR,3.96
03/10/2022,TCR,3.96
30/09/2022,TCR,3.9
29/09/2022,TCR,3.96
28/09/2022,TCR,3.9
27/09/2022,TCR,4.04
26/09/2022,TCR,4.04
23/09/2022,TCR,4.11
22/09/2022,TCR,4.24
21/09/2022,TCR,4.3
20/09/2022,TCR,4.29
19/09/2022,TCR,4.3
16/09/2022,TCR,4.6
15/09/2022,TCR,4.6
14/09/2022,TCR,4.3
13/09/2022,TCR,4.48
12/09/2022,TCR,4.48
09/09/2022,TCR,4.3
08/09/2022,TCR,4.55
07/09/2022,TCR,4.5
06/09/2022,TCR,4.52
05/09/2022,TCR,4.6
31/08/2022,TCR,4.6
30/08/2022,TCR,4.6
29/08/2022,TCR,4.6
26/08/2022,TCR,4.6
25/08/2022,TCR,4.53
24/08/2022,TCR,4.53
23/08/2022,TCR,4.52
22/08/2022,TCR,4.74
19/08/2022,TCR,4.8
18/08/2022,TCR,4.8
17/08/2022,TCR,4.85
16/08/2022,TCR,4.89
15/08/2022,TCR,4.9
12/08/2022,TCR,4.89
11/08/2022,TCR,4.92
10/08/2022,TCR,4.9
09/08/2022,TCR,4.81
08/08/2022,TCR,4.85
05/08/2022,TCR,4.83
04/08/2022,TCR,5.05
03/08/2022,TCR,5.09
02/08/2022,TCR,5.2
01/08/2022,TCR,5.24
29/07/2022,TCR,5.14
28/07/2022,TCR,5.0
27/07/2022,TCR,4.96
26/07/2022,TCR,4.66
25/07/2022,TCR,4.7
22/07/2022,TCR,4.8
21/07/2022,TCR,4.79
20/07/2022,TCR,4.8
19/07/2022,TCR,4.75
18/07/2022,TCR,4.6
15/07/2022,TCR,4.65
14/07/2022,TCR,4.57
13/07/2022,TCR,4.28
12/07/2022,TCR,4.1
11/07/2022,TCR,4.28
08/07/2022,TCR,4.24
07/07/2022,TCR,4.29
06/07/2022,TCR,4.26
05/07/2022,TCR,4.47
04/07/2022,TCR,4.2
01/07/2022,TCR,4.48
30/06/2022,TCR,4.42
29/06/2022,TCR,4.52
28/06/2022,TCR,4.7
27/06/2022,TCR,4.48
24/06/2022,TCR,4.8
23/06/2022,TCR,4.88
22/06/2022,TCR,4.88
21/06/2022,TCR,4.74
20/06/2022,TCR,4.8
17/06/2022,TCR,4.95
16/06/2022,TCR,5.13
15/06/2022,TCR,5.23
14/06/2022,TCR,5.2
13/06/2022,TCR,5.08
10/06/2022,TCR,5.03
09/06/2022,TCR,5.17
08/06/2022,TCR,5.18
07/06/2022,TCR,5.02
06/06/2022,TCR,5.2
