Ngay,GiaDongCua
29/12/2023,8.28
28/12/2023,8.28
27/12/2023,8.32
26/12/2023,8.32
25/12/2023,8.27
22/12/2023,8.24
21/12/2023,8.23
20/12/2023,8.22
19/12/2023,8.2
18/12/2023,8.02
15/12/2023,8.02
14/12/2023,8.01
13/12/2023,8.15
12/12/2023,8.28
11/12/2023,8.28
08/12/2023,8.3
07/12/2023,8.13
06/12/2023,8.2
05/12/2023,8.08
04/12/2023,8.16
01/12/2023,7.85
30/11/2023,8.0
29/11/2023,8.0
28/11/2023,7.64
27/11/2023,7.5
24/11/2023,7.55
23/11/2023,7.5
22/11/2023,7.84
21/11/2023,7.8
20/11/2023,7.6
17/11/2023,7.59
16/11/2023,7.63
15/11/2023,7.63
14/11/2023,7.51
13/11/2023,7.5
10/11/2023,7.37
09/11/2023,7.53
08/11/2023,7.47
07/11/2023,7.05
06/11/2023,6.95
03/11/2023,6.9
02/11/2023,6.81
01/11/2023,6.37
31/10/2023,6.21
30/10/2023,6.54
27/10/2023,6.62
26/10/2023,6.55
25/10/2023,7.04
24/10/2023,7.01
23/10/2023,6.98
20/10/2023,7.0
19/10/2023,6.78
18/10/2023,7.0
17/10/2023,7.5
16/10/2023,7.65
13/10/2023,7.86
12/10/2023,7.93
11/10/2023,7.85
10/10/2023,7.82
09/10/2023,7.81
06/10/2023,7.46
05/10/2023,7.44
04/10/2023,7.71
03/10/2023,7.91
02/10/2023,8.5
29/09/2023,8.36
28/09/2023,8.42
27/09/2023,8.6
26/09/2023,8.75
25/09/2023,9.4
22/09/2023,10.1
21/09/2023,9.45
20/09/2023,8.84
19/09/2023,8.72
18/09/2023,8.6
15/09/2023,8.51
14/09/2023,8.57
13/09/2023,8.84
12/09/2023,8.7
11/09/2023,8.5
08/09/2023,8.9
07/09/2023,8.8
06/09/2023,9.02
05/09/2023,8.48
31/08/2023,8.31
30/08/2023,8.28
29/08/2023,8.2
28/08/2023,8.24
25/08/2023,8.2
24/08/2023,8.19
23/08/2023,8.06
22/08/2023,8.12
21/08/2023,8.09
18/08/2023,8.37
17/08/2023,9.0
16/08/2023,9.05
15/08/2023,9.2
14/08/2023,9.3
11/08/2023,9.22
10/08/2023,9.0
09/08/2023,9.3
08/08/2023,8.71
07/08/2023,8.65
04/08/2023,8.57
03/08/2023,8.35
02/08/2023,8.52
01/08/2023,8.5
31/07/2023,8.6
28/07/2023,8.75
27/07/2023,8.8
26/07/2023,8.84
25/07/2023,8.76
24/07/2023,8.79
21/07/2023,8.76
20/07/2023,8.7
19/07/2023,8.53
18/07/2023,8.64
17/07/2023,8.81
14/07/2023,8.8
13/07/2023,8.63
12/07/2023,8.6
11/07/2023,8.62
10/07/2023,8.65
07/07/2023,8.5
06/07/2023,8.12
05/07/2023,8.31
04/07/2023,8.2
03/07/2023,8.02
30/06/2023,7.89
29/06/2023,8.0
28/06/2023,8.35
27/06/2023,8.44
26/06/2023,8.48
23/06/2023,8.4
22/06/2023,8.31
21/06/2023,8.24
20/06/2023,7.9
19/06/2023,8.4
16/06/2023,9.0
15/06/2023,8.97
14/06/2023,9.09
13/06/2023,9.1
12/06/2023,8.93
09/06/2023,8.89
08/06/2023,8.8
07/06/2023,9.05
06/06/2023,8.71
05/06/2023,8.65
02/06/2023,8.61
01/06/2023,8.53
31/05/2023,8.51
30/05/2023,8.64
29/05/2023,8.8
26/05/2023,8.4
25/05/2023,8.1
24/05/2023,8.1
23/05/2023,8.25
22/05/2023,8.39
19/05/2023,8.25
18/05/2023,8.12
17/05/2023,8.08
16/05/2023,8.14
15/05/2023,8.02
12/05/2023,8.25
11/05/2023,7.76
10/05/2023,7.26
09/05/2023,7.25
08/05/2023,7.08
05/05/2023,7.08
04/05/2023,6.96
28/04/2023,7.0
27/04/2023,7.06
26/04/2023,7.09
25/04/2023,6.86
24/04/2023,6.76
21/04/2023,6.82
20/04/2023,6.99
19/04/2023,7.0
18/04/2023,6.95
17/04/2023,6.92
14/04/2023,6.9
13/04/2023,7.03
12/04/2023,7.13
11/04/2023,7.07
10/04/2023,6.97
07/04/2023,7.13
06/04/2023,7.35
05/04/2023,7.4
04/04/2023,7.41
03/04/2023,7.18
31/03/2023,7.08
30/03/2023,7.29
29/03/2023,7.21
28/03/2023,7.09
27/03/2023,7.07
24/03/2023,6.85
23/03/2023,6.89
22/03/2023,6.88
21/03/2023,6.87
20/03/2023,6.85
17/03/2023,6.91
16/03/2023,6.94
15/03/2023,7.06
14/03/2023,6.81
13/03/2023,7.09
10/03/2023,7.13
09/03/2023,7.26
08/03/2023,7.21
07/03/2023,7.2
06/03/2023,7.05
03/03/2023,7.06
