Ngay,GiaDongCua
29/12/2023,54.9
28/12/2023,54.5
27/12/2023,53.6
26/12/2023,54.6
25/12/2023,54.4
22/12/2023,53.3
21/12/2023,53.4
20/12/2023,53.5
19/12/2023,52.6
18/12/2023,51.7
15/12/2023,52.9
14/12/2023,53.5
13/12/2023,53.9
12/12/2023,55.5
11/12/2023,55.2
08/12/2023,55.8
07/12/2023,54.7
06/12/2023,56.6
05/12/2023,56.8
04/12/2023,57.4
01/12/2023,55.2
30/11/2023,54.5
29/11/2023,52.8
28/11/2023,52.1
27/11/2023,52.1
24/11/2023,52.0
23/11/2023,50.8
22/11/2023,53.3
21/11/2023,52.3
20/11/2023,52.7
17/11/2023,50.8
16/11/2023,51.5
15/11/2023,50.3
14/11/2023,50.6
13/11/2023,50.5
10/11/2023,50.2
09/11/2023,50.0
08/11/2023,49.8
07/11/2023,47.1
06/11/2023,46.5
03/11/2023,46.45
02/11/2023,46.8
01/11/2023,43.8
31/10/2023,42.35
30/10/2023,45.5
27/10/2023,48.9
26/10/2023,47.2
25/10/2023,50.6
24/10/2023,50.6
23/10/2023,49.45
20/10/2023,50.0
19/10/2023,48.1
18/10/2023,49.35
17/10/2023,49.35
16/10/2023,53.0
13/10/2023,54.0
12/10/2023,52.8
11/10/2023,52.5
10/10/2023,50.8
09/10/2023,51.0
06/10/2023,51.0
05/10/2023,50.2
04/10/2023,47.4
03/10/2023,45.85
02/10/2023,47.1
29/09/2023,46.4
28/09/2023,48.0
27/09/2023,47.9
26/09/2023,45.2
25/09/2023,46.9
22/09/2023,50.4
21/09/2023,52.5
20/09/2023,53.0
19/09/2023,51.5
18/09/2023,51.0
15/09/2023,51.2
14/09/2023,50.0
13/09/2023,51.2
12/09/2023,51.9
11/09/2023,49.8
08/09/2023,51.0
07/09/2023,50.4
06/09/2023,50.4
05/09/2023,48.6
31/08/2023,48.0
30/08/2023,46.2
29/08/2023,46.0
28/08/2023,45.7
25/08/2023,44.8
24/08/2023,44.8
23/08/2023,43.25
22/08/2023,43.8
21/08/2023,43.0
18/08/2023,43.3
17/08/2023,46.55
16/08/2023,47.75
15/08/2023,48.25
14/08/2023,47.0
11/08/2023,46.45
10/08/2023,46.35
09/08/2023,45.9
08/08/2023,47.2
07/08/2023,47.85
04/08/2023,47.6
03/08/2023,47.2
02/08/2023,48.4
01/08/2023,48.6
31/07/2023,47.4
28/07/2023,47.7
27/07/2023,46.6
26/07/2023,47.5
25/07/2023,47.4
24/07/2023,48.4
21/07/2023,47.3
20/07/2023,46.5
19/07/2023,45.8
18/07/2023,46.1
17/07/2023,46.2
14/07/2023,46.85
13/07/2023,46.9
12/07/2023,45.6
11/07/2023,45.8
10/07/2023,45.4
07/07/2023,45.5
06/07/2023,44.0
05/07/2023,44.4
04/07/2023,43.8
03/07/2023,43.65
30/06/2023,42.6
29/06/2023,42.2
28/06/2023,43.2
27/06/2023,43.0
26/06/2023,43.0
23/06/2023,44.4
22/06/2023,45.15
21/06/2023,45.2
20/06/2023,44.55
19/06/2023,42.4
16/06/2023,41.3
15/06/2023,41.85
14/06/2023,41.05
13/06/2023,42.75
12/06/2023,44.15
09/06/2023,43.9
08/06/2023,42.9
07/06/2023,41.8
06/06/2023,41.0
05/06/2023,40.3
02/06/2023,41.5
01/06/2023,41.5
31/05/2023,39.7
30/05/2023,40.9
29/05/2023,40.2
26/05/2023,37.6
25/05/2023,37.0
24/05/2023,36.5
23/05/2023,37.4
22/05/2023,38.0
19/05/2023,37.2
18/05/2023,36.85
17/05/2023,35.8
16/05/2023,36.9
15/05/2023,36.55
12/05/2023,37.95
